"file_id","source_page","row_index","source_row_label","column_index","column_x","source_column_label","value_raw"
"SRC613","3","1","Following a record-setting","2","210","MARKET Remarks","2025,"
"SRC613","3","2","2026, generating","2","210","MARKET Remarks","$124"
"SRC613","3","2","2026, generating","7","484","","$260"
"SRC613","3","3","The secondary market","6","320","","2026,"
"SRC613","3","4","approximately 28% year-over-year","7","484","","2026"
"SRC613","3","5","billion, double the market’s","1","133","SECONDARY Introductory","2021"
"SRC613","3","6","M&A volume surpassed","1","133","SECONDARY Introductory","2021"
"SRC613","3","7","growth to accelerate and","5","300","to fully","$275"
"SRC613","3","8","The GP-led market represented","3","228","M&A","49%"
"SRC613","3","8","The GP-led market represented","7","484","channels selective","84%"
"SRC613","3","9","Single-asset continuation","2","210","sponsor-led","54%"
"SRC613","3","9","Single-asset continuation","9","738","","2026"
"SRC613","3","10","sector overall; together,","6","320","rebound,","72%"
"SRC613","3","11","The LP-led market accounted","3","228","M&A","51%"
"SRC613","3","12","pricing remained well-supported","9","738","","2026"
"SRC613","3","13","Capital formation remains","5","300","to fully","76%"
"SRC613","3","14","evergreen or ’40 Act vehicle,","4","260","has yet","$77"
"SRC613","3","15","than the entire first-half","4","260","has yet","60%"
"SRC613","3","16","for a record full year in","1","133","transactions,","2026."
"SRC613","3","17","agreement to acquire Campbell","7","484","channels selective","2026,"
"SRC613","3","18","business in the world:","5","300","to fully","18"
"SRC613","3","18","business in the world:","6","320","rebound,","10"
"SRC613","4","1","I Secondary Market Overview","1","569","","5"
"SRC613","4","2","I SECONDARY MARKET OVERVIEW","2","590","","5"
"SRC613","4","3","II GP-Led Deep Dive","1","569","","8"
"SRC613","4","4","II GP-LED DEEP DIVE","2","590","","8"
"SRC613","4","5","III Thematic Deep Dive: Evolving Software Views in the Secondary Market","1","569","","16"
"SRC613","4","6","III THEMATIC DEEP DIVE: EVOLVING SOFTWARE VIEWS IN THE SECONDARY MARKET","2","590","","16"
"SRC613","4","7","IV Outlook and Predictions","1","569","","19"
"SRC613","4","8","IV OUTLOOK AND PREDICTIONS","2","590","","19"
"SRC613","6","1","The secondary market sustained the growth momentum observed over the past two years with LTM volume","3","711","MARKET","2026"
"SRC613","6","2","Volume as a % 32% 34% 50% 50% 43% 44% 48% 50% 50%","1","611","I SECONDARY First Half","49%"
"SRC613","9","1","INTERIM SECONDARY MARKET REPORT","1","265","","2026"
"SRC613","9","2","% of Annual Single-Asset Continuation Market Deployment by","1","265","","2024"
"SRC613","9","2","% of Annual Single-Asset Continuation Market Deployment by","2","670","","2024 2025"
"SRC613","9","3","40%","1","265","","42%"
"SRC613","9","4","• Looking ahead to 2H 2026, respondents indicated","2","670","","2026."
"SRC613","9","5","of transactions having failed or been paused in 1H","1","265","","2026"
"SRC613","10","1","... And Current Dry","4","440","","2026"
"SRC613","10","2","Surveyed investors hold ~$77","3","353","","2026"
"SRC613","10","2","Surveyed investors hold ~$77","6","602","","2026"
"SRC613","10","3","$77B+ Reported dry powder","3","353","","2026,"
"SRC613","10","3","$77B+ Reported dry powder","4","440","","76%"
"SRC613","10","4","exceeds total 1H 2026","5","536","","2027"
"SRC613","10","5","<$1.5B","1","199","MARKET","$1.5"
"SRC613","10","5","<$1.5B","5","536","","$1"
"SRC613","10","5","<$1.5B","6","602","","$2.5"
"SRC613","10","5","<$1.5B","7","676","II","$5"
"SRC613","10","6","6% of investors hold ~43% of 2H","1","199","MARKET","2026"
"SRC613","10","6","6% of investors hold ~43% of 2H","4","440","","11%"
