change_id,stage_id,target_table,target_record_id,fund_id,field,old_value,new_value,change_type,source_observation_id,source_document_id,source_page,source_table,source_quote,source_printed_value,rule_id,matrix_status,notes
AC_c22373d88cbef408402e,fund-constant-attributes,fund_master,FUND_0003,FUND_0003,strategy,Secondary Investments,Secondary Investments,BASELINE_CONFIRMED,11917a8d99ecb4626389,SRC407,5,Consolidated Schedule of Investments,"New Mountain Partners IV, L.P.(d)(f)(g) North America 03/31/2023 896,293 541,266",Secondary Investments,COPY_SETTLED_STRATEGY,unique,Value already populated when cell-level lineage was introduced.
AC_5d61ed692df5750f49b8,fund-constant-attributes,fund_master,FUND_0004,FUND_0004,strategy,Growth Equity,Growth Equity,BASELINE_CONFIRMED,0ac3a671d1bc1facc753,SRC035,1,Fund Performance: Sorted By Vintage And Strategy,"Adventure Fund I, L.P. 2007 Growth Equity $3,000,000 $2,558,543 $0 $4,987,944 $0 1.95 11.97",Growth Equity,COPY_SETTLED_STRATEGY,unique,Value already populated when cell-level lineage was introduced.
AC_44a798420962a61aed9c,fund-constant-attributes,fund_master,FUND_0004,FUND_0004,vintage_year,2007,2007,BASELINE_CONFIRMED,0ac3a671d1bc1facc753,SRC035,1,Fund Performance: Sorted By Vintage And Strategy,"Adventure Fund I, L.P. 2007 Growth Equity $3,000,000 $2,558,543 $0 $4,987,944 $0 1.95 11.97",2007,COPY_SETTLED_VINTAGE_YEAR,unique,Value already populated when cell-level lineage was introduced.
AC_bcc428c7a52b61f76272,fund-constant-attributes,fund_master,FUND_0005,FUND_0005,strategy,Venture Capital,Venture Capital,BASELINE_CONFIRMED,0571a342bc87df4cb40c,SRC035,3,Fund Performance: Sorted By Vintage And Strategy,"Builders VC Fund II 2020 Venture Capital $5,000,000 $750,000 $4,250,000 $0 $765,912 NM NM",Venture Capital,COPY_SETTLED_STRATEGY,unique,Value already populated when cell-level lineage was introduced.
AC_491f10b067bafc83cf3c,fund-constant-attributes,fund_master,FUND_0005,FUND_0005,vintage_year,2020,2020,BASELINE_CONFIRMED,0571a342bc87df4cb40c,SRC035,3,Fund Performance: Sorted By Vintage And Strategy,"Builders VC Fund II 2020 Venture Capital $5,000,000 $750,000 $4,250,000 $0 $765,912 NM NM",2020,COPY_SETTLED_VINTAGE_YEAR,unique,Value already populated when cell-level lineage was introduced.
AC_b4cb0dee1474839b2499,fund-constant-attributes,fund_master,FUND_0006,FUND_0006,strategy,Venture Capital,Venture Capital,BASELINE_CONFIRMED,2d5e270a9bbc477e2941,SRC035,2,Fund Performance: Sorted By Vintage And Strategy,"Cascade Angels Fund 2016, L.P. 2016 Venture Capital $500,000 $500,000 $0 $312,267 $273,598 1.17 2.97",Venture Capital,COPY_SETTLED_STRATEGY,unique,Value already populated when cell-level lineage was introduced.
AC_e1abe4c668ff90c69c05,fund-constant-attributes,fund_master,FUND_0006,FUND_0006,vintage_year,2016,2016,BASELINE_CONFIRMED,2d5e270a9bbc477e2941,SRC035,2,Fund Performance: Sorted By Vintage And Strategy,"Cascade Angels Fund 2016, L.P. 2016 Venture Capital $500,000 $500,000 $0 $312,267 $273,598 1.17 2.97",2016,COPY_SETTLED_VINTAGE_YEAR,unique,Value already populated when cell-level lineage was introduced.
AC_2c3860a5a2369dd006cb,fund-constant-attributes,fund_master,FUND_0007,FUND_0007,strategy,Venture Capital,Venture Capital,BASELINE_CONFIRMED,2d07fde5638a0b639b92,SRC035,3,Fund Performance: Sorted By Vintage And Strategy,"Cascade Angels Fund V, LLC 2018 Venture Capital $1,000,000 $1,000,000 $0 $66,947 $1,337,358 1.40 11.51",Venture Capital,COPY_SETTLED_STRATEGY,unique,Value already populated when cell-level lineage was introduced.
AC_04d541135153e638a04c,fund-constant-attributes,fund_master,FUND_0007,FUND_0007,vintage_year,2018,2018,BASELINE_CONFIRMED,2d07fde5638a0b639b92,SRC035,3,Fund Performance: Sorted By Vintage And Strategy,"Cascade Angels Fund V, LLC 2018 Venture Capital $1,000,000 $1,000,000 $0 $66,947 $1,337,358 1.40 11.51",2018,COPY_SETTLED_VINTAGE_YEAR,unique,Value already populated when cell-level lineage was introduced.
AC_af2534b4a22e5e9523fa,fund-constant-attributes,fund_master,FUND_0008,FUND_0008,strategy,Venture Capital,Venture Capital,BASELINE_CONFIRMED,2ae1d8d4437f484e9fcb,SRC035,3,Fund Performance: Sorted By Vintage And Strategy,"Cascade Seed Fund I, LLC 2019 Venture Capital $2,000,000 $2,000,000 $0 $0 $2,000,000 NM NM",Venture Capital,COPY_SETTLED_STRATEGY,unique,Value already populated when cell-level lineage was introduced.
AC_226f5fdc75e598461af6,fund-constant-attributes,fund_master,FUND_0008,FUND_0008,vintage_year,2019,2019,BASELINE_CONFIRMED,2ae1d8d4437f484e9fcb,SRC035,3,Fund Performance: Sorted By Vintage And Strategy,"Cascade Seed Fund I, LLC 2019 Venture Capital $2,000,000 $2,000,000 $0 $0 $2,000,000 NM NM",2019,COPY_SETTLED_VINTAGE_YEAR,unique,Value already populated when cell-level lineage was introduced.
AC_c7697ef7c3a108cf4ab9,fund-constant-attributes,fund_master,FUND_0009,FUND_0009,strategy,Venture Capital,Venture Capital,BASELINE_CONFIRMED,4ee40627b85a4ec39a52,SRC035,3,Fund Performance: Sorted By Vintage And Strategy,"Cascade Seed Fund II 2021 Venture Capital $2,000,000 $500,000 $1,500,000 $0 $500,000 NM NM",Venture Capital,COPY_SETTLED_STRATEGY,unique,Value already populated when cell-level lineage was introduced.
AC_2df32a79570f6bf31350,fund-constant-attributes,fund_master,FUND_0009,FUND_0009,vintage_year,2021,2021,BASELINE_CONFIRMED,4ee40627b85a4ec39a52,SRC035,3,Fund Performance: Sorted By Vintage And Strategy,"Cascade Seed Fund II 2021 Venture Capital $2,000,000 $500,000 $1,500,000 $0 $500,000 NM NM",2021,COPY_SETTLED_VINTAGE_YEAR,unique,Value already populated when cell-level lineage was introduced.
AC_07d6aa2be22b5d88156c,fund-constant-attributes,fund_master,FUND_0010,FUND_0010,strategy,Venture Capital,Venture Capital,BASELINE_CONFIRMED,6177301f8f7e23449460,SRC035,1,Fund Performance: Sorted By Vintage And Strategy,"DFJ Frontier Fund II, L.P. 2007 Venture Capital $5,000,000 $5,000,000 $0 $1,786,462 $5,066,868 1.37 3.59",Venture Capital,COPY_SETTLED_STRATEGY,unique,Value already populated when cell-level lineage was introduced.
AC_dff97ecd111233043f8f,fund-constant-attributes,fund_master,FUND_0010,FUND_0010,vintage_year,2007,2007,BASELINE_CONFIRMED,6177301f8f7e23449460,SRC035,1,Fund Performance: Sorted By Vintage And Strategy,"DFJ Frontier Fund II, L.P. 2007 Venture Capital $5,000,000 $5,000,000 $0 $1,786,462 $5,066,868 1.37 3.59",2007,COPY_SETTLED_VINTAGE_YEAR,unique,Value already populated when cell-level lineage was introduced.
AC_56bdf05dded93b75de8d,fund-constant-attributes,fund_master,FUND_0011,FUND_0011,strategy,Natural Resources,Natural Resources,BASELINE_CONFIRMED,1d4b92f456db9ef075b3,SRC035,2,Fund Performance: Sorted By Vintage And Strategy,"Ecotrust Forests II, LLC 2015 Natural Resources $2,500,000 $2,123,388 $376,781 $325,791 $3,357,542 1.73 10.79",Natural Resources,COPY_SETTLED_STRATEGY,unique,Value already populated when cell-level lineage was introduced.
AC_6b96f975b2f6c2e69c4c,fund-constant-attributes,fund_master,FUND_0011,FUND_0011,vintage_year,2015,2015,BASELINE_CONFIRMED,1d4b92f456db9ef075b3,SRC035,2,Fund Performance: Sorted By Vintage And Strategy,"Ecotrust Forests II, LLC 2015 Natural Resources $2,500,000 $2,123,388 $376,781 $325,791 $3,357,542 1.73 10.79",2015,COPY_SETTLED_VINTAGE_YEAR,unique,Value already populated when cell-level lineage was introduced.
AC_f54d4e02507d0f9849c6,fund-constant-attributes,fund_master,FUND_0012,FUND_0012,strategy,Venture Capital,Venture Capital,BASELINE_CONFIRMED,1bbf0db1a6abd302d501,SRC035,3,Fund Performance: Sorted By Vintage And Strategy,"Elevate Capital Fund II 2020 Venture Capital $2,000,000 $800,000 $1,200,000 $0 $809,911 NM NM",Venture Capital,COPY_SETTLED_STRATEGY,unique,Value already populated when cell-level lineage was introduced.
AC_e566b61869c6dda0e7d5,fund-constant-attributes,fund_master,FUND_0012,FUND_0012,vintage_year,2020,2020,BASELINE_CONFIRMED,1bbf0db1a6abd302d501,SRC035,3,Fund Performance: Sorted By Vintage And Strategy,"Elevate Capital Fund II 2020 Venture Capital $2,000,000 $800,000 $1,200,000 $0 $809,911 NM NM",2020,COPY_SETTLED_VINTAGE_YEAR,unique,Value already populated when cell-level lineage was introduced.
AC_4fd96dac708b0ffecddd,fund-constant-attributes,fund_master,FUND_0013,FUND_0013,strategy,Buyout,Buyout,BASELINE_CONFIRMED,11c83cbdced63151f7ff,SRC035,1,Fund Performance: Sorted By Vintage And Strategy,"Endeavour Capital Fund III, L.P. 2000 Buyout $7,000,000 $7,059,089 $0 $18,995,752 $0 2.69 29.66",Buyout,COPY_SETTLED_STRATEGY,unique,Value already populated when cell-level lineage was introduced.
