observation_id,document_id,source_page,source_row_label,source_column_label,fund_id,metric_category,period_column,value_kind,value_raw,finding
058684106e30255b9b3f,SRC457,9,"Hammes Partners II, L.P.",PIC,FUND_0586,paid_in_capital,paid_in_capital_itd,number,1.09,"category paid_in_capital expects a currency value, page printed number"
0a33884d5f74d3d7105a,SRC457,10,"Ecosystem Investment Partners III, L.P.",PIC,FUND_1036,paid_in_capital,paid_in_capital_itd,number,0.78,"category paid_in_capital expects a currency value, page printed number"
0cc53c75a344a48a410c,SRC457,9,"Greenfield Acquisition Partners V, L.P.",PIC,FUND_0548,paid_in_capital,paid_in_capital_itd,number,0.99,"category paid_in_capital expects a currency value, page printed number"
12e9d4521582e4c277ac,SRC457,9,"Prudential Senior Housing V, L.P.",PIC,FUND_1042,paid_in_capital,paid_in_capital_itd,number,0.83,"category paid_in_capital expects a currency value, page printed number"
12eaeaf9fe73898146c2,SRC457,9,"Lone Star Fund VII (U.S.), L.P.",PIC,FUND_0718,paid_in_capital,paid_in_capital_itd,number,0.99,"category paid_in_capital expects a currency value, page printed number"
12f1a57eee50e085d599,SRC457,9,"Lone Star Fund XI, L.P.",PIC,FUND_0722,paid_in_capital,paid_in_capital_itd,number,0.09,"category paid_in_capital expects a currency value, page printed number"
133bd019fcbc0524caa5,SRC457,10,"Five Point Energy Fund III, L.P.",PIC,FUND_0503,paid_in_capital,paid_in_capital_itd,number,0.05,"category paid_in_capital expects a currency value, page printed number"
13f5b31fe22797edc864,SRC457,10,"Conservation Forestry Capital Fund IV, L.P.",PIC,FUND_1031,paid_in_capital,paid_in_capital_itd,number,1.00,"category paid_in_capital expects a currency value, page printed number"
16e52c73a4f56ae5e12c,SRC457,9,"Realterm European Logistics Fund, L.P.",PIC,FUND_0847,paid_in_capital,paid_in_capital_itd,number,0.40,"category paid_in_capital expects a currency value, page printed number"
1742fc2de0fcb6343435,SRC457,10,Harvest MLP,PIC,FUND_0607,paid_in_capital,paid_in_capital_itd,number,1.03,"category paid_in_capital expects a currency value, page printed number"
1a1d424d56621784fda4,SRC457,9,"PRIMA Mortgage Investment Trust, LLC",PIC,FUND_0819,paid_in_capital,paid_in_capital_itd,number,1.00,"category paid_in_capital expects a currency value, page printed number"
1cf4db9cb084b75dec7b,SRC457,9,"Rockpoint Real Estate Fund IV, L.P.",PIC,FUND_0868,paid_in_capital,paid_in_capital_itd,number,1.06,"category paid_in_capital expects a currency value, page printed number"
