"rule_id","route","file_id","pair_id","field","old_value","new_value","source_page","evidence_page","source_quote","reason"
"SR0001","01-financials","SRC034","PAIR_D38771E420BF8785E3EBAED1","value_scope","","statement_line","3","3","Combined Statement of Assets, Liabilities, and Partners' Capital","The amount is a statement-line balance under the printed column."
"SR0002","01-financials","SRC034","PAIR_B9F72E3F7E752BF3D1BEB504","value_scope","","single_holding","4","4","Combined Schedule of Investments","The schedule lists separate redacted investments."
"SR0003","01-financials","SRC034","PAIR_72AB0AA4582AF8716620CE75","value_scope","","single_holding","4","4","Combined Schedule of Investments","The schedule lists separate redacted investments."
"SR0004","01-financials","SRC034","PAIR_02EDBCE7DB1AC0E7E9560E82","value_scope","","single_holding","4","4","Combined Schedule of Investments","The schedule lists separate redacted investments."
"SR0005","01-financials","SRC034","PAIR_AB131338C4167F8136C2B647","value_scope","","single_holding","4","4","Combined Schedule of Investments","The schedule lists separate redacted investments."
"SR0006","01-financials","SRC034","PAIR_FE6BBB53565255D951B21886","value_scope","","single_holding","4","4","Combined Schedule of Investments","The schedule lists separate redacted investments."
"SR0007","01-financials","SRC034","PAIR_E471BBC69C119F01B51AB814","value_scope","","single_holding","4","4","Combined Schedule of Investments","The schedule lists separate redacted investments."
"SR0008","01-financials","SRC034","PAIR_F64AEF17C356B1279A396B2E","value_scope","","single_holding","4","4","Combined Schedule of Investments","The schedule lists separate redacted investments."
"SR0009","01-financials","SRC034","PAIR_560E7B679A54B660640A8382","value_scope","","statement_line","6","6","Combined Statement of Changes in Partners' Capital","The amount is a statement-line balance under the printed column."
"SR0010","01-financials","SRC034","PAIR_400F511F24092875DB1A87FB","value_scope","","statement_line","6","6","Combined Statement of Changes in Partners' Capital","The amount is a statement-line balance under the printed column."
"SR0011","01-financials","SRC034","PAIR_A5E50C851A6B6A0248243A24","value_scope","","statement_line","6","6","Combined Statement of Changes in Partners' Capital","The amount is a statement-line balance under the printed column."
"SR0012","01-financials","SRC034","PAIR_F560137DDB42C45743134AA8","value_scope","","statement_line","6","6","Combined Statement of Changes in Partners' Capital","The amount is a statement-line balance under the printed column."
"SR0013","01-financials","SRC034","PAIR_582AA3826C07A1048B025463","value_scope","","statement_line","6","6","Combined Statement of Changes in Partners' Capital","The amount is a statement-line balance under the printed column."
"SR0014","01-financials","SRC034","PAIR_6F555D8DC39F79FDDED47BC0","value_scope","","statement_line","6","6","Combined Statement of Changes in Partners' Capital","The amount is a statement-line balance under the printed column."
"SR0015","01-financials","SRC034","PAIR_CEDD7D5EF2DFD72E244E28C0","value_scope","","statement_line","9","9","Combining Statement of Assets, Liabilities, and Partners' Capital","The amount is a statement-line balance under the printed column."
"SR0016","01-financials","SRC034","PAIR_CCC376A6EEFD730C202FC2AD","value_scope","","statement_line","9","9","Combining Statement of Assets, Liabilities, and Partners' Capital","The amount is a statement-line balance under the printed column."
"SR0017","01-financials","SRC034","PAIR_0BDB75ECE837CC75CED52742","value_scope","","statement_line","9","9","Combining Statement of Assets, Liabilities, and Partners' Capital","The amount is a statement-line balance under the printed column."
"SR0018","01-financials","SRC102","PAIR_80CD269E966BEB5368D2454B","value_scope","","statement_line","3","3","Deficit","The amount is a comparative statement-line deficit."
"SR0019","01-financials","SRC102","PAIR_91758164364663D2E5451694","value_scope","","statement_line","3","3","Deficit","The amount is a comparative statement-line deficit."
"SR0020","01-financials","SRC102","PAIR_6351A247B98709933CA5A0D6","value_scope","","statement_line","3","3","Deficit","The amount is a comparative statement-line deficit."
"SR0021","01-financials","SRC102","PAIR_04463738754456BD2A17122F","value_scope","","statement_line","3","3","Deficit","The amount is a comparative statement-line deficit."
"SR0022","01-financials","SRC102","PAIR_284557B513BF2F4148EC0CA4","value_scope","","fund_position","11","11","Partners' capital account - current year","The column identifies a partner capital account."
"SR0023","01-financials","SRC102","PAIR_B337300807BFED74D89C004E","value_scope","","fund_position","11","11","Partners' capital account - current year","The column identifies a partner capital account."
"SR0024","01-financials","SRC152","PAIR_3BFA8ED59A2F9D952022FE13","value_scope","","statement_line","1","1","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0025","01-financials","SRC152","PAIR_D2E012148AB1AAB2E1A8B011","value_scope","","statement_line","1","1","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0026","01-financials","SRC152","PAIR_346415615440BDFEE3AD0D29","value_scope","","statement_line","1","1","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0027","01-financials","SRC152","PAIR_E9287606FB88D39C50F8F9C0","value_scope","","statement_line","1","1","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0028","01-financials","SRC152","PAIR_2104FF10C7E436DB86D849E3","value_scope","","statement_line","1","1","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0029","01-financials","SRC152","PAIR_AFFEA230A1A6C4AFE8EB2F76","value_scope","","statement_line","1","1","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0030","01-financials","SRC152","PAIR_EE72623685DA689D6EC32F0B","value_scope","","statement_line","1","1","Fair Value","The statement or note reports this line and its valuation column separately."
"SR0031","01-financials","SRC152","PAIR_24874DD31E4995F8BE4B0530","value_scope","","statement_line","1","1","Fair Value","The statement or note reports this line and its valuation column separately."
