document_manager_map_id,file_id,census_item_id,manager_id,manager_name_raw,manager_name_normalized,relationship_role,source_page,pdf_page_number,source_anchor,source_quote,source_bbox,provenance_type,agent_a_record_id,agent_b_record_id,adjudication_status,confidence,notes
DMM_d3b5d2089b1171ad,SRC035,,MGR_0111,MEKETA INVESTMENT GROUP,MEKETA INVESTMENT GROUP,general_partner,1,,DOCUMENT,"Performance Analysis |As of December 31, 2021",,EXTRACTED,,,RESOLVED,,
DMM_315af65a928b187c,SRC107,,MGR_0094,Bear Stearns,Bear Stearns,general_partner,6,,ORGANISATION / How many full-time employees are there? / UNLABELED_COLUMN_1,"As of March 31, 2006 Bear Steams has approximately 12,000 full",,EXTRACTED,,,RESOLVED,,
DMM_55b72ba76c077437,SRC107,,MGR_0095,Bear Stearns Asset Management Inc.,Bear Stearns Asset Management Inc.,general_partner,4,,COMPANY / Please give a brief history of the company / UNLABELED_COLUMN_1,manage approximately $36 billion in assets across a wide spectrum of,,EXTRACTED,,,RESOLVED,,
DMM_addaf60f53b6ffda,SRC107,,MGR_0096,broker dealers,broker dealers,general_partner,17,,RISK MANAGEMENT / Please describe the operational risk management policy / UNLABELED_COLUMN_1,The tearn receives monthly marks on each of the Fund's investments from up to 15 broker dealers.,,EXTRACTED,,,RESOLVED,,
DMM_f234192e1aa41dc0,SRC107,,MGR_0097,BSAM,BSAM,general_partner,5,,COMPANY / Please list the total assets under management by the company across its different categories of client including the fund / UNLABELED_COLUMN_1,"As of March 31, 2006, BSAM managed a total of S36. I billion of assets,",,EXTRACTED,,,RESOLVED,,
DMM_84316487de48bdbf,SRC107,,MGR_0105,HGSCS team,HGSCS team,general_partner,6,,COMPANY / Please list the total assets under management by the company across its different categories of client including the fund / UNLABELED_COLUMN_1,investments total includes the $1.5 billion in assets managed by the,,EXTRACTED,,,RESOLVED,,
DMM_16bd3a2e330ac0a6,SRC151,,MGR_0101,Glass Lewis,Glass Lewis,general_partner,3,,DOCUMENT,GLASS LEWIS,,EXTRACTED,,,RESOLVED,,
DMM_f22168f1dcab76aa,SRC192,,MGR_0098,Citigroup,Citigroup,general_partner,5,,Broker Commission Fees / Citigroup / Total Commission Fees,"Citigroup 58,657",,EXTRACTED,,,RESOLVED,,
DMM_40390c46f6e6a484,SRC192,,MGR_0099,Cowen,Cowen,general_partner,5,,Broker Commission Fees / Cowen / Total Commission Fees,"Cowen 143,932",,EXTRACTED,,,RESOLVED,,
DMM_f887e9dab6d53e6c,SRC192,,MGR_0100,Daiwa,Daiwa,general_partner,5,,Broker Commission Fees / Daiwa / Total Commission Fees,"Daiwa 49,204",,EXTRACTED,,,RESOLVED,,
DMM_20554049bcc53248,SRC192,,MGR_0102,Goldman Sachs,Goldman Sachs,general_partner,5,,Broker Commission Fees / Goldman Sachs / Total Commission Fees,"Goldman Sachs 168,495",,EXTRACTED,,,RESOLVED,,
DMM_1a5c02d2df0afc4c,SRC192,,MGR_0106,HSBC Securities,HSBC Securities,general_partner,5,,Broker Commission Fees / HSBC Securities / Total Commission Fees,"HSBC Securities 105,347",,EXTRACTED,,,RESOLVED,,
DMM_fa7eb87f07aa3f4b,SRC192,,MGR_0108,Instinet,Instinet,general_partner,5,,Broker Commission Fees / Instinet / Total Commission Fees,"Instinet 249,489",,EXTRACTED,,,RESOLVED,,
DMM_11b8a21b1d7e7390,SRC192,,MGR_0109,Jefferies,Jefferies,general_partner,5,,Broker Commission Fees / Jefferies / Total Commission Fees,"Jefferies 132,304",,EXTRACTED,,,RESOLVED,,
DMM_bcf79adf94efd138,SRC192,,MGR_0112,Morgan Stanley,Morgan Stanley,general_partner,5,,Broker Commission Fees / Morgan Stanley / Total Commission Fees,"Morgan Stanley $ 408,615",,EXTRACTED,,,RESOLVED,,
DMM_9b8b20bb0d101492,SRC192,,MGR_0116,Sanford C Bernstein,Sanford C Bernstein,general_partner,5,,Broker Commission Fees / Sanford C Bernstein / Total Commission Fees,"Sanford C Bernstein 116,205",,EXTRACTED,,,RESOLVED,,
DMM_32ee8e95fa9706d8,SRC192,,MGR_0117,UBS Warburg,UBS Warburg,general_partner,5,,Broker Commission Fees / UBS Warburg / Total Commission Fees,"UBS Warburg 116,646",,EXTRACTED,,,RESOLVED,,
DMM_adfd687d472b3c14,SRC192,,MGR_0121,Utah Retirement Systems,Utah Retirement Systems,general_partner,1,,DOCUMENT,2021 Annual Comprehensive Financial Report,,EXTRACTED,,,RESOLVED,,
DMM_c585bbbc58ce0417,SRC247,,MGR_0092,Advisor,Advisor,general_partner,1,,"May 31, 2024 NAV Per Share / NAV advisor responsibility",The Advisor is ultimately responsible for determining our NAV.,,EXTRACTED,,,VERIFIED_ONE_SIDED,,
DMM_b87aa20be2d9671b,SRC247,,MGR_0107,independent valuation advisor,independent valuation advisor,general_partner,3,,UNTITLED_TABLE_1 / Independent valuation advisor review,independent valuation advisor. A change in these assumptions would impact the calculation of the value of our,,EXTRACTED,,,VERIFIED_ONE_SIDED,,
DMM_b62b45d942f4dcff,SRC339,,MGR_0115,reo® service,reo® service,general_partner,14,,"Engage / In the year from July 2024 to June 2025, reo® carried out 543 engagement activities on behalf of the CFIs, covering 352 companies in 34 countries. This included 304 engagement activities on climate change, covering 214 companies with 46 milestones achieved.","In the year from July 2024 to June 2025, reo® carried out 543 engagement activities on",,EXTRACTED,,,RESOLVED,,
DMM_4c4e829132f61cb4,SRC356,,MGR_0119,University of Texas/Texas A&M Investment Management Company (UTIMCO),University of Texas/Texas A&M Investment Management Company (UTIMCO),general_partner,2,,DOCUMENT,PERMANENT UNIVERSITY FUND,,EXTRACTED,,,RESOLVED,,
DMM_df034750f0120015,SRC375,,MGR_0120,University of Virginia Investment Management Company,University of Virginia Investment Management Company,general_partner,1,,Annual Report 2025 Highlights / DOCUMENT,University of Virginia Investment Management Company ANNUAL REPORT 2025 HIGHLIGHTS,,EXTRACTED,,,RESOLVED,,
DMM_990e730d9cbb93c0,SRC384,,MGR_0113,Office of the Chief Investment Officer of the Regents (UC Investments),Office of the Chief Investment Officer of the Regents (UC Investments),general_partner,1,,DOCUMENT,REVIEW OF THIRD QUARTER 2024–25 FISCAL YEAR PERFORMANCE FOR UC,,EXTRACTED,,,RESOLVED,,
DMM_c14e8f6b822c2c39,SRC389,,MGR_0118,University of South Carolina Foundations,University of South Carolina Foundations,general_partner,2,,USC Foundations Annual Endowment Report / DOCUMENT,USC Foundations Annual Endowment Report,,EXTRACTED,,,RESOLVED,,
DMM_ba2d9ea52e4ebe11,SRC457,,MGR_0103,Hamilton Lane,Hamilton Lane,general_partner,2,,DOCUMENT,Portfolio Snapshot,,EXTRACTED,,,RESOLVED,,
DMM_4ca4c6614d4a4af0,SRC606,,MGR_0093,Antares Capital,Antares Capital,general_partner,1,,DOCUMENT / DOCUMENT,Antares Private Credit Fund (ABDC),,EXTRACTED,,,RESOLVED,,
DMM_f05dba49e63d97b1,SRC607,,MGR_0110,"Lubert-Adler Group VII, L.P.","Lubert-Adler Group VII, L.P.",general_partner,1,,DOCUMENT / DOCUMENT,"SUBSCRIPTION MATERIALS OF LUBERT-ADLER REAL ESTATE FUND VII, L.P.",,EXTRACTED,,,RESOLVED,,
DMM_732d78aae581c8cb,SRC612,,MGR_0104,Harvest Fund Advisors LLC,Harvest Fund Advisors LLC,general_partner,1,,DOCUMENT,MANAGEMENT AGREEMENT FOR REAL ASSET,,EXTRACTED,,,RESOLVED,,
DMM_570c5a908842697c,SRC612,,MGR_0114,public markets investment advisors,public markets investment advisors,general_partner,25,,3.,"3. To report to the Board at least quarterly through the Investment Office, with the exact",,EXTRACTED,,,RESOLVED,,
