fund_id,fund_name,legal_name,fund_manager_id,fund_manager_name,strategy,sub_strategy,vintage_year,domicile,base_currency,fund_size,fund_size_currency,first_close_date,final_close_date,termination_date,fund_status,provenance_type,source_document_id,source_page,source_anchor,synthetic_parameter_set_id,record_status,created_at
FUND_0001,"Incline Equity Partners III (PSERS), L.P.",,MGR_0011,Incline Equity Partners,,,,,,,,,,,,EXTRACTED,SRC029,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0002,"Milestone Partners II, L.P.",,MGR_0012,Milestone Partners,,,,,,,,,,,,EXTRACTED,SRC029,3,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0003,"New Mountain Partners IV, L.P.",,MGR_0013,New Mountain Partners,Secondary Investments,,,,,,,,,,,EXTRACTED,SRC029,5,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0004,"Adventure Fund I, L.P.",,,,Growth Equity,,2007,,,,,,,,,EXTRACTED,SRC035,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0005,Builders VC Fund II,,,,Venture Capital,,2020,,,,,,,,,EXTRACTED,SRC035,3,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0006,"Cascade Angels Fund 2016, L.P.",,MGR_0014,Cascade Angels,Venture Capital,,2016,,,,,,,,,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0007,"Cascade Angels Fund V, LLC",,MGR_0014,Cascade Angels,Venture Capital,,2018,,,,,,,,,EXTRACTED,SRC035,3,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0008,"Cascade Seed Fund I, LLC",,MGR_0015,Cascade Seed,Venture Capital,,2019,,,,,,,,,EXTRACTED,SRC035,3,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0009,Cascade Seed Fund II,,MGR_0015,Cascade Seed,Venture Capital,,2021,,,,,,,,,EXTRACTED,SRC035,3,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0010,"DFJ Frontier Fund II, L.P.",,MGR_0016,DFJ Frontier,Venture Capital,,2007,,,,,,,,,EXTRACTED,SRC035,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0011,"Ecotrust Forests II, LLC",,MGR_0017,Ecotrust Forests,Natural Resources,,2015,,,,,,,,,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0012,Elevate Capital Fund II,,MGR_0018,Elevate Capita,Venture Capital,,2020,,,,,,,,,EXTRACTED,SRC035,3,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0013,"Endeavour Capital Fund III, L.P.",,MGR_0019,Endeavour Capita,Buyout,,2000,,,,,,,,,EXTRACTED,SRC035,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0014,"Enlightened Hospitality Investments, L.P.",,MGR_0020,Enlightened Hospitality Investments,Growth Equity,,2017,,,,,,,,,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0015,"Epic Venture Fund IV, L.P.",,MGR_0021,Epic Venture,Venture Capital,,2009,,,,,,,,,EXTRACTED,SRC035,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0016,"Epic Venture Fund V, L.P.",,MGR_0021,Epic Venture,Venture Capital,,2016,,,,,,,,,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0017,"Epic Ventures VI, L.P.",,MGR_0022,Epic Ventures,Venture Capital,,2020,,,,,,,,,EXTRACTED,SRC035,3,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0018,"Fluke Venture Partners II, L.P.",,MGR_0023,Fluke Venture Partners,Venture Capital,,2004,,,,,,,,,EXTRACTED,SRC035,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0019,"Founders' Co-op III, L.P.",,MGR_0024,Founders' Co-op,Venture Capital,,2014,,,,,,,,,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0020,"Founders’ Co-op IV, L.P.",,MGR_0024,Founders’ Co-op,Venture Capital,,2018,,,,,,,,,EXTRACTED,SRC035,3,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0021,"Goode Partners Consumer Fund III, L.P.",,MGR_0025,Goode Partners Consumer,Growth Equity,,2016,,,,,,,,,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0022,"Grain Communications Opportunity Fund III, L.P.",,MGR_0026,Grain Communications Opportunity,Infrastructure,,2021,,,,,,,,,EXTRACTED,SRC035,3,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0023,"Homestead Capital USA Farmland Fund III, L.P.",,MGR_0027,Homestead Capital USA Farmland,Natural Resources,,2018,,,,,,,,,EXTRACTED,SRC035,3,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0024,"K1 Special Opportunities Fund, L.P.",,MGR_0028,K1 Special Opportunities,Buyout,,2016,,,,,,,,,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0025,"K4 Private Investors, L.P.",,MGR_0029,K4 Private Investors,Buyout,,2018,,,,,,,,,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0026,"K5 Private Investors, L.P.",,MGR_0030,K5 Private Investors,Buyout,,2020,,,,,,,,,EXTRACTED,SRC035,3,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0027,"Madrona Venture Fund III, L.P.",,MGR_0031,Madrona Venture,Venture Capital,,2005,,,,,,,,,EXTRACTED,SRC035,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0028,"Montlake Capital II, L.P.",,MGR_0032,Montlake Capita,Growth Equity,,2007,,,,,,,,,EXTRACTED,SRC035,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0029,"Northwest Technology Ventures, L.P.",,MGR_0033,Northwest Technology Ventures,Venture Capital,,2002,,,,,,,,,EXTRACTED,SRC035,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0030,Oregon Angel Conferences 2011,,MGR_0034,Oregon Angel Conferences,Special Situations,,2011,,,,,,,,,EXTRACTED,SRC035,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0031,Oregon Angel Conferences 2012,,MGR_0034,Oregon Angel Conferences,Special Situations,,2012,,,,,,,,,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0032,Oregon Angel Conferences 2013,,MGR_0034,Oregon Angel Conferences,Special Situations,,2013,,,,,,,,,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0033,Oregon Angel Conferences 2014,,MGR_0034,Oregon Angel Conferences,Special Situations,,2014,,,,,,,,,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0034,"Oregon Angel Fund 2008, LLC",,MGR_0035,Oregon Ange,Venture Capital,,2008,,,,,,,,,EXTRACTED,SRC035,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0035,"Oregon Angel Fund 2009, LLC",,MGR_0035,Oregon Ange,Venture Capital,,2009,,,,,,,,,EXTRACTED,SRC035,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0036,"Oregon Angel Fund 2010, LLC",,MGR_0035,Oregon Ange,Venture Capital,,2010,,,,,,,,,EXTRACTED,SRC035,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0037,"Oregon Angel Fund 2011, LLC",,MGR_0035,Oregon Ange,Venture Capital,,2011,,,,,,,,,EXTRACTED,SRC035,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0038,"Oregon Angel Fund 2012, LLC",,MGR_0035,Oregon Ange,Venture Capital,,2012,,,,,,,,,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0039,"Oregon Angel Fund 2013, LLC",,MGR_0035,Oregon Ange,Venture Capital,,2013,,,,,,,,,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0040,"Oregon Angel Fund 2014, LLC",,MGR_0035,Oregon Ange,Venture Capital,,2014,,,,,,,,,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0041,"Oregon Angel Fund 2015, LLC",,MGR_0035,Oregon Ange,Venture Capital,,2015,,,,,,,,,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0042,"Oregon Angel Fund 2016, LLC",,MGR_0035,Oregon Ange,Venture Capital,,2016,,,,,,,,,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0043,"Oregon Angel Fund 2017, LLC",,MGR_0035,Oregon Ange,Venture Capital,,2017,,,,,,,,,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0044,"Oregon Venture Fund XII, LLC",,MGR_0036,Oregon Venture,Venture Capital,,2018,,,,,,,,,EXTRACTED,SRC035,3,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0045,"OVP Venture Partners VII, L.P.",,MGR_0037,OVP Venture Partners,Venture Capital,,2006,,,,,,,,,EXTRACTED,SRC035,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0046,"Phoenix Venture Partners II, L.P.",,MGR_0038,Phoenix Venture Partners,Venture Capital,,2016,,,,,,,,,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0047,"Phoenix Venture Partners III, L.P.",,MGR_0038,Phoenix Venture Partners,Venture Capital,,2019,,,,,,,,,EXTRACTED,SRC035,3,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0048,"Phoenix Venture Partners, L.P.",,MGR_0038,Phoenix Venture Partners,Venture Capital,,2011,,,,,,,,,EXTRACTED,SRC035,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0049,Pioneer Square Ventures Fund II,,MGR_0039,Pioneer Square Ventures,Venture Capital,,2020,,,,,,,,,EXTRACTED,SRC035,3,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0050,"Pivotal Investments Partners Fund I, L.P.",,MGR_0040,Pivotal Investments Partners,Venture Capital,,2009,,,,,,,,,EXTRACTED,SRC035,1,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0051,"Portland Seed Fund I, L.P.",,MGR_0041,Portland Seed,Venture Capital,,2011,,,,,,,,,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
FUND_0052,"Portland Seed Fund II, L.P.",,MGR_0041,Portland Seed,Venture Capital,,2014,,,,,,,,,EXTRACTED,SRC035,2,,,ACTIVE,2026-08-10T23:57:56Z
