position_id,source_holding_id,owner_id,owner_fund_id,instrument_id,position_class,accounting_scope,date_role,date_raw,date_precision,as_of_date,report_date,period_start_date,period_end_date,effective_date,quantity_raw,quantity,quantity_unit,currency,cost,fair_value,market_value,reported_value,realized_proceeds,commitment,unfunded_commitment,principal_amount,notional_amount,fund_ownership_fraction,portfolio_weight_fraction,initial_investment_date,exit_date,classification_confidence,classification_confidence_basis,classification_confidence_reason,provenance_type,origin_type,source_document_id,source_page,source_anchor,synthetic_parameter_set_id,record_status
POS_SOURCE_013F09FCFBA66EFCB1C0,3692cf482bfc7c3fc190,OWNER_POMONA_INVESTMENT_FUND,,INSTR_SOURCE_013F09FCFBA66EFCB1C0,FUND_INTEREST,portfolio_total,as_of,"December 31, 2025",day,2025-12-31,,,,,,,,USD,3990815,11279219,,,,,,,,,,,,HIGH,source_holding=3692cf482bfc7c3fc190; owner_decision=OWNMAP008,Reviewed source identity resolves the held name to a fund.,EXTRACTED,SOURCE_NORMALIZED,SRC407,1,"Investcorp Aspen Offshore Fund, L.P.(d) Rest of World 07/01/2019 3,990,815 11,279,219",,ACTIVE
POS_SOURCE_01C416CF1FC327A19A90,660f553dbf62eec94224,OWNER_UTAH_RETIREMENT_INVESTMENT_FUND,,INSTR_SOURCE_01C416CF1FC327A19A90,DEBT_INVESTMENT,portfolio_total,as_of,"December 31, 2021",day,2021-12-31,,,,,,,,USD,,34702071,,,,,,,28790000,,,,,LOW,source_holding=660f553dbf62eec94224; owner_decision=OWNMAP003,The printed row is a security title; the current company alias is not treated as issuer identity.,EXTRACTED,SOURCE_NORMALIZED,SRC192,5,"28,790,000 34,702,071",,ACTIVE
POS_SOURCE_0306840504858087D0D4,63e2085b4b81684294d4,OWNER_UTAH_RETIREMENT_INVESTMENT_FUND,,INSTR_SOURCE_0306840504858087D0D4,DEBT_INVESTMENT,portfolio_total,as_of,"December 31, 2021",day,2021-12-31,,,,,,,,USD,,32818434,,,,,,,31681960,,,,,LOW,source_holding=63e2085b4b81684294d4; owner_decision=OWNMAP003,The printed row is a security title; the current company alias is not treated as issuer identity.,EXTRACTED,SOURCE_NORMALIZED,SRC192,5,"31,681,960 32,818,434",,ACTIVE
POS_SOURCE_03DC689BF2CE1A13DA26,9e574362df9127e34827,OWNER_POMONA_INVESTMENT_FUND,,INSTR_SOURCE_03DC689BF2CE1A13DA26,FUND_INTEREST,portfolio_total,as_of,"December 31, 2025",day,2025-12-31,,,,,,,,USD,1177910,179841,,,,,,,,,,,,HIGH,source_holding=9e574362df9127e34827; owner_decision=OWNMAP008,Reviewed source identity resolves the held name to a fund.,EXTRACTED,SOURCE_NORMALIZED,SRC407,2,"Berkshire Fund VII, L.P.(d)(f)(g) North America 12/31/2018 1,177,910 179,841",,ACTIVE
POS_SOURCE_0551C3C518C35977B908,f7b9494337eeae986f0e,OWNER_POMONA_INVESTMENT_FUND,,INSTR_SOURCE_0551C3C518C35977B908,FUND_INTEREST,portfolio_total,as_of,"December 31, 2025",day,2025-12-31,,,,,,,,USD,3915482,361,,,,,,,,,,,,HIGH,source_holding=f7b9494337eeae986f0e; owner_decision=OWNMAP008,Reviewed source identity resolves the held name to a fund.,EXTRACTED,SOURCE_NORMALIZED,SRC407,4,"Icon Partners III, L.P.(f)(g) North America 03/19/2021 3,915,482 361",,ACTIVE
POS_SOURCE_061C711F4B8AE9B0C40A,9feae2e60be3551d4072,OWNER_POMONA_INVESTMENT_FUND,,INSTR_SOURCE_061C711F4B8AE9B0C40A,FUND_INTEREST,portfolio_total,as_of,"December 31, 2025",day,2025-12-31,,,,,,,,USD,467090,61553,,,,,,,,,,,,HIGH,source_holding=9feae2e60be3551d4072; owner_decision=OWNMAP008,Reviewed source identity resolves the held name to a fund.,EXTRACTED,SOURCE_NORMALIZED,SRC407,6,"Sun Capital Partners V, L.P.(g) North America 12/31/2018 467,090 61,553",,ACTIVE
POS_SOURCE_063D5739DC8E3E2EDE22,78ab23cc391aa98b5b34,OWNER_POMONA_INVESTMENT_FUND,,INSTR_SOURCE_063D5739DC8E3E2EDE22,FUND_INTEREST,portfolio_total,as_of,"December 31, 2025",day,2025-12-31,,,,,,,,USD,777423,188855,,,,,,,,,,,,HIGH,source_holding=78ab23cc391aa98b5b34; owner_decision=OWNMAP008,Reviewed source identity resolves the held name to a fund.,EXTRACTED,SOURCE_NORMALIZED,SRC407,5,"Lovell Minnick Equity Partners III LP(d)(f) North America 06/30/2021 777,423 188,855",,ACTIVE
POS_SOURCE_09083C36E2F1940112B7,4146e96ebde0c5b53893,OWNER_POMONA_INVESTMENT_FUND,,INSTR_SOURCE_09083C36E2F1940112B7,FUND_INTEREST,portfolio_total,as_of,"December 31, 2025",day,2025-12-31,,,,,,,,USD,27252856,41975173,,,,,,,,,,,,HIGH,source_holding=4146e96ebde0c5b53893; owner_decision=OWNMAP008,Reviewed source identity resolves the held name to a fund.,EXTRACTED,SOURCE_NORMALIZED,SRC407,5,"Norwest Mezzanine Partners IV(f)(g) North America 09/29/2023 27,252,856 41,975,173",,ACTIVE
POS_SOURCE_094D921705C85505475B,4997674d9ee7913b4ec2,OWNER_POMONA_INVESTMENT_FUND,,INSTR_SOURCE_094D921705C85505475B,DERIVATIVE,portfolio_total,as_of,"December 31, 2025",day,2025-12-31,,,,,,,,USD,,-502856,,,,,,,604219,,,,,HIGH,source_holding=4997674d9ee7913b4ec2; owner_decision=OWNMAP008,Named derivative counterparty.,EXTRACTED,SOURCE_NORMALIZED,SRC407,7,"8/18/2026 Nomura Global Financial Products Inc. $ 604,219 $ 49.38 $ (502,856)",,ACTIVE
POS_SOURCE_096A0C5E0CF7FDF2F65E,dfd56197663f427330fc,OWNER_POMONA_INVESTMENT_FUND,,INSTR_SOURCE_096A0C5E0CF7FDF2F65E,FUND_INTEREST,portfolio_total,as_of,"December 31, 2025",day,2025-12-31,,,,,,,,USD,23354865,24263833,,,,,,,,,,,,HIGH,source_holding=dfd56197663f427330fc; owner_decision=OWNMAP008,Reviewed source identity resolves the held name to a fund.,EXTRACTED,SOURCE_NORMALIZED,SRC407,6,"The Resolute III Continuation Fund, L.P.(d)(f)(g) North America 09/20/2024 23,354,865 24,263,833",,ACTIVE
