lineage_id,record_type,record_id,field_name,value_raw,normalized_value,provenance_type,origin_type,source_holding_id,source_observation_id,source_document_id,source_sha256,source_page,source_table,source_row_label,source_column_label,source_occurrence,evidence_quote,definition_keys,pair_id,pair_status,adjudication_status,source_agents,source_review_decision_id,formula_id,parent_lineage_ids,matrix_rule_id,confidence_level,confidence_basis,effective_date,available_at,synthetic_parameter_set_id,notes
HFL_0008E82E0B6C3CCEBE2C,TARGET,TARGET_CO_0021,target_kind,investment,COUNTERPARTY,DERIVED,MATRIX_NORMALIZATION,37506e97af4b8bec16e8,33d0bdde2d9e29b74231,SRC407,42fd3fd5192cd82559b79a6adfdcdbf321ee96ab2925a30c3f3513e2aabdc3b6,7,Open Equity Forward Contracts,Nomura Global Financial Products Inc.,Unrealized Appreciation (Depreciation),2,"8/18/2027 Nomura Global Financial Products Inc. $ 827,714 $ 49.38 $ (654,668)",,PAIR_90B213041C432BAE4A0B8AAA,VALUE_CONFLICT,RESOLVED,A+B+ADJUDICATOR,,,,NORMALIZED_HOLDING_CLASS_V2,HIGH,Named derivative counterparty.,,,,
HFL_0009D6254A3AB764A565,INSTRUMENT,INSTR_SOURCE_6AED2D41FA084AA5CBCB,instrument_kind,Private Equity,FUND_INTEREST,DERIVED,MATRIX_NORMALIZATION,401743ad95958afb84e6,7a259a7910ab848aab8d,SRC356,bce1cc0f3cc4e5824307fdad05b63b448110f6218011c115af879665eca07ba5,5,Economically Targeted Investments,PBC AUSTIN 2021 EQUITY I LP,Market Value,1,"PBC AUSTIN 2021 EQUITY I LP 11,329,393",SCOPE:PROPORTIONATE SHARE,PAIR_472D011BD79A1C121397A55F,CLASSIFICATION_CONFLICT,RESOLVED,A+B+ADJUDICATOR,,,,NORMALIZED_HOLDING_CLASS_V2,HIGH,Reviewed source identity resolves the held name to a fund.,,,,
HFL_000E2C5D596F794C7E07,INSTRUMENT,INSTR_SOURCE_771A5964B733C9899FEC,instrument_kind,Private Equity Investments,FUND_INTEREST,DERIVED,MATRIX_NORMALIZATION,24d24c9ae19f530a4317,0d22383966a52b1a2226,SRC407,42fd3fd5192cd82559b79a6adfdcdbf321ee96ab2925a30c3f3513e2aabdc3b6,3,Consolidated Schedule of Investments,"Clearlake Opportunities Partners (P-Offshore), L.P.",Cost,1,"Clearlake Opportunities Partners (P-Offshore), L.P.(f) North America 12/31/2019 654,760 663,189",,PAIR_B8E2006CF90AEAE14FA5E422,CONTEXT_CONFLICT,RESOLVED,A+B+ADJUDICATOR,,,,NORMALIZED_HOLDING_CLASS_V2,HIGH,Reviewed source identity resolves the held name to a fund.,,,,
HFL_001748C659EFD4714E4D,POSITION,POS_SOURCE_431A86B02868013FF90D,position_class,fund,FUND_INTEREST,DERIVED,MATRIX_NORMALIZATION,2b2b1a132243b410a029,2624fcb001e1fca6cd8a,SRC407,42fd3fd5192cd82559b79a6adfdcdbf321ee96ab2925a30c3f3513e2aabdc3b6,4,Consolidated Schedule of Investments,"GSO Private Investors Offshore II, L.P.",Cost,1,"GSO Private Investors Offshore II, L.P.(f) North America 06/30/2017 197,243 35,956",,PAIR_2C2DC7B7B73DA5272DC0A3FF,CONTEXT_CONFLICT,RESOLVED,A+B+ADJUDICATOR,,,,NORMALIZED_HOLDING_CLASS_V2,HIGH,Reviewed source identity resolves the held name to a fund.,,,,
HFL_001796DEE864DFA8510B,POSITION,POS_SOURCE_9C3D525A6AAEB4118665,position_class,fund,FUND_INTEREST,DERIVED,MATRIX_NORMALIZATION,0b80abc273fc74c5ee6e,21783c206e698eaa5e95,SRC407,42fd3fd5192cd82559b79a6adfdcdbf321ee96ab2925a30c3f3513e2aabdc3b6,3,Consolidated Schedule of Investments,CVC Capital Partners VII (A) L.P.,Fair Value,1,"CVC Capital Partners VII (A) L.P.(f)(g) Europe 08/18/2022 2,231,840 2,980,242",,PAIR_11DDFB1BA68ED858D297373E,CONTEXT_CONFLICT,RESOLVED,A+B+ADJUDICATOR,,,,NORMALIZED_HOLDING_CLASS_V2,HIGH,Reviewed source identity resolves the held name to a fund.,,,,
HFL_0038823992D2741BF0DF,POSITION,POS_SOURCE_97CCFB0862C6427BB6A0,position_class,fund,FUND_INTEREST,DERIVED,MATRIX_NORMALIZATION,cc0e8e7cee23974b8e1d,71c622e7f93552e78d9d,SRC407,42fd3fd5192cd82559b79a6adfdcdbf321ee96ab2925a30c3f3513e2aabdc3b6,5,Consolidated Schedule of Investments,"Lee Equity Partners Fund II, L.P.",Cost,1,"Lee Equity Partners Fund II, L.P.(d)(f)(g) North America 03/28/2024 7,676,157 3,729,595",,PAIR_065D0495285299568EFB37FE,CONTEXT_CONFLICT,RESOLVED,A+B+ADJUDICATOR,,,,NORMALIZED_HOLDING_CLASS_V2,HIGH,Reviewed source identity resolves the held name to a fund.,,,,
HFL_003F0E0B53BD684AFD0A,INSTRUMENT,INSTR_SOURCE_C426A9FB13CA4724DEF3,instrument_kind,Private Equity Investments,FUND_INTEREST,DERIVED,MATRIX_NORMALIZATION,e2144fa6f4e7664be9e9,7ad4b585d3f914ae66e9,SRC407,42fd3fd5192cd82559b79a6adfdcdbf321ee96ab2925a30c3f3513e2aabdc3b6,5,Consolidated Schedule of Investments,Permira IV Feeder L.P.,Cost,1,"Permira IV Feeder L.P.(f)(g) North America 04/23/2020 3,367,755 7,038,173",,PAIR_65824EE1221ADA0D7FCBA55B,CONTEXT_CONFLICT,RESOLVED,A+B+ADJUDICATOR,,,,NORMALIZED_HOLDING_CLASS_V2,HIGH,Reviewed source identity resolves the held name to a fund.,,,,
HFL_0050BFD3448E5AA99E4C,POSITION,POS_SOURCE_583087ECE96C925242C1,cost,"984,319",984319,EXTRACTED,DIRECT_SOURCE,7b7274aaa08acdf5edb2,2b53751937690dc76e7b,SRC407,42fd3fd5192cd82559b79a6adfdcdbf321ee96ab2925a30c3f3513e2aabdc3b6,2,Consolidated Schedule of Investments,BC European Capital X-7 LP,Cost,1,"BC European Capital X-7 LP(f)(g) Europe 03/28/2024 984,319 904,794",,PAIR_0395942869BA81FD9C5C2EF9,CONTEXT_CONFLICT,RESOLVED,A+B+ADJUDICATOR,,,,,HIGH,Accepted source observation,,,,
HFL_0089E213FFDB77387547,POSITION,POS_SOURCE_7236C9EA03C74DCFF50C,fair_value,"133,480",133480,EXTRACTED,DIRECT_SOURCE,653146d2ff0e2cb69b92,5444beec7eaaa900b103,SRC407,42fd3fd5192cd82559b79a6adfdcdbf321ee96ab2925a30c3f3513e2aabdc3b6,3,Consolidated Schedule of Investments,"Equistone Partners Europe Fund IV ""E"" L.P.",Fair Value,1,"Equistone Partners Europe Fund IV ""E"" L.P.(f)(g) Europe 12/31/2021 443,182 133,480",,PAIR_DE3FBA1CA85ED449704502FB,CONTEXT_CONFLICT,RESOLVED,A+B+ADJUDICATOR,,,,,HIGH,Accepted source observation,,,,
HFL_008CAD9CB905D6514EA3,INSTRUMENT,INSTR_SOURCE_10D5BB6BE9BDC1C86A0D,instrument_kind,Private Equity Investments,FUND_INTEREST,DERIVED,MATRIX_NORMALIZATION,1c3fac71242bfc33b10f,330741bf3fa89e37d2a5,SRC407,42fd3fd5192cd82559b79a6adfdcdbf321ee96ab2925a30c3f3513e2aabdc3b6,2,Consolidated Schedule of Investments,Apax IX USD L.P.,Fair Value,1,"Apax IX USD L.P.(f)(g) Europe 10/19/2023 12,913,267 9,743,693",,PAIR_B5D67A6D4AE49EF4CF59D638,CONTEXT_CONFLICT,RESOLVED,A+B+ADJUDICATOR,,,,NORMALIZED_HOLDING_CLASS_V2,HIGH,Reviewed source identity resolves the held name to a fund.,,,,
HFL_00C4F8DD680A87B95CA9,POSITION,POS_SOURCE_667321BDC3DDFCE9D7F8,position_class,fund,FUND_INTEREST,DERIVED,MATRIX_NORMALIZATION,bd66581b2243460bdf2f,7abc0e253cab18ecf56a,SRC407,42fd3fd5192cd82559b79a6adfdcdbf321ee96ab2925a30c3f3513e2aabdc3b6,1,Consolidated Schedule of Investments,"ABS Capital Partners IX, L.P.",Fair Value,1,"ABS Capital Partners IX, L.P.(d)(f)(g) North America 03/25/2024 1,335,119 1,550,645",,PAIR_505002B20D66C0E8C66F5556,CONTEXT_CONFLICT,RESOLVED,A+B+ADJUDICATOR,,,,NORMALIZED_HOLDING_CLASS_V2,HIGH,Reviewed source identity resolves the held name to a fund.,,,,
HFL_00D58D43AA458B67CB31,INSTRUMENT,INSTR_SOURCE_C87286C0D94D89E8EB44,instrument_kind,Private Equity,FUND_INTEREST,DERIVED,MATRIX_NORMALIZATION,fbb0fbe0cc321f7e4a4e,4f3b922c742ac2a7dd9f,SRC356,bce1cc0f3cc4e5824307fdad05b63b448110f6218011c115af879665eca07ba5,5,Economically Targeted Investments,PENNYBACKER IV LP,Market Value,1,"PENNYBACKER IV LP 11,717,776",SCOPE:PROPORTIONATE SHARE,PAIR_0849EE4BC86F3AEED5F856F2,CLASSIFICATION_CONFLICT,RESOLVED,A+B+ADJUDICATOR,,,,NORMALIZED_HOLDING_CLASS_V2,HIGH,Reviewed source identity resolves the held name to a fund.,,,,
HFL_00F7149FB76B0D86434B,POSITION,POS_SOURCE_441C8A13014A5D690FC8,cost,"1,732,114",1732114,EXTRACTED,DIRECT_SOURCE,866e6ab9d2c79157c8b6,583ebf16bed8e0be43f9,SRC407,42fd3fd5192cd82559b79a6adfdcdbf321ee96ab2925a30c3f3513e2aabdc3b6,5,Consolidated Schedule of Investments,"Littlejohn Fund IV, L.P.",Cost,1,"Littlejohn Fund IV, L.P.(f)(g) North America 12/31/2015 1,732,114 92,751",,PAIR_63E87131B1B957EC10BED2D4,CONTEXT_CONFLICT,RESOLVED,A+B+ADJUDICATOR,,,,,HIGH,Accepted source observation,,,,
HFL_010DD5EAC2AA35CB78DB,INSTRUMENT,INSTR_SOURCE_3B45275677F94DF55D94,instrument_kind,Private Equity Investments,FUND_INTEREST,DERIVED,MATRIX_NORMALIZATION,6261956fcdcfab1d9c3a,650f25b4fdeffb81f62e,SRC407,42fd3fd5192cd82559b79a6adfdcdbf321ee96ab2925a30c3f3513e2aabdc3b6,6,Consolidated Schedule of Investments,"SL SPV-2, L.P.",Cost,1,"SL SPV-2, L.P. North America 02/14/2019 315,873 624,544",,PAIR_1FFFFFF4023B1BD4AAE7FC60,CONTEXT_CONFLICT,RESOLVED,A+B+ADJUDICATOR,,,,NORMALIZED_HOLDING_CLASS_V2,HIGH,Reviewed source identity resolves the held name to a fund.,,,,
HFL_0116DCDF8B27D6C5FB19,POSITION,POS_SOURCE_B34FEF2ED6DF86DE6F0C,fair_value,"2,332,344",2332344,EXTRACTED,DIRECT_SOURCE,6c85ad87fdd179457c3a,147702f5981464f7b1f1,SRC407,42fd3fd5192cd82559b79a6adfdcdbf321ee96ab2925a30c3f3513e2aabdc3b6,1,Consolidated Schedule of Investments,"Vista Equity Partners Fund VIII-A, L.P.",Fair Value,1,"Vista Equity Partners Fund VIII-A, L.P.(d)(f)(g) North America 04/27/2022 1,792,488 2,332,344",,PAIR_A7DDEEBF485CE60B8C1440F6,CONTEXT_CONFLICT,RESOLVED,A+B+ADJUDICATOR,,,,,HIGH,Accepted source observation,,,,
HFL_011B73AE830DCCC954F9,POSITION,POS_SOURCE_2DD712984499811AFA3F,position_class,fund,FUND_INTEREST,DERIVED,MATRIX_NORMALIZATION,a43ae3169e80cbc2ca1a,6c8e7fcb858a08295888,SRC407,42fd3fd5192cd82559b79a6adfdcdbf321ee96ab2925a30c3f3513e2aabdc3b6,6,Consolidated Schedule of Investments,"Samson Hockey 2, L.P.",Fair Value,1,"Samson Hockey 2, L.P.(d) North America 12/23/2020 904,969 2,020,745",,PAIR_8A36DFAFA349D1B4ACFDE208,CONTEXT_CONFLICT,RESOLVED,A+B+ADJUDICATOR,,,,NORMALIZED_HOLDING_CLASS_V2,HIGH,Reviewed source identity resolves the held name to a fund.,,,,
