"contract_version","file_id","source_sha256","canonical_doc_type","route","product_tier","agent_role","record_family","source_page","source_structure_type","source_section","source_table","source_row_label","source_column_label","source_occurrence","subject_type","subject_name","asset_class","strategy","geography","manager_name","investor_name","portfolio_name","vintage_year","period_start","period_end","as_of_date","horizon","currency_scale","metric_category","metric_name","metric_value_raw","unit","term_category","text_raw","basis_raw","condition_raw","evidence_quote","evidence_class","notes","source_agents","adjudication_status"
"2026-08-22.2","SRC384","b2e06d492dceca8b867aac1fe20a93724668dd623d6f3a714882afac32b4c59e","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","document_context","1","DOCUMENT","EXECUTIVE SUMMARY","","DOCUMENT","","1","document","REVIEW OF THIRD QUARTER 2024–25 FISCAL YEAR PERFORMANCE FOR UC RETIREMENT, ENDOWMENT, AND WORKING CAPITAL ASSETS","","","","Office of the Chief Investment Officer of the Regents (UC Investments)","University of California","","","","","March 31, 2025","","","","","","","","","","","REVIEW OF THIRD QUARTER 2024–25 FISCAL YEAR PERFORMANCE FOR UC","actual","","A+B+ADJUDICATOR","RESOLVED"
"2026-08-22.2","SRC384","b2e06d492dceca8b867aac1fe20a93724668dd623d6f3a714882afac32b4c59e","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","fund_economics_observation","1","NARRATIVE","EXECUTIVE SUMMARY","EXECUTIVE SUMMARY","UC endowment","","3","portfolio","UC endowment","","","","","","","","","","March 31, 2025","the past 11 years","billion","distribution","paid out","$4.5","","","","","","billion to $30 billion—and paid out $4.5 billion to support UC students, faculty, and various","actual","","ADJUDICATOR","ADDED"
"2026-08-22.2","SRC384","b2e06d492dceca8b867aac1fe20a93724668dd623d6f3a714882afac32b4c59e","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","performance_observation","1","NARRATIVE","EXECUTIVE SUMMARY","EXECUTIVE SUMMARY","Blue and Gold Endowment Pool","","1","portfolio","Blue and Gold Endowment Pool","","","","","","","","","","March 31, 2025","","billion","aum","stood at","$6.5","","","","","","stood at $6.5 billion as of March 31, 2025, down from $6.9 billion in the prior fiscal year.","actual","","A+B+ADJUDICATOR","RESOLVED"
"2026-08-22.2","SRC384","b2e06d492dceca8b867aac1fe20a93724668dd623d6f3a714882afac32b4c59e","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","performance_observation","1","NARRATIVE","EXECUTIVE SUMMARY","EXECUTIVE SUMMARY","Blue and Gold Endowment Pool","","2","portfolio","Blue and Gold Endowment Pool","","","","","","","","","","March 31, 2019","","million","aum","launched with","$250","","","","","","The Blue and Gold Endowment Pool, which was launched on March 31, 2019 with $250 million,","actual","","ADJUDICATOR","ADDED"
"2026-08-22.2","SRC384","b2e06d492dceca8b867aac1fe20a93724668dd623d6f3a714882afac32b4c59e","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","performance_observation","1","NARRATIVE","EXECUTIVE SUMMARY","EXECUTIVE SUMMARY","pension","","1","portfolio","pension","","","","","","","","","","March 31, 2025","third quarter of the 2024–25 fiscal year","","return","return","3.6","%","","","","","was up 4.2 percent, while the pension returned 3.6 percent and working capital returned","actual","","A+B+ADJUDICATOR","RESOLVED"
"2026-08-22.2","SRC384","b2e06d492dceca8b867aac1fe20a93724668dd623d6f3a714882afac32b4c59e","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","performance_observation","1","NARRATIVE","EXECUTIVE SUMMARY","EXECUTIVE SUMMARY","pension","","2","portfolio","pension","","","","","","","","","","March 31, 2025","","billion","aum","grew to","$101.8","","","","","","billion to $101.8 billion as of March 31, 2025.","actual","","A+B+ADJUDICATOR","RESOLVED"
"2026-08-22.2","SRC384","b2e06d492dceca8b867aac1fe20a93724668dd623d6f3a714882afac32b4c59e","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","performance_observation","1","NARRATIVE","EXECUTIVE SUMMARY","EXECUTIVE SUMMARY","UC endowment","","1","portfolio","UC endowment","","","","","","","","","","March 31, 2025","third quarter of the 2024–25 fiscal year","","return","return","4.2","%","","","","","was up 4.2 percent, while the pension returned 3.6 percent and working capital returned","actual","","A+B+ADJUDICATOR","RESOLVED"
"2026-08-22.2","SRC384","b2e06d492dceca8b867aac1fe20a93724668dd623d6f3a714882afac32b4c59e","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","performance_observation","1","NARRATIVE","EXECUTIVE SUMMARY","EXECUTIVE SUMMARY","UC endowment","","2","portfolio","UC endowment","","","","","","","","","","March 31, 2025","","billion","aum","stood at","$29.8","","","","","","Blue and Gold Endowment Pool, stood at $29.8 billion, up from $29.5 billion in the prior fiscal","actual","","A+B+ADJUDICATOR","RESOLVED"
"2026-08-22.2","SRC384","b2e06d492dceca8b867aac1fe20a93724668dd623d6f3a714882afac32b4c59e","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","performance_observation","1","NARRATIVE","EXECUTIVE SUMMARY","EXECUTIVE SUMMARY","UC Retirement Savings Program","","1","portfolio","UC Retirement Savings Program","","","","","","","","","","March 31, 2025","","billion","aum","growing to","$40","","","","","","growing from $19.8 billion to $40 billion. The plan is the second largest public defined","actual","","A+B+ADJUDICATOR","RESOLVED"
"2026-08-22.2","SRC384","b2e06d492dceca8b867aac1fe20a93724668dd623d6f3a714882afac32b4c59e","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","performance_observation","1","NARRATIVE","EXECUTIVE SUMMARY","EXECUTIVE SUMMARY","UC's retirement assets","","1","portfolio","UC's retirement assets","","","","","","","","","","March 31, 2025","","billion","aum","stand at","$141.8","","","","","","currently stand at $141.8 billion, having grown from $71.9 billion in 2014. Over those eleven","actual","","A+B+ADJUDICATOR","RESOLVED"
