"contract_version","file_id","source_sha256","canonical_doc_type","route","product_tier","agent_role","record_family","source_page","source_structure_type","source_section","source_table","source_row_label","source_column_label","source_occurrence","subject_type","subject_name","asset_class","strategy","geography","manager_name","investor_name","portfolio_name","vintage_year","period_start","period_end","as_of_date","horizon","currency_scale","metric_category","metric_name","metric_value_raw","unit","term_category","text_raw","basis_raw","condition_raw","evidence_quote","evidence_class","notes","source_agents","adjudication_status","definition_keys","method","fee_basis","value_scope","sector"
"2026-08-22.2","SRC151","5cc8128360b5ed8c4cc0ad7d9f9b52cb19de87d105ed8a745ffd0db6e53373e3","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","ADJUDICATED","document_context","3","DOCUMENT","GLASS LEWIS","","DOCUMENT","","1","document","2017 PROXY SEASON REVIEW & 2018 PREVIEW","","","","Glass Lewis","","","","","","","","","","","","","","","","","GLASS LEWIS","actual","document title as printed on page 1; row filed on the page both lanes cited","A+B+ADJUDICATOR","RESOLVED","","","","",""
"2026-08-22.2","SRC151","5cc8128360b5ed8c4cc0ad7d9f9b52cb19de87d105ed8a745ffd0db6e53373e3","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","ADJUDICATED","stewardship_observation","3","NARRATIVE","GLASS LEWIS","Glass Lewis clients","1,200+ clients with US$35 trillion in assets.","","1","service_provider","Glass Lewis","","","","","","","","","","","","","coverage","clients","1,200+","clients","","","","","1,200+ clients with US$35 trillion in assets.","actual","client coverage","B+ADJUDICATOR","RESOLVED","","","","",""
"2026-08-22.2","SRC151","5cc8128360b5ed8c4cc0ad7d9f9b52cb19de87d105ed8a745ffd0db6e53373e3","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","ADJUDICATED","stewardship_observation","3","NARRATIVE","GLASS LEWIS","Glass Lewis clients","1,200+ clients with US$35 trillion in assets.","","2","service_provider","Glass Lewis","","","","","","","","","","","","trillion","aum","assets","US$35","","","","Glass Lewis clients","","1,200+ clients with US$35 trillion in assets.","actual","client assets","B+ADJUDICATOR","RESOLVED","","","","client_population",""
"2026-08-22.2","SRC151","5cc8128360b5ed8c4cc0ad7d9f9b52cb19de87d105ed8a745ffd0db6e53373e3","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","ADJUDICATED","stewardship_observation","3","NARRATIVE","GLASS LEWIS","Glass Lewis clients","Majority of world’s largest pensions, mutual funds and asset managers including 9 of the 15 largest pensions in the United States.","","1","service_provider","Glass Lewis","","","","","","","","","","","","","coverage","largest pensions in the United States","9 of the 15","pensions","","","","","9 of the 15 largest pensions in the United States.","actual","client coverage","B+ADJUDICATOR","RESOLVED","","","","",""
"2026-08-22.2","SRC151","5cc8128360b5ed8c4cc0ad7d9f9b52cb19de87d105ed8a745ffd0db6e53373e3","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","ADJUDICATED","stewardship_observation","3","NARRATIVE","GLASS LEWIS","Research and policy","Guarantee recommendations on 20,000+ companies across 100 countries","","1","service_provider","Glass Lewis","","","","","","","","","","","","","coverage","companies","20,000+","companies","","","","","Guarantee recommendations on 20,000+ companies across 100 countries","actual","recommendation coverage","B+ADJUDICATOR","RESOLVED","","","","",""
"2026-08-22.2","SRC151","5cc8128360b5ed8c4cc0ad7d9f9b52cb19de87d105ed8a745ffd0db6e53373e3","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","ADJUDICATED","stewardship_observation","3","NARRATIVE","GLASS LEWIS","Research and policy","Guarantee recommendations on 20,000+ companies across 100 countries","","2","service_provider","Glass Lewis","","","","","","","","","","","","","coverage","countries","100","countries","","","","","Guarantee recommendations on 20,000+ companies across 100 countries","actual","geographic coverage","B+ADJUDICATOR","RESOLVED","","","","",""
"2026-08-22.2","SRC151","5cc8128360b5ed8c4cc0ad7d9f9b52cb19de87d105ed8a745ffd0db6e53373e3","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","ADJUDICATED","stewardship_observation","4","NARRATIVE","ENGAGEMENT & EMPHASIS ON STEWARDSHIP","Engagement is a growing focus for investors","In last 18 months Glass Lewis analysts have engaged with over 4,500 companies, including formal meetings with approximately 1,500.","","1","service_provider","Glass Lewis","","","","","","","","","","","last 18 months","","engagement_count","companies engaged","over 4,500","companies","","","","","In last 18 months Glass Lewis analysts have engaged with over 4,500 companies, including formal meetings with approximately 1,500.","actual","engagement activity","B+ADJUDICATOR","RESOLVED","","","","",""
"2026-08-22.2","SRC151","5cc8128360b5ed8c4cc0ad7d9f9b52cb19de87d105ed8a745ffd0db6e53373e3","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","ADJUDICATED","stewardship_observation","4","NARRATIVE","ENGAGEMENT & EMPHASIS ON STEWARDSHIP","Engagement is a growing focus for investors","In last 18 months Glass Lewis analysts have engaged with over 4,500 companies, including formal meetings with approximately 1,500.","","2","service_provider","Glass Lewis","","","","","","","","","","","last 18 months","","meeting_count","formal meetings","approximately 1,500","meetings","","","","","In last 18 months Glass Lewis analysts have engaged with over 4,500 companies, including formal meetings with approximately 1,500.","actual","engagement activity","B+ADJUDICATOR","RESOLVED","","","","",""
"2026-08-22.2","SRC151","5cc8128360b5ed8c4cc0ad7d9f9b52cb19de87d105ed8a745ffd0db6e53373e3","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","ADJUDICATED","stewardship_observation","7","FIGURE","2017 SHAREHOLDER PROPOSALS BY CATEGORY","2017 SHAREHOLDER PROPOSALS BY CATEGORY","Compensation","","1","other_printed_scope","2017 SHAREHOLDER PROPOSALS BY CATEGORY","","","","","","","","","2017","","","","coverage","Compensation","12%","%","","","","","2017 SHAREHOLDER PROPOSALS BY CATEGORY","actual","IMAGE_ONLY: chart label; shareholder proposal category proportion","B+ADJUDICATOR","RESOLVED","","","","",""
"2026-08-22.2","SRC151","5cc8128360b5ed8c4cc0ad7d9f9b52cb19de87d105ed8a745ffd0db6e53373e3","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","ADJUDICATED","stewardship_observation","7","FIGURE","2017 SHAREHOLDER PROPOSALS BY CATEGORY","2017 SHAREHOLDER PROPOSALS BY CATEGORY","Environmental","","1","other_printed_scope","2017 SHAREHOLDER PROPOSALS BY CATEGORY","","","","","","","","","2017","","","","coverage","Environmental","15%","%","","","","","2017 SHAREHOLDER PROPOSALS BY CATEGORY","actual","IMAGE_ONLY: chart label; shareholder proposal category proportion","B+ADJUDICATOR","RESOLVED","","","","",""
"2026-08-22.2","SRC151","5cc8128360b5ed8c4cc0ad7d9f9b52cb19de87d105ed8a745ffd0db6e53373e3","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","ADJUDICATED","stewardship_observation","7","FIGURE","2017 SHAREHOLDER PROPOSALS BY CATEGORY","2017 SHAREHOLDER PROPOSALS BY CATEGORY","Governance","","1","other_printed_scope","2017 SHAREHOLDER PROPOSALS BY CATEGORY","","","","","","","","","2017","","","","coverage","Governance","47%","%","","","","","2017 SHAREHOLDER PROPOSALS BY CATEGORY","actual","IMAGE_ONLY: chart label; shareholder proposal category proportion","B+ADJUDICATOR","RESOLVED","","","","",""
"2026-08-22.2","SRC151","5cc8128360b5ed8c4cc0ad7d9f9b52cb19de87d105ed8a745ffd0db6e53373e3","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","ADJUDICATED","stewardship_observation","7","FIGURE","2017 SHAREHOLDER PROPOSALS BY CATEGORY","2017 SHAREHOLDER PROPOSALS BY CATEGORY","Other","","1","other_printed_scope","2017 SHAREHOLDER PROPOSALS BY CATEGORY","","","","","","","","","2017","","","","coverage","Other","4%","%","","","","","2017 SHAREHOLDER PROPOSALS BY CATEGORY","actual","IMAGE_ONLY: chart label; shareholder proposal category proportion","B+ADJUDICATOR","RESOLVED","","","","",""
"2026-08-22.2","SRC151","5cc8128360b5ed8c4cc0ad7d9f9b52cb19de87d105ed8a745ffd0db6e53373e3","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","ADJUDICATED","stewardship_observation","7","FIGURE","2017 SHAREHOLDER PROPOSALS BY CATEGORY","2017 SHAREHOLDER PROPOSALS BY CATEGORY","Social","","1","other_printed_scope","2017 SHAREHOLDER PROPOSALS BY CATEGORY","","","","","","","","","2017","","","","coverage","Social","22%","%","","","","","2017 SHAREHOLDER PROPOSALS BY CATEGORY","actual","IMAGE_ONLY: chart label; shareholder proposal category proportion","B+ADJUDICATOR","RESOLVED","","","","",""
"2026-08-22.2","SRC151","5cc8128360b5ed8c4cc0ad7d9f9b52cb19de87d105ed8a745ffd0db6e53373e3","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","ADJUDICATED","stewardship_observation","8","NARRATIVE","SHAREHOLDER PROPOSAL HIGHLIGHTS","Significant decline in compensation-related proposals","Number of proposals more than halved between 2015 and 2017 (86 v. 33).","","1","market_series","compensation-related proposals","","","","","","","","","2015","","","","vote_count","Number of proposals","86","proposals","","","","","Number of proposals more than halved between 2015 and 2017 (86 v. 33).","actual","","B+ADJUDICATOR","RESOLVED","","","","",""
"2026-08-22.2","SRC151","5cc8128360b5ed8c4cc0ad7d9f9b52cb19de87d105ed8a745ffd0db6e53373e3","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","ADJUDICATED","stewardship_observation","8","NARRATIVE","SHAREHOLDER PROPOSAL HIGHLIGHTS","Significant decline in compensation-related proposals","Number of proposals more than halved between 2015 and 2017 (86 v. 33).","","2","market_series","compensation-related proposals","","","","","","","","","2017","","","","vote_count","Number of proposals","33","proposals","","","","","Number of proposals more than halved between 2015 and 2017 (86 v. 33).","actual","","B+ADJUDICATOR","RESOLVED","","","","",""
"2026-08-22.2","SRC151","5cc8128360b5ed8c4cc0ad7d9f9b52cb19de87d105ed8a745ffd0db6e53373e3","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","ADJUDICATED","stewardship_observation","9","NARRATIVE","ELECTION OF DIRECTORS","NYC Comptroller’s Board Accountability Project 2.0","150 Companies asked to provide additional disclosure surrounding director skills, experience and diversity.","","1","other_printed_scope","NYC Comptroller’s Board Accountability Project 2.0","","","","","","","","","","","","","engagement_count","companies asked to provide additional disclosure","150","companies","","","","","150 Companies asked to provide additional disclosure surrounding director skills, experience and diversity.","actual","engagement activity","A+B+ADJUDICATOR","RESOLVED","","","","",""
