"pair_status","field_name","difference_count","document_count"
"CONTEXT_CONFLICT","source_section","3199","17"
"CLASSIFICATION_CONFLICT","source_section","2182","18"
"CONTEXT_CONFLICT","asset_class","1869","7"
"CONTEXT_CONFLICT","evidence_quote","1479","12"
"CONTEXT_CONFLICT","currency_scale","1467","6"
"CLASSIFICATION_CONFLICT","subject_type","1425","19"
"CONTEXT_CONFLICT","metric_name","1305","16"
"CLASSIFICATION_CONFLICT","evidence_quote","1207","19"
"CONTEXT_CONFLICT","source_table","1125","14"
"CLASSIFICATION_CONFLICT","asset_class","1065","10"
"CLASSIFICATION_CONFLICT","metric_name","871","15"
"CLASSIFICATION_CONFLICT","record_family","780","8"
"CONTEXT_CONFLICT","strategy","763","2"
"CLASSIFICATION_CONFLICT","period_start","665","2"
"CLASSIFICATION_CONFLICT","strategy","635","2"
"CLASSIFICATION_CONFLICT","subject_name","494","22"
"VALUE_CONFLICT","metric_value_raw","439","19"
"VALUE_CONFLICT","source_section","427","18"
"CLASSIFICATION_CONFLICT","currency_scale","399","9"
"CLASSIFICATION_CONFLICT","metric_category","353","12"
"VALUE_CONFLICT","evidence_quote","318","13"
"CONTEXT_CONFLICT","source_column_label","313","8"
"CLASSIFICATION_CONFLICT","source_table","310","17"
"CLASSIFICATION_CONFLICT","unit","295","4"
"CLASSIFICATION_CONFLICT","as_of_date","293","7"
"VALUE_CONFLICT","asset_class","241","8"
"CLASSIFICATION_CONFLICT","source_column_label","219","9"
"CLASSIFICATION_CONFLICT","horizon","212","5"
"VALUE_CONFLICT","metric_name","193","10"
"CLASSIFICATION_CONFLICT","period_end","179","6"
"VALUE_CONFLICT","currency_scale","150","10"
"VALUE_CONFLICT","source_table","142","16"
"VALUE_CONFLICT","record_family","133","3"
"VALUE_CONFLICT","subject_type","129","14"
"VALUE_CONFLICT","strategy","121","2"
"VALUE_CONFLICT","period_start","106","1"
"CLASSIFICATION_CONFLICT","source_row_label","87","8"
"VALUE_CONFLICT","as_of_date","84","4"
"VALUE_CONFLICT","period_end","83","3"
"CONTEXT_CONFLICT","as_of_date","81","4"
"CONTEXT_CONFLICT","horizon","62","4"
"CONTEXT_CONFLICT","period_end","59","3"
"VALUE_CONFLICT","metric_category","56","10"
"CLASSIFICATION_CONFLICT","source_occurrence","45","8"
"CONTEXT_CONFLICT","source_occurrence","40","3"
"CONTEXT_CONFLICT","vintage_year","36","1"
"VALUE_CONFLICT","subject_name","34","13"
"CLASSIFICATION_CONFLICT","geography","21","2"
"VALUE_CONFLICT","source_column_label","20","3"
"CLASSIFICATION_CONFLICT","source_structure_type","19","2"
"VALUE_CONFLICT","source_row_label","18","6"
"CLASSIFICATION_CONFLICT","vintage_year","14","2"
"CONTEXT_CONFLICT","source_row_label","14","2"
"VALUE_CONFLICT","horizon","12","3"
"CONTEXT_CONFLICT","period_start","11","2"
"CONTEXT_CONFLICT","source_structure_type","11","1"
"VALUE_CONFLICT","text_raw","11","7"
"VALUE_CONFLICT","source_occurrence","7","2"
"CLASSIFICATION_CONFLICT","investor_name","6","6"
"VALUE_CONFLICT","unit","6","3"
"CLASSIFICATION_CONFLICT","manager_name","3","3"
"VALUE_CONFLICT","source_structure_type","2","1"
"CONTEXT_CONFLICT","investor_name","1","1"
"CONTEXT_CONFLICT","manager_name","1","1"
"CONTEXT_CONFLICT","portfolio_name","1","1"
"VALUE_CONFLICT","condition_raw","1","1"
"VALUE_CONFLICT","investor_name","1","1"
"VALUE_CONFLICT","portfolio_name","1","1"
