"route","file_id","source_sha256","physical_pages","pages_with_data","extractor_a_rows","extractor_b_rows","pair_rows","physical_pairs","raw_value_agreements","raw_value_agreement_rate","value_conflicts","classification_conflicts","context_conflicts","exact_all_field_pairs","a_only","b_only","merge_decisions","accept_a_decisions","accept_b_decisions","add_decisions","reject_decisions","final_rows"
"01-financials","SRC034","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","14","10","229","267","285","211","132","0.625592","79","69","63","0","18","56","259","0","0","6","26","265"
"01-financials","SRC102","dec577c036c11f70b30193bbfbdf4d478fabfc36f3ef15ae68249a2810f8ddfe","14","5","50","64","64","50","34","0.680000","16","2","32","0","0","14","60","0","0","0","4","60"
"01-financials","SRC147","","1","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0"
"01-financials","SRC152","3c5ea49df11ea7acd103759a4d84ab994abbe40fe6b9770ac1f2a723929dc717","5","5","133","150","167","116","93","0.801724","23","4","89","0","17","34","149","0","0","0","18","149"
"01-financials","SRC377","2a3ff4eb15e88df08d12b0ffd4696117b642b6f1ff19ee5fb8bd8d1a3a025988","13","9","239","305","313","231","219","0.948052","12","18","201","0","8","74","269","0","0","2","44","271"
"02-performance","SRC035","efccda783490f37c841b4335300e864503edab8861c88ea4aff51b0e1ff3a189","3","3","480","480","480","480","480","1.000000","0","7","473","0","0","0","480","0","0","0","0","480"
"02-performance","SRC058","504abfe06fcde5e187ef74247e28f97eecec00313f5079c91e05fbdaea023159","3","3","876","876","890","862","861","0.998840","1","1","860","0","14","14","876","0","0","0","14","876"
"02-performance","SRC060","716b2b3028d4222c5bd8dbe183698cc7ea61e5f7a4d37e799da36d64c0e2dac3","2","2","472","466","472","466","466","1.000000","0","466","0","0","6","0","7","0","465","0","0","472"
"02-performance","SRC063","f27235b5cbd2148f78e6d7d010017b38e2807611735e9229375986a38db2db38","2","2","221","221","221","221","148","0.669683","73","148","0","0","0","0","221","0","0","0","0","221"
"02-performance","SRC363","37f3b1a46d11cdb22e38d276fda163e197904df1b0793d02a7af3ad40c050277","2","2","10","12","13","9","9","1.000000","0","5","4","0","1","3","9","0","3","0","1","12"
"03-institutional-report","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","5","5","271","280","280","271","252","0.929889","19","63","189","0","0","9","227","0","53","15","0","295"
"03-institutional-report","SRC216","5c03d8f73453f799cd0bff82f0d4a880e783247918a72dd35e8cdd352a6d2a50","3","1","3","3","3","3","2","0.666667","1","0","2","0","0","0","2","1","0","0","0","3"
"03-institutional-report","SRC356","bce1cc0f3cc4e5824307fdad05b63b448110f6218011c115af879665eca07ba5","5","4","69","79","81","67","64","0.955224","3","24","40","0","2","12","43","2","24","0","12","69"
"03-institutional-report","SRC375","f61eeefaffa1b3e41935961142f563d3887f3c3e621e726449d5826821bce017","2","2","76","94","99","71","56","0.788732","15","6","50","0","5","23","21","4","68","11","6","104"
"03-institutional-report","SRC389","9feb74eb228530f7459be60b41936bff0ac6688d0c051cfa56b339d238282017","6","5","52","58","61","49","40","0.816327","9","14","26","0","3","9","49","2","8","0","2","59"
"04-quarterly-report","SRC384","b2e06d492dceca8b867aac1fe20a93724668dd623d6f3a714882afac32b4c59e","4","4","535","566","584","517","495","0.957447","22","156","339","0","18","49","444","121","1","6","18","572"
"04-quarterly-report","SRC457","8783ef3e2dc6cf061218360ff1c3db121d172543d661901b2d74131021935dc1","16","11","1294","1528","1532","1290","1163","0.901550","127","1062","101","0","4","238","1363","1","113","260","55","1737"
"04-quarterly-report","SRC606","e56a601bd6fc8250db7675fad2cc69f72aa70aa5ff4dd63cc0176ad602482f9f","8","5","63","93","94","62","56","0.903226","6","24","32","0","1","31","38","0","34","0","22","72"
"05-fund-legal-docs","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","22","12","36","52","72","16","16","1.000000","0","15","1","0","20","36","48","0","0","1","24","49"
"05-fund-legal-docs","SRC607","89188919c2905e70708febd40bfdf0e406a89a69abccd46310a15a437ac6ec7a","43","9","7","16","20","3","0","0.000000","3","0","0","0","4","13","15","0","1","4","4","20"
"05-fund-legal-docs","SRC612","9aaf853a1b3ceefddf659360e76652dacf8b306e7676e9b9b5350737b1c5f921","48","18","10","34","41","3","0","0.000000","3","0","0","0","7","31","24","0","0","5","17","29"
"06-statements-and-economics","SRC028","91068b29d6128f34c2cb9f612208cc934849cc65200842ad7c017de0b59d0eb5","1","1","88","88","88","88","88","1.000000","0","1","87","0","0","0","42","1","45","0","0","88"
"06-statements-and-economics","SRC132","21face6058046d49fc7005fb8a2e7b63f7bf95ffb0e72cf05abbb350733d2e6d","3","2","10","42","48","4","2","0.500000","2","1","1","0","6","38","23","0","0","1","25","24"
"06-statements-and-economics","SRC247","6fd8c243900f1595c3cdb0b4b5e44eacac39db50a5f75d39d13626fd3a8ed5e0","4","4","94","120","123","91","79","0.868132","12","74","5","0","3","29","98","0","17","0","8","115"
"06-statements-and-economics","SRC407","42fd3fd5192cd82559b79a6adfdcdbf321ee96ab2925a30c3f3513e2aabdc3b6","11","8","794","767","797","764","749","0.980366","15","2","747","0","30","3","797","0","0","9","0","806"
"06-statements-and-economics","SRC462","781662bf1c5ba4799d5da223c17c18d29a6a475934548a84c926ba38be788feb","2","2","70","82","84","68","65","0.955882","3","64","0","1","2","14","79","0","0","0","5","79"
"07-institutional-mission","SRC151","5cc8128360b5ed8c4cc0ad7d9f9b52cb19de87d105ed8a745ffd0db6e53373e3","19","11","43","89","106","26","25","0.961538","1","25","0","0","17","63","82","0","0","0","24","82"
"07-institutional-mission","SRC329","4f064e09a6d0e0b61d9ca94b0bb018d87e3d3c2a9b212c31463dd4f4b33d7150","18","3","7","5","12","0","0","","0","0","0","0","7","5","2","6","1","5","3","14"
"07-institutional-mission","SRC339","515888513c1cef84c8e5e67ff2186012c9fb069191591cec8966e568dc4e556e","32","18","89","322","339","72","67","0.930556","5","67","0","0","17","250","25","5","148","0","161","178"
