"observation_id","route","file_id","source_page","source_table","source_row_label","source_column_label","source_occurrence","record_family","metric_category","metric_value_raw","unit","pair_id","pair_status","difference_fields","a_row_number","b_row_number","resolution_row_number","resolution_decision","resolution_reason","final_row_number","source_agents","adjudication_status","source_sha256","source_pdf_path","records_a_path","records_b_path","pair_index_path","resolution_path","records_final_path"
"1d5fb618817ecfdc6df5","01-financials","SRC034","3","","DOCUMENT","","1","document_context","","","","PAIR_877F970CEDBC2E6004507E95","CLASSIFICATION_CONFLICT","source_table|subject_name|investor_name|as_of_date|evidence_quote","1","1","188","MERGE","source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol.","1","A+B+ADJUDICATOR","RESOLVED","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","data/documents/pdf/Financials_Versa_Capital_Fund_II_LP_PSERS_FOIA.pdf","ledgers/working/pdf-extraction-csv/01-financials/SRC034/records-a.csv","ledgers/working/pdf-extraction-csv/01-financials/SRC034/records-b.csv","ledgers/working/pdf-extraction-csv/01-financials/SRC034/pair-index.csv","ledgers/working/pdf-extraction-csv/01-financials/SRC034/resolution.csv","ledgers/working/pdf-extraction-csv/01-financials/SRC034/records-final.csv"
"c051cd3576db18ad4b32","01-financials","SRC034","3","Combined Statement of Assets, Liabilities, and Partners' Capital","Cash","Total","1","financial_statement_observation","cash","13,307,614","","PAIR_E194AAF183988158AF0A203C","CLASSIFICATION_CONFLICT","source_section|source_column_label|subject_type|currency_scale|metric_name","2","2","187","MERGE","source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol.","2","A+B+ADJUDICATOR","RESOLVED","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","data/documents/pdf/Financials_Versa_Capital_Fund_II_LP_PSERS_FOIA.pdf","ledgers/working/pdf-extraction-csv/01-financials/SRC034/records-a.csv","ledgers/working/pdf-extraction-csv/01-financials/SRC034/records-b.csv","ledgers/working/pdf-extraction-csv/01-financials/SRC034/pair-index.csv","ledgers/working/pdf-extraction-csv/01-financials/SRC034/resolution.csv","ledgers/working/pdf-extraction-csv/01-financials/SRC034/records-final.csv"
"e7ba55bef0f2f5ba97d2","01-financials","SRC034","3","Combined Statement of Assets, Liabilities, and Partners' Capital","General Partner","Total","1","financial_statement_observation","partners_capital","26,095,710","","PAIR_CBF06C34CFF9573D7B7198AA","CLASSIFICATION_CONFLICT","source_section|source_column_label|subject_type|currency_scale|metric_name","3","3","189","MERGE","source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol.","3","A+B+ADJUDICATOR","RESOLVED","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","data/documents/pdf/Financials_Versa_Capital_Fund_II_LP_PSERS_FOIA.pdf","ledgers/working/pdf-extraction-csv/01-financials/SRC034/records-a.csv","ledgers/working/pdf-extraction-csv/01-financials/SRC034/records-b.csv","ledgers/working/pdf-extraction-csv/01-financials/SRC034/pair-index.csv","ledgers/working/pdf-extraction-csv/01-financials/SRC034/resolution.csv","ledgers/working/pdf-extraction-csv/01-financials/SRC034/records-final.csv"
"cf69cb0bdf953a3356ed","01-financials","SRC034","3","Combined Statement of Assets, Liabilities, and Partners' Capital","Investments, at fair value (cost $415,489,109)","","1","financial_statement_observation","investment_cost","$415,489,109","","PAIR_F72B7EBC998AEA95DAC3B927","A_ONLY","","6","","193","MERGE","source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol; one-sided row confirmed printed on page 3 from the page image.","4","A+B+ADJUDICATOR","RESOLVED","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","data/documents/pdf/Financials_Versa_Capital_Fund_II_LP_PSERS_FOIA.pdf","ledgers/working/pdf-extraction-csv/01-financials/SRC034/records-a.csv","ledgers/working/pdf-extraction-csv/01-financials/SRC034/records-b.csv","ledgers/working/pdf-extraction-csv/01-financials/SRC034/pair-index.csv","ledgers/working/pdf-extraction-csv/01-financials/SRC034/resolution.csv","ledgers/working/pdf-extraction-csv/01-financials/SRC034/records-final.csv"
"a405b270004e359a6d16","01-financials","SRC034","3","Combined Statement of Assets, Liabilities, and Partners' Capital","Investments, at fair value (cost $415,489,109)","Total","1","financial_statement_observation","investment_fair_value","$425,000,000","","PAIR_D38771E420BF8785E3EBAED1","B_ONLY","","","4","190","MERGE","source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol; one-sided row confirmed printed on page 3 from the page image.","5","A+B+ADJUDICATOR","RESOLVED","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","data/documents/pdf/Financials_Versa_Capital_Fund_II_LP_PSERS_FOIA.pdf","ledgers/working/pdf-extraction-csv/01-financials/SRC034/records-a.csv","ledgers/working/pdf-extraction-csv/01-financials/SRC034/records-b.csv","ledgers/working/pdf-extraction-csv/01-financials/SRC034/pair-index.csv","ledgers/working/pdf-extraction-csv/01-financials/SRC034/resolution.csv","ledgers/working/pdf-extraction-csv/01-financials/SRC034/records-final.csv"
"1719e3ee788f98f1e6f7","01-financials","SRC034","3","Combined Statement of Assets, Liabilities, and Partners' Capital","Limited Partners","Total","1","financial_statement_observation","partners_capital","412,301,446","","PAIR_6074E9B9414499D4CDF33B3E","CLASSIFICATION_CONFLICT","source_section|source_column_label|subject_type|currency_scale|metric_name","4","5","191","MERGE","source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol.","6","A+B+ADJUDICATOR","RESOLVED","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","data/documents/pdf/Financials_Versa_Capital_Fund_II_LP_PSERS_FOIA.pdf","ledgers/working/pdf-extraction-csv/01-financials/SRC034/records-a.csv","ledgers/working/pdf-extraction-csv/01-financials/SRC034/records-b.csv","ledgers/working/pdf-extraction-csv/01-financials/SRC034/pair-index.csv","ledgers/working/pdf-extraction-csv/01-financials/SRC034/resolution.csv","ledgers/working/pdf-extraction-csv/01-financials/SRC034/records-final.csv"
"2a3636f3eb3bde58ce23","01-financials","SRC034","3","Combined Statement of Assets, Liabilities, and Partners' Capital","Total assets","Total","1","financial_statement_observation","total_assets","$438,924,905","","PAIR_BFB1663DA224D66607BF2F90","CONTEXT_CONFLICT","source_section|source_column_label|currency_scale|metric_name","5","6","192","MERGE","source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol.","7","A+B+ADJUDICATOR","RESOLVED","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","data/documents/pdf/Financials_Versa_Capital_Fund_II_LP_PSERS_FOIA.pdf","ledgers/working/pdf-extraction-csv/01-financials/SRC034/records-a.csv","ledgers/working/pdf-extraction-csv/01-financials/SRC034/records-b.csv","ledgers/working/pdf-extraction-csv/01-financials/SRC034/pair-index.csv","ledgers/working/pdf-extraction-csv/01-financials/SRC034/resolution.csv","ledgers/working/pdf-extraction-csv/01-financials/SRC034/records-final.csv"
"b394a2674a4e69145f02","01-financials","SRC034","3","Combined Statement of Assets, Liabilities, and Partners' Capital","Total liabilities","Total","1","financial_statement_observation","total_liabilities","527,749","","PAIR_7B1ED6BC2E4C6AA2371B94FE","CONTEXT_CONFLICT","source_section|source_column_label|currency_scale|metric_name","8","7","195","MERGE","source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol.","8","A+B+ADJUDICATOR","RESOLVED","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","data/documents/pdf/Financials_Versa_Capital_Fund_II_LP_PSERS_FOIA.pdf","ledgers/working/pdf-extraction-csv/01-financials/SRC034/records-a.csv","ledgers/working/pdf-extraction-csv/01-financials/SRC034/records-b.csv","ledgers/working/pdf-extraction-csv/01-financials/SRC034/pair-index.csv","ledgers/working/pdf-extraction-csv/01-financials/SRC034/resolution.csv","ledgers/working/pdf-extraction-csv/01-financials/SRC034/records-final.csv"
"dcae1bbc2a5b5e66671c","01-financials","SRC034","3","Combined Statement of Assets, Liabilities, and Partners' Capital","Total partners' capital","Total","1","financial_statement_observation","partners_capital","438,397,156","","PAIR_1D7B45FB5B3C8273F3A25971","CONTEXT_CONFLICT","source_section|source_column_label|currency_scale|metric_name","9","8","196","MERGE","source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol.","9","A+B+ADJUDICATOR","RESOLVED","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","data/documents/pdf/Financials_Versa_Capital_Fund_II_LP_PSERS_FOIA.pdf","ledgers/working/pdf-extraction-csv/01-financials/SRC034/records-a.csv","ledgers/working/pdf-extraction-csv/01-financials/SRC034/records-b.csv","ledgers/working/pdf-extraction-csv/01-financials/SRC034/pair-index.csv","ledgers/working/pdf-extraction-csv/01-financials/SRC034/resolution.csv","ledgers/working/pdf-extraction-csv/01-financials/SRC034/records-final.csv"
"c0382c3e21afbdf80451","01-financials","SRC034","4","Combined Schedule of Investments","REDACTED","% of Partners' Capital","1","position_observation","portfolio_weight","34.22%","%","PAIR_620EFD18A2568E79CE7A73DF","A_ONLY","","10","","198","MERGE","source_section is the statement's own printed title, which A left blank on every row; currency_scale is the printed `$`; the value keeps its printed currency symbol; the Schedule of Investments is a position_observation table, the only family carrying portfolio_weight for the printed `% of Partners' Capital` column that B dropped; one-sided row confirmed printed on page 4 from the page image.","10","A+B+ADJUDICATOR","RESOLVED","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","data/documents/pdf/Financials_Versa_Capital_Fund_II_LP_PSERS_FOIA.pdf","ledgers/working/pdf-extraction-csv/01-financials/SRC034/records-a.csv","ledgers/working/pdf-extraction-csv/01-financials/SRC034/records-b.csv","ledgers/working/pdf-extraction-csv/01-financials/SRC034/pair-index.csv","ledgers/working/pdf-extraction-csv/01-financials/SRC034/resolution.csv","ledgers/working/pdf-extraction-csv/01-financials/SRC034/records-final.csv"
