"contract_version","file_id","source_sha256","canonical_doc_type","route","product_tier","agent_role","source_page","page_status","layout_checked","source_structures","relevant_record_families","expected_observation_count","records_written","notes","extractor_model"
"2026-08-22.2","SRC384","b2e06d492dceca8b867aac1fe20a93724668dd623d6f3a714882afac32b4c59e","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","1","ELIGIBLE_DATA_EXTRACTED","YES","EXECUTIVE SUMMARY","document_context | fund_economics_observation | performance_observation","13","13","Counted from page-001.png: narrative only, no table. Three stated returns (4.2, 3.6, 4.1), six stated pool or plan totals ($184.7, $29.8, $6.5, $141.8, $101.8, $40), three cells neither lane held ($4.5 billion paid out, $71.9 billion in 2014, $250 million at launch on March 31, 2019), and the single document_context row. A counted 7 and B counted 10 because each held only part of the narrative; neither number is the page. Growth deltas, the 96 and 21 percent increases, the 6.75 percent discount rate, the 87 and 85 percent funded ratios, and the student, staff, retiree and participant counts fall outside every category this document type allows, and the 'in the prior fiscal year' comparatives carry no printed date.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC384","b2e06d492dceca8b867aac1fe20a93724668dd623d6f3a714882afac32b4c59e","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","2","ELIGIBLE_DATA_EXTRACTED","YES","EXECUTIVE SUMMARY | Figure 1. General Endowment Pool as of March 31, 2025","fund_economics_observation | performance_observation","194","194","Counted from page-002.png: Figure 1 prints 183 populated cells (ten value columns; dashes in 25 Year and 30 Year for Absolute Return and Real Estate, and in 5 Year through 30 Year for Private Credit and Cash, produce nothing), which is A's count exactly. The narrative above and below the figure adds eleven: the General Endowment Pool total and its five stated returns, the Blue and Gold total and its two stated returns, the 0.05 percent management fee carried over from page 1, and the $200 million relaunch value dated March 31, 2021. The last two are recovered here; neither lane held them.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC384","b2e06d492dceca8b867aac1fe20a93724668dd623d6f3a714882afac32b4c59e","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","3","ELIGIBLE_DATA_EXTRACTED","YES","EXECUTIVE SUMMARY | Figure 2. Blue and Gold Endowment Pool as of March 31, 2025 | Figure 3. Pension as of March 31, 2025","performance_observation","257","257","Counted from page-003.png: Figure 2 prints 30 populated cells and Figure 3 prints 221, which is A's 251 exactly, and the pension paragraph between them adds its total and five stated returns. B's 257 is the same number. The page prints Value Added twelve times across the two figures, so the count is unaffected by the two lanes numbering those occurrences differently. The 65 years invested, the 279,697 members and the 54 percent active are outside the allowed categories, and the $98.6 billion comparative carries no printed date.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC384","b2e06d492dceca8b867aac1fe20a93724668dd623d6f3a714882afac32b4c59e","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","4","ELIGIBLE_DATA_EXTRACTED","YES","EXECUTIVE SUMMARY | Figure 4. Working Capital as of March 31, 2025","fund_economics_observation | performance_observation","108","108","Counted from page-004.png: Figure 4's two sub-tables print 64 and 28 populated cells, 92 in all, and the narrative above adds sixteen: the Retirement Savings Program total, its 0.05 percent fee and its $19.8 billion 2014 value, the combined Working Capital total, the Total Return Investment Pool total with four stated returns, and the Short-Term Investment Pool total with six. The $19.8 billion is recovered here. The fund count reduced from 75 to 16, the 64 percent fee drop, and the undated 'fiscal year before' figures of $39 billion, $12.8 billion, $9.8 billion and $3 billion are excluded.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC457","8783ef3e2dc6cf061218360ff1c3db121d172543d661901b2d74131021935dc1","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","1","REFERENCE_ONLY","YES","","","0","0","A cover: it prints 'New Mexico Educational Retirement Board' over 'December 31, 2020 Quarterly Investment Report' and no figure in any allowed category, so the zero count both lanes reached is right and the label is REFERENCE_ONLY rather than A's NO_ELIGIBLE_DATA.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC457","8783ef3e2dc6cf061218360ff1c3db121d172543d661901b2d74131021935dc1","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","2","ELIGIBLE_DATA_EXTRACTED","YES","Client Overview | Portfolio Snapshot | Target / Current Allocation","allocation_observation | document_context | fund_economics_observation | performance_observation","27","27","Counted from page-002.png, plus the single document_context row both lanes filed here: the Portfolio Snapshot table prints seven eligible rows across three columns (12/31/2019, 12/31/2020, Change) for Capital Committed, Unfunded Commitment, Paid-In Capital, Capital Distributed, Market Value, Total Value Multiple and Total Portfolio Net IRR, which is 21; the Client Overview panel adds the $14.2 billion plan size and the four Target / Current allocation figures. A missed the Change column entirely, B missed the plan size. Active and inactive partnership counts, GP relationship counts and the average age of commitments map to no category this document type allows.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC457","8783ef3e2dc6cf061218360ff1c3db121d172543d661901b2d74131021935dc1","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","3","ELIGIBLE_DATA_EXTRACTED","YES","Year-to-Date Commitments","fund_economics_observation","2","2","Counted from page-003.png: the Year-to-Date Commitments table is transposed, and of its eight attribute rows only Commitment carries a value in an allowed category, giving one cell per fund. Target Fund Size is the general partner's fundraising target for the vehicle, not the investor's commitment, and maps to no allowed category, so B's two rows for it are rejected. Closing Date, General Partner, Existing Manager, Strategy, Geographic Focus and Risk Category carry no eligible value; the last three are recorded as dimensions on the commitment rows instead.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC457","8783ef3e2dc6cf061218360ff1c3db121d172543d661901b2d74131021935dc1","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","4","ELIGIBLE_DATA_EXTRACTED","YES","Total Portfolio Performance","fund_economics_observation","72","72","Counted from page-004.png: the three (Net) rows carry seventeen printed cells each and the four benchmark and Difference rows six each, which is 75, less the three Initial CF Date cells, which map to no category this family allows. B's 72 is exactly that. A's 57 skipped the Commitment, the two percent columns, the Unfunded and the PIC columns, which is the fifteen-cell gap and the reason its family was wrong.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC457","8783ef3e2dc6cf061218360ff1c3db121d172543d661901b2d74131021935dc1","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","5","ELIGIBLE_DATA_EXTRACTED","YES","Net Total Portfolio Performance","performance_observation","10","10","Counted from page-005.png: the Net Total Portfolio Performance table prints five time horizons against two series, Portfolio IRR and Portfolio Net TWR. The bar chart above restates the same ten figures and is not counted twice. Both lanes reached ten.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC457","8783ef3e2dc6cf061218360ff1c3db121d172543d661901b2d74131021935dc1","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","6","ELIGIBLE_DATA_EXTRACTED","YES","Asset Class by Total Exposure | Geography by Exposed Market Value | Real Asset Category by Total Exposure | US v Non-US by Exposed Market Value | Vintage Year Diversification by Commitment Amount","allocation_observation","31","31","Counted from page-006.png: the five Total Portfolio Diversification pie charts print 6, 8, 2, 2 and 13 slices. Both lanes reached the same 31 and disagreed only on how to name the section and the metric.","claude-sonnet-5+gpt-5+claude-opus-5"
