"contract_version","file_id","source_sha256","canonical_doc_type","route","product_tier","agent_role","source_page","page_status","layout_checked","source_structures","relevant_record_families","expected_observation_count","records_written","notes","extractor_model"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","1","REFERENCE_ONLY","YES","","","0","0","Cover page: the AIMA logo, the title box naming the fund, the publisher, and a distribution note. No quantitative answer, so no row. Label corrected from NO_ELIGIBLE_DATA because a cover is reference matter. This is why the document_context row could not sit here: the pipeline rejects a page whose only record is that row, so it is filed on page 4.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","2","REFERENCE_ONLY","YES","","","0","0","AIMA's own preface on how to use the questionnaire, plus the copyright and distribution notice. Boilerplate, so the label is corrected from NO_ELIGIBLE_DATA; both lanes had the zero right.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","3","REFERENCE_ONLY","YES","","","0","0","Table of contents listing the questionnaire's sections against page numbers. Corrected from NO_ELIGIBLE_DATA; the page numbers down the right margin are a contents list, not data.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","4","ELIGIBLE_DATA_EXTRACTED","YES","COMPANY | INVESTMENT MANAGER INFORMATION","ddq_quantitative_observation | document_context","2","2","My count from page-004.png: one eligible value, the $36 billion the company-history answer prints, plus the document_context row, which is filed here because page 1 is a cover with no observation of its own. A returned zero and did not check the layout. The contact block above prints telephone, fax and postal numbers, which are not quantitative answers in an allowed category.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","5","ELIGIBLE_DATA_EXTRACTED","YES","COMPANY","ddq_quantitative_observation","1","1","My count from page-005.png: one eligible value, the $36.1 billion total that opens the assets-under-management answer at the foot of the page. Its four category figures complete overleaf and are counted on page 6. A returned zero and did not check the layout. The registration answer prints an SEC file number and an NFA number, which are identifiers, not measures.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","6","ELIGIBLE_DATA_EXTRACTED","YES","COMPANY | ORGANISATION | OWNERSHIP","ddq_quantitative_observation","13","13","My count from page-006.png: 13. Four category figures completing the assets answer ($15.7bn, $15.0bn, $5.4bn, $1.5bn); three ownership percentages (40%, 6.1%, 5.6%); two employee counts (12,000, 331); four investment-professional counts (125, 30, 43, 52). A's 13 is right. B's 14 added 'more than 5%', the SEC disclosure threshold the sentence uses to introduce the 6.1% holder, which measures no named holder. The years-of-experience answer prints 20 and 8 years, which the DDQ whitelist has no category for.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","7","ELIGIBLE_DATA_EXTRACTED","YES","FEES | FUND DETAILS","ddq_quantitative_observation","6","6","My count from page-007.png: 6. A 2% management fee, a 20% incentive fee, two notice periods printed in the redemption-fee answer (60 and 40 days), and the 2x and 3x levered versions of the fund printed in the fund-structure answer. A's 2 took only the two fee rates. The 2% withdrawal fee in the same answer has no category on the DDQ whitelist, and the contact details and the October 1, 2003 inception date are not measures.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","8","ELIGIBLE_DATA_EXTRACTED","YES","INVESTMENT/REDEMPTION AND LOCK UP TERMS","ddq_quantitative_observation","7","7","My count from page-008.png: 7. The $1,000,000 minimum; two notice periods (60 and 40 days); three figures in the cash-proceeds answer (90%, 30 days, 60 days); and the 1 year lock-up. A's 5 took only one figure from the cash-proceeds answer. The three expense-to-equity ratios printed above (0.000057, 0.000043, 0.008) are administrative, custodian and auditor fee ratios, for which the DDQ whitelist has no category; management_fee and performance_fee are the fund's own fee rates and the question excludes them by its own wording.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","9","NO_ELIGIBLE_DATA","YES","","","0","0","NO_ELIGIBLE_REASON: Biographies of the fund directors and principals. The figures on the page are career years and dates (1991, 1993-1995, nine years), and the DDQ whitelist carries no tenure or experience category. Both lanes were right to take nothing.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","10","REFERENCE_ONLY","YES","","","0","0","Service-provider directory: prime broker, custodian and auditor names, addresses, telephone and fax numbers. A contact directory is reference matter by the coverage rule, so the label is corrected from NO_ELIGIBLE_DATA; both lanes had the zero right and the label wrong.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","11","ELIGIBLE_DATA_EXTRACTED","YES","FUND ASSETS","ddq_quantitative_observation","7","7","My count from page-011.png: 7. The net-assets answer ($1.495bn); the largest-investor percentage (2%); three feeder sizes ($450m, $1.0bn, $30m); and the total-assets answer, which prints two figures with two dates ($1.495bn as of March 31, 2006 and $1.267bn as of March 31, 2005). B's 7 is right; A's 6 took only one of those two. The net-assets and total-assets questions are separate printed cells, so the repeated $1.495 billion is a second observation, not a repeat.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","12","ELIGIBLE_DATA_EXTRACTED","YES","WITHDRAWALS","ddq_quantitative_observation","1","1","My count from page-012.png: 1. Both lanes returned zero, but the withdrawals answer prints 'was for about 4.5% of NAV', a stated fact about the fund's redemption experience. The FUND PERFORMANCE block answers 'Please refer to the attached spreadsheet' and the DRAWDOWNS block 'The fund has not experienced any drawdowns', so those genuinely print nothing; the 5% in the drawdowns question is part of the question, not an answer.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","13","ELIGIBLE_DATA_EXTRACTED","YES","MANAGER TRACK RECORD","ddq_quantitative_observation","2","2","My count from page-013.png: 2. The $50 million in the HighYield Opportunities Fund and BSAM's $36.1 billion total. A's 3 included the document_context row it had filed here, which belongs on one page for the whole document. The fund list under 'Names of these funds' prints about thirty-five names and no count, so it yields no fund_count row, and the 1988 and 1995 inception years are not measures.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","14","ELIGIBLE_DATA_EXTRACTED","YES","INVESTMENT STRATEGY","ddq_quantitative_observation","1","1","My count from page-014.png: 1, the printed 'Net Leverage: 10 to 1'. A returned zero and did not check the layout. The other lines of that answer print ranges or qualities rather than single values (Credit Quality at least 90% AAA and AA-, Average Life 4 years or less, Credit Hedges 10%-20%, Cash Position 10%-20%, Repackaging Vehicles 20% of capital), and the three fee-to-equity ratios at the top of the page belong to the same excluded family as on page 8.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","15","ELIGIBLE_DATA_EXTRACTED","YES","INVESTMENT STRATEGY","ddq_quantitative_observation","2","2","My count from page-015.png: 2, the 60-day and 40-day notice periods the redemption answer prints again in this section. A returned zero. B's third row took the 4% withdrawal fee, which has no category. Recorded here: the document contradicts itself on that fee, printing 2% on pages 7 and 8 and 4% here for the same 40-day term. 'over 200 positions across 10 or more asset classes' is a portfolio count with no whitelisted category, and 'all three portfolio managers' is spelled out, not printed as a figure.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","16","ELIGIBLE_DATA_EXTRACTED","YES","LEVERAGE | RISK MANAGEMENT","ddq_quantitative_observation","6","6","My count from page-016.png: 6. The leverage answer prints three figures (Net Leverage 10 to 1, and 2x and 3x levered versions) and the position-limits answer three (maximum 5% per name, target 1% per name, no more than 1/3rd per asset class). A's 4 took one figure from the leverage answer. The liquidity answer's 'total assets over a trillion dollars' describes the CDO market, not this fund, so it is not eligible.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","17","ELIGIBLE_DATA_EXTRACTED","YES","RISK MANAGEMENT","ddq_quantitative_observation","1","1","My count from page-017.png: 1, the 'up to 15 broker dealers' the operational risk answer prints. Both lanes counted one; they differed only on which banner governs it, and the page settles it: the question sits under RISK MANAGEMENT carried over from page 16, while EXTERNAL CONTROLS starts lower down above a different question. 'three layers of risk management' and 'two main analytical systems' are spelled out, not printed as figures.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","18","NO_ELIGIBLE_DATA","YES","","","0","0","NO_ELIGIBLE_REASON: The research and investor-reporting answers. The one figure, '100% of the research is generated internally', measures research sourcing, for which the DDQ whitelist carries no category; the rest are yes/no and frequency answers with no printed value. Both lanes were right to take nothing.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","19","NO_ELIGIBLE_DATA","YES","","","0","0","NO_ELIGIBLE_REASON: The execution and compliance answers. The compliance department headcounts are spelled out, 'three full-time attorneys' and 'three Compliance Officers', so there is no printed figure to record; the contract requires the value exactly as printed and rejects a value carrying no digit. A's two rows converted those words into '3' and are rejected. B's zero was right.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","20","NO_ELIGIBLE_DATA","YES","","","0","0","NO_ELIGIBLE_REASON: Compliance manual, conflicts of interest, personal account dealing and regulatory history. All narrative yes/no answers; the page prints no figure in an allowed category.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","21","NO_ELIGIBLE_DATA","YES","","","0","0","NO_ELIGIBLE_REASON: The insurance answer prints a $10 million errors and omissions policy and a $200 million fidelity bond, and the business continuity answer prints site and test counts. The DDQ whitelist carries no insurance, bond or facility category, so none of these figures is eligible. Both lanes were right to take nothing.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","22","REFERENCE_ONLY","YES","","","0","0","Closing page: a request to attach the offering documents and the signature block, with the preparer's name, position and the date. A signature block is reference matter and its personal details are excluded by the route's own scope, so the label is corrected from NO_ELIGIBLE_DATA.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC607","89188919c2905e70708febd40bfdf0e406a89a69abccd46310a15a437ac6ec7a","Subscription","05-fund-legal-docs","SECONDARY","ADJUDICATED","1","ELIGIBLE_DATA_EXTRACTED","YES","DOCUMENT | SUBSCRIPTION MATERIALS OF LUBERT-ADLER REAL ESTATE FUND VII, L.P.","document_context | subscription_reference","2","2","Counted off page-001.png: the cover states which fund the subscription materials are for, which is one subscription_fund record, and the document_context row is filed here because its page is 1 by contract. A read the page as empty and B counted the same two; the count is confirmed against the image, not taken from B.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC607","89188919c2905e70708febd40bfdf0e406a89a69abccd46310a15a437ac6ec7a","Subscription","05-fund-legal-docs","SECONDARY","ADJUDICATED","2","REFERENCE_ONLY","YES","","","0","0","Instructions A to F for completing the materials, ending in a wire-transfer block whose account details are absent. Boilerplate throughout, and the fund and general partner are named only inside explanatory prose, which the document-wide prose ruling does not record. Both lanes labelled every zero-count page NO_ELIGIBLE_DATA. The zeros are right on the pages that carry none of this document type's categories, but the label is not: a page of instructions, definitions, a divider, a contact or wire directory, or an inapplicable unfilled annex is REFERENCE_ONLY, and NO_ELIGIBLE_DATA is kept for pages that print substantive completed content falling outside the allowed categories.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC607","89188919c2905e70708febd40bfdf0e406a89a69abccd46310a15a437ac6ec7a","Subscription","05-fund-legal-docs","SECONDARY","ADJUDICATED","3","ELIGIBLE_DATA_EXTRACTED","YES","F. Delivery of Documents","subscription_reference","1","1","Counted off page-003.png: under 'F. Delivery of Documents' the page names the fund's general partner as the delivery recipient, which is one general_partner record. The street address and named contact on the same block are excluded personal and operational detail and produce nothing. A missed the page.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC607","89188919c2905e70708febd40bfdf0e406a89a69abccd46310a15a437ac6ec7a","Subscription","05-fund-legal-docs","SECONDARY","ADJUDICATED","4","REFERENCE_ONLY","YES","","","0","0","Section cover for the Confidential Purchaser Questionnaire with explanatory text about the questionnaire's purpose, and no completed field. Both lanes labelled every zero-count page NO_ELIGIBLE_DATA. The zeros are right on the pages that carry none of this document type's categories, but the label is not: a page of instructions, definitions, a divider, a contact or wire directory, or an inapplicable unfilled annex is REFERENCE_ONLY, and NO_ELIGIBLE_DATA is kept for pages that print substantive completed content falling outside the allowed categories.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC607","89188919c2905e70708febd40bfdf0e406a89a69abccd46310a15a437ac6ec7a","Subscription","05-fund-legal-docs","SECONDARY","ADJUDICATED","5","ELIGIBLE_DATA_EXTRACTED","YES","1. Background Information and General Questions","subscription_reference","1","1","Counted off page-005.png: question 1.2, 'Amount of Subscription Requested', is completed with '$25 million', which is one requested_commitment record. Question 1.1 names the purchaser, but no whitelisted category covers a subscriber name, so it is carried on the document_context row instead and produces no record here; the 1.3 checkboxes on this page are all unmarked. The completed answers on this form sit in an annotation layer the TXT does not carry, so the page reads as an empty form in text and only the image shows what was filled in. Both lanes worked from the TXT here and reported zero.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC607","89188919c2905e70708febd40bfdf0e406a89a69abccd46310a15a437ac6ec7a","Subscription","05-fund-legal-docs","SECONDARY","ADJUDICATED","6","ELIGIBLE_DATA_EXTRACTED","YES","1. Background Information and General Questions","subscription_reference","1","1","Counted off page-006.png: the 1.3 form-of-ownership list continues here and category (k), governmental plan, is marked X, which is one subscriber_entity_type record. The benefit plan investor percentage and date of determination above it are blank, and the ERISA Title I 'Yes' beneath it is a representation, so neither produces a record. The completed answers on this form sit in an annotation layer the TXT does not carry, so the page reads as an empty form in text and only the image shows what was filled in. Both lanes worked from the TXT here and reported zero.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC607","89188919c2905e70708febd40bfdf0e406a89a69abccd46310a15a437ac6ec7a","Subscription","05-fund-legal-docs","SECONDARY","ADJUDICATED","7","REFERENCE_ONLY","YES","","","0","0","A blank request for additional contact persons, their titles and contact details. A contact directory, and personal identifiers are excluded for this document type. Both lanes labelled every zero-count page NO_ELIGIBLE_DATA. The zeros are right on the pages that carry none of this document type's categories, but the label is not: a page of instructions, definitions, a divider, a contact or wire directory, or an inapplicable unfilled annex is REFERENCE_ONLY, and NO_ELIGIBLE_DATA is kept for pages that print substantive completed content falling outside the allowed categories.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC607","89188919c2905e70708febd40bfdf0e406a89a69abccd46310a15a437ac6ec7a","Subscription","05-fund-legal-docs","SECONDARY","ADJUDICATED","8","REFERENCE_ONLY","YES","","","0","0","The purchaser's correspondence chart: names, titles and contact routes. A contact directory of excluded personal detail. Both lanes labelled every zero-count page NO_ELIGIBLE_DATA. The zeros are right on the pages that carry none of this document type's categories, but the label is not: a page of instructions, definitions, a divider, a contact or wire directory, or an inapplicable unfilled annex is REFERENCE_ONLY, and NO_ELIGIBLE_DATA is kept for pages that print substantive completed content falling outside the allowed categories.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC607","89188919c2905e70708febd40bfdf0e406a89a69abccd46310a15a437ac6ec7a","Subscription","05-fund-legal-docs","SECONDARY","ADJUDICATED","9","NO_ELIGIBLE_DATA","YES","","","0","0","NO_ELIGIBLE_REASON: tax questions, being the purchaser's tax year end, state of residence and taxpayer identification. None of the seven subscription_reference categories covers a tax attribute of the subscriber, and taxpayer identifiers are excluded outright. Zero records, as both lanes found.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC607","89188919c2905e70708febd40bfdf0e406a89a69abccd46310a15a437ac6ec7a","Subscription","05-fund-legal-docs","SECONDARY","ADJUDICATED","10","REFERENCE_ONLY","YES","","","0","0","A wire instructions page. Bank and wire data is excluded outright for this document type. Both lanes labelled every zero-count page NO_ELIGIBLE_DATA. The zeros are right on the pages that carry none of this document type's categories, but the label is not: a page of instructions, definitions, a divider, a contact or wire directory, or an inapplicable unfilled annex is REFERENCE_ONLY, and NO_ELIGIBLE_DATA is kept for pages that print substantive completed content falling outside the allowed categories.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC607","89188919c2905e70708febd40bfdf0e406a89a69abccd46310a15a437ac6ec7a","Subscription","05-fund-legal-docs","SECONDARY","ADJUDICATED","11","REFERENCE_ONLY","YES","","","0","0","Section 2, the additional questions for purchasers who are individuals. This purchaser is an entity and the form directs it to skip the section, which is left unfilled. Both lanes labelled every zero-count page NO_ELIGIBLE_DATA. The zeros are right on the pages that carry none of this document type's categories, but the label is not: a page of instructions, definitions, a divider, a contact or wire directory, or an inapplicable unfilled annex is REFERENCE_ONLY, and NO_ELIGIBLE_DATA is kept for pages that print substantive completed content falling outside the allowed categories.","claude-sonnet-5+gpt-5+claude-opus-5"
