wide_row_id,document_id,route,canonical_doc_type,page_id,source_page,source_section,source_table,source_row_label,source_occurrence,column_group,subject_type,subject_alias_id,subject_entity_id,subject_name,subject_standardized_name,subject_manager_name,asset_class,strategy,geography,vintage_year,horizon,as_of_date_raw,as_of_date,period_start,period_end,currency,unit_scale,unit_scale_multiplier,staff_count,lockup,redemption_notice,position_limit,leverage,liquidity,minimum_investment,service_provider_count,ownership_percentage,aum,performance_fee,management_fee,observation_ids,observation_count,unparsed_values,scale_note,collision_note
465e936c81af32dd72d4,SRC107,05-fund-legal-docs,DDQ,a429b83d55424aa61c07,11,,FUND ASSETS,List the total assets under management and their respective changes over the last year,1,,fund,b1f3b0fc4ca76a5495ae,FUND_0346,Bear Stearns High Grade Structured Credit Strategies Fund,Bear Stearns High Grade Structured Credit Strategies Fund,Bear Stearns Asset Management,,,,,,"March 31, 2006",2006-03-31,,,USD,billions,1000000000,,,,,,,,,,1.495,,,89c58333f0f835e2af72,1,,,
5d3840d40313101c057a,SRC107,05-fund-legal-docs,DDQ,a429b83d55424aa61c07,11,,FUND ASSETS,List the total assets under management and their respective changes over the last year,2,,fund,b1f3b0fc4ca76a5495ae,FUND_0346,Bear Stearns High Grade Structured Credit Strategies Fund,Bear Stearns High Grade Structured Credit Strategies Fund,Bear Stearns Asset Management,,,,,,"March 31, 2005",2005-03-31,,,USD,billions,1000000000,,,,,,,,,,1.267,,,42f89cfcb6bb981db891,1,,,
f376b215cac362485d12,SRC107,05-fund-legal-docs,DDQ,a429b83d55424aa61c07,11,,FUND ASSETS,Please list the size of assets by investment vehicle,1,,fund,4473cea2f3eea396f3ef,FUND_0797,Onshore Feeder,Onshore Feeder,Bear Stearns Asset Management,,,,,,,,,,USD,millions,1000000,,,,,,,,,,450,,,4734d8ef46c1084fc14c,1,,,
ebe992be696c3c5b8773,SRC107,05-fund-legal-docs,DDQ,a429b83d55424aa61c07,11,,FUND ASSETS,Please list the size of assets by investment vehicle,2,,fund,8a7b7f840605b2538442,FUND_0794,Offshore Feeder,Offshore Feeder,Bear Stearns Asset Management,,,,,,,,,,USD,billions,1000000000,,,,,,,,,,1,,,3aecb1df64d45d41c0e5,1,,,
df9cd2e2c5d1d3210f57,SRC107,05-fund-legal-docs,DDQ,a429b83d55424aa61c07,11,,FUND ASSETS,Please list the size of assets by investment vehicle,3,,fund,aec9dda95ab01476fca7,FUND_1024,Yen Feeder,Yen Feeder,Bear Stearns Asset Management,,,,,,,,,,USD,millions,1000000,,,,,,,,,,30,,,b287da14819cbdb251da,1,,,
35a9f59ff5f6d05b9de6,SRC107,05-fund-legal-docs,DDQ,a429b83d55424aa61c07,11,,FUND ASSETS,Please list the size of the fund's net assets,1,,fund,b1f3b0fc4ca76a5495ae,FUND_0346,Bear Stearns High Grade Structured Credit Strategies Fund,Bear Stearns High Grade Structured Credit Strategies Fund,Bear Stearns Asset Management,,,,,,"March 31, 2006",2006-03-31,,,USD,billions,1000000000,,,,,,,,,,1.495,,,4824baf41772e3f24310,1,,,
6d5e4baa98a5a7f0c116,SRC107,05-fund-legal-docs,DDQ,a429b83d55424aa61c07,11,,FUND ASSETS,What percentage of assets is represented by the largest investor,1,,investor,e82a5c06e5dfd3dbe97b,LP_0014,largest investor,largest investor,,,,,,,,,,,,absolute,1,,,,,,,,,2,,,,11f2fb2a549d9a321d4f,1,,,
ef82fc641c72267347fb,SRC107,05-fund-legal-docs,DDQ,8d75b5522213e74c8545,12,,WITHDRAWALS,What were the largest withdrawals in your fund since inception?,1,,fund,b1f3b0fc4ca76a5495ae,FUND_0346,Bear Stearns High Grade Structured Credit Strategies Fund,Bear Stearns High Grade Structured Credit Strategies Fund,Bear Stearns Asset Management,,,,,,,,,,,absolute,1,,,,,,4.5,,,,,,,a10cbcd1a0dd2f0d700e,1,,,
0c7eead04fbda7548f8a,SRC107,05-fund-legal-docs,DDQ,307870c559c22cd3e24e,13,,MANAGER TRACK RECORD,Number of portfolios/accounts managed by the company,1,,fund,967f95955138f20aedb8,FUND_0630,HighYield Opportunities Fund,HighYield Opportunities Fund,,,,,,,,,,,USD,millions,1000000,,,,,,,,,,50,,,cd4482e74ab13a91753a,1,,,
9e4ebcc689885f6b0cd7,SRC107,05-fund-legal-docs,DDQ,307870c559c22cd3e24e,13,,MANAGER TRACK RECORD,Total assets managed/advised by the company,1,,manager,d3764236d007ddff2438,MGR_0097,BSAM,BSAM,,,,,,,"March 31, 2006",2006-03-31,,,USD,billions,1000000000,,,,,,,,,,36.1,,,304fdf2ad87395ab2ded,1,,,
