wide_row_id,document_id,route,canonical_doc_type,page_id,source_page,source_structure_type,source_section,source_table,definition_keys,definition_text,applies_to,evidence_quote,observation_ids,observation_count
8f18f383f1f83113a5d9,SRC063,02-performance,Performance,60fe231d2bc92d892b10,1,FOOTNOTE,Real Assets,Real Assets Ending Market Value & Performance Summary (By Partnership),**,**Market value and total return includes the impact of CalPERS foreign currency hedges on the underlying Real Assets partnership.,Partnership rows marked **,**Market value and total return includes the impact of CalPERS foreign currency hedges on the underlying Real Assets partnership.,152f7907bd977d1f64b7,1
b1a15f76d8035c862177,SRC063,02-performance,Performance,60fe231d2bc92d892b10,1,FOOTNOTE,Real Assets,Real Assets Ending Market Value & Performance Summary (By Partnership),*NM,"*NM (not meaningful) generally applies to instances when a portfolio or partnership is either funding or liquidating. In these instances, any profit and loss relative to a small capital deployed can materially distort time weighted return results.",NM cells in the Total Return columns,"*NM (not meaningful) generally applies to instances when a portfolio or partnership is either funding or liquidating. In these instances, any profit and loss relative to a small capital deployed can",b05b02e3aa328ae357e7,1
3b2823a3bba73a8c0eb5,SRC063,02-performance,Performance,60fe231d2bc92d892b10,1,FOOTNOTE,Real Assets,Real Assets Ending Market Value & Performance Summary (By Partnership),1,"Market values and time weighted returns of Real Asset Partnerships are net of investment expenses and are computed by AREIS Investment Book of Record and reflect financial statements received through the end of the reporting period. Only partnerships with asset values greater than $50,000 are included in reporting.",Market values and time weighted returns of Real Asset Partnerships,1 Market values and time weighted returns of Real Asset Partnerships are net of investment expenses and are computed by AREIS Investment Book of Record and reflect financial statements,29e9090ce9825949ff44,1
1158bf5964eda39ee15e,SRC063,02-performance,Performance,26e93aef03cdd8e5b2cb,2,FOOTNOTE,Real Assets,Real Assets Ending Market Value & Performance Summary (By Partnership),**,**Market value and total return includes the impact of CalPERS foreign currency hedges on the underlying Real Assets partnership.,Partnership rows marked **,**Market value and total return includes the impact of CalPERS foreign currency hedges on the underlying Real Assets partnership.,b87727478e4bf5ae74f8,1
f592b47ef8533db93674,SRC063,02-performance,Performance,26e93aef03cdd8e5b2cb,2,FOOTNOTE,Real Assets,Real Assets Ending Market Value & Performance Summary (By Partnership),*NM,"*NM (not meaningful) generally applies to instances when a portfolio or partnership is either funding or liquidating. In these instances, any profit and loss relative to a small capital deployed can materially distort time weighted return results.",NM cells in the Total Return columns,"*NM (not meaningful) generally applies to instances when a portfolio or partnership is either funding or liquidating. In these instances, any profit and loss relative to a small capital deployed can",94b0c9dd91402fb73de6,1
c360fc08d2240b3340c6,SRC063,02-performance,Performance,26e93aef03cdd8e5b2cb,2,FOOTNOTE,Real Assets,Real Assets Ending Market Value & Performance Summary (By Partnership),1,"Market values and time weighted returns of Real Asset Partnerships are net of investment expenses and are computed by AREIS Investment Book of Record and reflect financial statements received through the end of the reporting period. Only partnerships with asset values greater than $50,000 are included in reporting.",Market values and time weighted returns of Real Asset Partnerships,1 Market values and time weighted returns of Real Asset Partnerships are net of investment expenses and are computed by AREIS Investment Book of Record and reflect financial statements,85d9571b8db3c253c5df,1
b7f10b01f361c6efb947,SRC099,04-quarterly-report,Quarterly_Report,5af1068aee824e61deac,5,FOOTNOTE,Portfolio Snapshot for Real Estate,Portfolio Snapshot for Real Estate,a,The change in capital committed during the period is attributable to fluctuations in exchange rates for non-us denominated funds and new commitments made during the period.,,The change in capital committed during the period is attributable to fluctuations in exchange rates for non-us denominated funds and new commitments made during the period.,7bcf72ab26747a48d8ef,1
1c6e5a1c95c7946ddff6,SRC099,04-quarterly-report,Quarterly_Report,5af1068aee824e61deac,5,FOOTNOTE,Portfolio Snapshot for Real Estate,Portfolio Snapshot for Real Estate,b,Includes Gross PTRES Exposure,,Includes Gross PTRES Exposure,5a49bb59c484ef7df0c9,1
b2930e1b6e7aabd557f5,SRC099,04-quarterly-report,Quarterly_Report,3bf2ac1796e7fbcb010e,6,FOOTNOTE,RE Performance by Investment Structure – 2Q17,RE Performance by Investment Structure – 2Q17,a,Inception Dates Direct-4Q1980 Funds (Closed-end)-1Q1993 Funds (Open-end)-1Q2006 Internal Program -2Q2013 PTRES-3Q1995,,Inception Dates,7629435e5fa75a508da8,1
1682db429b354473215c,SRC099,04-quarterly-report,Quarterly_Report,3bf2ac1796e7fbcb010e,6,FOOTNOTE,RE Performance by Investment Structure – 2Q17,RE Performance by Investment Structure – 2Q17,b,Time-weighted,,Time-weighted,7d0fd8fa0d7240d6bfce,1
