wide_row_id,document_id,route,canonical_doc_type,page_id,source_page,document_name,subject_type,subject_alias_id,manager_alias_id,manager_entity_id,manager_name,investor_alias_id,investor_entity_id,investor_name,portfolio_name,asset_class,strategy,geography,vintage_year,sector,canonical_asset_class,canonical_strategy,canonical_sub_strategy,canonical_sector,as_of_date_raw,as_of_date,period_start_raw,period_start,period_end_raw,period_end,currency,observation_ids,observation_count
0ce7c539f4dd331c8572,SRC028,06-statements-and-economics,Fee_Report,3c984c550e0c5ccb8335,1,PSERS Base Management Fees – External Management,document,de94f1dba7124fafc2c0,,,,6833541c4aeaf1531d4a,LP_0020,PSERS,,,,,,,,,,,"June 30, 2017",2017-06-30,,,,,,6396989ecfe549c4c5cc,1
398c0475e2ccec2163c4,SRC034,01-financials,Financials,be772b1c0dcf636b24c5,3,"VERSA CAPITAL FUND II, L.P. AND VERSA CAPITAL FUND II-A, L.P.",document,5c89295c912b799011d1,,,,,,,,,,,,,,,,,"March 31, 2018",2018-03-31,,,,,,1d5fb618817ecfdc6df5,1
e2b7622923d60df2e478,SRC035,02-performance,Performance,5bcd1c80c37f10370987,1,Oregon Growth Account Private Equity Program,document,5367b9df09e58d1e5be9,95905abb89a67c8f44fc,MGR_0111,MEKETA INVESTMENT GROUP,5b41b54d5d4ac261ff7f,LP_0018,Oregon Growth Account,Private Equity Program,,,,,,,,,,"December 31, 2021",2021-12-31,,,,,,a84b69328924c8f27ccd,1
6a6f492b67c7a9cdfd01,SRC058,02-performance,Performance,7cabc47efb72c4b097ed,1,Oregon Public Employees' Retirement Fund,document,81a4c798afa4be266db8,,,,43f1a89190be27f1b844,LP_0034,Oregon Public Employees' Retirement Fund,Real Estate Portfolio,Real Estate,,,,,real_estate,,,,"Dec 31, 2024",2024-12-31,,,,,USD,922e8d8ad57926079d63,1
8e638c3b4b8ecfa682ec,SRC060,02-performance,Performance,bac81665ea21767e0444,1,Alternatives Portfolio,document,febc5f65c7d5c2fa2a5d,,,,94291c30b28bce796caa,LP_0034,Oregon Public Employees Retirement Fund,Alternatives Portfolio,,,,,,,,,,"September 30, 2022",2022-09-30,,,,,USD,9653e8aeb72cf9f44e60,1
6ffc123cd22164bdf9f1,SRC063,02-performance,Performance,60fe231d2bc92d892b10,1,Public Employees' Retirement Fund (PERF),document,592d515df8cdc3ef8399,,,,9d285e309f31e31b582b,LP_0021,Public Employees' Retirement Fund (PERF),Real Assets,,,,,,,,,,"June 30, 2023",2023-06-30,,,,,,3f909a02544059d27146,1
688c7bba0cc22eeaa58c,SRC099,04-quarterly-report,Quarterly_Report,3dbf14d65db231c6d83b,1,Real Estate,document,c05790ef306ca15c0eba,,,,6f9c579f2fb5617912e8,LP_0003,PUBLIC SCHOOL EMPLOYEES’ RETIREMENT SYSTEM,Real Estate,Real Estate,,,,,real_estate,,,,,,,,Second Quarter 2017,,,fcd7f60a6ca0a6e6268e,1
10180e307830999d881a,SRC102,01-financials,Financials,e15f87eea19fd91dd359,2,"JEFFERSON PARTNERS FUND IV (PA), L.P.",document,ef17be046f72a7348b84,,,,,,,,,,,,,,,,,"December 20, 2016",2016-12-20,,,,,CAD,b4fa8b6ef9b108ffa130,1
36bfc4f07ac57a8c7c55,SRC107,05-fund-legal-docs,DDQ,9a9dd3a1e7d2dc30f70a,4,AIMA's Illustrative Questionnaire for Due Diligence Review of Hedge Fund Managers,document,b0183d18e4c67200e54b,83a351e57cd59e59c20c,MGR_0095,Bear Stearns Asset Management Inc.,,,,,,,,,,,,,,"MONDAY, 01 MAY 2006",2006-05-01,,,,,,ff36051386746c057364,1
4173cdb86bef6322dab0,SRC132,06-statements-and-economics,Valuation,fe06e6857899c6873eb7,1,JLL Income Property Trust,document,cdb39641f1a2f7b71e5d,,,,,,,,,,,,,,,,,,,,,,,,94e023208b0898436ba5,1
3ca2c5575d568aef440a,SRC147,01-financials,Financials,c93c5d55ad38cff94ae8,1,PSERS,reporting_entity,93268171da4b7522ef23,,,,,,,,,,,,,,,,,,,,,,,,d827408bb5cfcaaf35d8,1
f33f112ec04aa0305938,SRC151,07-institutional-mission,Stewardship_Proxy_Report,2626f4a1f114b69dd996,3,2017 PROXY SEASON REVIEW & 2018 PREVIEW,document,5fd6a2bba2dc22abe4e1,2ce3132ddee7f9b6dea6,MGR_0101,Glass Lewis,,,,,,,,,,,,,,,,,,,,,9667b78b48c714f53066,1
967183dc5b3d98e1746b,SRC152,01-financials,Financials,8376037b83d0dcd2db8e,1,PSERS,document,3bad12bdad5d21198181,,,,,,,,,,,,,,,,,"June 30, 2017 and 2016",,,,,,,f7f869b22848526cb688,1
6ec14c893c4333263ab3,SRC192,03-institutional-report,Institutional_Report,f5d98bc5cc36eee4b0e0,1,2021 Annual Comprehensive Financial Report,document,2ec8faea771bca2531ea,1156deac76b72a88d423,MGR_0121,Utah Retirement Systems,,,,Utah Retirement Investment Fund,,,,,,,,,,2021,2021-12-31,,,,,,bbd673d3497362006dc5,1
e041dd769b966f0a4b44,SRC216,03-institutional-report,Institutional_Report,c810b520ae22037f281f,1,Monthly Transaction Report,document,91bd2858046c0615e392,,,,f609a15cb2ab52e79744,LP_0017,New York State Common Retirement Fund,,,,,,,,,,,April 2026,2026-04-30,,,,,,020601f15bd2748e52a7,1
44be77da6ea8dd4f4cd8,SRC247,06-statements-and-economics,NAV_Statement,330378ab203472d46720,1,"Starwood Real Estate Income Trust, Inc.",document,1efe094dd649feacd035,,,,,,,,,,,,,,,,,"May 31, 2024",2024-05-31,,,,,,c30e9ab8667619fb07e3,1
3805f75dfbe01313edcf,SRC329,07-institutional-mission,Stewardship_Proxy_Report,36b96e06046868e370ea,7,Universities Superannuation Scheme Governance Supplement 2025,document,a6945a69f8ec13accd31,,,,76259c598881eeba7018,LP_0023,Universities Superannuation Scheme Limited,,,,,,,,,,,31 March 2025,2025-03-31,1 April 2024,2024-04-01,31 March 2025,2025-03-31,,3c6aaabb9d065d7a5886,1
c5abe8518e21f2fe6c5a,SRC339,07-institutional-mission,Stewardship_Proxy_Report,bddee753bc4b55cad28d,6,2025 Stewardship Report,document,c4374b0d42f1bae6e158,,,,5cbab07013863a3cd883,LP_0011,Guardians of New Zealand Superannuation,NZ Super Fund,,,,,,,,,,30 June 2025,2025-06-30,,,30 June 2025,2025-06-30,,695f99e2ab8ab14597bf,1
4176dda8a715809324f5,SRC356,03-institutional-report,Institutional_Report,73b2f47e1ee0defd4baa,2,Report on Certain Specified Data,document,932c7eec720064a3c677,dd4bcc523d920533106e,MGR_0119,University of Texas/Texas A&M Investment Management Company (UTIMCO),9cb9d2e3aaf7a6e4977b,LP_0022,The University of Texas System,Permanent University Fund,,,,,,,,,,"June 30, 2025",2025-06-30,,,,,,cb8b983be1fc5e33904a,1
f732029d35e4c632fc79,SRC363,02-performance,Performance,53760376983beb853495,1,University Endowment Fund Profile,document,350539dc183d1a15ae12,,,,52d45ae359b0e37f6652,LP_0025,University of Michigan,University Long Term Portfolio,,,,,,,,,,"June 30, 2024",2024-06-30,,,,,,53c5c44cdc23d84005f2,1
9ea5853e767f39bb52ea,SRC373,07-institutional-mission,Foundations_Annual,6146cab38b400f167880,1,THE DAVID AND LUCILE PACKARD FOUNDATION,document,f94a7ce9b891b6adcaa5,,,,,,,,,,,,,,,,,,,2023,2023-12-31,,,,b81d204876edb3006a18,1
8e9e430a29b86408baa3,SRC375,03-institutional-report,Institutional_Report,bdc95cf071c8956478aa,1,Annual Report 2025 Highlights,document,d279a6dbfa78d348bfe0,567bc1b8d20385400acb,MGR_0120,University of Virginia Investment Management Company,d05c6a40c9cd5da0ffcf,LP_0027,University of Virginia,Long Term Pool,,,,,,,,,,"June 30, 2025",2025-06-30,,,,,,35f6bc1cda389f7ac3a8,1
d169236653a0f24dffcf,SRC376,01-financials,Financials,5efc10844e0686420003,1,GATES FOUNDATION,document,ff92c71e9c9c4237e508,,,,,,,,,,,,,,,,,"December 31, 2024 and 2023",,,,,,,973e1948b2d97edcc5f3,1
eba8d124260d29fbfce5,SRC377,01-financials,Financials,5be7034a390e09137c2e,3,BILL & MELINDA GATES FOUNDATION TRUST,document,62d37b999a8f7367cb62,,,,b1ab1cfd5b63641ac308,LP_0007,BILL & MELINDA GATES FOUNDATION TRUST,,,,,,,,,,,"December 31, 2016 and 2015",,,,,,,9bdda3fe725d4b331968,1
504c1b001178c852d77a,SRC384,04-quarterly-report,Quarterly_Report,20f6b24377620fccb688,1,"REVIEW OF THIRD QUARTER 2024–25 FISCAL YEAR PERFORMANCE FOR UC RETIREMENT, ENDOWMENT, AND WORKING CAPITAL ASSETS",document,d8ce20eff7f1c6f13a21,dd5495a79a2f2b1c996c,MGR_0113,Office of the Chief Investment Officer of the Regents (UC Investments),4409c16940c92c89ce61,LP_0024,University of California,,,,,,,,,,,"March 31, 2025",2025-03-31,,,,,,b8f7e7acca766296a942,1
a54031a24a33278b0ccb,SRC389,03-institutional-report,Institutional_Report,8837b1c185d2909e936d,2,USC Foundations Annual Endowment Report,document,9ef913402de3b00c4567,647df149655147692e32,MGR_0118,University of South Carolina Foundations,f04bac88d76f870ef6d5,LP_0026,University of South Carolina,Consolidated Investment Portfolio,,,,,,,,,,"June 30, 2025",2025-06-30,,,,,,f36af63abccf1de33bc9,1
f592ec07f663c50c15ab,SRC407,06-statements-and-economics,Schedule_Inv,d441fab138de7dea8fa7,1,Pomona Investment Fund,document,dbae5f3f53cb2e9f5f32,,,,,,,,,,,,,,,,,"December 31, 2025",2025-12-31,,,,,,0fce24830edcfb6ccc78,1
a8eb8e37d711e60a30c6,SRC421,05-fund-legal-docs,PPM,99b0e18686c710959cd1,1,Apollo S3 Private Markets Fund,document,c6cf7e311fa20b11f59c,9861d7512b4b39a94dc8,MGR_0123,"Apollo S3 RIC Management, L.P.",,,,,,,,,,,,,,"April 11, 2025",2025-04-11,,,,,,0b2f1d0a56820ec51334,1
5874af3e2e1355957e8e,SRC457,04-quarterly-report,Quarterly_Report,672dc8cc53924aba83fc,2,"December 31, 2020 Quarterly Investment Report",document,853240fec9226535c654,aea443a984ceabd1d9a9,MGR_0103,Hamilton Lane,17a1e2f9eed17acd3815,LP_0016,New Mexico Educational Retirement Board,,,,,,,,,,,"December 31, 2020",2020-12-31,,,"December 31, 2020",2020-12-31,,c875ec7ee9114606bf4a,1
3d6d46260a7d277af67a,SRC462,06-statements-and-economics,PCAP,db905eccc0981415e2dd,1,"Global Infrastructure Partners II-C, L.P.",document,e681939ed1b7b6b60b85,,,,bba383117ed18b2edca4,LP_0001,Northumberland County Council,,,,,,,,,,,"March 31, 2017",2017-03-31,,,,,,2954d569628a1129f7fe,1
333ff32e98a056339415,SRC463,06-statements-and-economics,PCAP,b3bde77292baed7c6257,1,ANTIN INFRASTRUCTURE PARTNERS II LP,document,e65df3d3ee785a621435,,,,cd154d838c0f8cc1a7f3,LP_0001,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,,,,,,,,,,,31/03/2017,2017-03-31,,,,,,529ac383606019dc8c8f,1
6bb157421ebeb822f103,SRC594,02-performance,Performance,9e3d4993e4226d9b2dea,1,Statement of Investment Performance Statistics and Independent Auditor’s Report,document,be23bd9881568cd8d7d2,4a09646de5c304e952fc,MGR_0119,The University of Texas/Texas A&M Investment Management Company (UTIMCO),b09548240da321021cf3,LP_0036,The Board of Regents of The University of Texas System (UT Board),,,,,,,,,,,"August 31, 2025",2025-08-31,,,"August 31, 2025",2025-08-31,,c48e07bc7518dbdecc6c,1
