wide_row_id,document_id,route,canonical_doc_type,page_id,source_page,source_section,source_table,source_row_label,source_occurrence,column_group,subject_type,subject_alias_id,subject_entity_id,subject_name,subject_standardized_name,subject_manager_name,asset_class,strategy,geography,vintage_year,sector,canonical_asset_class,canonical_strategy,canonical_sub_strategy,canonical_sector,horizon,as_of_date_raw,as_of_date,period_start,period_end,currency,unit_scale,unit_scale_multiplier,method_qualifier,fee_basis,definition_keys,value_scope,management_fee,carried_interest,catch_up,waterfall,clawback,fee_offset,organizational_expense,recycling,fund_term,term_extension,commitment_period,investment_period,governing_law,confidentiality,observation_ids,observation_count,unparsed_values,scale_note,collision_note,qualifier_note
9c4c41640f243978f36b,SRC421,05-fund-legal-docs,PPM,32d35ec990a47b4d4e8b,24,SUMMARY OF OFFERING TERMS,,Fees and Expenses,1,,fund,cb486851056462447f8b,FUND_1061,Apollo S3 Private Markets Fund,Apollo S3 Private Markets Fund,"Apollo S3 RIC Management, L.P.",,,,,,,,,,,,,,,,absolute,1,,,,,,,,,,,"The Fund will bear certain of its organizational and initial offering costs in connection with this offering. The Fund’s initial offering costs, whether borne by the Adviser or the Fund, are being capitalized and amortized over the 12-month period following the commencement of operations. The Fund’s organizational costs are expensed as incurred.",,,,,,,,8c3e62410fc2272c1439,1,,,,
625a1ceff39bb06f6b77,SRC421,05-fund-legal-docs,PPM,32d35ec990a47b4d4e8b,24,SUMMARY OF OFFERING TERMS,SUMMARY OF OFFERING TERMS,Management Fee,1,,fund,cb486851056462447f8b,FUND_1061,Apollo S3 Private Markets Fund,Apollo S3 Private Markets Fund,"Apollo S3 RIC Management, L.P.",,,,,,,,,,,,,,,,absolute,1,,,,,"In consideration of the advisory services provided by the Adviser, the Fund pays the Adviser a fee of 1.50% on an annualized basis of the value of the Fund's net assets calculated and accrued monthly as of the last business day of each month and payable monthly (the ""Management Fee""). For purposes of determining the Management Fee payable to the Adviser, the value of the Fund's net assets will be calculated prior to the inclusion of the Management Fee payable to the Adviser and prior to any reduction for any fees and expenses of the Fund for that month. Purchased Shares are incorporated into the beginning of month NAV and included in the computation of the Management Fee payable. The Management Fee will be calculated before giving effect to any repurchase of Shares by the Fund or any distributions by the Fund. The Management Fee will be payable in arrears within 5 business days after the completion of the NAV computation for the month. The Management Fee is paid to the Adviser out of the Fund's assets, and therefore decreases the net profits or increases the net losses of the Fund.",,,,,,,,,,,,,,567245bfe4c5b5cfa7ab,1,,,,
d869c657bb872924892d,SRC421,05-fund-legal-docs,PPM,980c382a3feb7ce897f9,25,SUMMARY OF OFFERING TERMS,SUMMARY OF OFFERING TERMS,Expense Limitation Agreement,1,,other_printed_scope,9c1ede23ee2a5804b666,,Expense Limitation Agreement,,,,,,,,,,,,,,,,,,absolute,1,,,,,,,,,,,,,,The Expense Limitation Agreement may be extended for additional one-year periods with the consent of the Adviser and the Fund.,,,,,bde334460ba704dc697b,1,,,,
ab5835082a46d6cfddee,SRC421,05-fund-legal-docs,PPM,ca9252adab359f8bb785,27,SUMMARY OF OFFERING TERMS,SUMMARY OF OFFERING TERMS,Term,1,,fund,cb486851056462447f8b,FUND_1061,Apollo S3 Private Markets Fund,Apollo S3 Private Markets Fund,"Apollo S3 RIC Management, L.P.",,,,,,,,,,,,,,,,absolute,1,,,,,,,,,,,,,The Fund’s term is perpetual unless the Fund is otherwise terminated under the terms of the Declaration of Trust.,,,,,,e152442306281ee929bb,1,,,,
69c1514c79830951718d,SRC421,05-fund-legal-docs,PPM,813e8c9e36f0a2f29515,29,SUMMARY OF FEES AND EXPENSES,Estimated Annual Operating Expenses,Management Fee,1,Class I2 Shares,fund,cb486851056462447f8b,FUND_1061,Apollo S3 Private Markets Fund,Apollo S3 Private Markets Fund,"Apollo S3 RIC Management, L.P.",,,,,,,,,,,,,,,,absolute,1,,,2,,1.50%,,,,,,,,,,,,,,e2f2bc1fbac224860004,1,,,,
d4396a350868bd7226a6,SRC421,05-fund-legal-docs,PPM,813e8c9e36f0a2f29515,29,SUMMARY OF FEES AND EXPENSES,Estimated Annual Operating Expenses,Management Fee,1,Class S2 Shares,fund,cb486851056462447f8b,FUND_1061,Apollo S3 Private Markets Fund,Apollo S3 Private Markets Fund,"Apollo S3 RIC Management, L.P.",,,,,,,,,,,,,,,,absolute,1,,,2,,1.50%,,,,,,,,,,,,,,01ffb8dbed9ac2124818,1,,,,
5a73e877efe0abf1a636,SRC421,05-fund-legal-docs,PPM,efa390bc36fc6bc4bdbb,33,THE FUND,THE FUND,Term,1,,fund,cb486851056462447f8b,FUND_1061,Apollo S3 Private Markets Fund,Apollo S3 Private Markets Fund,"Apollo S3 RIC Management, L.P.",,,,,,,,,,,,,,,,absolute,1,,,,,,,,,,,,,The Fund’s term is perpetual unless the Fund is otherwise terminated under the terms of the Declaration of Trust.,,,,,,d6cc3f9f0e9d782e1811,1,,,,
8bf3c69c0a8ef473d595,SRC421,05-fund-legal-docs,PPM,0c9db879af0a12756683,85,POTENTIAL CONFLICTS OF INTEREST,POTENTIAL CONFLICTS OF INTEREST,Fees Paid to Apollo,1,,fund,cb486851056462447f8b,FUND_1061,Apollo S3 Private Markets Fund,Apollo S3 Private Markets Fund,"Apollo S3 RIC Management, L.P.",,,,,,,,,,,,,,,,absolute,1,,,,,,,,,,"Certain fees received by the Adviser will not be applied to reduce management fees and a portion of such fees will be retained by and be for the benefit of the Adviser or any of its affiliates or employees, in each case, in accordance with the fee arrangements set forth in the Advisory Agreement and Affiliate Administration Agreement, as applicable.",,,,,,,,,7cc4eeef4149536941dd,1,,,,
e44d8072a6a292a4fb7d,SRC421,05-fund-legal-docs,PPM,e4f6eefd25175a5c47bf,91,INVESTMENT ADVISORY AND MANAGEMENT AGREEMENT,Management Fee,Management Fee,1,,fund,cb486851056462447f8b,FUND_1061,Apollo S3 Private Markets Fund,Apollo S3 Private Markets Fund,"Apollo S3 RIC Management, L.P.",,,,,,,,,,,,,,,,absolute,1,,,,,"In consideration of the advisory services provided by the Adviser, the Fund pays the Adviser a monthly Management Fee at an annual rate of 1.50% based on the value of the Fund's net assets calculated and accrued monthly as of the last business day of each month. For purposes of determining the Management Fee payable to the Adviser, the value of the Fund's net assets will be calculated prior to the inclusion of the Management Fee payable to the Adviser and prior to any reduction for any fees and expenses of the Fund for that month. Purchased Shares are incorporated into the beginning of month NAV and included in the computation of the Management Fee payable. The Management Fee will be calculated before giving effect to any repurchase of Shares by the Fund or any distributions by the Fund. The Management Fee will be payable in arrears within 5 business days after the completion of the NAV computation for the month. The Management Fee is paid to the Adviser out of the Fund's assets, and therefore decreases the net profits or increases the net losses of the Fund. Purchased Shares are incorporated into the beginning of month NAV and included in the computation of the Management Fee payable. The Management Fee will be calculated before giving effect to any repurchase of Shares by the Fund or any distributions by the Fund as described in ""Repurchase of Shares."" The Management Fee is paid to the Adviser out of the Fund's assets, and therefore decreases the net profits or increases the net losses of the Fund. The Management Fee is payable in cash. The Fund could apply for exemptive relief from the SEC in the future that if granted would permit the Fund to pay the Adviser all or a portion of its Management Fee in Shares in lieu of paying the Adviser an equivalent amount of such fees in cash. As a condition of any such exemptive relief, the Adviser would have to commit not to sell any such Shares received in lieu of a cash payment of its Management Fee for at least 12 months from the date of issuance, except in exceptional circumstances. As of the date of this Prospectus, the Fund has not applied for such exemptive relief.",,,,,,,,,,,,,,02b72226d0d144e01cf0,1,,,,
5f9c2b562a8f25a4b2ee,SRC421,05-fund-legal-docs,PPM,7835b43b0fe4fc3e57c0,92,INVESTMENT ADVISORY AND MANAGEMENT AGREEMENT,Expense Limitation Agreement,Expense Limitation Agreement,1,,fund,cb486851056462447f8b,FUND_1061,Apollo S3 Private Markets Fund,Apollo S3 Private Markets Fund,"Apollo S3 RIC Management, L.P.",,,,,,,,,,,,,,,,absolute,1,,,,,,,,,,,,,,may be extended for additional one-year periods with the consent of the Adviser and the Fund,,,,,aabf6301efb67607ef10,1,,,,
859311b218f0f08e5361,SRC421,05-fund-legal-docs,PPM,7835b43b0fe4fc3e57c0,92,INVESTMENT ADVISORY AND MANAGEMENT AGREEMENT,Investment Advisory and Management Agreement,Investment Advisory and Management Agreement,1,,fund,cb486851056462447f8b,FUND_1061,Apollo S3 Private Markets Fund,Apollo S3 Private Markets Fund,"Apollo S3 RIC Management, L.P.",,,,,,,,,,,,,,,,absolute,1,,,,,,,,,,,,,"After the initial term of two years, the Investment Advisory and Management Agreement may continue in effect from year to year if such continuance is approved annually by either the Board or the vote of a majority of the outstanding voting securities of the Fund",,,,,,335b3e8db808572e74ea,1,,,,
fc856769ac9b613c99d0,SRC421,05-fund-legal-docs,PPM,7835b43b0fe4fc3e57c0,92,INVESTMENT ADVISORY AND MANAGEMENT AGREEMENT,Investment Advisory and Management Agreement and Reimbursement Arrangements,organizational and initial offering costs,1,,fund,cb486851056462447f8b,FUND_1061,Apollo S3 Private Markets Fund,Apollo S3 Private Markets Fund,"Apollo S3 RIC Management, L.P.",,,,,,,,,,,,,,,,absolute,1,,,,,,,,,,,The Fund will bear certain of its organizational and initial offering costs in connection with this offering. The Fund’s initial offering costs are being capitalized and amortized over the 12-month period following commencement of operations. The Fund’s organizational costs are expensed as incurred. The Adviser has agreed to advance those costs to the Fund. Such costs incurred by the Adviser are subject to recoupment by the Adviser in accordance with the Expense Limitation Agreement.,,,,,,,,2e308b2c0a5fc28f7fe0,1,,,,
5dcabe3c2633a4cdc6c5,SRC421,05-fund-legal-docs,PPM,eec53868b9e806bdf374,98,PLAN OF DISTRIBUTION,Distributor,Distribution Agreement,1,,fund,cb486851056462447f8b,FUND_1061,Apollo S3 Private Markets Fund,Apollo S3 Private Markets Fund,"Apollo S3 RIC Management, L.P.",,,,,,,,,,,,,,,,absolute,1,,,,,,,,,,,,,"After the initial term of two years, the Distribution Agreement will continue in effect with respect to the Fund for successive one-year periods, provided that each such continuance is specifically approved by a majority of the entire Board cast in person at a meeting called for that purpose or by a majority of the outstanding voting securities of the Fund and, in either case, also by a majority of the Independent Trustees.",,,,,,9354a67fab79a76fb819,1,,,,
1ca74c842b850695084d,SRC612,05-fund-legal-docs,LPA,c80f519228bb203f74c8,1,WITNESSETH:,,WHEREAS,1,,portfolio,7393411f22d2cf33b789,,Pennsylvania State Employees' Retirement Fund,,,,,,,,,,,,,,,,,,absolute,1,,,,,,,,,,,,,,,,,"WHEREAS, pursuant to Title 71, Sections 5101, et seq. of the Pennsylvania Consolidated Statutes (the ""Retirement Code"") and specifically Section 5931(a) thereof, SERS' Board has exclusive control and management of the Pennsylvania State Employees' Retirement Fund (herein the ""Fund""), with full power to invest the same, subject to terms and conditions imposed by law",,6cf4316cffe60c36a6cc,1,,,,
f85644ca7b93c72c8e7a,SRC612,05-fund-legal-docs,LPA,7ce13f4464e19076d5ca,13,20. Expiration and Termination,,(a) Expiration,1,,other_printed_scope,a51a7e5a327ad8d38e0d,,This Agreement,,,,,,,,,,,,,,,,,,absolute,1,,,,,,,,,,,,,This Agreement's initial term shall be five (5) years from the date first written above,,,,,,f8b5df7e82d0aa7ca3de,1,,,,
9f6735951c013696dced,SRC612,05-fund-legal-docs,LPA,7ce13f4464e19076d5ca,13,20. Expiration and Termination,,(a) Expiration,2,,other_printed_scope,a51a7e5a327ad8d38e0d,,This Agreement,,,,,,,,,,,,,,,,,,absolute,1,,,,,,,,,,,,,,this Agreement shall continue automatically for subsequent five (5) year terms for each extension at SERS' option unless terminated earlier as provided herein.,,,,,60986bbd96755d2b31c0,1,,,,
7437fa84b5123ca12d91,SRC612,05-fund-legal-docs,LPA,dc53753f1ae82d11b0a6,43,II. CONTRACTOR INTEGRITY PROVISIONS (August 2010),,a.,1,,other_printed_scope,6ed7f485454dd2663c3f,,Confidential information,,,,,,,,,,,,,,,,,,absolute,1,,,,,,,,,,,,,,,,,,"""Confidential information"" means information that a) is not already in the public domain; b) is not available to the public upon request; c) is not or does not become generally known to Contractor from a third party without an obligation to maintain its confidentiality; d) has not become generally known to the public through an act or omission of Contractor; or e) has not been independently developed by Contractor without the use of confidential information of the Commonwealth.",231b1a4b115aced83cc7,1,,,,
3cd09e96352bcd3fa63c,SRC612,05-fund-legal-docs,LPA,5c1bf031d81bbe778291,5,5. Compensation,,5. Compensation,1,,clause_party,f4ea464e856a3e99da0e,,MANAGER,,,,,,,,,,,,,,,,,,absolute,1,,,,,REDACTED,,,,,,,,,,,,,,f68579102e7a059383a8,1,,,,
