wide_row_id,document_id,route,canonical_doc_type,page_id,source_page,source_section,source_table,source_row_label,source_occurrence,column_group,subject_type,subject_alias_id,subject_entity_id,subject_name,subject_standardized_name,subject_manager_name,asset_class,strategy,geography,vintage_year,horizon,as_of_date_raw,as_of_date,period_start,period_end,currency,unit_scale,unit_scale_multiplier,return,irr,alpha,pme,direct_alpha,sharpe_ratio,tracking_error,yield,aum,fair_value,observation_ids,observation_count,unparsed_values,scale_note,collision_note
7d7986d053cf88074169,SRC063,02-performance,Performance,60fe231d2bc92d892b10,1,Real Assets Ending Market Value & Performance Summary (By Partnership),Real Assets Ending Market Value & Performance Summary (By Partnership),ARA China Long Term Hold,1,,fund,2de1bcf5fa869c2becd7,FUND_0302,ARA China Long Term Hold,ARA China Long Term Hold,ARA Asset Management,Real Assets,,,,,"June 30, 2023",2023-06-30,,,USD,millions,1000000,,,,,,,,,,907.1,d0f8dc20de53413ae779,1,,,
661110d9eb4e7c036c23,SRC063,02-performance,Performance,60fe231d2bc92d892b10,1,Real Assets Ending Market Value & Performance Summary (By Partnership),Real Assets Ending Market Value & Performance Summary (By Partnership),ARA China Long Term Hold,1,,fund,2de1bcf5fa869c2becd7,FUND_0302,ARA China Long Term Hold,ARA China Long Term Hold,ARA Asset Management,Real Assets,,,,1-Yr,"June 30, 2023",2023-06-30,,,,absolute,1,-18.4,,,,,,,,,,f8470972a04fb3434690,1,,,
325a8b18fea36da0ff5d,SRC063,02-performance,Performance,60fe231d2bc92d892b10,1,Real Assets Ending Market Value & Performance Summary (By Partnership),Real Assets Ending Market Value & Performance Summary (By Partnership),ARA China Long Term Hold,1,,fund,2de1bcf5fa869c2becd7,FUND_0302,ARA China Long Term Hold,ARA China Long Term Hold,ARA Asset Management,Real Assets,,,,10-Yr,"June 30, 2023",2023-06-30,,,,absolute,1,3.2,,,,,,,,,,ac4664b4e799b7f5dd5f,1,,,
1dcab7106b1a6b073108,SRC063,02-performance,Performance,60fe231d2bc92d892b10,1,Real Assets Ending Market Value & Performance Summary (By Partnership),Real Assets Ending Market Value & Performance Summary (By Partnership),ARA China Long Term Hold,1,,fund,2de1bcf5fa869c2becd7,FUND_0302,ARA China Long Term Hold,ARA China Long Term Hold,ARA Asset Management,Real Assets,,,,3-Yr,"June 30, 2023",2023-06-30,,,,absolute,1,-0.7,,,,,,,,,,7bfb7b58fc8c4187f14a,1,,,
b33a5880fd2b4b250b67,SRC063,02-performance,Performance,60fe231d2bc92d892b10,1,Real Assets Ending Market Value & Performance Summary (By Partnership),Real Assets Ending Market Value & Performance Summary (By Partnership),ARA China Long Term Hold,1,,fund,2de1bcf5fa869c2becd7,FUND_0302,ARA China Long Term Hold,ARA China Long Term Hold,ARA Asset Management,Real Assets,,,,5-Yr,"June 30, 2023",2023-06-30,,,,absolute,1,-2.9,,,,,,,,,,f2501af8a512513fb194,1,,,
461d647e85e15e26e4da,SRC063,02-performance,Performance,60fe231d2bc92d892b10,1,Real Assets Ending Market Value & Performance Summary (By Partnership),Real Assets Ending Market Value & Performance Summary (By Partnership),"Alinda Infrastructure Fund II, L.P.",1,,fund,ea205e18010bef493251,FUND_1026,"Alinda Infrastructure Fund II, L.P.","Alinda Infrastructure Fund II, L.P.",Astatine Investment Partners,Real Assets,,,,,"June 30, 2023",2023-06-30,,,USD,millions,1000000,,,,,,,,,,1.3,289f7948b733f6c704c2,1,,,
d8530a42fc12a3322f12,SRC063,02-performance,Performance,60fe231d2bc92d892b10,1,Real Assets Ending Market Value & Performance Summary (By Partnership),Real Assets Ending Market Value & Performance Summary (By Partnership),"Archmore International Infrastructure Fund II (B), L.P.",1,,fund,72d5d97d22106597ce6d,FUND_0304,"Archmore International Infrastructure Fund II (B), L.P.","Archmore International Infrastructure Fund II (B), L.P.",UBS Asset Management,Real Assets,,,,,"June 30, 2023",2023-06-30,,,USD,millions,1000000,,,,,,,,,,24.8,0dc971fa0f8a6e17609e,1,,,
35cee4bf2c0144eba820,SRC063,02-performance,Performance,60fe231d2bc92d892b10,1,Real Assets Ending Market Value & Performance Summary (By Partnership),Real Assets Ending Market Value & Performance Summary (By Partnership),"Archmore International Infrastructure Fund II (B), L.P.",1,,fund,72d5d97d22106597ce6d,FUND_0304,"Archmore International Infrastructure Fund II (B), L.P.","Archmore International Infrastructure Fund II (B), L.P.",UBS Asset Management,Real Assets,,,,1-Yr,"June 30, 2023",2023-06-30,,,,absolute,1,-0.6,,,,,,,,,,da5da7c385ef1e7cb0a7,1,,,
7ac3639480c2deb6588a,SRC063,02-performance,Performance,60fe231d2bc92d892b10,1,Real Assets Ending Market Value & Performance Summary (By Partnership),Real Assets Ending Market Value & Performance Summary (By Partnership),"Archmore International Infrastructure Fund II (B), L.P.",1,,fund,72d5d97d22106597ce6d,FUND_0304,"Archmore International Infrastructure Fund II (B), L.P.","Archmore International Infrastructure Fund II (B), L.P.",UBS Asset Management,Real Assets,,,,3-Yr,"June 30, 2023",2023-06-30,,,,absolute,1,2.1,,,,,,,,,,b70d3d96b0be54533385,1,,,
3e0366273737b953f7bf,SRC063,02-performance,Performance,60fe231d2bc92d892b10,1,Real Assets Ending Market Value & Performance Summary (By Partnership),Real Assets Ending Market Value & Performance Summary (By Partnership),"Archmore International Infrastructure Fund II (B), L.P.",1,,fund,72d5d97d22106597ce6d,FUND_0304,"Archmore International Infrastructure Fund II (B), L.P.","Archmore International Infrastructure Fund II (B), L.P.",UBS Asset Management,Real Assets,,,,5-Yr,"June 30, 2023",2023-06-30,,,,absolute,1,1,,,,,,,,,,627e4e430fb98d6e8feb,1,,,
e4cc58d6d4d9b1daff48,SRC063,02-performance,Performance,60fe231d2bc92d892b10,1,Real Assets Ending Market Value & Performance Summary (By Partnership),Real Assets Ending Market Value & Performance Summary (By Partnership),"Archmore International Infrastructure Fund II (C), L.P.",1,,fund,70c669b7174ba03184d4,FUND_0305,"Archmore International Infrastructure Fund II (C), L.P.","Archmore International Infrastructure Fund II (C), L.P.",UBS Asset Management,Real Assets,,,,,"June 30, 2023",2023-06-30,,,USD,millions,1000000,,,,,,,,,,52.7,2a55db189c071af8c0c2,1,,,
6c064ab71309a8911026,SRC063,02-performance,Performance,60fe231d2bc92d892b10,1,Real Assets Ending Market Value & Performance Summary (By Partnership),Real Assets Ending Market Value & Performance Summary (By Partnership),"Archmore International Infrastructure Fund II (C), L.P.",1,,fund,70c669b7174ba03184d4,FUND_0305,"Archmore International Infrastructure Fund II (C), L.P.","Archmore International Infrastructure Fund II (C), L.P.",UBS Asset Management,Real Assets,,,,1-Yr,"June 30, 2023",2023-06-30,,,,absolute,1,-0.6,,,,,,,,,,7e0c14a1c32907fda34e,1,,,
0f612773db24753d6cbc,SRC063,02-performance,Performance,60fe231d2bc92d892b10,1,Real Assets Ending Market Value & Performance Summary (By Partnership),Real Assets Ending Market Value & Performance Summary (By Partnership),"Archmore International Infrastructure Fund II (C), L.P.",1,,fund,70c669b7174ba03184d4,FUND_0305,"Archmore International Infrastructure Fund II (C), L.P.","Archmore International Infrastructure Fund II (C), L.P.",UBS Asset Management,Real Assets,,,,3-Yr,"June 30, 2023",2023-06-30,,,,absolute,1,2.1,,,,,,,,,,ac6e3cf2d51283db3e3e,1,,,
f9c2ba7f50144814e1ed,SRC063,02-performance,Performance,60fe231d2bc92d892b10,1,Real Assets Ending Market Value & Performance Summary (By Partnership),Real Assets Ending Market Value & Performance Summary (By Partnership),"Archmore International Infrastructure Fund II (C), L.P.",1,,fund,70c669b7174ba03184d4,FUND_0305,"Archmore International Infrastructure Fund II (C), L.P.","Archmore International Infrastructure Fund II (C), L.P.",UBS Asset Management,Real Assets,,,,5-Yr,"June 30, 2023",2023-06-30,,,,absolute,1,1,,,,,,,,,,e7e19550ea24923c7459,1,,,
e7e65cc9810b84978cd3,SRC063,02-performance,Performance,60fe231d2bc92d892b10,1,Real Assets Ending Market Value & Performance Summary (By Partnership),Real Assets Ending Market Value & Performance Summary (By Partnership),Blackstone Mileway Logistics L.P.,1,,fund,00ad7e1b5e4aafbc52d1,FUND_0356,Blackstone Mileway Logistics L.P.,Blackstone Mileway Logistics L.P.,Blackstone,Real Assets,,,,,"June 30, 2023",2023-06-30,,,USD,millions,1000000,,,,,,,,,,803.4,eaf5170a465623a58b2d,1,,,
440cbda9aea0019d9b6a,SRC063,02-performance,Performance,60fe231d2bc92d892b10,1,Real Assets Ending Market Value & Performance Summary (By Partnership),Real Assets Ending Market Value & Performance Summary (By Partnership),Blackstone Mileway Logistics L.P.,1,,fund,00ad7e1b5e4aafbc52d1,FUND_0356,Blackstone Mileway Logistics L.P.,Blackstone Mileway Logistics L.P.,Blackstone,Real Assets,,,,1-Yr,"June 30, 2023",2023-06-30,,,,absolute,1,10.3,,,,,,,,,,fdb9975f3f6a59a09755,1,,,
