quality_result_id,run_id,record_table,record_id,fund_id,rule_id,severity,status,actual_value,expected_value,difference,tolerance,source_document_id,synthetic_parameter_set_id,checked_at,notes
QR_INTEGRATED_DEFECT_QC_V1_FPRINT_9F6EE72E0AE003F5DA5E_R01_NONNEGATIVE_BALANCES,INTEGRATED_DEFECT_QC_V1,fund_periods,FPRINT_9F6EE72E0AE003F5DA5E,FUND_0001,R01_NONNEGATIVE_BALANCES,error,PASS,58626960.7285,0,58626960.7285,0,,INTEGRATED_COMPLETION_V1,2026-06-30T00:00:00Z,"minimum of paid-in capital, distributions, and NAV"
QR_INTEGRATED_DEFECT_QC_V1_FPRINT_9F6EE72E0AE003F5DA5E_R02_TVPI_COMPONENTS,INTEGRATED_DEFECT_QC_V1,fund_periods,FPRINT_9F6EE72E0AE003F5DA5E,FUND_0001,R02_TVPI_COMPONENTS,error,FAIL,101.153671043,1.1536710429,100.0000000001,0.005,,INTEGRATED_COMPLETION_V1,2026-06-30T00:00:00Z,tvpi compared with dpi plus rvpi
QR_INTEGRATED_DEFECT_QC_V1_FPRINT_9F6EE72E0AE003F5DA5E_R03_DPI_RECOMPUTE,INTEGRATED_DEFECT_QC_V1,fund_periods,FPRINT_9F6EE72E0AE003F5DA5E,FUND_0001,R03_DPI_RECOMPUTE,error,PASS,0.1810131287,0.181013128694,6E-12,0.005,,INTEGRATED_COMPLETION_V1,2026-06-30T00:00:00Z,dpi compared with distributions divided by paid-in capital
QR_INTEGRATED_DEFECT_QC_V1_FPRINT_9F6EE72E0AE003F5DA5E_R04_RVPI_RECOMPUTE,INTEGRATED_DEFECT_QC_V1,fund_periods,FPRINT_9F6EE72E0AE003F5DA5E,FUND_0001,R04_RVPI_RECOMPUTE,error,PASS,0.9726579142,0.972657914204,-4E-12,0.005,,INTEGRATED_COMPLETION_V1,2026-06-30T00:00:00Z,rvpi compared with nav divided by paid-in capital
QR_INTEGRATED_DEFECT_QC_V1_FPRINT_9F6EE72E0AE003F5DA5E_R05_TVPI_RECOMPUTE,INTEGRATED_DEFECT_QC_V1,fund_periods,FPRINT_9F6EE72E0AE003F5DA5E,FUND_0001,R05_TVPI_RECOMPUTE,error,FAIL,101.153671043,1.1536710429,100.0000000001,0.005,,INTEGRATED_COMPLETION_V1,2026-06-30T00:00:00Z,tvpi compared with distributions plus nav divided by paid-in capital
QR_INTEGRATED_DEFECT_QC_V1_FPRINT_9F6EE72E0AE003F5DA5E_R06_COMMITMENT_RECONCILIATION,INTEGRATED_DEFECT_QC_V1,fund_periods,FPRINT_9F6EE72E0AE003F5DA5E,FUND_0001,R06_COMMITMENT_RECONCILIATION,warning,PASS,349825873.096,349825873.096,0.000,1,,INTEGRATED_COMPLETION_V1,2026-06-30T00:00:00Z,commitment compared with paid-in capital plus unfunded commitment minus recallable distributions
QR_INTEGRATED_DEFECT_QC_V1_FPRINT_9F6EE72E0AE003F5DA5E_R07_NAV_ROLLFORWARD,INTEGRATED_DEFECT_QC_V1,fund_periods,FPRINT_9F6EE72E0AE003F5DA5E,FUND_0001,R07_NAV_ROLLFORWARD,error,PASS,315026748.335,315026748.335,0.000,1,,INTEGRATED_COMPLETION_V1,2026-06-30T00:00:00Z,ending nav roll-forward
QR_INTEGRATED_DEFECT_QC_V1_FPRINT_9F6EE72E0AE003F5DA5E_R08_XIRR_RECOMPUTE,INTEGRATED_DEFECT_QC_V1,fund_periods,FPRINT_9F6EE72E0AE003F5DA5E,FUND_0001,R08_XIRR_RECOMPUTE,error,PASS,0.0441753286,0.0441753286364,-3.64E-11,0.005,,INTEGRATED_COMPLETION_V1,2026-06-30T00:00:00Z,calculated IRR compared with XIRR of dated cash flows plus ending NAV
QR_INTEGRATED_DEFECT_QC_V1_FPRINT_9F6EE72E0AE003F5DA5E_R09_VINTAGE_DATE,INTEGRATED_DEFECT_QC_V1,fund_periods,FPRINT_9F6EE72E0AE003F5DA5E,FUND_0001,R09_VINTAGE_DATE,error,PASS,2022,2026,-4,0,,INTEGRATED_COMPLETION_V1,2026-06-30T00:00:00Z,vintage year must fall on or before the as-of year
QR_INTEGRATED_DEFECT_QC_V1_FPRINT_9F6EE72E0AE003F5DA5E_R10_FUND_SIZE_BOUND,INTEGRATED_DEFECT_QC_V1,fund_periods,FPRINT_9F6EE72E0AE003F5DA5E,FUND_0001,R10_FUND_SIZE_BOUND,warning,SKIP,,,,,,INTEGRATED_COMPLETION_V1,2026-06-30T00:00:00Z,rule applies only to lp_position rows
