fund_name_raw,standardized_fund_name,fund_family,fund_id,decision_status,seen_in_agents,source_files,a_count,b_count,merge_note
A10 USD (Feeder) L.P.,A10 USD (Feeder) L.P.,,FUND_0260,decided,06-statements-and-economics,SRC407,2,0,distinct; separate feeder vehicle from the A9 feeders
A9 EUR (Feeder) L.P.,A9 EUR (Feeder) L.P.,,FUND_0261,decided,06-statements-and-economics,SRC407,2,0,distinct; EUR feeder is a separate vehicle from the USD feeder
A9 USD (Feeder) L.P.,A9 USD (Feeder) L.P.,,FUND_0262,decided,06-statements-and-economics,SRC407,2,0,distinct; USD feeder is a separate vehicle from the EUR feeder
Abacus Multi-Family Partners VI LP,Abacus Multi-Family Partners VI LP,,FUND_0263,decided,02-performance,SRC058,6,0,confirmed; only printed variant and no sibling vehicle here
"ABRY Partners IX, L.P.","ABRY Partners IX, L.P.",ABRY,FUND_0264,decided,06-statements-and-economics,SRC407,2,0,confirmed; only printed variant
"ABRY Senior Equity V, L.P.","ABRY Senior Equity V, L.P.",ABRY,FUND_0265,decided,06-statements-and-economics,SRC407,2,0,distinct; separate ABRY series from Partners IX
"ABS Capital Partners IX, L.P.","ABS Capital Partners IX, L.P.",ABS Capital Partners,FUND_0266,decided,06-statements-and-economics,SRC407,2,0,distinct; Fund IX is its own series
"ABS Capital Partners VII Offshore, L.P.","ABS Capital Partners VII Offshore, L.P.",ABS Capital Partners,FUND_0267,decided,06-statements-and-economics,SRC407,2,0,distinct; offshore parallel vehicle of Fund VII
"ABS Capital Partners VII, L.P.","ABS Capital Partners VII, L.P.",ABS Capital Partners,FUND_0268,decided,06-statements-and-economics,SRC407,2,0,distinct; onshore Fund VII kept apart from the Offshore vehicle
"Accel-KKR Capital Partners CV III, LP","Accel-KKR Capital Partners CV III, LP",Accel-KKR,FUND_0269,decided,06-statements-and-economics,SRC407,2,0,distinct; continuation vehicle is its own fund
Accel-KKR Capital Partners VII LP,Accel-KKR Capital Partners VII LP,Accel-KKR,FUND_0270,decided,06-statements-and-economics,SRC407,2,0,distinct; separate series from the CV and Growth vehicles
Accel-KKR Growth Capital Partners IV LP,Accel-KKR Growth Capital Partners IV LP,Accel-KKR,FUND_0271,decided,06-statements-and-economics,SRC407,2,0,distinct; growth series is separate from Capital Partners
Actis Energy 5 LP,Actis Energy 5 LP,,FUND_0272,decided,06-statements-and-economics,SRC407,2,0,confirmed; only printed variant and no sibling vehicle here
Advent Global Technology II Limited Partnership,Advent Global Technology II Limited Partnership,Advent,FUND_0273,decided,06-statements-and-economics,SRC407,2,0,distinct; technology series is separate from the GPE funds
Advent International GPE VI-A Limited Partnership,Advent International GPE VI-A Limited Partnership,Advent,FUND_0274,decided,06-statements-and-economics,SRC407,2,0,distinct; GPE VI-A is its own series
Advent International GPE VII-B Limited Partnership,Advent International GPE VII-B Limited Partnership,Advent,FUND_0275,decided,06-statements-and-economics,SRC407,2,0,distinct; GPE VII-B is its own series
Advent International GPE VIII-B-2 Limited Partnership,Advent International GPE VIII-B-2 Limited Partnership,Advent,FUND_0276,decided,06-statements-and-economics,SRC407,2,0,distinct; GPE VIII-B-2 is a separate parallel vehicle from VIII-C
