input_value,output_value,decided_by,evidence,note,source_agents,status
CONFIRM,legal_decision,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:1727,,,
ACCEPT_A,legal_decision,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:1727,,,
ACCEPT_B,legal_decision,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:1727,,,
MERGE,legal_decision,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:1727,,,
REJECT,legal_decision,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:1727,,,
ADD,legal_decision,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:1727,,,
CONFIRM_outcome,final_row,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:1878,,A+B,AGREED
ACCEPT_A_outcome,final_row,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:1878,"VERIFIED_ONE_SIDED when the pair was A_ONLY, RESOLVED otherwise.",A,RESOLVED|VERIFIED_ONE_SIDED
ACCEPT_B_outcome,final_row,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:1878,,B,RESOLVED|VERIFIED_ONE_SIDED
MERGE_outcome,final_row,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:1878,,A+B+ADJUDICATOR,RESOLVED
MERGE_A_ONLY_outcome,final_row,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:2037,"A merge on an A_ONLY pair: lane B never read the cell, so it is not credited.",A+ADJUDICATOR,RESOLVED
MERGE_B_ONLY_outcome,final_row,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:2037,"A merge on a B_ONLY pair: lane A never read the cell, so it is not credited.",B+ADJUDICATOR,RESOLVED
ADD_outcome,final_row,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:1878,,ADJUDICATOR,ADDED
REJECT_outcome,no_row,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:1878,,,
EXACT_unreviewed,final_row,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:1878,An exact pair outside the sample publishes without review.,A+B,AGREED
reason_required,refused_when_blank,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:1727,,,
