input_value,output_value,decided_by,evidence,note
contract_version,Which release of this field list the row was written under. Filled by the workflow.,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/field_guide.py:27,
file_id,"The corpus identifier of the source document, such as SRC377.","pipeline literal, extraction support",src/catalog/simple_pdf_extraction/field_guide.py:27,
source_sha256,"SHA-256 of the source PDF, binding the row to one binary. A mismatch means the document changed and the extraction is void.","pipeline literal, extraction support",src/catalog/simple_pdf_extraction/field_guide.py:27,
canonical_doc_type,"The listed type, such as Financials or PPM. Readers keep the listed type.","pipeline literal, extraction support",src/catalog/simple_pdf_extraction/field_guide.py:27,
route,"The reading group the document belongs to, derived from its type.","pipeline literal, extraction support",src/catalog/simple_pdf_extraction/field_guide.py:27,
product_tier,"CORE, SECONDARY, or REFERENCE. Controls what evidence classes are acceptable and keeps template material out of the fund dataset.","pipeline literal, extraction support",src/catalog/simple_pdf_extraction/field_guide.py:27,
agent_role,"Which blind extractor wrote the row, A or B. Becomes ADJUDICATED on a final row.","pipeline literal, extraction support",src/catalog/simple_pdf_extraction/field_guide.py:27,
record_family,"What kind of fact this row is, chosen from the closed family list. Follows the table the value sits in, not the document type.","pipeline literal, extraction support",src/catalog/simple_pdf_extraction/field_guide.py:27,
source_page,The physical PDF page number the value is printed on.,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/field_guide.py:27,
source_structure_type,"The kind of layout the value came from: TABLE, FIGURE, NARRATIVE, FORM, FOOTNOTE, SCHEDULE, or DOCUMENT. Always uppercase.","pipeline literal, extraction support",src/catalog/simple_pdf_extraction/field_guide.py:27,
source_section,"The printed section heading above the table, such as Statements of Financial Position.","pipeline literal, extraction support",src/catalog/simple_pdf_extraction/field_guide.py:27,
source_table,The printed table or figure title that names the whole table. Never a date and never a heading that covers only some columns.,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/field_guide.py:27,
source_row_label,The printed row label the value sits on. The primary physical anchor for a value.,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/field_guide.py:27,
source_column_label,"The printed column header the value sits under, taken from the lowest header directly above the column. Kept unique within a row, so stacked headers such as 1-Yr Total Return are preserved whole.","pipeline literal, extraction support",src/catalog/simple_pdf_extraction/field_guide.py:27,
source_occurrence,"Which instance this is when the same row and column labels repeat on one page, counted top to bottom then left to right. Normally 1.","pipeline literal, extraction support",src/catalog/simple_pdf_extraction/field_guide.py:27,
subject_type,"What kind of thing the row measures, in lowercase, from the closed list. Read from the row's own printed label, not decided once per document.","pipeline literal, extraction support",src/catalog/simple_pdf_extraction/field_guide.py:27,
subject_name,"The printed name of the thing being measured: the fund, portfolio, position, asset class, or benchmark named on that row.","pipeline literal, extraction support",src/catalog/simple_pdf_extraction/field_guide.py:27,
asset_class,"The printed asset class governing the row, such as Private Equity or Fixed Income. Taken from the group heading, table title, or document statement that covers the row. A core analytical dimension: fill it whenever the page states it, never infer it, and never restate the row label here.","pipeline literal, extraction support",src/catalog/simple_pdf_extraction/field_guide.py:27,
strategy,"The printed strategy governing the row, such as Buyout, Venture, or Core Real Estate. Same sourcing rule as asset class.","pipeline literal, extraction support",src/catalog/simple_pdf_extraction/field_guide.py:27,
geography,"The printed geographic scope governing the row, such as North America or Europe. Same sourcing rule as asset class.","pipeline literal, extraction support",src/catalog/simple_pdf_extraction/field_guide.py:27,
manager_name,"The printed manager or general partner. Recorded once on the document row, not repeated on every observation.","pipeline literal, extraction support",src/catalog/simple_pdf_extraction/field_guide.py:27,
investor_name,"The printed asset owner, verbatim as the page renders it. Recorded once on the document row.","pipeline literal, extraction support",src/catalog/simple_pdf_extraction/field_guide.py:27,
portfolio_name,The printed portfolio or programme the document reports on. Recorded once on the document row.,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/field_guide.py:27,
vintage_year,The printed vintage year of the fund on that row.,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/field_guide.py:27,
period_start,The printed start of the period the value covers.,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/field_guide.py:27,
period_end,The printed end of the period the value covers.,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/field_guide.py:27,
as_of_date,"The printed date the value is stated as of, in the fullest printed form. December 31, 2015, not 2015, and never reformatted to ISO.","pipeline literal, extraction support",src/catalog/simple_pdf_extraction/field_guide.py:27,
horizon,"The printed measurement period for a return or risk figure, such as 1-Yr, 5 Year, ITD, or Fiscal YTD 9 Months. Required whenever the column header carries a period qualifier.","pipeline literal, extraction support",src/catalog/simple_pdf_extraction/field_guide.py:27,
