input_value,output_value,decided_by,evidence,note,priority,source_category,record_family,subject_type,value_scope,method,fee_basis,unit,label_pattern,target_table,target_column,conflict_policy,excluded_record_family,document_id
RULE_PERIOD_BEGINNING_CAPITAL,standard_measure_of_metric,"metric vocabulary review, 2026-09-01",metric-to-period-column.csv; src/load/promote_extracted_to_fund_level.py:81,Baseline: restates today's period-column routing byte for byte; the canonical measure is the row's own standard_measure from METRIC-STANDARD-MEASURES.csv.,100,beginning_capital,,,,,,,,fund_periods,beginning_nav,block,cash_flow_observation,
RULE_PERIOD_COMMITMENT,standard_measure_of_metric,"metric vocabulary review, 2026-09-01",metric-to-period-column.csv; src/load/promote_extracted_to_fund_level.py:81,Baseline: restates today's period-column routing byte for byte; the canonical measure is the row's own standard_measure from METRIC-STANDARD-MEASURES.csv.,100,commitment,,,,,,,,fund_periods,commitment,block,cash_flow_observation,
RULE_PERIOD_CONTRIBUTION,standard_measure_of_metric,"metric vocabulary review, 2026-09-01",metric-to-period-column.csv; src/load/promote_extracted_to_fund_level.py:81,Baseline: restates today's period-column routing byte for byte; the canonical measure is the row's own standard_measure from METRIC-STANDARD-MEASURES.csv.,100,contribution,,,,,,,,fund_periods,contributions_period,block,cash_flow_observation,
RULE_PERIOD_DISTRIBUTION,standard_measure_of_metric,"metric vocabulary review, 2026-09-01",metric-to-period-column.csv; src/load/promote_extracted_to_fund_level.py:81,Baseline: restates today's period-column routing byte for byte; the canonical measure is the row's own standard_measure from METRIC-STANDARD-MEASURES.csv.,100,distribution,,,,,,,,fund_periods,distributions_itd,block,cash_flow_observation,
RULE_PERIOD_DPI,standard_measure_of_metric,"metric vocabulary review, 2026-09-01",metric-to-period-column.csv; src/load/promote_extracted_to_fund_level.py:81,Baseline: restates today's period-column routing byte for byte; the canonical measure is the row's own standard_measure from METRIC-STANDARD-MEASURES.csv.,100,dpi,,,,,,,,fund_periods,dpi,block,cash_flow_observation,
RULE_PERIOD_ENDING_CAPITAL,standard_measure_of_metric,"metric vocabulary review, 2026-09-01",metric-to-period-column.csv; src/load/promote_extracted_to_fund_level.py:81,Baseline: restates today's period-column routing byte for byte; the canonical measure is the row's own standard_measure from METRIC-STANDARD-MEASURES.csv.,100,ending_capital,,,,,,,,fund_periods,ending_nav,block,cash_flow_observation,
RULE_PERIOD_FEE,standard_measure_of_metric,"metric vocabulary review, 2026-09-01",metric-to-period-column.csv; src/load/promote_extracted_to_fund_level.py:81,Baseline: restates today's period-column routing byte for byte; the canonical measure is the row's own standard_measure from METRIC-STANDARD-MEASURES.csv.,100,fee,,,,,,,,fund_periods,management_fee_period,block,cash_flow_observation,
RULE_PERIOD_INCOME,standard_measure_of_metric,"metric vocabulary review, 2026-09-01",metric-to-period-column.csv; src/load/promote_extracted_to_fund_level.py:81,Baseline: restates today's period-column routing byte for byte; the canonical measure is the row's own standard_measure from METRIC-STANDARD-MEASURES.csv.,100,income,,,,,,,,fund_periods,net_income_period,block,cash_flow_observation,
RULE_PERIOD_IRR,standard_measure_of_metric,"metric vocabulary review, 2026-09-01",metric-to-period-column.csv; src/load/promote_extracted_to_fund_level.py:81,Baseline: restates today's period-column routing byte for byte; the canonical measure is the row's own standard_measure from METRIC-STANDARD-MEASURES.csv.,100,irr,,,,,,,,fund_periods,reported_irr,block,cash_flow_observation,
RULE_PERIOD_NAV,standard_measure_of_metric,"metric vocabulary review, 2026-09-01",metric-to-period-column.csv; src/load/promote_extracted_to_fund_level.py:81,Baseline: restates today's period-column routing byte for byte; the canonical measure is the row's own standard_measure from METRIC-STANDARD-MEASURES.csv.,100,nav,,,,,,,,fund_periods,nav,block,cash_flow_observation,
RULE_PERIOD_PAID_IN_CAPITAL,standard_measure_of_metric,"metric vocabulary review, 2026-09-01",metric-to-period-column.csv; src/load/promote_extracted_to_fund_level.py:81,Baseline: restates today's period-column routing byte for byte; the canonical measure is the row's own standard_measure from METRIC-STANDARD-MEASURES.csv.,100,paid_in_capital,,,,,,,,fund_periods,paid_in_capital_itd,block,cash_flow_observation,
RULE_PERIOD_RETURN,standard_measure_of_metric,"promotion qualifier audit, 2026-09-02",metric-to-period-column.csv; audit/pipeline-audit/findings/a4-promotion.csv A4-03,Baseline: restates the return row of metric-to-period-column.csv. A return that states no method or no fee basis is refused by that matrix and stays in fund_observations; the money-weighted rules above take priority and route a money-weighted return to reported_irr instead.,100,return,,,,,,,,fund_periods,period_return,block,cash_flow_observation,
RULE_PERIOD_REALIZED_GAIN_LOSS,standard_measure_of_metric,"metric vocabulary review, 2026-09-01",metric-to-period-column.csv; src/load/promote_extracted_to_fund_level.py:81,Baseline: restates today's period-column routing byte for byte; the canonical measure is the row's own standard_measure from METRIC-STANDARD-MEASURES.csv.,100,realized_gain_loss,,,,,,,,fund_periods,realized_gain_period,block,cash_flow_observation,
RULE_PERIOD_RECALLABLE_DISTRIBUTION,standard_measure_of_metric,"metric vocabulary review, 2026-09-01",metric-to-period-column.csv; src/load/promote_extracted_to_fund_level.py:81,Baseline: restates today's period-column routing byte for byte; the canonical measure is the row's own standard_measure from METRIC-STANDARD-MEASURES.csv.,100,recallable_distribution,,,,,,,,fund_periods,recallable_distributions_itd,block,cash_flow_observation,
RULE_PERIOD_RVPI,standard_measure_of_metric,"metric vocabulary review, 2026-09-01",metric-to-period-column.csv; src/load/promote_extracted_to_fund_level.py:81,Baseline: restates today's period-column routing byte for byte; the canonical measure is the row's own standard_measure from METRIC-STANDARD-MEASURES.csv.,100,rvpi,,,,,,,,fund_periods,rvpi,block,cash_flow_observation,
RULE_PERIOD_TVPI,standard_measure_of_metric,"metric vocabulary review, 2026-09-01",metric-to-period-column.csv; src/load/promote_extracted_to_fund_level.py:81,Baseline: restates today's period-column routing byte for byte; the canonical measure is the row's own standard_measure from METRIC-STANDARD-MEASURES.csv.,100,tvpi,,,,,,,,fund_periods,tvpi,block,cash_flow_observation,
RULE_PERIOD_UNFUNDED_COMMITMENT,standard_measure_of_metric,"metric vocabulary review, 2026-09-01",metric-to-period-column.csv; src/load/promote_extracted_to_fund_level.py:81,Baseline: restates today's period-column routing byte for byte; the canonical measure is the row's own standard_measure from METRIC-STANDARD-MEASURES.csv.,100,unfunded_commitment,,,,,,,,fund_periods,unfunded_commitment,block,cash_flow_observation,
RULE_PERIOD_UNREALIZED_GAIN_LOSS,standard_measure_of_metric,"metric vocabulary review, 2026-09-01",metric-to-period-column.csv; src/load/promote_extracted_to_fund_level.py:81,Baseline: restates today's period-column routing byte for byte; the canonical measure is the row's own standard_measure from METRIC-STANDARD-MEASURES.csv.,100,unrealized_gain_loss,,,,,,,,fund_periods,unrealized_gain_period,block,cash_flow_observation,
