input_value,output_value,decided_by,evidence,note,kind,since_contract
1,contract_version,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:94,"One column of RECORD_COLUMNS, at its position.",provenance,2026-08-22.2
2,file_id,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:94,"One column of RECORD_COLUMNS, at its position.",provenance,2026-08-22.2
3,source_sha256,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:94,"One column of RECORD_COLUMNS, at its position.",provenance,2026-08-22.2
4,canonical_doc_type,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:94,"One column of RECORD_COLUMNS, at its position.",provenance,2026-08-22.2
5,route,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:94,"One column of RECORD_COLUMNS, at its position.",provenance,2026-08-22.2
6,product_tier,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:94,"One column of RECORD_COLUMNS, at its position.",provenance,2026-08-22.2
7,agent_role,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:94,"One column of RECORD_COLUMNS, at its position.",provenance,2026-08-22.2
8,record_family,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:94,"One column of RECORD_COLUMNS, at its position.",provenance,2026-08-22.2
9,source_page,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:94,"One column of RECORD_COLUMNS, at its position.",provenance,2026-08-22.2
10,source_structure_type,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:94,"One column of RECORD_COLUMNS, at its position.",provenance,2026-08-22.2
11,source_section,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:94,"One column of RECORD_COLUMNS, at its position.",provenance,2026-08-22.2
12,source_table,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:94,"One column of RECORD_COLUMNS, at its position.",provenance,2026-08-22.2
13,source_row_label,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:94,"One column of RECORD_COLUMNS, at its position.",provenance,2026-08-22.2
14,source_column_label,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:94,"One column of RECORD_COLUMNS, at its position.",provenance,2026-08-22.2
15,source_occurrence,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:94,"One column of RECORD_COLUMNS, at its position.",provenance,2026-08-22.2
