manager_name_raw,standardized_manager_name,manager_id,decision_status,n_funds,merge_note
44North Ventures,,,,4,
Allos Ventures,,,,1,
"Almanac Realty Investors, LLC",,,,2,
"Angelo, Gordon & Co., L.P.",,,,1,
Antin Infrastructure Partners,,,,1,
Apollo Global Management,,,,2,
Arboretum Ventures,,,,1,
"Arsenal Venture Partners, Inc.",,,,1,
Athenian Venture Partners,,,,1,
"AvalonBay Capital Management, Inc.",,,,2,
Beacon Capital Partners,,,,1,
Bell Partners,,,,1,
Blackstone,,,,4,
"Broadway Real Estate Partners, LLC",,,,2,
Brookfield Asset Management,,,,1,
"Buckeye Venture Partners, LLC",,,,1,
Builders VC,,,,1,
Cabot Properties,,,,1,
Centerline Capital Group,,,,2,
Charter Life Sciences,,,,1,
Chrysalis Ventures,,,,1,
Connecticut Innovations,,,,3,
Cornerstone Real Estate Advisers LLC,,,,1,
"Credit Suisse First Boston Private Equity, Inc.",,,,3,
DFJ Frontier,,,,1,
DLJ Real Estate Capital Partners,,,,3,
DRA Advisors LLC,,,,2,
Draper Triangle Ventures,,,,2,
Early Stage Partners,,,,1,
Edison Partners,,,,2,
EFM Investments & Advisory,,,,1,
Elevate Capital,,,,1,
Endeavour Capital,,,,1,
Enlightened Hospitality Investments,,,,1,
EPIC Ventures,,,,3,
Equus Capital Partners,,,,4,
Exeter Property Group,,,,1,
Fletcher Spaght Ventures,,,,1,
Fluke Venture Partners,,,,1,
Fortress Investment Group LLC,,,,3,
Founders' Co-op,,,,2,
Glengary,,,,1,
Global Infrastructure Partners,,,,1,
Goldman Sachs,,,,4,
Goode Partners LLC,,,,1,
Grain Management,,,,1,
"Heritage Partners, Inc.",,,,1,
Hines,,,,1,
"Homestead Capital USA, LLC",,,,1,
Incline Equity Partners,,,,1,
J.P. Morgan Asset Management,,,,1,
Jefferson Partners Fund 4.5 Management Corp.,,,,2,
Jefferson Partners Fund IV Management Corp.,,,,1,
"K1 Investment Management, LLC",,,,3,
Khosla Ventures,,,,1,
Latitude Management Real Estate Investors,,,,3,
Lazard Alternative Investments,,,,2,
LEM Capital,,,,1,
"Lubert-Adler Management Company, L.P.",,,,5,
Madrona Venture Group,,,,1,
Maryland Technology Development Corporation,,,,5,
MassVentures,,,,1,
MGPA,,,,2,
Milestone Partners,,,,1,
Montlake Capital,,,,1,
Morgan Stanley Real Estate Investing,,,,8,
NCT Ventures,,,,2,
New Enterprise Associates,,,,1,
"New Mountain Capital, LLC",,,,1,
Northwest Technology Ventures,,,,1,
O'Connor Capital Partners,,,,2,
Olshan Properties,,,,3,
Oregon Entrepreneurs Network,,,,4,
Oregon Venture Fund,,,,11,
OVP Venture Partners,,,,1,
"Paladin Realty Partners, LLC",,,,1,
PGIM Real Estate,,,,1,
Phoenix Venture Partners,,,,2,
Pivotal Investments,,,,1,
Portland Seed Fund,,,,4,
Primus Capital Partners,,,,1,
Prologis,,,,1,
PSL Ventures,,,,1,
Queen City Angels,,,,1,
Radius Ventures,,,,1,
Reservoir Venture Partners,,,,1,
Rethink Impact,,,,1,
River Cities Capital,,,,1,
Riverlake Partners,,,,2,
RiverVest Venture Partners,,,,2,
RREEF America L.L.C.,,,,1,
Seven Peaks Ventures,,,,2,
Silverpeak Real Estate Partners,,,,3,
SmartForest Ventures,,,,1,
Sorenson Capital,,,,1,
"Starwood REIT Advisors, L.L.C.",,,,1,
Stellex Capital Management,,,,1,
Stockbridge Capital Group,,,,4,
Strategic Capital Partners,,,,1,
SunBridge Partners,,,,1,
SV Health Investors,,,,2,
TA Associates,,,,1,
Tamarack Capital Partners,,,,1,
The Blackstone Group L.P.,,,,1,
The Carlyle Group,,,,5,
Timberline Venture Partners,,,,2,
Tiverton Advisors LLC,,,,1,
TL Ventures,,,,1,
UBS Realty Investors LLC,,,,1,
Updata Partners,,,,2,
Utah Capital Investment Corporation,,,,1,
VamosVentures,,,,1,
Versa Capital Management,,,,2,
Voyager Capital,,,,2,
Westbrook Partners,,,,1,
"William E. Simon & Sons, L.L.C.",,,,1,
Women's VC Fund,,,,1,
Yaletown Partners,,,,1,
