standardized_fund_name,a_manager_name,a_source,b_manager_name,b_source,final_manager_name,final_source
A10 USD (Feeder) L.P.,,,,,Apax Partners LLP,"WEB_MANAGER: https://www.sec.gov/Archives/edgar/data/1781247/000178124721000002/xslFormDX01/primary_doc.xml | Apax X USD L.P. (same Guernsey registered office and GP chain, Apax X GP Co. Limited, as the A10 USD Feeder vehicle) is advised by Apax Partners LLP per Apax's governance page.  [AUTO: one-sided]"
A9 EUR (Feeder) L.P.,,,,,Apax Partners LLP,"WEB_MANAGER: https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001673138 | Apax IX EUR L.P. shares the Apax Guernsey registered office (Royal Bank Place, 1 Glategny Esplanade) with this A9 EUR feeder, and Apax Partners LLP is the investment adviser to the Apax fund family per apax.com.  [AUTO: one-sided]"
A9 USD (Feeder) L.P.,,,,,Apax Partners LLP,"WEB_MANAGER: https://www.sec.gov/Archives/edgar/data/1673108/000167310816000001/0001673108-16-000001-index.htm | Apax IX USD L.P. shares the Apax Guernsey registered office (Royal Bank Place, 1 Glategny Esplanade) with this A9 USD feeder, and Apax Partners LLP is the investment adviser to the Apax fund family per apax.com.  [AUTO: one-sided]"
Abacus Multi-Family Partners VI LP,,,,,Abacus Capital Group,WEB_MANAGER: https://irei.com/news/abacus-multi-family-partners-vi-soars-past-1-25b-target/ | Abacus Multi-Family Partners VI is managed by Abacus Capital Group.  [AUTO: identical]
"ABRY Partners IX, L.P.",,,,,Abry Partners,"FAMILY ABRY: WEB_MANAGER: https://abry.com/funds/ | Abry Partners manages approximately $5.4 billion in active capital through four investment strategies, including ABRY Partners IX and ABRY Senior Equity VI.  [AUTO: identical]"
"ABRY Senior Equity V, L.P.",,,,,Abry Partners,"FAMILY ABRY: WEB_MANAGER: https://abry.com/funds/ | Abry Partners manages approximately $5.4 billion in active capital through four investment strategies, including ABRY Partners IX and ABRY Senior Equity VI.  [AUTO: identical]"
"ABS Capital Partners IX, L.P.",,,,,ABS Capital Partners,"FAMILY ABS Capital Partners: WEB_MANAGER: https://abscapital.com/abs-capital-announces-final-close-of-fund-ix-and-first-three-fund-investments/ | ABS Capital, a growth equity investment firm, announced the final close of ABS Capital Partners IX.  [AUTO: identical]"
"ABS Capital Partners VII Offshore, L.P.",,,,,ABS Capital Partners,"FAMILY ABS Capital Partners: WEB_MANAGER: https://abscapital.com/abs-capital-announces-final-close-of-fund-ix-and-first-three-fund-investments/ | ABS Capital, a growth equity investment firm, announced the final close of ABS Capital Partners IX.  [AUTO: identical]"
"ABS Capital Partners VII, L.P.",,,,,ABS Capital Partners,"FAMILY ABS Capital Partners: WEB_MANAGER: https://abscapital.com/abs-capital-announces-final-close-of-fund-ix-and-first-three-fund-investments/ | ABS Capital, a growth equity investment firm, announced the final close of ABS Capital Partners IX.  [AUTO: identical]"
"Accel-KKR Capital Partners CV III, LP",,,,,Accel-KKR,FAMILY Accel-KKR: WEB_MANAGER: https://www.accel-kkr.com/accel-kkr-raises-seventh-flagship-buyout-fund-and-second-emerging-buyout-fund-representing-5-3-billion-in-new-capital-commitments/ | Accel-KKR completed fundraising for Accel-KKR Capital Partners VII LP on its hard cap with $4.4 billion of equity capital commitments.  [AUTO: identical]
Accel-KKR Capital Partners VII LP,,,,,Accel-KKR,FAMILY Accel-KKR: WEB_MANAGER: https://www.accel-kkr.com/accel-kkr-raises-seventh-flagship-buyout-fund-and-second-emerging-buyout-fund-representing-5-3-billion-in-new-capital-commitments/ | Accel-KKR completed fundraising for Accel-KKR Capital Partners VII LP on its hard cap with $4.4 billion of equity capital commitments.  [AUTO: identical]
Accel-KKR Growth Capital Partners IV LP,,,,,Accel-KKR,FAMILY Accel-KKR: WEB_MANAGER: https://www.accel-kkr.com/accel-kkr-raises-seventh-flagship-buyout-fund-and-second-emerging-buyout-fund-representing-5-3-billion-in-new-capital-commitments/ | Accel-KKR completed fundraising for Accel-KKR Capital Partners VII LP on its hard cap with $4.4 billion of equity capital commitments.  [AUTO: identical]
