"fund_name_raw","standardized_fund_name","fund_family","fund_id","decision_status","seen_in_agents","source_files","a_count","b_count","merge_note"
"The Veritas Capital Fund V, L.P.","The Veritas Capital Fund V, L.P.","Veritas Capital","FUND_0949","decided","06-statements-and-economics","SRC407","2","0","distinct series vehicle"
"The Veritas Capital Fund VI, L.P.","The Veritas Capital Fund VI, L.P.","Veritas Capital","FUND_0950","decided","06-statements-and-economics","SRC407","2","0","distinct series vehicle"
"The Veritas Capital Fund VII, L.P.","The Veritas Capital Fund VII, L.P.","Veritas Capital","FUND_0951","decided","06-statements-and-economics","SRC407","2","0","distinct series vehicle"
"The Veritas Capital Fund VIII, L.P.","The Veritas Capital Fund VIII, L.P.","Veritas Capital","FUND_0952","decided","06-statements-and-economics","SRC407","2","0","distinct series vehicle"
"Thoma Bravo Explore Fund II-A, L.P.","Thoma Bravo Explore Fund II-A, L.P.","Thoma Bravo","FUND_0953","decided","06-statements-and-economics","SRC407","2","0","distinct series vehicle"
"Thoma Bravo Fund XII, L.P.","Thoma Bravo Fund XII, L.P.","Thoma Bravo","FUND_0954","decided","06-statements-and-economics","SRC407","2","0","distinct series vehicle"
"Thoma Bravo Fund XV-A, L.P.","Thoma Bravo Fund XV-A, L.P.","Thoma Bravo","FUND_0955","decided","06-statements-and-economics","SRC407","2","0","distinct series vehicle"
"Thomas H. Lee Equity Fund VII, L.P.","Thomas H. Lee Equity Fund VII, L.P.","Thomas H. Lee","FUND_0956","decided","06-statements-and-economics","SRC407","2","0","distinct series vehicle"
"Thomas H. Lee Equity Fund VIII, L.P.","Thomas H. Lee Equity Fund VIII, L.P.","Thomas H. Lee","FUND_0957","decided","06-statements-and-economics","SRC407","2","0","distinct series vehicle"
"Thomas H. Lee Parallel (Cayman) Fund VII, L.P.","Thomas H. Lee Parallel (Cayman) Fund VII, L.P.","Thomas H. Lee","FUND_0958","decided","06-statements-and-economics","SRC407","2","0","distinct parallel vehicle of Fund VII"
"Thomas H. Lee Parallel Fund VIII, L.P.","Thomas H. Lee Parallel Fund VIII, L.P.","Thomas H. Lee","FUND_0959","decided","06-statements-and-economics","SRC407","2","0","distinct parallel vehicle of Fund VIII"
