"category","kind","definition","unit_hint","preferred_family","qualified","required_dimensions","disposition"
"commitment","metric","Capital committed to the fund by the investor or in total.","currency","fund_economics_observation","no","","promoted"
"paid_in_capital","metric","Capital contributed to date (PIC, paid-in, contributed capital).","currency","fund_economics_observation","no","","promoted"
"paid_in_capital_multiple","metric","Paid-in capital as a multiple of commitment, printed in the multiples block beside TVPI, RVPI, and DPI. The value exceeds 1.00 where the fund recycles capital or contributes outside commitment. The contributed amount uses paid_in_capital.","x","fund_economics_observation","no","","evidence_only"
"contribution","metric","One contribution or a period's contributions, as a flow.","currency","fund_economics_observation","no","","promoted"
"distribution","metric","Capital distributed to date or in a period, including a printed component such as preferred return when the page lists it inside distributions.","currency","fund_economics_observation","no","","promoted"
"nav","metric","Residual value of one fund, LP position, or share class at a date, printed as NAV, remaining value, reported value, or ending market value at that grain.","currency","fund_economics_observation","yes","value_scope","promoted"
"unfunded_commitment","metric","Commitment not yet called (unfunded, remaining, uncalled).","currency","fund_economics_observation","no","","promoted"
"recallable_distribution","metric","Distributed capital the fund may call again.","currency","fund_economics_observation","no","","promoted"
"tvpi","metric","Total value to paid-in: (distributions + NAV) / paid-in.","x","fund_economics_observation","no","","promoted"
"dpi","metric","Distributions to paid-in.","x","fund_economics_observation","no","","promoted"
"rvpi","metric","Residual value to paid-in: NAV / paid-in.","x","fund_economics_observation","no","","promoted"
"moic","metric","Multiple of invested capital: total value / invested cost, gross or as printed.","x","fund_economics_observation","no","","evidence_only"
"ownership_percentage","metric","Share of a vehicle, firm, or partnership held by the subject.","%","fund_economics_observation","no","","evidence_only"
"income","metric","Investment, dividend, interest, or net income of a fund or capital account for a period, recorded as a currency amount; percent-based distribution and investment yields use yield.","currency","fund_economics_observation","no","","promoted"
"fee","metric","A fee amount charged to a fund or account when the page states no finer kind (management fees, commissions, advisor fees).","currency","fund_economics_observation","no","","promoted"
"carried_interest","metric","Carried interest accrued, realized, or unrealized, as an amount.","currency","fund_economics_observation","no","","evidence_only"
"beginning_capital","metric","Opening balance of a capital account, partners' capital, or net assets for a period, at the entity or partner grain printed by the statement.","currency","financial_statement_observation","yes","value_scope","promoted"
"ending_capital","metric","Closing balance of a capital account, partners' capital, or net assets for a period, at the entity or partner grain printed by the statement. A residual closing balance may also represent NAV.","currency","financial_statement_observation","yes","value_scope","promoted"
"return","metric","The return printed for a period or horizon, as a percent, under the method, fee basis, and hedge treatment stated by the report. Methods include time-weighted, Modified Dietz, holding-period, annualized, and money-weighted. Every return row states its own method and fee_basis, read from the footnote or header it cites, or unstated. A figure labelled IRR uses irr.","%","performance_observation","yes","method|fee_basis","evidence_only"
"irr","metric","Internal rate of return, net or gross, since inception or for a horizon, where the page labels it IRR. A money-weighted return printed under another label stays return, with its method recorded.","%","performance_observation","yes","fee_basis","promoted"
"alpha","metric","Return minus the stated benchmark's return (value added, excess return).","%","performance_observation","no","","evidence_only"
"pme","metric","Public market equivalent ratio (Kaplan-Schoar or as printed).","x","performance_observation","no","","evidence_only"
"direct_alpha","metric","Direct alpha against a stated public index.","%","performance_observation","no","","evidence_only"
"sharpe_ratio","metric","Sharpe ratio as printed.","ratio","performance_observation","no","","evidence_only"
"tracking_error","metric","Tracking error against the stated benchmark.","%","performance_observation","no","","evidence_only"
"yield","metric","A rate of income as a percent: distribution rate, income yield, or investment yield. Total-period performance uses return.","%","performance_observation","no","","evidence_only"
"aum","metric","Assets under management or total assets at manager, plan, endowment, pool, fund, or asset-class scope.","currency","performance_observation","yes","value_scope","evidence_only"
"cash","metric","Cash and cash equivalents at a date or a period's opening or closing balance.","currency","financial_statement_observation","no","","evidence_only"
"total_assets","metric","Total assets.","currency","financial_statement_observation","no","","evidence_only"
"total_liabilities","metric","Total liabilities.","currency","financial_statement_observation","no","","evidence_only"
"net_assets","metric","Net assets of the reporting entity as printed, restricted or unrestricted: total assets less total liabilities at statement grain.","currency","financial_statement_observation","no","","evidence_only"
"partners_capital","metric","Partners' capital by partner class or in total, and its change from operations, at the entity grain of the statement. Position-level closing capital uses ending_capital.","currency","financial_statement_observation","no","","evidence_only"
"net_investment_income","metric","Net investment income or loss for a period.","currency","financial_statement_observation","no","","evidence_only"
"investment_fair_value","metric","Investments at fair value as a line of a financial statement or note, including the Level 1, 2, and 3 hierarchy lines. The amount precedes the entity's other assets and liabilities in the NAV build-up.","currency","financial_statement_observation","yes","value_scope","evidence_only"
"investment_cost","metric","Cost basis of investments on a statement.","currency","financial_statement_observation","no","","evidence_only"
"fund_expense","metric","An expense line or an expense ratio of the fund (professional fees, organizational expenses, total expenses).","currency or %","financial_statement_observation","no","","evidence_only"
"interest_expense","metric","Interest expense for a period.","currency","financial_statement_observation","no","","evidence_only"
"realized_gain_loss","metric","Realized gain or loss on investments for a period.","currency","financial_statement_observation","no","","promoted"
"unrealized_gain_loss","metric","Change in unrealized gain or loss for a period.","currency","financial_statement_observation","no","","promoted"
"quantity","metric","Shares, units, or par held.","count","position_observation","no","","promoted"
"cost","metric","Cost of a holding.","currency","position_observation","no","","promoted"
"fair_value","metric","Fair or market value of one named holding on a schedule of investments. Fund residual value uses nav; statement investment lines use investment_fair_value.","currency","position_observation","yes","value_scope","promoted"
"market_value","metric","Market value under that printed heading for one holding or one allocation bucket. The same measure as fair_value at holding grain; at fund grain the residual value is nav.","currency","position_observation","yes","value_scope","promoted"
"notional","metric","Notional, par, purchase, or sale amount of a contract or security.","currency","position_observation","no","","promoted"
"portfolio_weight","metric","A holding's share of the portfolio or of partners' capital.","%","position_observation","no","","promoted"
"interest_rate","metric","Coupon or yield printed on a holding.","%","position_observation","no","","promoted"
"maturity_date","metric","Maturity or settlement date printed on a holding.","date","position_observation","no","","promoted"
"actual_allocation","metric","Actual share of a portfolio in an asset class, strategy, vintage, geography, or industry bucket.","%","allocation_observation","no","","evidence_only"
"target_allocation","metric","Target or policy weight of a bucket or benchmark component.","%","allocation_observation","no","","evidence_only"
"management_fee","metric","Management fee as an amount or as a rate; the unit column says which. The contractual clause is the term-vocabulary management_fee.","currency or %","fee_observation","no","","evidence_only"
"performance_fee","metric","Incentive or performance fee rate or amount.","% or currency","fee_observation","no","","evidence_only"
"cost_bps","metric","Fee or cost expressed in basis points.","bps","fee_observation","no","","evidence_only"
"offset","metric","A fee offset, adjustment, or rebate amount.","currency","fee_observation","no","","evidence_only"
"fee_benchmark","metric","A peer or benchmark fee level the report compares against.","bps or currency","fee_observation","no","","evidence_only"
"nav_aum_denominator","metric","The asset base a fee is measured on.","currency","fee_observation","no","","evidence_only"
"capital_call","metric","A dated capital call amount.","currency","cash_flow_observation","no","","promoted"
"return_of_capital","metric","The return-of-capital component of a distribution.","currency","cash_flow_observation","no","","promoted"
"preferred_return","metric","The preferred-return component of a distribution.","currency","cash_flow_observation","no","","promoted"
"expense","metric","An expense or tax charge in a capital-account or cash-flow statement.","currency","cash_flow_observation","no","","promoted"
"interest","metric","Interest paid or charged in a capital-account statement.","currency","cash_flow_observation","no","","evidence_only"
"net_cash_flow","metric","Net cash movement after the page combines cash inflows and outflows.","currency","cash_flow_observation","no","","evidence_only"
"nav_per_share","metric","NAV per share or unit by class.","currency","nav_observation","no","","evidence_only"
"shares_units","metric","Shares or units outstanding, issued, or sold.","count","nav_observation","no","","promoted"
"transaction_price","metric","Transaction price per share by class.","currency","nav_observation","no","","evidence_only"
"nav_component","metric","A line of the NAV build-up: investments, cash, debt, other assets and liabilities.","currency","nav_observation","no","","evidence_only"
"repurchase_limit","metric","A repurchase or redemption limit as a share of NAV or an amount.","% or currency","nav_observation","no","","evidence_only"
"request_satisfaction","metric","Share or amount of repurchase requests satisfied.","% or currency","nav_observation","no","","evidence_only"
"valuation_assumption","metric","A discount rate, exit capitalization rate, or other valuation input.","%","nav_observation","no","","evidence_only"
"valuation_sensitivity","metric","Change in value for a stated change in an assumption.","%","nav_observation","no","","evidence_only"
