allocation_id,portfolio_id,as_of_date,fund_id,strategy,sub_strategy,target_weight,minimum_weight,maximum_weight,commitment_amount,nav_amount,unfunded_amount,expected_return,expected_volatility,liquidity_score,provenance_type,source_document_id,synthetic_parameter_set_id,optimization_run_id,record_status
ALLOC_PORTFOLIO_SYNTH_EQUAL_WEIGHT_20260630_FUND_SYNTH_000001,PORTFOLIO_SYNTH_EQUAL_WEIGHT,2026-06-30,FUND_SYNTH_000001,buyout,middle_market,0.0012500000,0.0000000000,1.0000000000,1257.04,495.49,342.62,0.10535962,,,DERIVED,,SYNTH_ASSUMED_DEMO_V1,BOUNDED_EQUAL_WEIGHT_V1;quality_run=SYNTH_CLEAN_QC,ACTIVE
ALLOC_PORTFOLIO_SYNTH_EQUAL_WEIGHT_20260630_FUND_SYNTH_000002,PORTFOLIO_SYNTH_EQUAL_WEIGHT,2026-06-30,FUND_SYNTH_000002,infrastructure,core_plus,0.0012500000,0.0000000000,1.0000000000,1140.27,685.15,573.58,0.16941179,,,DERIVED,,SYNTH_ASSUMED_DEMO_V1,BOUNDED_EQUAL_WEIGHT_V1;quality_run=SYNTH_CLEAN_QC,ACTIVE
ALLOC_PORTFOLIO_SYNTH_EQUAL_WEIGHT_20260630_FUND_SYNTH_000003,PORTFOLIO_SYNTH_EQUAL_WEIGHT,2026-06-30,FUND_SYNTH_000003,venture,early_stage,0.0012500000,0.0000000000,1.0000000000,131.60,64.35,29.96,0.19117329,,,DERIVED,,SYNTH_ASSUMED_DEMO_V1,BOUNDED_EQUAL_WEIGHT_V1;quality_run=SYNTH_CLEAN_QC,ACTIVE
ALLOC_PORTFOLIO_SYNTH_EQUAL_WEIGHT_20260630_FUND_SYNTH_000004,PORTFOLIO_SYNTH_EQUAL_WEIGHT,2026-06-30,FUND_SYNTH_000004,venture,early_stage,0.0012500000,0.0000000000,1.0000000000,317.63,148.72,39.88,0.20997213,,,DERIVED,,SYNTH_ASSUMED_DEMO_V1,BOUNDED_EQUAL_WEIGHT_V1;quality_run=SYNTH_CLEAN_QC,ACTIVE
ALLOC_PORTFOLIO_SYNTH_EQUAL_WEIGHT_20260630_FUND_SYNTH_000005,PORTFOLIO_SYNTH_EQUAL_WEIGHT,2026-06-30,FUND_SYNTH_000005,real_estate,value_add,0.0012500000,0.0000000000,1.0000000000,523.82,184.13,142.04,0.02147660,,,DERIVED,,SYNTH_ASSUMED_DEMO_V1,BOUNDED_EQUAL_WEIGHT_V1;quality_run=SYNTH_CLEAN_QC,ACTIVE
ALLOC_PORTFOLIO_SYNTH_EQUAL_WEIGHT_20260630_FUND_SYNTH_000006,PORTFOLIO_SYNTH_EQUAL_WEIGHT,2026-06-30,FUND_SYNTH_000006,buyout,middle_market,0.0012500000,0.0000000000,1.0000000000,499.78,64.05,51.36,0.06107830,,,DERIVED,,SYNTH_ASSUMED_DEMO_V1,BOUNDED_EQUAL_WEIGHT_V1;quality_run=SYNTH_CLEAN_QC,ACTIVE
ALLOC_PORTFOLIO_SYNTH_EQUAL_WEIGHT_20260630_FUND_SYNTH_000007,PORTFOLIO_SYNTH_EQUAL_WEIGHT,2026-06-30,FUND_SYNTH_000007,growth,growth_equity,0.0012500000,0.0000000000,1.0000000000,262.48,50.76,13.98,0.06714292,,,DERIVED,,SYNTH_ASSUMED_DEMO_V1,BOUNDED_EQUAL_WEIGHT_V1;quality_run=SYNTH_CLEAN_QC,ACTIVE
ALLOC_PORTFOLIO_SYNTH_EQUAL_WEIGHT_20260630_FUND_SYNTH_000008,PORTFOLIO_SYNTH_EQUAL_WEIGHT,2026-06-30,FUND_SYNTH_000008,venture,early_stage,0.0012500000,0.0000000000,1.0000000000,325.61,156.63,126.00,0.00463530,,,DERIVED,,SYNTH_ASSUMED_DEMO_V1,BOUNDED_EQUAL_WEIGHT_V1;quality_run=SYNTH_CLEAN_QC,ACTIVE
ALLOC_PORTFOLIO_SYNTH_EQUAL_WEIGHT_20260630_FUND_SYNTH_000009,PORTFOLIO_SYNTH_EQUAL_WEIGHT,2026-06-30,FUND_SYNTH_000009,venture,early_stage,0.0012500000,0.0000000000,1.0000000000,173.03,44.97,28.79,0.08781437,,,DERIVED,,SYNTH_ASSUMED_DEMO_V1,BOUNDED_EQUAL_WEIGHT_V1;quality_run=SYNTH_CLEAN_QC,ACTIVE
ALLOC_PORTFOLIO_SYNTH_EQUAL_WEIGHT_20260630_FUND_SYNTH_000010,PORTFOLIO_SYNTH_EQUAL_WEIGHT,2026-06-30,FUND_SYNTH_000010,fund_of_funds,diversified,0.0012500000,0.0000000000,1.0000000000,491.60,57.21,38.35,0.02695320,,,DERIVED,,SYNTH_ASSUMED_DEMO_V1,BOUNDED_EQUAL_WEIGHT_V1;quality_run=SYNTH_CLEAN_QC,ACTIVE
