fund_term_id,fund_id,lp_id,lp_name,share_class_name,perspective,term_scope,overrides_fund_term_id,effective_date,effective_end_date,management_fee_rate,management_fee_basis,carry_rate,hurdle_rate,catch_up_rate,catch_up_present,waterfall_type,fund_term_years,extension_years,preferred_return_compounding,expense_cap_rate,maximum_offering,currency,provenance_type,source_document_id,source_page,source_anchor,synthetic_parameter_set_id,record_status
FT_FUND_SYNTH_000001_V1,FUND_SYNTH_000001,,,,fund_total,base_fund,,2018-09-30,,0.01800000,committed_capital_then_nav,0.20000000,0.08000000,1.00000000,true,whole_fund,10,2,annual,,,USD,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE
FT_FUND_SYNTH_000002_V1,FUND_SYNTH_000002,,,,fund_total,base_fund,,2024-06-30,,0.01800000,committed_capital_then_nav,0.20000000,0.08000000,1.00000000,true,whole_fund,10,2,annual,,,EUR,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE
FT_FUND_SYNTH_000003_V1,FUND_SYNTH_000003,,,,fund_total,base_fund,,2017-12-31,,0.01800000,committed_capital_then_nav,0.20000000,0.08000000,1.00000000,true,deal_by_deal,10,2,annual,,,USD,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE
FT_FUND_SYNTH_000004_V1,FUND_SYNTH_000004,,,,fund_total,base_fund,,2016-12-31,,0.01800000,committed_capital_then_nav,0.20000000,0.08000000,1.00000000,true,deal_by_deal,10,2,annual,,,USD,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE
FT_FUND_SYNTH_000005_V1,FUND_SYNTH_000005,,,,fund_total,base_fund,,2019-12-31,,0.01800000,committed_capital_then_nav,0.20000000,0.08000000,1.00000000,true,whole_fund,10,2,annual,,,EUR,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE
FT_FUND_SYNTH_000006_V1,FUND_SYNTH_000006,,,,fund_total,base_fund,,2016-09-30,,0.01800000,committed_capital_then_nav,0.20000000,0.08000000,1.00000000,true,whole_fund,10,2,annual,,,USD,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE
FT_FUND_SYNTH_000007_V1,FUND_SYNTH_000007,,,,fund_total,base_fund,,2012-09-30,,0.01800000,committed_capital_then_nav,0.20000000,0.08000000,1.00000000,true,whole_fund,10,2,annual,,,USD,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE
FT_FUND_SYNTH_000008_LP_SYNTH_000008_01_OVERRIDE_V1,FUND_SYNTH_000008,LP_SYNTH_000008_01,Synthetic Institutional LP 0008-01,,lp_position,lp_override,FT_FUND_SYNTH_000008_V1,2022-03-31,,0.01550000,committed_capital_then_nav,,,,,,,,,,,EUR,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE
FT_FUND_SYNTH_000008_LP_SYNTH_000008_02_OVERRIDE_V1,FUND_SYNTH_000008,LP_SYNTH_000008_02,Synthetic Institutional LP 0008-02,,lp_position,lp_override,FT_FUND_SYNTH_000008_V1,2022-03-31,,0.01300000,committed_capital_then_nav,,,,,,,,,,,EUR,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE
FT_FUND_SYNTH_000008_V1,FUND_SYNTH_000008,,,,fund_total,base_fund,,2022-03-31,,0.01800000,committed_capital_then_nav,0.20000000,0.08000000,1.00000000,true,deal_by_deal,10,2,annual,,,EUR,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE
