"canonical_doc_type","default_product_tier","record_family","grain","category_kind","required_business_fields","allowed_business_fields","preferred_categories","table_cell_rule","exclusions"
"Financials","CORE","document_context","one row per document","context","subject_name|subject_type","as_of_date|asset_class|currency_scale|geography|investor_name|manager_name|period_end|period_start|portfolio_name|strategy|subject_name|subject_type|text_raw|vintage_year","","NOT_APPLICABLE","Generic statement transcription; non-investment operating lines; null cells; hypothetical values."
"Financials","CORE","financial_statement_observation","one populated allowed source value cell","metric","metric_category|metric_name|metric_value_raw|subject_name","as_of_date|asset_class|currency_scale|geography|horizon|metric_category|metric_name|metric_value_raw|period_end|period_start|strategy|subject_name|subject_type|unit|vintage_year","beginning_capital|ending_capital|cash|total_assets|total_liabilities|net_assets|partners_capital|net_investment_income|investment_fair_value|investment_cost|fund_expense|interest_expense|realized_gain_loss|unrealized_gain_loss","ONE_POPULATED_ELIGIBLE_VALUE_CELL_ONE_ROW","Generic statement transcription; non-investment operating lines; null cells; hypothetical values."
"Financials","CORE","fund_economics_observation","one populated allowed source value cell","metric","metric_category|metric_name|metric_value_raw|subject_name","as_of_date|asset_class|currency_scale|geography|horizon|metric_category|metric_name|metric_value_raw|period_end|period_start|strategy|subject_name|subject_type|unit|vintage_year","commitment|paid_in_capital|contribution|distribution|nav|unfunded_commitment|recallable_distribution|tvpi|dpi|rvpi|moic|ownership_percentage|income|fee|carried_interest","ONE_POPULATED_ELIGIBLE_VALUE_CELL_ONE_ROW","Generic statement transcription; non-investment operating lines; null cells; hypothetical values."
"Financials","CORE","position_observation","one populated allowed source value cell for one named position","metric","metric_category|metric_name|metric_value_raw|subject_name","as_of_date|asset_class|currency_scale|geography|horizon|metric_category|metric_name|metric_value_raw|period_end|period_start|strategy|subject_name|subject_type|unit|vintage_year","quantity|cost|fair_value|market_value|notional|portfolio_weight|interest_rate|maturity_date","ONE_POPULATED_ELIGIBLE_VALUE_CELL_ONE_ROW","Generic statement transcription; non-investment operating lines; null cells; hypothetical values."
"Financials","CORE","fee_observation","one populated allowed source value cell","metric","metric_category|metric_name|metric_value_raw|subject_name","as_of_date|asset_class|currency_scale|geography|horizon|metric_category|metric_name|metric_value_raw|period_end|period_start|strategy|subject_name|subject_type|unit|vintage_year","management_fee|performance_fee|cost_bps|offset|fee_benchmark|nav_aum_denominator","ONE_POPULATED_ELIGIBLE_VALUE_CELL_ONE_ROW","Generic statement transcription; non-investment operating lines; null cells; hypothetical values."
"Financials","CORE","financing_observation","one populated allowed source value cell","metric","metric_category|metric_name|metric_value_raw|subject_name","as_of_date|asset_class|currency_scale|geography|horizon|metric_category|metric_name|metric_value_raw|period_end|period_start|strategy|subject_name|subject_type|unit|vintage_year","outstanding_balance","ONE_POPULATED_ELIGIBLE_VALUE_CELL_ONE_ROW","Generic statement transcription; non-investment operating lines; null cells; hypothetical values."
"Performance","CORE","document_context","one row per document","context","subject_name|subject_type","as_of_date|asset_class|currency_scale|geography|investor_name|manager_name|period_end|period_start|portfolio_name|strategy|subject_name|subject_type|text_raw|vintage_year","","NOT_APPLICABLE","Blank, dash, N/A, calculated, inferred, template, and out-of-scope facts."
"Performance","CORE","performance_observation","one populated allowed source value cell","metric","metric_category|metric_name|metric_value_raw|subject_name|subject_type","as_of_date|asset_class|currency_scale|geography|horizon|metric_category|metric_name|metric_value_raw|period_end|period_start|strategy|subject_name|subject_type|unit|vintage_year","return|irr|alpha|pme|direct_alpha|sharpe_ratio|tracking_error|yield|aum","ONE_POPULATED_ELIGIBLE_VALUE_CELL_ONE_ROW","Blank, dash, N/A, calculated, inferred, template, and out-of-scope facts."
"Performance","CORE","fund_economics_observation","one populated allowed source value cell","metric","metric_category|metric_name|metric_value_raw|subject_name","as_of_date|asset_class|currency_scale|geography|horizon|metric_category|metric_name|metric_value_raw|period_end|period_start|strategy|subject_name|subject_type|unit|vintage_year","commitment|paid_in_capital|contribution|distribution|nav|unfunded_commitment|recallable_distribution|tvpi|dpi|rvpi|moic|ownership_percentage|income|fee|carried_interest","ONE_POPULATED_ELIGIBLE_VALUE_CELL_ONE_ROW","Blank, dash, N/A, calculated, inferred, template, and out-of-scope facts."
"Performance","CORE","cash_flow_observation","one populated allowed source value cell or one notice component the page states in words","metric","metric_category|metric_name|metric_value_raw|subject_name","as_of_date|asset_class|currency_scale|geography|horizon|metric_category|metric_name|metric_value_raw|period_end|period_start|strategy|subject_name|subject_type|unit|vintage_year","capital_call|return_of_capital|preferred_return|expense|interest|net_cash_flow","ONE_POPULATED_ELIGIBLE_VALUE_CELL_ONE_ROW","Blank, dash, N/A, calculated, inferred, template, and out-of-scope facts."
