"work_order","file_id","filename","page_count","canonical_doc_type","source_header_doc_type","route","product_tier","routing_status","routing_reason","issuer","source_sha256","txt_path","pdf_path","image_dir","grid_path"
"1","SRC101","PCAP_Heritage_Fund_I_LP_PSERS_FOIA.pdf","6","Quarterly_Report","PCAP","04-quarterly-report","CORE","RATIFIED_HEADER_OVERRIDE","SOURCE_LEDGER_ADJUDICATION_SUPERSEDES_STALE_TXT_HEADER","Heritage Partners, Inc. (General Partner)","a56370ea1e16d6916fcc52bd2c23d800a242e27c08d54ec90e5ade85d330c91e","data/documents/txt/PCAP_Heritage_Fund_I_LP_PSERS_FOIA.txt","data/documents/pdf/PCAP_Heritage_Fund_I_LP_PSERS_FOIA.pdf","data/documents/images/PCAP_Heritage_Fund_I_LP_PSERS_FOIA","data/documents/grids/PCAP_Heritage_Fund_I_LP_PSERS_FOIA.csv"
"2","SRC455","Performance_NMERB_NEPC_Private_Equity_Q1_2016.pdf","17","Quarterly_Report","Performance","04-quarterly-report","CORE","RATIFIED_HEADER_OVERRIDE","SOURCE_LEDGER_ADJUDICATION_SUPERSEDES_STALE_TXT_HEADER","NEPC for New Mexico Educational Retirement Board","0f0834afd02bd27f8e8f8bccab38057d61c801d99f07e6fa1ec5707d6f3e4bb6","data/documents/txt/Performance_NMERB_NEPC_Private_Equity_Q1_2016.txt","data/documents/pdf/Performance_NMERB_NEPC_Private_Equity_Q1_2016.pdf","data/documents/images/Performance_NMERB_NEPC_Private_Equity_Q1_2016","data/documents/grids/Performance_NMERB_NEPC_Private_Equity_Q1_2016.csv"
"3","SRC459","Performance_San_Jose_Police_Fire_Private_Markets_Q4_2015.pdf","19","Quarterly_Report","Performance","04-quarterly-report","CORE","RATIFIED_HEADER_OVERRIDE","SOURCE_LEDGER_ADJUDICATION_SUPERSEDES_STALE_TXT_HEADER","NEPC Private Markets Research Team for San Jose Police and Fire Department Retirement Plan","380d611c624e6c3b174f1022706162b9f992f0310ac167d06d67df4af7af2fa0","data/documents/txt/Performance_San_Jose_Police_Fire_Private_Markets_Q4_2015.txt","data/documents/pdf/Performance_San_Jose_Police_Fire_Private_Markets_Q4_2015.pdf","data/documents/images/Performance_San_Jose_Police_Fire_Private_Markets_Q4_2015","data/documents/grids/Performance_San_Jose_Police_Fire_Private_Markets_Q4_2015.csv"
"4","SRC476","Performance_NMERB_Private_Equity_Q2_2018.pdf","19","Quarterly_Report","Performance","04-quarterly-report","CORE","RATIFIED_HEADER_OVERRIDE","SOURCE_LEDGER_ADJUDICATION_SUPERSEDES_STALE_TXT_HEADER","NEPC for New Mexico Educational Retirement Board","f1b2d5e378181bc4a542c3fb22b7a5090e59dae5f68dea26e7b5d958b97cc1f7","data/documents/txt/Performance_NMERB_Private_Equity_Q2_2018.txt","data/documents/pdf/Performance_NMERB_Private_Equity_Q2_2018.pdf","data/documents/images/Performance_NMERB_Private_Equity_Q2_2018","data/documents/grids/Performance_NMERB_Private_Equity_Q2_2018.csv"
"5","SRC458","Performance_Nebraska_Investment_Council_Private_Equity_Q2_2025.pdf","20","Quarterly_Report","Performance","04-quarterly-report","CORE","RATIFIED_HEADER_OVERRIDE","SOURCE_LEDGER_ADJUDICATION_SUPERSEDES_STALE_TXT_HEADER","Nebraska Investment Council","954e569d16ae35379a04a42d5ee6fbe0171ba4d4e3051a2a9fc0b56f36cf967e","data/documents/txt/Performance_Nebraska_Investment_Council_Private_Equity_Q2_2025.txt","data/documents/pdf/Performance_Nebraska_Investment_Council_Private_Equity_Q2_2025.pdf","data/documents/images/Performance_Nebraska_Investment_Council_Private_Equity_Q2_2025","data/documents/grids/Performance_Nebraska_Investment_Council_Private_Equity_Q2_2025.csv"
"6","SRC099","Quarterly_Report_PSERS_Real_Estate_2Q17_FOIA.pdf","21","Quarterly_Report","Quarterly_Report","04-quarterly-report","CORE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","Pennsylvania Public School Employees' Retirement System (PSERS), Non-Traditional Investments","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","data/documents/txt/Quarterly_Report_PSERS_Real_Estate_2Q17_FOIA.txt","data/documents/pdf/Quarterly_Report_PSERS_Real_Estate_2Q17_FOIA.pdf","data/documents/images/Quarterly_Report_PSERS_Real_Estate_2Q17_FOIA","data/documents/grids/Quarterly_Report_PSERS_Real_Estate_2Q17_FOIA.csv"
"7","SRC127","Quarterly_Report_ASKIA_PSERS_2017Q4_FOIA.pdf","23","Quarterly_Report","Quarterly_Report","04-quarterly-report","CORE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","ASKIA (for PSERS)","a132fa79fc79b16fdfb62b66f69843593f0c0bd4299aefd78ac4b5a1e51c97ae","data/documents/txt/Quarterly_Report_ASKIA_PSERS_2017Q4_FOIA.txt","data/documents/pdf/Quarterly_Report_ASKIA_PSERS_2017Q4_FOIA.pdf","data/documents/images/Quarterly_Report_ASKIA_PSERS_2017Q4_FOIA","data/documents/grids/Quarterly_Report_ASKIA_PSERS_2017Q4_FOIA.csv"
"8","SRC199","Quarterly_Report_NC_Treasurer_Investment_Report_2025Q1.pdf","23","Quarterly_Report","Quarterly_Report","04-quarterly-report","CORE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","North Carolina Department of State Treasurer, Investment Management Division","46e26ff3c7611aae4f2ac79e949c75e7e68a22f799f081e917faeb85575769e0","data/documents/txt/Quarterly_Report_NC_Treasurer_Investment_Report_2025Q1.txt","data/documents/pdf/Quarterly_Report_NC_Treasurer_Investment_Report_2025Q1.pdf","data/documents/images/Quarterly_Report_NC_Treasurer_Investment_Report_2025Q1","data/documents/grids/Quarterly_Report_NC_Treasurer_Investment_Report_2025Q1.csv"
"9","SRC456","Performance_NMERB_Private_Equity_Q3_2013.pdf","23","Quarterly_Report","Performance","04-quarterly-report","CORE","RATIFIED_HEADER_OVERRIDE","SOURCE_LEDGER_ADJUDICATION_SUPERSEDES_STALE_TXT_HEADER","NEPC for New Mexico Educational Retirement Board","bdbb716d19d3c75d039d39e3188d042e876bdb04607320af653010fae7f3e26e","data/documents/txt/Performance_NMERB_Private_Equity_Q3_2013.txt","data/documents/pdf/Performance_NMERB_Private_Equity_Q3_2013.pdf","data/documents/images/Performance_NMERB_Private_Equity_Q3_2013","data/documents/grids/Performance_NMERB_Private_Equity_Q3_2013.csv"
"10","SRC100","Performance_USS_Investment_Builder_Quarterly_Report.pdf","25","Quarterly_Report","Quarterly_Report","04-quarterly-report","CORE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","Universities Superannuation Scheme Limited (Trustee) / USS Investment Management Ltd","4ac8fc367a2ba68bcc106f3fbe8261e379d5b203c809895abc935ded32f197c5","data/documents/txt/Performance_USS_Investment_Builder_Quarterly_Report.txt","data/documents/pdf/Performance_USS_Investment_Builder_Quarterly_Report.pdf","data/documents/images/Performance_USS_Investment_Builder_Quarterly_Report","data/documents/grids/Performance_USS_Investment_Builder_Quarterly_Report.csv"
