fund_id,fund_name,derived_manager,manager_id,formula_id,derived_at
FUND_0001,"Incline Equity Partners III (PSERS), L.P.",Incline Equity Partners,MGR_0011,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0002,"Milestone Partners II, L.P.",Milestone Partners,MGR_0012,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0003,"New Mountain Partners IV, L.P.",New Mountain Partners,MGR_0013,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0006,"Cascade Angels Fund 2016, L.P.",Cascade Angels,MGR_0014,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0007,"Cascade Angels Fund V, LLC",Cascade Angels,MGR_0014,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0008,"Cascade Seed Fund I, LLC",Cascade Seed,MGR_0015,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0009,Cascade Seed Fund II,Cascade Seed,MGR_0015,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0010,"DFJ Frontier Fund II, L.P.",DFJ Frontier,MGR_0016,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0011,"Ecotrust Forests II, LLC",Ecotrust Forests,MGR_0017,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0012,Elevate Capital Fund II,Elevate Capita,MGR_0018,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0013,"Endeavour Capital Fund III, L.P.",Endeavour Capita,MGR_0019,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0014,"Enlightened Hospitality Investments, L.P.",Enlightened Hospitality Investments,MGR_0020,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0015,"Epic Venture Fund IV, L.P.",Epic Venture,MGR_0021,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0016,"Epic Venture Fund V, L.P.",Epic Venture,MGR_0021,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0017,"Epic Ventures VI, L.P.",Epic Ventures,MGR_0022,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
FUND_0018,"Fluke Venture Partners II, L.P.",Fluke Venture Partners,MGR_0023,MGR_BRAND_FROM_FUND_NAME_V1,2026-08-12T00:41:43Z
