matrix,rows,columns,contexts,status,detail
adjudication-conventions,5,5,1,PASS,
adjudication-decision-semantics,6,5,1,PASS,
adjudication-duplicate-policy,1,5,1,PASS,
adjudication-outcomes,16,7,1,PASS,
adjudication-resolution-routing,2,5,1,PASS,
agreement-definition,1,5,1,PASS,
alias-evidence-aggregation,2,5,1,PASS,
analytics-quality-gate,1,5,1,PASS,
assumption-unit-map,6,5,1,PASS,
assumption-value-channel,3,5,1,PASS,
attribute-canon-rules,6,5,1,PASS,
attribute-origin-vocabulary,2,5,1,PASS,
attribute-spelling-rules,3,5,1,PASS,
attribute-status-policy,12,6,5,PASS,
benchmark-field-fallbacks,2,5,1,PASS,
benchmark-index-construction,3,5,1,PASS,
benchmark-join-policy,3,5,1,PASS,
benchmark-malformed-share,3,5,1,PASS,
benchmark-master-selection,2,5,1,PASS,
benchmark-periodicity,1,5,1,PASS,
benchmark-policy-summary,3,5,1,PASS,
benchmark-promotion-labels,6,5,1,PASS,
benchmark-return-eligibility,2,5,1,PASS,
benchmark-return-formula,1,5,1,PASS,
benchmark-return-window,1,5,1,PASS,
benchmark-source-priority,4,6,2,PASS,
benchmark-use-policy,4,5,1,PASS,
calibration-candidate-status,2,5,1,PASS,
calibration-formulas,3,5,1,PASS,
calibration-input-cleaning,2,5,1,PASS,
calibration-metric-map,2,5,1,PASS,
calibration-output-labels,3,5,1,PASS,
calibration-panel-gates,3,5,1,PASS,
calibration-panel,6,5,1,PASS,
calibration-source-panel,1,5,1,PASS,
calibration-strategy-scope,3,5,1,PASS,
cashflow-admission,4,5,1,PASS,
cashflow-aggregation,3,5,1,PASS,
cashflow-date-precedence,7,6,1,PASS,
cashflow-fund-attribution,2,6,1,PASS,
cashflow-selection,3,5,1,PASS,
cashflow-sign-policy,6,5,1,PASS,
category-column-type,2,5,1,PASS,
category-field-precedence,4,6,2,PASS,
closed-vocabularies,24,6,5,PASS,
collision-policy,2,6,1,PASS,
column-kind,2,5,1,PASS,
completion-target-fields,30,5,1,PASS,
conflict-severity,14,6,3,PASS,
context-alias-fallback,2,5,1,PASS,
context-grouping-map,78,9,5,PASS,
coverage-layout-policy,3,5,1,PASS,
coverage-metadata-policy,3,5,1,PASS,
coverage-population,1,5,1,PASS,
csv-lineage-rules,1,5,1,PASS,
csv-value-serialization,3,5,1,PASS,
currency-defaults,3,6,3,PASS,
currency-precedence,3,5,1,PASS,
currency-token-map,15,6,3,PASS,
database-missing-input-policy,1,5,1,PASS,
database-null-policy,1,5,1,PASS,
date-precision-policy,3,5,1,PASS,
date-role-precedence,4,6,1,PASS,
date-role-precision,4,6,1,PASS,
date-shapes,6,5,1,PASS,
daycount-convention,3,5,1,PASS,
decision-vocabulary,5,6,2,PASS,
defect-definitions,19,8,2,PASS,
deterministic-unit-interval,2,5,1,PASS,
dimension-values,118,6,9,PASS,
dispatch-scope-rules,4,6,1,PASS,
doc-type-families,17,5,1,PASS,
doc-type-route,18,6,1,PASS,
document-manager-identity-precedence,2,6,1,PASS,
document-manager-role,3,6,1,PASS,
document-manager-source-precedence,2,6,1,PASS,
document-reporting-fund-policy,2,5,1,PASS,
document-row-precedence,2,5,1,PASS,
document-summary-field-policy,1,5,1,PASS,
eligibility-signals,46,6,3,PASS,
empty-table-reasons,1,5,1,PASS,
entity-name-precedence,10,6,4,PASS,
entity-prefix-routing,3,5,1,PASS,
entity-resolution-status,1,5,1,PASS,
evidence-anchor-format,6,7,2,PASS,
evidence-field-fallbacks,4,6,2,PASS,
evidence-preference-order,4,6,2,PASS,
