"contract_version","file_id","source_sha256","canonical_doc_type","route","product_tier","agent_role","source_page","page_status","layout_checked","source_structures","relevant_record_families","expected_observation_count","records_written","notes"
"2026-08-22.2","SRC034","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","Financials","01-financials","CORE","A","1","NO_ELIGIBLE_DATA","YES","","","0","0","NO_ELIGIBLE_REASON: bare title page (fund names, document title, as-of date), no figures."
"2026-08-22.2","SRC034","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","Financials","01-financials","CORE","A","2","NO_ELIGIBLE_DATA","YES","","","0","0","NO_ELIGIBLE_REASON: Table of Contents listing statement titles, no figures."
"2026-08-22.2","SRC034","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","Financials","01-financials","CORE","A","3","ELIGIBLE_DATA_EXTRACTED","YES","Combined Financial Statements | Combined Statement of Assets, Liabilities, and Partners' Capital","document_context | financial_statement_observation","9","9","NO_ELIGIBLE_REASON: Other assets, Accounts payable and accrued expenses, Accounts payable-affiliates, and Total liabilities and partners' capital have no matching controlled financial_statement_observation category and are skipped."
"2026-08-22.2","SRC034","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","Financials","01-financials","CORE","A","4","ELIGIBLE_DATA_EXTRACTED","YES","Combined Schedule of Investments","position_observation","21","21","This page has no usable grid (no text layer to detect a table from) and severe OCR corruption (scrambled row/column alignment, comma/period confusion, one digit-reversed value); every value is verified against page-004.png. The Investments column itself is redacted (blacked out) in the source PDF, so the 7 rows use subject_name=REDACTED, distinguished by Industry/Headquarters/vintage_year. The Total row (Cost $415,489,109 / Fair value $425,000,000) duplicates the Total Investments figures already extracted on page 3 and is not extracted again."
"2026-08-22.2","SRC034","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","Financials","01-financials","CORE","A","5","ELIGIBLE_DATA_EXTRACTED","YES","Combined Statement of Operations","financial_statement_observation","7","7","NO_ELIGIBLE_REASON: Investment income and Total income have no matching category (net_investment_income is the net figure, not gross income); Total expenses, Total net unrealized and realized gain on investments, and Net increase in partners' capital resulting from operations are combined/aggregate totals with no matching controlled category and are skipped."
"2026-08-22.2","SRC034","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","Financials","01-financials","CORE","A","6","ELIGIBLE_DATA_EXTRACTED","YES","Combined Statement of Changes in Partners' Capital","financial_statement_observation","18","18","NO_ELIGIBLE_REASON: Contributions prints only dashes (no value) for both partner columns; Net increase in partners' capital resulting from operations has no matching controlled category and is skipped. Two cells (Limited Partners/Net investment income, Total/Net change in unrealized gain) are OCR-corrupted (spurious space, digit misread as letter T) and verified against page-006.png."
"2026-08-22.2","SRC034","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","Financials","01-financials","CORE","A","7","ELIGIBLE_DATA_EXTRACTED","YES","Combined Statement of Cash Flows","financial_statement_observation","2","2","NO_ELIGIBLE_REASON: the operations reconciliation lines (Amortization of deferred financing fees, Proceeds from investments, Purchases of investments, Other assets, the payables reconciling lines, Net cash used in operating/financing activities, Net decrease in cash) have no matching controlled category; Net change in unrealized gain, Net realized gain, Distributions, and Cash end of year duplicate figures already extracted on pages 5, 6, and 3."
"2026-08-22.2","SRC034","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","Financials","01-financials","CORE","A","8","NO_ELIGIBLE_DATA","YES","","","0","0","NO_ELIGIBLE_REASON: divider page reading only Supplemental Information, no figures."
"2026-08-22.2","SRC034","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","Financials","01-financials","CORE","A","9","ELIGIBLE_DATA_EXTRACTED","YES","Combining Statement of Assets, Liabilities, and Partners' Capital","financial_statement_observation","14","14","NO_ELIGIBLE_REASON: Interfund receivable/payable, Other assets, and Accounts payable lines have no matching controlled category; the Combined Total column and Total liabilities and partners' capital duplicate the page 3 combined-statement figures exactly and are not extracted a second time; OCR reading order is scrambled on this page (values print out of row/column sequence), so every figure is verified against page-009.png before assignment."
"2026-08-22.2","SRC034","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","Financials","01-financials","CORE","A","10","ELIGIBLE_DATA_EXTRACTED","YES","Combining Statement of Operations","financial_statement_observation","14","14","NO_ELIGIBLE_REASON: Investment income, Total income, Total expenses, Total net unrealized and realized gain, and Net increase in partners' capital resulting from operations have no matching controlled category; the Combined Total column duplicates the page 5 combined-statement figures exactly and is not extracted a second time; values verified against page-010.png."
