"contract_version","file_id","source_sha256","canonical_doc_type","route","product_tier","agent_role","record_family","source_page","source_structure_type","source_section","source_table","source_row_label","source_column_label","source_occurrence","subject_type","subject_name","asset_class","strategy","geography","manager_name","investor_name","portfolio_name","vintage_year","period_start","period_end","as_of_date","horizon","currency_scale","metric_category","metric_name","metric_value_raw","unit","term_category","text_raw","basis_raw","condition_raw","evidence_quote","evidence_class","notes","source_agents","adjudication_status"
"2026-08-22.2","SRC034","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","Financials","01-financials","CORE","A","document_context","3","DOCUMENT","Combined Financial Statements","","DOCUMENT","","1","document","Combined Financial Statements","","","","","Pennsylvania Public School Employees' Retirement System (PSERS)","","","","","March 31, 2018","","","","","","","","","","","Combined Statement of Assets, Liabilities, and Partners' Capital","actual","","",""
"2026-08-22.2","SRC034","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","Financials","01-financials","CORE","A","financial_statement_observation","3","TABLE","","Combined Statement of Assets, Liabilities, and Partners' Capital","Cash","UNLABELED_COLUMN_1","1","reporting_entity","Cash","","","","","","","","","","March 31, 2018","","","cash","UNLABELED_COLUMN_1","13,307,614","","","","","","Cash 13,307,614","actual","","",""
"2026-08-22.2","SRC034","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","Financials","01-financials","CORE","A","financial_statement_observation","3","TABLE","","Combined Statement of Assets, Liabilities, and Partners' Capital","General Partner","UNLABELED_COLUMN_1","1","investor","General Partner","","","","","","","","","","March 31, 2018","","","partners_capital","UNLABELED_COLUMN_1","26,095,710","","","","","","General Partner 26,095,710","actual","","",""
"2026-08-22.2","SRC034","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","Financials","01-financials","CORE","A","financial_statement_observation","3","TABLE","","Combined Statement of Assets, Liabilities, and Partners' Capital","Limited Partners","UNLABELED_COLUMN_1","1","investor","Limited Partners","","","","","","","","","","March 31, 2018","","","partners_capital","UNLABELED_COLUMN_1","412,301,446","","","","","","Limited Partners 412,301,446","actual","","",""
"2026-08-22.2","SRC034","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","Financials","01-financials","CORE","A","financial_statement_observation","3","TABLE","","Combined Statement of Assets, Liabilities, and Partners' Capital","Total assets","UNLABELED_COLUMN_1","1","reporting_entity","Total assets","","","","","","","","","","March 31, 2018","","","total_assets","UNLABELED_COLUMN_1","$438,924,905","","","","","","Total assets $ 438,924,905","actual","","",""
"2026-08-22.2","SRC034","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","Financials","01-financials","CORE","A","financial_statement_observation","3","TABLE","","Combined Statement of Assets, Liabilities, and Partners' Capital","Total Investments, at fair value","Cost","1","reporting_entity","Total Investments, at fair value","","","","","","","","","","March 31, 2018","","","investment_cost","Cost","$415,489,109","","","","","","Total Investments, at fair value (cost $415,489,109) $ 425,000,000","actual","","",""
"2026-08-22.2","SRC034","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","Financials","01-financials","CORE","A","financial_statement_observation","3","TABLE","","Combined Statement of Assets, Liabilities, and Partners' Capital","Total Investments, at fair value","Fair Value","1","reporting_entity","Total Investments, at fair value","","","","","","","","","","March 31, 2018","","","investment_fair_value","Fair Value","$425,000,000","","","","","","Total Investments, at fair value (cost $415,489,109) $ 425,000,000","actual","","",""
"2026-08-22.2","SRC034","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","Financials","01-financials","CORE","A","financial_statement_observation","3","TABLE","","Combined Statement of Assets, Liabilities, and Partners' Capital","Total liabilities","UNLABELED_COLUMN_1","1","reporting_entity","Total liabilities","","","","","","","","","","March 31, 2018","","","total_liabilities","UNLABELED_COLUMN_1","527,749","","","","","","Total liabilities 527,749","actual","","",""
"2026-08-22.2","SRC034","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","Financials","01-financials","CORE","A","financial_statement_observation","3","TABLE","","Combined Statement of Assets, Liabilities, and Partners' Capital","Total partners' capital","UNLABELED_COLUMN_1","1","reporting_entity","Total partners' capital","","","","","","","","","","March 31, 2018","","","partners_capital","UNLABELED_COLUMN_1","438,397,156","","","","","","Total partners' capital 438,397,156","actual","","",""
"2026-08-22.2","SRC034","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","Financials","01-financials","CORE","A","position_observation","4","TABLE","","Combined Schedule of Investments","REDACTED","% of Partners' Capital","1","investment","REDACTED","Defense","","Philadelphia, PA","","","","2009","","","","","","portfolio_weight","% of Partners' Capital","34.22%","%","","","","","34.22%","actual","IMAGE_ONLY: verified against page-004.png; investment name is redacted (blacked out) in the source PDF, so subject_name is recorded as REDACTED and distinguished by Industry, Headquarters, and vintage_year instead.","",""
"2026-08-22.2","SRC034","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","Financials","01-financials","CORE","A","position_observation","4","TABLE","","Combined Schedule of Investments","REDACTED","% of Partners' Capital","2","investment","REDACTED","Retail","","Rochelle Park, NJ","","","","2012","","","","","","portfolio_weight","% of Partners' Capital","10.26%","%","","","","","10.26%","actual","IMAGE_ONLY: verified against page-004.png; investment name is redacted (blacked out) in the source PDF, so subject_name is recorded as REDACTED and distinguished by Industry, Headquarters, and vintage_year instead.","",""
"2026-08-22.2","SRC034","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","Financials","01-financials","CORE","A","position_observation","4","TABLE","","Combined Schedule of Investments","REDACTED","% of Partners' Capital","3","investment","REDACTED","Commercial Equip. & Services","","Durham, NC & Rochester, NY","","","","2011","","","","","","portfolio_weight","% of Partners' Capital","20.53%","%","","","","","20.53%","actual","IMAGE_ONLY: verified against page-004.png; investment name is redacted (blacked out) in the source PDF, so subject_name is recorded as REDACTED and distinguished by Industry, Headquarters, and vintage_year instead.","",""
"2026-08-22.2","SRC034","c6ea06465f1920417d13440de26a3aefe9611278bbfc337b5e3d6f32647895a8","Financials","01-financials","CORE","A","position_observation","4","TABLE","","Combined Schedule of Investments","REDACTED","% of Partners' Capital","4","investment","REDACTED","Hospitality","","Herndon, VA","","","","2013","","","","","","portfolio_weight","% of Partners' Capital","21.21%","%","","","","","21.21%","actual","IMAGE_ONLY: verified against page-004.png; investment name is redacted (blacked out) in the source PDF, so subject_name is recorded as REDACTED and distinguished by Industry, Headquarters, and vintage_year instead.","",""
