"source_page","a_page_status","b_page_status","a_layout_checked","b_layout_checked","a_expected_observation_count","b_expected_observation_count","a_source_structures","b_source_structures","a_relevant_record_families","b_relevant_record_families","difference_fields"
"1","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","","Financial Statements","","document_context","source_structures|relevant_record_families"
"2","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","7","7","Balance Sheet | Financial Statements","Balance Sheet","document_context | financial_statement_observation","document_context | financial_statement_observation","source_structures"
"4","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","2","12","Statement of Cash Flows","Statement of Cash Flows","financial_statement_observation","financial_statement_observation","expected_observation_count"
"5","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","","Statement of Investments","","position_observation","source_structures|relevant_record_families"
"6","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","","Notes to Financial Statements","","financial_statement_observation","source_structures|relevant_record_families"
"7","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","","Notes to Financial Statements (continued)","","financial_statement_observation","source_structures|relevant_record_families"
"8","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","","Notes to Financial Statements (continued)","","financial_statement_observation","source_structures|relevant_record_families"
"9","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","","Related party transactions and balances","","financial_statement_observation","source_structures|relevant_record_families"
"10","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","1","1","Committed capital","Committed capital","financial_statement_observation","fund_economics_observation","relevant_record_families"
"11","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","24","28","Partners' capital account - current year | Partners' capital account - inception to date","Partners' capital account - current year | Partners' capital account - inception to date","financial_statement_observation","financial_statement_observation","expected_observation_count"
"12","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","","Carried interest | Distribution to partners","","fund_economics_observation","source_structures|relevant_record_families"
"13","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","","Carried interest (continued) | Deposit of amounts with custodian | Indemnification of the General Partner, the Fund Manager, and their affiliates","","fund_economics_observation","source_structures|relevant_record_families"
"14","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","","Capital management | Financial instruments | Future accounting changes | Indemnification of the General Partner, the Fund Manager, and their affiliates (continued)","","financial_statement_observation","source_structures|relevant_record_families"
