"contract_version","file_id","source_sha256","canonical_doc_type","route","product_tier","agent_role","record_family","source_page","source_structure_type","source_section","source_table","source_row_label","source_column_label","source_occurrence","subject_type","subject_name","asset_class","strategy","geography","manager_name","investor_name","portfolio_name","vintage_year","period_start","period_end","as_of_date","horizon","currency_scale","metric_category","metric_name","metric_value_raw","unit","term_category","text_raw","basis_raw","condition_raw","evidence_quote","evidence_class","notes","source_agents","adjudication_status","definition_keys","method","fee_basis","value_scope","sector"
"2026-08-22.2","SRC102","dec577c036c11f70b30193bbfbdf4d478fabfc36f3ef15ae68249a2810f8ddfe","Financials","01-financials","CORE","ADJUDICATED","document_context","2","DOCUMENT","Balance Sheet","Balance Sheet","DOCUMENT","","1","document","JEFFERSON PARTNERS FUND IV (PA), L.P.","","","","","","","","","","December 20, 2016","","(Expressed in Canadian dollars)","","","","","","","","","JEFFERSON PARTNERS FUND IV (PA), L.P I.iquidated Balance Sheet","actual","","A+B+ADJUDICATOR","RESOLVED","","","","",""
"2026-08-22.2","SRC102","dec577c036c11f70b30193bbfbdf4d478fabfc36f3ef15ae68249a2810f8ddfe","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","2","TABLE","Balance Sheet","Balance Sheet","Capital - organization and offering expenses","2015","1","other_printed_scope","Capital - organization and offering expenses","","","","","","","","","","2015","","(Expressed in Canadian dollars)","fund_expense","Capital - organization and offering expenses","(263,543)","","","","","","(263.543) Capital - organization and offering expenses","actual","IMAGE_ONLY: verified against page-002.png; OCR renders this comma-grouped number with a period (263.543).","A+B+ADJUDICATOR","RESOLVED","","","","",""
"2026-08-22.2","SRC102","dec577c036c11f70b30193bbfbdf4d478fabfc36f3ef15ae68249a2810f8ddfe","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","2","TABLE","Balance Sheet","Balance Sheet","Capital - organization and offering expenses","2016","1","other_printed_scope","Capital - organization and offering expenses","","","","","","","","","","December 20, 2016","","(Expressed in Canadian dollars)","fund_expense","Capital - organization and offering expenses","(263,543)","","","","","","Capital - organization and offering expenses (263,543)","actual","IMAGE_ONLY: This document has no text layer and no grid, so the value was read from the page image; the OCR line renders comma-grouped numbers with periods and drops the printed dollar signs.","A+B+ADJUDICATOR","RESOLVED","","","","",""
"2026-08-22.2","SRC102","dec577c036c11f70b30193bbfbdf4d478fabfc36f3ef15ae68249a2810f8ddfe","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","2","TABLE","Balance Sheet","Balance Sheet","Capital contributions","2015","1","other_printed_scope","Capital contributions","","","","","","","","","","2015","","(Expressed in Canadian dollars)","paid_in_capital","Capital contributions","29,155,169","","","","","","29,155.169 Capital contributions","actual","IMAGE_ONLY: verified against page-002.png; OCR renders this comma-grouped number with a trailing period (29,155.169).","A+B+ADJUDICATOR","RESOLVED","","","","",""
"2026-08-22.2","SRC102","dec577c036c11f70b30193bbfbdf4d478fabfc36f3ef15ae68249a2810f8ddfe","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","2","TABLE","Balance Sheet","Balance Sheet","Capital contributions","2016","1","other_printed_scope","Capital contributions","","","","","","","","","","December 20, 2016","","(Expressed in Canadian dollars)","paid_in_capital","Capital contributions","29,155,169","","","","","","Capital contributions 29.155.169","actual","IMAGE_ONLY: verified against page-002.png; OCR renders this comma-grouped number with periods (29.155.169).","A+B+ADJUDICATOR","RESOLVED","","","","",""
"2026-08-22.2","SRC102","dec577c036c11f70b30193bbfbdf4d478fabfc36f3ef15ae68249a2810f8ddfe","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","2","TABLE","Balance Sheet","Balance Sheet","Cash","2015","1","asset_class","Cash","","","","","","","","","","2015","","(Expressed in Canadian dollars)","cash","Cash","$48,231","","","","","","Cash 48.231","actual","IMAGE_ONLY: verified against page-002.png; OCR renders this comma-grouped number with a period (48.231) and drops the leading $ signs.","A+B+ADJUDICATOR","RESOLVED","","","","",""
"2026-08-22.2","SRC102","dec577c036c11f70b30193bbfbdf4d478fabfc36f3ef15ae68249a2810f8ddfe","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","2","TABLE","Balance Sheet","Balance Sheet","Distribution","2016","1","other_printed_scope","Distribution","","","","","","","","","","December 20, 2016","","(Expressed in Canadian dollars)","distribution","Distribution","(25,517)","","","","","","Distribution (25,517)","actual","IMAGE_ONLY: This document has no text layer and no grid, so the value was read from the page image; the OCR line renders comma-grouped numbers with periods and drops the printed dollar signs.","A+B+ADJUDICATOR","RESOLVED","","","","",""
"2026-08-22.2","SRC102","dec577c036c11f70b30193bbfbdf4d478fabfc36f3ef15ae68249a2810f8ddfe","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","3","TABLE","Statement of Operations and Deficit","Statement of Operations and Deficit","Change in unrealized gain (loss) in fair value of investments","2015","1","other_printed_scope","Change in unrealized gain (loss) in fair value of investments","","","","","","","","","2015","2015","2015","(Expressed in Canadian dollars)","unrealized_gain_loss","Change in unrealized gain (loss) in fair value of investments","406,700","","","","","","fair value of investments 8,817,861 406.700","actual","IMAGE_ONLY: verified against page-003.png; OCR renders this comma-grouped number with a period (406.700).","A+B+ADJUDICATOR","RESOLVED","","","","",""
"2026-08-22.2","SRC102","dec577c036c11f70b30193bbfbdf4d478fabfc36f3ef15ae68249a2810f8ddfe","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","3","TABLE","Statement of Operations and Deficit","Statement of Operations and Deficit","Change in unrealized gain (loss) in fair value of investments","2016","1","other_printed_scope","Change in unrealized gain (loss) in fair value of investments","","","","","","","","","December 20, 2016","December 20, 2016","2016","(Expressed in Canadian dollars)","unrealized_gain_loss","Change in unrealized gain (loss) in fair value of investments","8,817,861","","","","","","fair value of investments 8,817,861 406.700","actual","IMAGE_ONLY: This document has no text layer and no grid, so the value was read from the page image; the OCR line renders comma-grouped numbers with periods and drops the printed dollar signs.","A+B+ADJUDICATOR","RESOLVED","","","","",""
"2026-08-22.2","SRC102","dec577c036c11f70b30193bbfbdf4d478fabfc36f3ef15ae68249a2810f8ddfe","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","3","TABLE","Statement of Operations and Deficit","Statement of Operations and Deficit","Deficit, beginning of year","2015","1","other_printed_scope","Deficit, beginning of year","","","","","","","","","2015","2015","2015","(Expressed in Canadian dollars)","beginning_capital","Deficit, beginning of year","(28,843,512)","","","","Deficit","","Deficit, beginning of year (28.856,303) (28.843,512)","actual","IMAGE_ONLY: verified against page-003.png; OCR renders this comma-grouped number with a period after the leading digits (28.843,512).","A+B+ADJUDICATOR","RESOLVED","","","","statement_line",""
"2026-08-22.2","SRC102","dec577c036c11f70b30193bbfbdf4d478fabfc36f3ef15ae68249a2810f8ddfe","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","3","TABLE","Statement of Operations and Deficit","Statement of Operations and Deficit","Deficit, beginning of year","2016","1","other_printed_scope","Deficit, beginning of year","","","","","","","","","December 20, 2016","December 20, 2016","2016","(Expressed in Canadian dollars)","beginning_capital","Deficit, beginning of year","(28,856,303)","","","","Deficit","","Deficit, beginning of year (28.856,303) (28.843,512)","actual","IMAGE_ONLY: verified against page-003.png; OCR renders this comma-grouped number with a period after the leading digits (28.856,303).","A+B+ADJUDICATOR","RESOLVED","","","","statement_line",""
"2026-08-22.2","SRC102","dec577c036c11f70b30193bbfbdf4d478fabfc36f3ef15ae68249a2810f8ddfe","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","3","TABLE","Statement of Operations and Deficit","Statement of Operations and Deficit","Deficit, end of year","2015","1","other_printed_scope","Deficit, end of year","","","","","","","","","2015","2015","2015","(Expressed in Canadian dollars)","ending_capital","Deficit, end of year","$(28,856,303)","","","","Deficit","","Deficit, end of year $(28,866,109)$(28,856,303)","actual","IMAGE_ONLY: This document has no text layer and no grid, so the value was read from the page image; the OCR line renders comma-grouped numbers with periods and drops the printed dollar signs.","A+B+ADJUDICATOR","RESOLVED","","","","statement_line",""
"2026-08-22.2","SRC102","dec577c036c11f70b30193bbfbdf4d478fabfc36f3ef15ae68249a2810f8ddfe","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","3","TABLE","Statement of Operations and Deficit","Statement of Operations and Deficit","Deficit, end of year","2016","1","other_printed_scope","Deficit, end of year","","","","","","","","","December 20, 2016","December 20, 2016","2016","(Expressed in Canadian dollars)","ending_capital","Deficit, end of year","$(28,866,109)","","","","Deficit","","Deficit, end of year $(28,866,109)$(28,856,303)","actual","IMAGE_ONLY: This document has no text layer and no grid, so the value was read from the page image; the OCR line renders comma-grouped numbers with periods and drops the printed dollar signs.","A+B+ADJUDICATOR","RESOLVED","","","","statement_line",""
"2026-08-22.2","SRC102","dec577c036c11f70b30193bbfbdf4d478fabfc36f3ef15ae68249a2810f8ddfe","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","3","TABLE","Statement of Operations and Deficit","Statement of Operations and Deficit","Legal fees","2015","1","other_printed_scope","Legal fees","","","","","","","","","2015","2015","2015","(Expressed in Canadian dollars)","fund_expense","Legal fees","6,492","","","","","","Legal fees 1,334 6,492","actual","IMAGE_ONLY: This document has no text layer and no grid, so the value was read from the page image; the OCR line renders comma-grouped numbers with periods and drops the printed dollar signs.","A+B+ADJUDICATOR","RESOLVED","","","","",""
"2026-08-22.2","SRC102","dec577c036c11f70b30193bbfbdf4d478fabfc36f3ef15ae68249a2810f8ddfe","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","3","TABLE","Statement of Operations and Deficit","Statement of Operations and Deficit","Legal fees","2016","1","other_printed_scope","Legal fees","","","","","","","","","December 20, 2016","December 20, 2016","2016","(Expressed in Canadian dollars)","fund_expense","Legal fees","1,334","","","","","","Legal fees 1,334 6,492","actual","IMAGE_ONLY: This document has no text layer and no grid, so the value was read from the page image; the OCR line renders comma-grouped numbers with periods and drops the printed dollar signs.","A+B+ADJUDICATOR","RESOLVED","","","","",""
"2026-08-22.2","SRC102","dec577c036c11f70b30193bbfbdf4d478fabfc36f3ef15ae68249a2810f8ddfe","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","3","TABLE","Statement of Operations and Deficit","Statement of Operations and Deficit","Loss before the undernoted","2015","1","other_printed_scope","Loss before the undernoted","","","","","","","","","2015","2015","2015","(Expressed in Canadian dollars)","net_investment_income","Loss before the undernoted","(12,791)","","","","","","Loss before the undernoted (9,806) (12,791)","actual","IMAGE_ONLY: This document has no text layer and no grid, so the value was read from the page image; the OCR line renders comma-grouped numbers with periods and drops the printed dollar signs.","A+B+ADJUDICATOR","RESOLVED","","","","",""
"2026-08-22.2","SRC102","dec577c036c11f70b30193bbfbdf4d478fabfc36f3ef15ae68249a2810f8ddfe","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","3","TABLE","Statement of Operations and Deficit","Statement of Operations and Deficit","Loss before the undernoted","2016","1","other_printed_scope","Loss before the undernoted","","","","","","","","","December 20, 2016","December 20, 2016","2016","(Expressed in Canadian dollars)","net_investment_income","Loss before the undernoted","(9,806)","","","","","","Loss before the undernoted (9,806) (12,791)","actual","IMAGE_ONLY: This document has no text layer and no grid, so the value was read from the page image; the OCR line renders comma-grouped numbers with periods and drops the printed dollar signs.","A+B+ADJUDICATOR","RESOLVED","","","","",""
"2026-08-22.2","SRC102","dec577c036c11f70b30193bbfbdf4d478fabfc36f3ef15ae68249a2810f8ddfe","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","3","TABLE","Statement of Operations and Deficit","Statement of Operations and Deficit","Office and administrative","2015","1","other_printed_scope","Office and administrative","","","","","","","","","2015","2015","2015","(Expressed in Canadian dollars)","fund_expense","Office and administrative","1,109","","","","","","Office and administrative 2.472 1,109","actual","IMAGE_ONLY: This document has no text layer and no grid, so the value was read from the page image; the OCR line renders comma-grouped numbers with periods and drops the printed dollar signs.","A+B+ADJUDICATOR","RESOLVED","","","","",""
"2026-08-22.2","SRC102","dec577c036c11f70b30193bbfbdf4d478fabfc36f3ef15ae68249a2810f8ddfe","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","3","TABLE","Statement of Operations and Deficit","Statement of Operations and Deficit","Office and administrative","2016","1","other_printed_scope","Office and administrative","","","","","","","","","December 20, 2016","December 20, 2016","2016","(Expressed in Canadian dollars)","fund_expense","Office and administrative","2,472","","","","","","Office and administrative 2.472 1,109","actual","IMAGE_ONLY: verified against page-003.png; OCR renders this comma-grouped number with a period (2.472).","A+B+ADJUDICATOR","RESOLVED","","","","",""
"2026-08-22.2","SRC102","dec577c036c11f70b30193bbfbdf4d478fabfc36f3ef15ae68249a2810f8ddfe","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","3","TABLE","Statement of Operations and Deficit","Statement of Operations and Deficit","Professional fees","2015","1","other_printed_scope","Professional fees","","","","","","","","","2015","2015","2015","(Expressed in Canadian dollars)","fund_expense","Professional fees","5,190","","","","","","Professional fees 6,000 5,190","actual","IMAGE_ONLY: This document has no text layer and no grid, so the value was read from the page image; the OCR line renders comma-grouped numbers with periods and drops the printed dollar signs.","A+B+ADJUDICATOR","RESOLVED","","","","",""
"2026-08-22.2","SRC102","dec577c036c11f70b30193bbfbdf4d478fabfc36f3ef15ae68249a2810f8ddfe","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","3","TABLE","Statement of Operations and Deficit","Statement of Operations and Deficit","Professional fees","2016","1","other_printed_scope","Professional fees","","","","","","","","","December 20, 2016","December 20, 2016","2016","(Expressed in Canadian dollars)","fund_expense","Professional fees","6,000","","","","","","Professional fees 6,000 5,190","actual","IMAGE_ONLY: This document has no text layer and no grid, so the value was read from the page image; the OCR line renders comma-grouped numbers with periods and drops the printed dollar signs.","A+B+ADJUDICATOR","RESOLVED","","","","",""
"2026-08-22.2","SRC102","dec577c036c11f70b30193bbfbdf4d478fabfc36f3ef15ae68249a2810f8ddfe","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","3","TABLE","Statement of Operations and Deficit","Statement of Operations and Deficit","Realized gain (loss) on investments","2015","1","other_printed_scope","Realized gain (loss) on investments","","","","","","","","","2015","2015","2015","(Expressed in Canadian dollars)","realized_gain_loss","Realized gain (loss) on investments","(406,700)","","","","","","Realized gain (loss) on investments (8,817,861) (406,700)","actual","IMAGE_ONLY: This document has no text layer and no grid, so the value was read from the page image; the OCR line renders comma-grouped numbers with periods and drops the printed dollar signs.","A+B+ADJUDICATOR","RESOLVED","","","","",""
"2026-08-22.2","SRC102","dec577c036c11f70b30193bbfbdf4d478fabfc36f3ef15ae68249a2810f8ddfe","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","3","TABLE","Statement of Operations and Deficit","Statement of Operations and Deficit","Realized gain (loss) on investments","2016","1","other_printed_scope","Realized gain (loss) on investments","","","","","","","","","December 20, 2016","December 20, 2016","2016","(Expressed in Canadian dollars)","realized_gain_loss","Realized gain (loss) on investments","(8,817,861)","","","","","","Realized gain (loss) on investments (8,817,861) (406,700)","actual","IMAGE_ONLY: This document has no text layer and no grid, so the value was read from the page image; the OCR line renders comma-grouped numbers with periods and drops the printed dollar signs.","A+B+ADJUDICATOR","RESOLVED","","","","",""
"2026-08-22.2","SRC102","dec577c036c11f70b30193bbfbdf4d478fabfc36f3ef15ae68249a2810f8ddfe","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","4","TABLE","Statement of Cash Flows","Statement of Cash Flows","Cash, beginning of year","2015","1","other_printed_scope","Cash, beginning of year","","","","","","","","","2015","2015","2015","(Expressed in Canadian dollars)","cash","Cash, beginning of year","54,477","","","","","","Cash, beginning of year 54.477 48,231","actual","IMAGE_ONLY: verified against page-004.png; OCR renders this comma-grouped number with a period (54.477) and reorders the two columns.","A+B+ADJUDICATOR","RESOLVED","","","","",""
"2026-08-22.2","SRC102","dec577c036c11f70b30193bbfbdf4d478fabfc36f3ef15ae68249a2810f8ddfe","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","4","TABLE","Statement of Cash Flows","Statement of Cash Flows","Cash, beginning of year","2016","1","other_printed_scope","Cash, beginning of year","","","","","","","","","December 20, 2016","December 20, 2016","2016","(Expressed in Canadian dollars)","cash","Cash, beginning of year","48,231","","","","","","Cash, beginning of year 54.477 48,231","actual","IMAGE_ONLY: This document has no text layer and no grid, so the value was read from the page image; the OCR line renders comma-grouped numbers with periods and drops the printed dollar signs.","A+B+ADJUDICATOR","RESOLVED","","","","",""
"2026-08-22.2","SRC102","dec577c036c11f70b30193bbfbdf4d478fabfc36f3ef15ae68249a2810f8ddfe","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","4","TABLE","Statement of Cash Flows","Statement of Cash Flows","Cash, end of period","2015","1","other_printed_scope","Cash, end of period","","","","","","","","","2015","2015","2015","(Expressed in Canadian dollars)","cash","Cash, end of period","$48,231","","","","","","48,231","actual","IMAGE_ONLY: This document has no text layer and no grid, so the value was read from the page image; the OCR line renders comma-grouped numbers with periods and drops the printed dollar signs.","B+ADJUDICATOR","RESOLVED","","","","",""
"2026-08-22.2","SRC102","dec577c036c11f70b30193bbfbdf4d478fabfc36f3ef15ae68249a2810f8ddfe","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","4","TABLE","Statement of Cash Flows","Statement of Cash Flows","Change in unrealized loss (gain) in fair value of investments","2015","1","other_printed_scope","Change in unrealized loss (gain) in fair value of investments","","","","","","","","","2015","2015","2015","(Expressed in Canadian dollars)","unrealized_gain_loss","Change in unrealized loss (gain) in fair value of investments","(406,700)","","","","","","(406.700)","actual","IMAGE_ONLY: verified against page-004.png; OCR renders this comma-grouped number with a period (406.700).","B+ADJUDICATOR","RESOLVED","","","","",""
"2026-08-22.2","SRC102","dec577c036c11f70b30193bbfbdf4d478fabfc36f3ef15ae68249a2810f8ddfe","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","4","TABLE","Statement of Cash Flows","Statement of Cash Flows","Change in unrealized loss (gain) in fair value of investments","2016","1","other_printed_scope","Change in unrealized loss (gain) in fair value of investments","","","","","","","","","December 20, 2016","December 20, 2016","2016","(Expressed in Canadian dollars)","unrealized_gain_loss","Change in unrealized loss (gain) in fair value of investments","(8,817,861)","","","","","","(8,817.861)","actual","IMAGE_ONLY: verified against page-004.png; OCR renders this comma-grouped number with a period (8,817.861).","B+ADJUDICATOR","RESOLVED","","","","",""
"2026-08-22.2","SRC102","dec577c036c11f70b30193bbfbdf4d478fabfc36f3ef15ae68249a2810f8ddfe","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","4","TABLE","Statement of Cash Flows","Statement of Cash Flows","Distribution","2016","1","other_printed_scope","Distribution","","","","","","","","","December 20, 2016","December 20, 2016","2016","(Expressed in Canadian dollars)","distribution","Distribution","(25,517)","","","","","","(25,517)","actual","IMAGE_ONLY: This document has no text layer and no grid, so the value was read from the page image; the OCR line renders comma-grouped numbers with periods and drops the printed dollar signs.","B+ADJUDICATOR","RESOLVED","","","","",""
"2026-08-22.2","SRC102","dec577c036c11f70b30193bbfbdf4d478fabfc36f3ef15ae68249a2810f8ddfe","Financials","01-financials","CORE","ADJUDICATED","financial_statement_observation","4","TABLE","Statement of Cash Flows","Statement of Cash Flows","Realized loss (gain) on investments","2015","1","other_printed_scope","Realized loss (gain) on investments","","","","","","","","","2015","2015","2015","(Expressed in Canadian dollars)","realized_gain_loss","Realized loss (gain) on investments","406,700","","","","","","406.700","actual","IMAGE_ONLY: verified against page-004.png; OCR renders this comma-grouped number with a period (406.700).","B+ADJUDICATOR","RESOLVED","","","","",""
