"pair_id","pair_status","requires_review","source_page","record_family","source_table","source_row_label","source_column_label","source_occurrence","metric_category","term_category","a_row_number","b_row_number","difference_fields"
"PAIR_BE282650DF18D565FDC9BEC8","CONTEXT_CONFLICT","YES","1","document_context","Consolidated Financial Statements","DOCUMENT","","1","","","1","1","source_section|evidence_quote"
"PAIR_F5BB94F1104BDE52AC0FF1C0","A_ONLY","YES","10","definition_context","(g) Grant Expense","Grant Expense","","1","","","47","",""
"PAIR_A47454281C84EE8ABCECAD15","CLASSIFICATION_CONFLICT","YES","10","definition_context","(d) Fair Value","Level 3 Inputs","","1","","","44","40","source_section|subject_type|subject_name|as_of_date|evidence_quote|definition_keys"
"PAIR_8E4D1E53BAADF52B65966C59","A_ONLY","YES","10","definition_context","(f) Programmatic Investment Losses, Net","Programmatic Investment Losses, Net","","1","","","46","",""
"PAIR_D5B09D1320CB2ECCD3AAD0A2","A_ONLY","YES","10","definition_context","(e) Property and Equipment","Property and Equipment","","1","","","45","",""
"PAIR_821853480252042A44430A37","A_ONLY","YES","10","definition_context","(h) Self-Insurance","Self-Insurance","","1","","","48","",""
"PAIR_C82067C2BC50BA045E50C35C","A_ONLY","YES","11","definition_context","(i) Contributed Services","Contributed Services","","1","","","50","",""
"PAIR_C39872069EF346C2D99AAE79","A_ONLY","YES","11","definition_context","(j) Contributions and Bequests from Unrelated Parties","Contributions and Bequests from Unrelated Parties","","1","","","51","",""
"PAIR_69A87FB5A57444267B6E1B99","A_ONLY","YES","11","definition_context","(k) Presentation of Expenses on the Consolidated Statements of Activities","Presentation of Expenses on the Consolidated Statements of Activities","","1","","","52","",""
"PAIR_DB37C835223A0C6870D31D4A","A_ONLY","YES","11","definition_context","(n) Reclassifications","Reclassifications","","1","","","55","",""
"PAIR_0421E879AB5E8D6CCEF4AA7C","A_ONLY","YES","11","definition_context","(3) Related Parties","Related Parties","","1","","","49","",""
"PAIR_6A7A1ACD81FF6BC2F41524E9","A_ONLY","YES","11","definition_context","(l) Tax-Exempt Status","Tax-Exempt Status","","1","","","53","",""
"PAIR_C1186AB830F55E5333E0E1F4","A_ONLY","YES","11","definition_context","(m) Use of Estimates","Use of Estimates","","1","","","54","",""
"PAIR_5F03F923288BCB4DF35F8FD5","CONTEXT_CONFLICT","YES","12","financial_statement_observation","(4) Beneficial Interest in Net Assets of Gates Foundation Trust","Beginning balance","2023","1","beginning_capital","","58","41","source_section|basis_raw|evidence_quote|definition_keys"
"PAIR_ADE9585989AC04DFCA1BBBA4","VALUE_CONFLICT","YES","12","financial_statement_observation","(4) Beneficial Interest in Net Assets of Gates Foundation Trust","Beginning balance","2024","1","beginning_capital","","59","42","source_section|metric_value_raw|basis_raw|evidence_quote|definition_keys"
"PAIR_A155DCF91EB83ACCD4ECB8D1","A_ONLY","YES","12","definition_context","(4) Beneficial Interest in Net Assets of Gates Foundation Trust","Beneficial Interest in Net Assets of Gates Foundation Trust","","1","","","56","",""
"PAIR_6033737B1BEA1ED55A812249","CONTEXT_CONFLICT","YES","12","financial_statement_observation","(5) Liquidity","Beneficial interest in the net assets of the Trust","2023","1","investment_fair_value","","62","47","source_section|basis_raw|evidence_quote|definition_keys"
"PAIR_067835884B913EB6EF96CF84","CONTEXT_CONFLICT","YES","12","financial_statement_observation","(5) Liquidity","Beneficial interest in the net assets of the Trust","2024","1","investment_fair_value","","63","48","source_section|basis_raw|evidence_quote|definition_keys"
"PAIR_01846BBC60CB2927B7E5A997","CONTEXT_CONFLICT","YES","12","financial_statement_observation","(5) Liquidity","Cash","2023","1","cash","","64","49","source_section|evidence_quote"
"PAIR_22C51629FB3D924A9441965A","VALUE_CONFLICT","YES","12","financial_statement_observation","(5) Liquidity","Cash","2024","1","cash","","65","50","source_section|metric_value_raw|evidence_quote"
"PAIR_ADD202510A1BEADFF5D85764","B_ONLY","YES","12","financial_statement_observation","(4) Beneficial Interest in Net Assets of Gates Foundation Trust","Change in the net assets of the Trust before contributions to the Foundation","2023","1","unrealized_gain_loss","","","43",""
"PAIR_4B71C5BA52E97E063CE0DA82","B_ONLY","YES","12","financial_statement_observation","(4) Beneficial Interest in Net Assets of Gates Foundation Trust","Change in the net assets of the Trust before contributions to the Foundation","2024","1","unrealized_gain_loss","","","44",""
"PAIR_E0D2E1DAA9B9C3285D2F5B69","CONTEXT_CONFLICT","YES","12","financial_statement_observation","(4) Beneficial Interest in Net Assets of Gates Foundation Trust","Ending balance","2023","1","ending_capital","","60","45","source_section|basis_raw|evidence_quote|definition_keys"
"PAIR_E89D5835151620420E9C4021","VALUE_CONFLICT","YES","12","financial_statement_observation","(4) Beneficial Interest in Net Assets of Gates Foundation Trust","Ending balance","2024","1","ending_capital","","61","46","source_section|metric_value_raw|basis_raw|evidence_quote|definition_keys"
"PAIR_F600A0B92FEA69E9DA59E2C6","A_ONLY","YES","12","definition_context","(5) Liquidity","Liquidity","","1","","","57","",""
"PAIR_AC58636A724606D193188A00","A_ONLY","YES","13","financial_statement_observation","(a) Loan PRIs","Additional loans","2023","1","investment_cost","","68","",""
"PAIR_D0F927009E78D81C7645406A","A_ONLY","YES","13","financial_statement_observation","(a) Loan PRIs","Additional loans","2024","1","investment_cost","","69","",""
"PAIR_EB2F843277A2200FF6E1E2BC","CLASSIFICATION_CONFLICT","YES","13","financial_statement_observation","(a) Loan PRIs","Gross subtotal, loans","2023","1","investment_fair_value","","70","51","source_section|metric_category|basis_raw|evidence_quote|definition_keys|value_scope"
"PAIR_08EC66B5C47126E0FBF408FC","CLASSIFICATION_CONFLICT","YES","13","financial_statement_observation","(a) Loan PRIs","Gross subtotal, loans","2024","1","investment_fair_value","","71","52","source_section|metric_category|basis_raw|evidence_quote|definition_keys|value_scope"
"PAIR_DD93A6B5EE4EBC0224A255A1","A_ONLY","YES","13","financial_statement_observation","(a) Loan PRIs","Interest receivable","2023","1","investment_fair_value","","72","",""
"PAIR_8CCD0848F2AC3547C4CD59A7","A_ONLY","YES","13","financial_statement_observation","(a) Loan PRIs","Interest receivable","2024","1","investment_fair_value","","73","",""
"PAIR_D7004168B8820F9808E4408A","A_ONLY","YES","13","financial_statement_observation","(a) Loan PRIs","Less discount and uncollectible allowance","2023","1","investment_fair_value","","74","",""
"PAIR_3D29D76F924AFFEF8D477C02","A_ONLY","YES","13","financial_statement_observation","(a) Loan PRIs","Less discount and uncollectible allowance","2024","1","investment_fair_value","","75","",""
"PAIR_AD5BAB8078B989E85169E3E5","A_ONLY","YES","13","definition_context","(a) Loan PRIs","Loan PRIs","","1","","","67","",""
