"contract_version","file_id","source_sha256","canonical_doc_type","route","product_tier","agent_role","source_page","page_status","layout_checked","source_structures","relevant_record_families","expected_observation_count","records_written","notes"
"2026-08-22.2","SRC377","2a3ff4eb15e88df08d12b0ffd4696117b642b6f1ff19ee5fb8bd8d1a3a025988","Financials","01-financials","CORE","B","1","NO_ELIGIBLE_DATA","YES","Financial Statements","financial_statement_observation","0","0","NO_ELIGIBLE_REASON: cover page contains the report title and dates but no populated values in an allowed Financials category."
"2026-08-22.2","SRC377","2a3ff4eb15e88df08d12b0ffd4696117b642b6f1ff19ee5fb8bd8d1a3a025988","Financials","01-financials","CORE","B","2","NO_ELIGIBLE_DATA","YES","Independent Auditors’ Report","financial_statement_observation","0","0","NO_ELIGIBLE_REASON: audit opinion and responsibility narrative, no populated values in an allowed Financials category."
"2026-08-22.2","SRC377","2a3ff4eb15e88df08d12b0ffd4696117b642b6f1ff19ee5fb8bd8d1a3a025988","Financials","01-financials","CORE","B","3","ELIGIBLE_DATA_EXTRACTED","YES","Statements of Financial Position","document_context | financial_statement_observation","11","11",""
"2026-08-22.2","SRC377","2a3ff4eb15e88df08d12b0ffd4696117b642b6f1ff19ee5fb8bd8d1a3a025988","Financials","01-financials","CORE","B","4","ELIGIBLE_DATA_EXTRACTED","YES","Statements of Activities","financial_statement_observation","10","10","Excluded generic revenue, expense, grant, and tax lines outside the allowed Financials categories."
"2026-08-22.2","SRC377","2a3ff4eb15e88df08d12b0ffd4696117b642b6f1ff19ee5fb8bd8d1a3a025988","Financials","01-financials","CORE","B","5","ELIGIBLE_DATA_EXTRACTED","YES","Statements of Cash Flows","financial_statement_observation","20","20","Excluded tax, payable, receivable, and cash-tax-payment lines outside the allowed Financials categories."
"2026-08-22.2","SRC377","2a3ff4eb15e88df08d12b0ffd4696117b642b6f1ff19ee5fb8bd8d1a3a025988","Financials","01-financials","CORE","B","6","NO_ELIGIBLE_DATA","YES","Notes to Financial Statements; Organization; Summary of Significant Accounting Policies","financial_statement_observation","0","0","NO_ELIGIBLE_REASON: narrative accounting-policy descriptions and section dates contain no populated values in an allowed Financials category."
"2026-08-22.2","SRC377","2a3ff4eb15e88df08d12b0ffd4696117b642b6f1ff19ee5fb8bd8d1a3a025988","Financials","01-financials","CORE","B","7","NO_ELIGIBLE_DATA","YES","Notes to Financial Statements; Contributed Services; Contributions Received","financial_statement_observation","0","0","NO_ELIGIBLE_REASON: page contains narrative disclosures with monetary figures but no populated eligible table cells; narrative values are not structured source observations in this route."
"2026-08-22.2","SRC377","2a3ff4eb15e88df08d12b0ffd4696117b642b6f1ff19ee5fb8bd8d1a3a025988","Financials","01-financials","CORE","B","8","ELIGIBLE_DATA_EXTRACTED","YES","(3) Investments","financial_statement_observation","93","93",""
"2026-08-22.2","SRC377","2a3ff4eb15e88df08d12b0ffd4696117b642b6f1ff19ee5fb8bd8d1a3a025988","Financials","01-financials","CORE","B","9","ELIGIBLE_DATA_EXTRACTED","YES","(3) Investments | Investment income (losses) comprises the following for the years ended December 31, 2016 and 2015","financial_statement_observation","103","103","Includes 102 populated table cells and one bounded unfunded-commitment narrative provision."
"2026-08-22.2","SRC377","2a3ff4eb15e88df08d12b0ffd4696117b642b6f1ff19ee5fb8bd8d1a3a025988","Financials","01-financials","CORE","B","10","NO_ELIGIBLE_DATA","YES","Notes to Financial Statements; Derivative Financial Instruments","financial_statement_observation","0","0","NO_ELIGIBLE_REASON: narrative derivative-risk and liquidity descriptions, dates, and a waiting-period range contain no populated values in an allowed Financials category."
"2026-08-22.2","SRC377","2a3ff4eb15e88df08d12b0ffd4696117b642b6f1ff19ee5fb8bd8d1a3a025988","Financials","01-financials","CORE","B","11","ELIGIBLE_DATA_EXTRACTED","YES","The fair values of forward contracts, futures, options, and swaps as of December 31, 2016 and 2015 are as follows","financial_statement_observation","38","38","Includes 36 populated derivative-table cells and two bounded cash-collateral footnote provisions."
"2026-08-22.2","SRC377","2a3ff4eb15e88df08d12b0ffd4696117b642b6f1ff19ee5fb8bd8d1a3a025988","Financials","01-financials","CORE","B","12","ELIGIBLE_DATA_EXTRACTED","YES","Outstanding notional purchases and sales were as follows","position_observation","16","16","Excluded excise-tax, grant, and risk narrative amounts outside the allowed categories."
"2026-08-22.2","SRC377","2a3ff4eb15e88df08d12b0ffd4696117b642b6f1ff19ee5fb8bd8d1a3a025988","Financials","01-financials","CORE","B","13","ELIGIBLE_DATA_EXTRACTED","YES","Berkshire Hathaway “B” shares contributed","financial_statement_observation | position_observation","14","14","Includes 14 populated contribution table cells; narrative conditional-pledge and subsequent-events amounts excluded."
