"contract_version","file_id","source_sha256","canonical_doc_type","route","product_tier","agent_role","record_family","source_page","source_structure_type","source_section","source_table","source_row_label","source_column_label","source_occurrence","subject_type","subject_name","asset_class","strategy","geography","manager_name","investor_name","portfolio_name","vintage_year","period_start","period_end","as_of_date","horizon","currency_scale","metric_category","metric_name","metric_value_raw","unit","term_category","text_raw","basis_raw","condition_raw","evidence_quote","evidence_class","notes","source_agents","adjudication_status"
"2026-08-22.2","SRC377","2a3ff4eb15e88df08d12b0ffd4696117b642b6f1ff19ee5fb8bd8d1a3a025988","Financials","01-financials","CORE","B","document_context","3","DOCUMENT","Financial Section","Statements of Financial Position","DOCUMENT","","1","document","BILL & MELINDA GATES FOUNDATION TRUST","","","","","","","","","","","","","","","","","","","","","BILL & MELINDA GATES FOUNDATION TRUST","actual","","",""
"2026-08-22.2","SRC377","2a3ff4eb15e88df08d12b0ffd4696117b642b6f1ff19ee5fb8bd8d1a3a025988","Financials","01-financials","CORE","B","financial_statement_observation","3","TABLE","Financial Section","Statements of Financial Position","Cash","2015","1","asset_class","Cash","","","","","","","","","","December 31, 2015","2015","thousands","cash","Cash","307,916","","","","","","Cash $ 197,115 307,916","actual","","",""
"2026-08-22.2","SRC377","2a3ff4eb15e88df08d12b0ffd4696117b642b6f1ff19ee5fb8bd8d1a3a025988","Financials","01-financials","CORE","B","financial_statement_observation","3","TABLE","Financial Section","Statements of Financial Position","Cash","2016","1","asset_class","Cash","","","","","","","","","","December 31, 2016","2016","thousands","cash","Cash","197,115","","","","","","Cash $ 197,115 307,916","actual","","",""
"2026-08-22.2","SRC377","2a3ff4eb15e88df08d12b0ffd4696117b642b6f1ff19ee5fb8bd8d1a3a025988","Financials","01-financials","CORE","B","financial_statement_observation","3","TABLE","Financial Section","Statements of Financial Position","Investments","2015","1","asset_class","Investments","","","","","","","","","","December 31, 2015","2015","thousands","investment_fair_value","Investments","39,175,276","","","","","","Investments (note 3) 40,171,396 39,175,276","actual","","",""
"2026-08-22.2","SRC377","2a3ff4eb15e88df08d12b0ffd4696117b642b6f1ff19ee5fb8bd8d1a3a025988","Financials","01-financials","CORE","B","financial_statement_observation","3","TABLE","Financial Section","Statements of Financial Position","Investments","2016","1","asset_class","Investments","","","","","","","","","","December 31, 2016","2016","thousands","investment_fair_value","Investments","40,171,396","","","","","","Investments (note 3) 40,171,396 39,175,276","actual","","",""
"2026-08-22.2","SRC377","2a3ff4eb15e88df08d12b0ffd4696117b642b6f1ff19ee5fb8bd8d1a3a025988","Financials","01-financials","CORE","B","financial_statement_observation","3","TABLE","Financial Section","Statements of Financial Position","Net assets – unrestricted","2015","1","reporting_entity","Net assets – unrestricted","","","","","","","","","","December 31, 2015","2015","thousands","net_assets","Net assets – unrestricted","39,514,534","","","","","","Net assets – unrestricted 40,316,940 39,514,534","actual","","",""
"2026-08-22.2","SRC377","2a3ff4eb15e88df08d12b0ffd4696117b642b6f1ff19ee5fb8bd8d1a3a025988","Financials","01-financials","CORE","B","financial_statement_observation","3","TABLE","Financial Section","Statements of Financial Position","Net assets – unrestricted","2016","1","reporting_entity","Net assets – unrestricted","","","","","","","","","","December 31, 2016","2016","thousands","net_assets","Net assets – unrestricted","40,316,940","","","","","","Net assets – unrestricted 40,316,940 39,514,534","actual","","",""
"2026-08-22.2","SRC377","2a3ff4eb15e88df08d12b0ffd4696117b642b6f1ff19ee5fb8bd8d1a3a025988","Financials","01-financials","CORE","B","financial_statement_observation","3","TABLE","Financial Section","Statements of Financial Position","Total assets","2015","1","reporting_entity","Total assets","","","","","","","","","","December 31, 2015","2015","thousands","total_assets","Total assets","39,637,444","","","","","","Total assets $ 40,644,584 39,637,444","actual","","",""
"2026-08-22.2","SRC377","2a3ff4eb15e88df08d12b0ffd4696117b642b6f1ff19ee5fb8bd8d1a3a025988","Financials","01-financials","CORE","B","financial_statement_observation","3","TABLE","Financial Section","Statements of Financial Position","Total assets","2016","1","reporting_entity","Total assets","","","","","","","","","","December 31, 2016","2016","thousands","total_assets","Total assets","40,644,584","","","","","","Total assets $ 40,644,584 39,637,444","actual","","",""
"2026-08-22.2","SRC377","2a3ff4eb15e88df08d12b0ffd4696117b642b6f1ff19ee5fb8bd8d1a3a025988","Financials","01-financials","CORE","B","financial_statement_observation","3","TABLE","Financial Section","Statements of Financial Position","Total liabilities","2015","1","reporting_entity","Total liabilities","","","","","","","","","","December 31, 2015","2015","thousands","total_liabilities","Total liabilities","122,910","","","","","","Total liabilities 327,644 122,910","actual","","",""
"2026-08-22.2","SRC377","2a3ff4eb15e88df08d12b0ffd4696117b642b6f1ff19ee5fb8bd8d1a3a025988","Financials","01-financials","CORE","B","financial_statement_observation","3","TABLE","Financial Section","Statements of Financial Position","Total liabilities","2016","1","reporting_entity","Total liabilities","","","","","","","","","","December 31, 2016","2016","thousands","total_liabilities","Total liabilities","327,644","","","","","","Total liabilities 327,644 122,910","actual","","",""
"2026-08-22.2","SRC377","2a3ff4eb15e88df08d12b0ffd4696117b642b6f1ff19ee5fb8bd8d1a3a025988","Financials","01-financials","CORE","B","financial_statement_observation","4","TABLE","Financial Section","Statements of Activities","Change in net assets","2015","1","reporting_entity","Change in net assets","","","","","","","","","","December 31, 2015","2015","thousands","net_assets","Change in net assets","(3,925,498)","","","","","","Change in net assets 802,406 (3,925,498)","actual","","",""
"2026-08-22.2","SRC377","2a3ff4eb15e88df08d12b0ffd4696117b642b6f1ff19ee5fb8bd8d1a3a025988","Financials","01-financials","CORE","B","financial_statement_observation","4","TABLE","Financial Section","Statements of Activities","Change in net assets","2016","1","reporting_entity","Change in net assets","","","","","","","","","","December 31, 2016","2016","thousands","net_assets","Change in net assets","802,406","","","","","","Change in net assets 802,406 (3,925,498)","actual","","",""
"2026-08-22.2","SRC377","2a3ff4eb15e88df08d12b0ffd4696117b642b6f1ff19ee5fb8bd8d1a3a025988","Financials","01-financials","CORE","B","financial_statement_observation","4","TABLE","Financial Section","Statements of Activities","Contributions","2015","1","reporting_entity","Contributions","","","","","","","","","","December 31, 2015","2015","thousands","contribution","Contributions","2,853,581","","","","","","Contributions $ 2,717,995 2,853,581","actual","","",""
"2026-08-22.2","SRC377","2a3ff4eb15e88df08d12b0ffd4696117b642b6f1ff19ee5fb8bd8d1a3a025988","Financials","01-financials","CORE","B","financial_statement_observation","4","TABLE","Financial Section","Statements of Activities","Contributions","2016","1","reporting_entity","Contributions","","","","","","","","","","December 31, 2016","2016","thousands","contribution","Contributions","2,717,995","","","","","","Contributions $ 2,717,995 2,853,581","actual","","",""
"2026-08-22.2","SRC377","2a3ff4eb15e88df08d12b0ffd4696117b642b6f1ff19ee5fb8bd8d1a3a025988","Financials","01-financials","CORE","B","financial_statement_observation","4","TABLE","Financial Section","Statements of Activities","Investment income (losses), net","2015","1","reporting_entity","Investment income (losses), net","","","","","","","","","","December 31, 2015","2015","thousands","net_investment_income","Investment income (losses), net","(2,094,741)","","","","","","Investment income (losses), net (note 3) 3,440,943 (2,094,741)","actual","","",""
"2026-08-22.2","SRC377","2a3ff4eb15e88df08d12b0ffd4696117b642b6f1ff19ee5fb8bd8d1a3a025988","Financials","01-financials","CORE","B","financial_statement_observation","4","TABLE","Financial Section","Statements of Activities","Investment income (losses), net","2016","1","reporting_entity","Investment income (losses), net","","","","","","","","","","December 31, 2016","2016","thousands","net_investment_income","Investment income (losses), net","3,440,943","","","","","","Investment income (losses), net (note 3) 3,440,943 (2,094,741)","actual","","",""
"2026-08-22.2","SRC377","2a3ff4eb15e88df08d12b0ffd4696117b642b6f1ff19ee5fb8bd8d1a3a025988","Financials","01-financials","CORE","B","financial_statement_observation","4","TABLE","Financial Section","Statements of Activities","Unrestricted net assets, beginning of year","2015","1","reporting_entity","Unrestricted net assets, beginning of year","","","","","","","","","","December 31, 2015","2015","thousands","net_assets","Unrestricted net assets, beginning of year","43,440,032","","","","","","Unrestricted net assets, beginning of year 39,514,534 43,440,032","actual","","",""
"2026-08-22.2","SRC377","2a3ff4eb15e88df08d12b0ffd4696117b642b6f1ff19ee5fb8bd8d1a3a025988","Financials","01-financials","CORE","B","financial_statement_observation","4","TABLE","Financial Section","Statements of Activities","Unrestricted net assets, beginning of year","2016","1","reporting_entity","Unrestricted net assets, beginning of year","","","","","","","","","","December 31, 2016","2016","thousands","net_assets","Unrestricted net assets, beginning of year","39,514,534","","","","","","Unrestricted net assets, beginning of year 39,514,534 43,440,032","actual","","",""
"2026-08-22.2","SRC377","2a3ff4eb15e88df08d12b0ffd4696117b642b6f1ff19ee5fb8bd8d1a3a025988","Financials","01-financials","CORE","B","financial_statement_observation","4","TABLE","Financial Section","Statements of Activities","Unrestricted net assets, end of year","2015","1","reporting_entity","Unrestricted net assets, end of year","","","","","","","","","","December 31, 2015","2015","thousands","net_assets","Unrestricted net assets, end of year","39,514,534","","","","","","Unrestricted net assets, end of year $ 40,316,940 39,514,534","actual","","",""
"2026-08-22.2","SRC377","2a3ff4eb15e88df08d12b0ffd4696117b642b6f1ff19ee5fb8bd8d1a3a025988","Financials","01-financials","CORE","B","financial_statement_observation","4","TABLE","Financial Section","Statements of Activities","Unrestricted net assets, end of year","2016","1","reporting_entity","Unrestricted net assets, end of year","","","","","","","","","","December 31, 2016","2016","thousands","net_assets","Unrestricted net assets, end of year","40,316,940","","","","","","Unrestricted net assets, end of year $ 40,316,940 39,514,534","actual","","",""
"2026-08-22.2","SRC377","2a3ff4eb15e88df08d12b0ffd4696117b642b6f1ff19ee5fb8bd8d1a3a025988","Financials","01-financials","CORE","B","financial_statement_observation","5","TABLE","Financial Section","Statements of Cash Flows","Cash, beginning of year","2015","1","reporting_entity","Cash, beginning of year","","","","","","","","","","December 31, 2015","2015","thousands","cash","Cash, beginning of year","207,321","","","","","","Cash, beginning of year 307,916 207,321","actual","","",""
"2026-08-22.2","SRC377","2a3ff4eb15e88df08d12b0ffd4696117b642b6f1ff19ee5fb8bd8d1a3a025988","Financials","01-financials","CORE","B","financial_statement_observation","5","TABLE","Financial Section","Statements of Cash Flows","Cash, beginning of year","2016","1","reporting_entity","Cash, beginning of year","","","","","","","","","","December 31, 2016","2016","thousands","cash","Cash, beginning of year","307,916","","","","","","Cash, beginning of year 307,916 207,321","actual","","",""
"2026-08-22.2","SRC377","2a3ff4eb15e88df08d12b0ffd4696117b642b6f1ff19ee5fb8bd8d1a3a025988","Financials","01-financials","CORE","B","financial_statement_observation","5","TABLE","Financial Section","Statements of Cash Flows","Cash, end of year","2015","1","reporting_entity","Cash, end of year","","","","","","","","","","December 31, 2015","2015","thousands","cash","Cash, end of year","307,916","","","","","","Cash, end of year $ 197,115 307,916","actual","","",""
"2026-08-22.2","SRC377","2a3ff4eb15e88df08d12b0ffd4696117b642b6f1ff19ee5fb8bd8d1a3a025988","Financials","01-financials","CORE","B","financial_statement_observation","5","TABLE","Financial Section","Statements of Cash Flows","Cash, end of year","2016","1","reporting_entity","Cash, end of year","","","","","","","","","","December 31, 2016","2016","thousands","cash","Cash, end of year","197,115","","","","","","Cash, end of year $ 197,115 307,916","actual","","",""
