"contract_version","file_id","source_sha256","canonical_doc_type","route","product_tier","agent_role","record_family","source_page","source_structure_type","source_section","source_table","source_row_label","source_column_label","source_occurrence","subject_type","subject_name","asset_class","strategy","geography","manager_name","investor_name","portfolio_name","vintage_year","period_start","period_end","as_of_date","horizon","currency_scale","metric_category","metric_name","metric_value_raw","unit","term_category","text_raw","basis_raw","condition_raw","evidence_quote","evidence_class","notes","source_agents","adjudication_status"
"2026-08-22.2","SRC058","504abfe06fcde5e187ef74247e28f97eecec00313f5079c91e05fbdaea023159","Performance","02-performance","CORE","A","document_context","1","DOCUMENT","Real Estate Portfolio","Real Estate Portfolio","DOCUMENT","","1","document","Oregon Public Employees' Retirement Fund Real Estate Portfolio","","","","","Oregon Public Employees' Retirement Fund","Real Estate Portfolio","","","","Dec 31, 2024","","($ in millions)","","","","","","","","","As of Dec 31, 2024","actual","","",""
"2026-08-22.2","SRC058","504abfe06fcde5e187ef74247e28f97eecec00313f5079c91e05fbdaea023159","Performance","02-performance","CORE","A","fund_economics_observation","1","TABLE","","UNTITLED_TABLE_1","Aetos Capital Asia TE II","Capital Commitment","1","investment","Aetos Capital Asia TE II","","","","","","","2005","","","Dec 31, 2024","","($ in millions)","commitment","Capital Commitment","$100.0","","","","","","2005Aetos Capital Asia TE II $100.0 $99.6 $51.8 $2.9 0.55x -7.61%","actual","","",""
"2026-08-22.2","SRC058","504abfe06fcde5e187ef74247e28f97eecec00313f5079c91e05fbdaea023159","Performance","02-performance","CORE","A","fund_economics_observation","1","TABLE","","UNTITLED_TABLE_1","Aetos Capital Asia TE II","Fair Market Value","1","investment","Aetos Capital Asia TE II","","","","","","","2005","","","Dec 31, 2024","","($ in millions)","nav","Fair Market Value","$2.9","","","","","","2005Aetos Capital Asia TE II $100.0 $99.6 $51.8 $2.9 0.55x -7.61%","actual","","",""
"2026-08-22.2","SRC058","504abfe06fcde5e187ef74247e28f97eecec00313f5079c91e05fbdaea023159","Performance","02-performance","CORE","A","fund_economics_observation","1","TABLE","","UNTITLED_TABLE_1","Aetos Capital Asia TE II","IRR","1","investment","Aetos Capital Asia TE II","","","","","","","2005","","","Dec 31, 2024","","","irr","IRR","-7.61%","%","","","","","2005Aetos Capital Asia TE II $100.0 $99.6 $51.8 $2.9 0.55x -7.61%","actual","","",""
"2026-08-22.2","SRC058","504abfe06fcde5e187ef74247e28f97eecec00313f5079c91e05fbdaea023159","Performance","02-performance","CORE","A","fund_economics_observation","1","TABLE","","UNTITLED_TABLE_1","Aetos Capital Asia TE II","Total Capital Contributed","1","investment","Aetos Capital Asia TE II","","","","","","","2005","","","Dec 31, 2024","","($ in millions)","paid_in_capital","Total Capital Contributed","$99.6","","","","","","2005Aetos Capital Asia TE II $100.0 $99.6 $51.8 $2.9 0.55x -7.61%","actual","","",""
"2026-08-22.2","SRC058","504abfe06fcde5e187ef74247e28f97eecec00313f5079c91e05fbdaea023159","Performance","02-performance","CORE","A","fund_economics_observation","1","TABLE","","UNTITLED_TABLE_1","Aetos Capital Asia TE II","Total Capital Distributed","1","investment","Aetos Capital Asia TE II","","","","","","","2005","","","Dec 31, 2024","","($ in millions)","distribution","Total Capital Distributed","$51.8","","","","","","2005Aetos Capital Asia TE II $100.0 $99.6 $51.8 $2.9 0.55x -7.61%","actual","","",""
"2026-08-22.2","SRC058","504abfe06fcde5e187ef74247e28f97eecec00313f5079c91e05fbdaea023159","Performance","02-performance","CORE","A","fund_economics_observation","1","TABLE","","UNTITLED_TABLE_1","Aetos Capital Asia TE II","Total Value Multiple","1","investment","Aetos Capital Asia TE II","","","","","","","2005","","","Dec 31, 2024","","","tvpi","Total Value Multiple","0.55x","x","","","","","2005Aetos Capital Asia TE II $100.0 $99.6 $51.8 $2.9 0.55x -7.61%","actual","","",""
"2026-08-22.2","SRC058","504abfe06fcde5e187ef74247e28f97eecec00313f5079c91e05fbdaea023159","Performance","02-performance","CORE","A","fund_economics_observation","1","TABLE","","UNTITLED_TABLE_1","Aetos Capital Asia TE III","Capital Commitment","1","investment","Aetos Capital Asia TE III","","","","","","","2008","","","Dec 31, 2024","","($ in millions)","commitment","Capital Commitment","$100.0","","","","","","2008Aetos Capital Asia TE III $100.0 $118.7 $56.4 $3.9 0.51x -14.21%","actual","","",""
"2026-08-22.2","SRC058","504abfe06fcde5e187ef74247e28f97eecec00313f5079c91e05fbdaea023159","Performance","02-performance","CORE","A","fund_economics_observation","1","TABLE","","UNTITLED_TABLE_1","Aetos Capital Asia TE III","Fair Market Value","1","investment","Aetos Capital Asia TE III","","","","","","","2008","","","Dec 31, 2024","","($ in millions)","nav","Fair Market Value","$3.9","","","","","","2008Aetos Capital Asia TE III $100.0 $118.7 $56.4 $3.9 0.51x -14.21%","actual","","",""
"2026-08-22.2","SRC058","504abfe06fcde5e187ef74247e28f97eecec00313f5079c91e05fbdaea023159","Performance","02-performance","CORE","A","fund_economics_observation","1","TABLE","","UNTITLED_TABLE_1","Aetos Capital Asia TE III","IRR","1","investment","Aetos Capital Asia TE III","","","","","","","2008","","","Dec 31, 2024","","","irr","IRR","-14.21%","%","","","","","2008Aetos Capital Asia TE III $100.0 $118.7 $56.4 $3.9 0.51x -14.21%","actual","","",""
"2026-08-22.2","SRC058","504abfe06fcde5e187ef74247e28f97eecec00313f5079c91e05fbdaea023159","Performance","02-performance","CORE","A","fund_economics_observation","1","TABLE","","UNTITLED_TABLE_1","Aetos Capital Asia TE III","Total Capital Contributed","1","investment","Aetos Capital Asia TE III","","","","","","","2008","","","Dec 31, 2024","","($ in millions)","paid_in_capital","Total Capital Contributed","$118.7","","","","","","2008Aetos Capital Asia TE III $100.0 $118.7 $56.4 $3.9 0.51x -14.21%","actual","","",""
"2026-08-22.2","SRC058","504abfe06fcde5e187ef74247e28f97eecec00313f5079c91e05fbdaea023159","Performance","02-performance","CORE","A","fund_economics_observation","1","TABLE","","UNTITLED_TABLE_1","Aetos Capital Asia TE III","Total Capital Distributed","1","investment","Aetos Capital Asia TE III","","","","","","","2008","","","Dec 31, 2024","","($ in millions)","distribution","Total Capital Distributed","$56.4","","","","","","2008Aetos Capital Asia TE III $100.0 $118.7 $56.4 $3.9 0.51x -14.21%","actual","","",""
"2026-08-22.2","SRC058","504abfe06fcde5e187ef74247e28f97eecec00313f5079c91e05fbdaea023159","Performance","02-performance","CORE","A","fund_economics_observation","1","TABLE","","UNTITLED_TABLE_1","Aetos Capital Asia TE III","Total Value Multiple","1","investment","Aetos Capital Asia TE III","","","","","","","2008","","","Dec 31, 2024","","","tvpi","Total Value Multiple","0.51x","x","","","","","2008Aetos Capital Asia TE III $100.0 $118.7 $56.4 $3.9 0.51x -14.21%","actual","","",""
"2026-08-22.2","SRC058","504abfe06fcde5e187ef74247e28f97eecec00313f5079c91e05fbdaea023159","Performance","02-performance","CORE","A","fund_economics_observation","1","TABLE","","UNTITLED_TABLE_1","AG Asia Realty Fund II, L.P.","Capital Commitment","1","investment","AG Asia Realty Fund II, L.P.","","","","","","","2010","","","Dec 31, 2024","","($ in millions)","commitment","Capital Commitment","$100.0","","","","","","2010AG Asia Realty Fund II, L.P. $100.0 $91.8 $145.2 $0.0 1.58x 17.22%","actual","","",""
