"pair_id","pair_status","requires_review","source_page","record_family","source_table","source_row_label","source_column_label","source_occurrence","metric_category","term_category","a_row_number","b_row_number","difference_fields"
"PAIR_276B63482000E2E8897CA0AC","CLASSIFICATION_CONFLICT","YES","1","document_context","Statement of Investment Performance Statistics and Independent Auditor’s Report","DOCUMENT","","1","","","1","1","source_section|source_table|subject_name|manager_name|investor_name|period_end|as_of_date|evidence_quote"
"PAIR_A3A5DF6EC6F935786A6EC4D8","CONTEXT_CONFLICT","YES","3","performance_observation","STATEMENT OF INVESTMENT PERFORMANCE STATISTICS","Commodities","Intermediate Term Fund","1","return","","2","2","source_section|strategy|as_of_date|horizon|basis_raw|method"
"PAIR_8F68CB2314C74409C4FB370E","CONTEXT_CONFLICT","YES","3","performance_observation","STATEMENT OF INVESTMENT PERFORMANCE STATISTICS","Directional Hedge Funds","General Endowment Fund","1","return","","3","3","source_section|strategy|as_of_date|horizon|basis_raw|method"
"PAIR_C2DD9BBFCA8E2AB0E7A93118","CONTEXT_CONFLICT","YES","3","performance_observation","STATEMENT OF INVESTMENT PERFORMANCE STATISTICS","Directional Hedge Funds","Intermediate Term Fund","1","return","","4","4","source_section|strategy|as_of_date|horizon|basis_raw|method"
"PAIR_938D9F0665011E2931F2695E","CONTEXT_CONFLICT","YES","3","performance_observation","STATEMENT OF INVESTMENT PERFORMANCE STATISTICS","Directional Hedge Funds","Permanent University Fund","1","return","","5","5","source_section|strategy|as_of_date|horizon|basis_raw|method"
"PAIR_1DB2303E888672E649F35BAC","CONTEXT_CONFLICT","YES","3","performance_observation","STATEMENT OF INVESTMENT PERFORMANCE STATISTICS","Inflation-Linked Bonds","Intermediate Term Fund","1","return","","6","6","source_section|strategy|as_of_date|horizon|basis_raw|method"
"PAIR_C19781677AB33F3FCCC16412","CONTEXT_CONFLICT","YES","3","performance_observation","STATEMENT OF INVESTMENT PERFORMANCE STATISTICS","Infrastructure","General Endowment Fund","1","return","","7","7","source_section|as_of_date|horizon|basis_raw|method"
"PAIR_E19BD3AB9B0A41FC83C0B286","CONTEXT_CONFLICT","YES","3","performance_observation","STATEMENT OF INVESTMENT PERFORMANCE STATISTICS","Infrastructure","Permanent University Fund","1","return","","8","8","source_section|as_of_date|horizon|basis_raw|method"
"PAIR_9C48F5B4DDCD00BA48221318","CONTEXT_CONFLICT","YES","3","performance_observation","STATEMENT OF INVESTMENT PERFORMANCE STATISTICS","Innovation & Disruption","General Endowment Fund","1","return","","9","9","source_section|strategy|as_of_date|horizon|basis_raw|method"
"PAIR_61E5CB29AFD52B59F0D6526E","CONTEXT_CONFLICT","YES","3","performance_observation","STATEMENT OF INVESTMENT PERFORMANCE STATISTICS","Innovation & Disruption","Permanent University Fund","1","return","","10","10","source_section|strategy|as_of_date|horizon|basis_raw|method"
"PAIR_49342B1ED8FF72FF9919E9D9","CONTEXT_CONFLICT","YES","3","performance_observation","STATEMENT OF INVESTMENT PERFORMANCE STATISTICS","Investment Grade Fixed Income","Intermediate Term Fund","1","return","","11","11","source_section|strategy|as_of_date|horizon|basis_raw|method"
"PAIR_4B5E7A60A0473FA0904818E8","CONTEXT_CONFLICT","YES","3","performance_observation","STATEMENT OF INVESTMENT PERFORMANCE STATISTICS","Long Treasuries","General Endowment Fund","1","return","","12","12","source_section|strategy|as_of_date|horizon|basis_raw|method"
