"contract_version","file_id","source_sha256","canonical_doc_type","route","product_tier","agent_role","record_family","source_page","source_structure_type","source_section","source_table","source_row_label","source_column_label","source_occurrence","subject_type","subject_name","asset_class","strategy","geography","manager_name","investor_name","portfolio_name","vintage_year","period_start","period_end","as_of_date","horizon","currency_scale","metric_category","metric_name","metric_value_raw","unit","term_category","text_raw","basis_raw","condition_raw","evidence_quote","evidence_class","notes","source_agents","adjudication_status","definition_keys","method","fee_basis","value_scope","sector"
"2026-08-22.2","SRC389","9feb74eb228530f7459be60b41936bff0ac6688d0c051cfa56b339d238282017","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","allocation_observation","2","NARRATIVE","Letter from the President & CEO","Letter from the President & CEO","Educational Foundation","","1","foundation","Educational Foundation","","","","","","","","","","June 30, 2025","","","actual_allocation","Allocation","79%","%","","","","","comprises approximately 79% of this total, the Business","actual","","A","VERIFIED_ONE_SIDED","","","","",""
"2026-09-01.2","SRC389","9feb74eb228530f7459be60b41936bff0ac6688d0c051cfa56b339d238282017","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","definition_context","2","NARRATIVE","Letter from the President & CEO","Letter from the President & CEO","endowment","","1","","","","","","","","","","","","June 30, 2025","","","","","","","","is comprised of the consolidated investment portfolio, endowed funds held at the University, and certain real estate.","","endowment","The endowment is comprised of the consolidated","actual","","A+B+ADJUDICATOR","RESOLVED","ENDOWMENT","","","",""
"2026-08-22.2","SRC389","9feb74eb228530f7459be60b41936bff0ac6688d0c051cfa56b339d238282017","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","document_context","2","DOCUMENT","","USC Foundations Annual Endowment Report","DOCUMENT","","1","document","USC Foundations Annual Endowment Report","","","","University of South Carolina Foundations","University of South Carolina","Consolidated Investment Portfolio","","","","June 30, 2025","","","","","","","","","","","USC Foundations Annual Endowment Report","actual","","A+B+ADJUDICATOR","RESOLVED","","","","",""
"2026-08-22.2","SRC389","9feb74eb228530f7459be60b41936bff0ac6688d0c051cfa56b339d238282017","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","performance_observation","2","NARRATIVE","Letter from the President & CEO","Letter from the President & CEO","Consolidated Investment Portfolio","","1","portfolio","Consolidated Investment Portfolio","","","","","","","","","","June 30, 2025","","million","aum","Portfolio Total","$912","","","","consolidated investment portfolio","","significant growth during the year and totaled $912 million as of June 30, 2025. Although the Educational Foundation","actual","","A+B+ADJUDICATOR","RESOLVED","","","","portfolio_total",""
"2026-08-22.2","SRC389","9feb74eb228530f7459be60b41936bff0ac6688d0c051cfa56b339d238282017","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","performance_observation","2","NARRATIVE","Letter from the President & CEO","Letter from the President & CEO","rate of return on investments","","1","portfolio","University of South Carolina Foundations","","","","","","","","","","June 30, 2025","one-year","","return","rate of return on investments","12.8%","%","","","","","Our one-year rate of return on investments was 12.8%.","actual","","B","VERIFIED_ONE_SIDED","","unstated","unstated","",""
"2026-08-22.2","SRC389","9feb74eb228530f7459be60b41936bff0ac6688d0c051cfa56b339d238282017","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","performance_observation","2","NARRATIVE","Letter from the President & CEO","Letter from the President & CEO","return","","1","portfolio","University of South Carolina Foundations","","","","","","","","","","June 30, 2025","five-year","","return","return","10.7%","%","","","","","The five-year return was 10.7%.","actual","","B","VERIFIED_ONE_SIDED","","unstated","unstated","",""
"2026-08-22.2","SRC389","9feb74eb228530f7459be60b41936bff0ac6688d0c051cfa56b339d238282017","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","performance_observation","2","NARRATIVE","Letter from the President & CEO","Letter from the President & CEO","return","","2","portfolio","University of South Carolina Foundations","","","","","","","","","","June 30, 2025","ten-year","","return","return","8.1%","%","","","","","The ten-year return was 8.1%.","actual","","B","VERIFIED_ONE_SIDED","","unstated","unstated","",""
"2026-08-22.2","SRC389","9feb74eb228530f7459be60b41936bff0ac6688d0c051cfa56b339d238282017","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","performance_observation","2","NARRATIVE","Letter from the President & CEO","Letter from the President & CEO","Total Endowment","June 30, 2024","1","portfolio","Total Endowment","","","","","","","","","","June 30, 2024","","billion","aum","Endowment Value","$1.044","","","","","","$1.044 billion as of June 30, 2024 to $1.145 billion as of June","actual","","A+ADJUDICATOR","RESOLVED","ENDOWMENT","","","plan_total",""
"2026-08-22.2","SRC389","9feb74eb228530f7459be60b41936bff0ac6688d0c051cfa56b339d238282017","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","performance_observation","2","NARRATIVE","Letter from the President & CEO","Letter from the President & CEO","Total Endowment","June 30, 2025","1","portfolio","Total Endowment","","","","","","","","","","June 30, 2025","","billion","aum","Endowment Value","$1.145","","","","","","$1.044 billion as of June 30, 2024 to $1.145 billion as of June","actual","","A+ADJUDICATOR","RESOLVED","ENDOWMENT","","","plan_total",""
"2026-08-22.2","SRC389","9feb74eb228530f7459be60b41936bff0ac6688d0c051cfa56b339d238282017","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","allocation_observation","3","FIGURE","Allocation Summary","Allocation Summary","Fixed Income Composite","","1","asset_class","Fixed Income Composite","","","","","","","","","","June 30, 2025","","","market_value","Allocation Summary","$178,939,851","","","","Allocation Summary","","$178,939,851 Large Cap Equity Composite","actual","","A+B+ADJUDICATOR","RESOLVED","","","","allocation_bucket",""
"2026-08-22.2","SRC389","9feb74eb228530f7459be60b41936bff0ac6688d0c051cfa56b339d238282017","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","allocation_observation","3","FIGURE","Allocation Summary","Allocation Summary","Hedge Fund Composite","","1","asset_class","Hedge Fund Composite","","","","","","","","","","June 30, 2025","","","market_value","Allocation Summary","$64,937,812","","","","Allocation Summary","","$64,937,812","actual","","A+B+ADJUDICATOR","RESOLVED","","","","allocation_bucket",""
"2026-08-22.2","SRC389","9feb74eb228530f7459be60b41936bff0ac6688d0c051cfa56b339d238282017","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","allocation_observation","3","FIGURE","Allocation Summary","Allocation Summary","International Equity Composite","","1","asset_class","International Equity Composite","","","","","","","","","","June 30, 2025","","","market_value","Allocation Summary","$187,384,863","","","","Allocation Summary","","$187,384,863","actual","","A+B+ADJUDICATOR","RESOLVED","","","","allocation_bucket",""
"2026-08-22.2","SRC389","9feb74eb228530f7459be60b41936bff0ac6688d0c051cfa56b339d238282017","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","allocation_observation","3","FIGURE","Allocation Summary","Allocation Summary","Large Cap Equity Composite","","1","asset_class","Large Cap Equity Composite","","","","","","","","","","June 30, 2025","","","market_value","Allocation Summary","$424,211,105","","","","Allocation Summary","","$424,211,105","actual","","A+B+ADJUDICATOR","RESOLVED","","","","allocation_bucket",""
"2026-08-22.2","SRC389","9feb74eb228530f7459be60b41936bff0ac6688d0c051cfa56b339d238282017","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","allocation_observation","3","FIGURE","Allocation Summary","Allocation Summary","Private Equity/Other","","1","asset_class","Private Equity/Other","","","","","","","","","","June 30, 2025","","","market_value","Allocation Summary","$14,785,505","","","","Allocation Summary","","$14,785,505","actual","","A+B+ADJUDICATOR","RESOLVED","","","","allocation_bucket",""
"2026-08-22.2","SRC389","9feb74eb228530f7459be60b41936bff0ac6688d0c051cfa56b339d238282017","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","allocation_observation","3","FIGURE","Allocation Summary","Allocation Summary","Small Cap Equity Composite","","1","asset_class","Small Cap Equity Composite","","","","","","","","","","June 30, 2025","","","market_value","Allocation Summary","$41,446,840","","","","Allocation Summary","","$41,446,840","actual","","A+B+ADJUDICATOR","RESOLVED","","","","allocation_bucket",""
"2026-08-22.2","SRC389","9feb74eb228530f7459be60b41936bff0ac6688d0c051cfa56b339d238282017","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","allocation_observation","3","FIGURE","Investment Summary","Investment Summary","Alumni","","1","foundation","Alumni","","","","","","","","","","June 30, 2025","","","market_value","Investment Summary","$1,968,214","","","","","","$1,968,214","actual","","A+B+ADJUDICATOR","RESOLVED","","","","unstated",""
"2026-08-22.2","SRC389","9feb74eb228530f7459be60b41936bff0ac6688d0c051cfa56b339d238282017","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","allocation_observation","3","FIGURE","Investment Summary","Investment Summary","BPF","","1","foundation","BPF","","","","","","","","","","June 30, 2025","","","market_value","Investment Summary","$164,760,416","","","","","","$164,760,416","actual","","A+B+ADJUDICATOR","RESOLVED","","","","unstated",""
"2026-08-22.2","SRC389","9feb74eb228530f7459be60b41936bff0ac6688d0c051cfa56b339d238282017","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","allocation_observation","3","FIGURE","Investment Summary","Investment Summary","Development Foundation","","1","foundation","Development Foundation","","","","","","","","","","June 30, 2025","","","market_value","Investment Summary","$23,824,473","","","","","","$23,824,473","actual","","A+B+ADJUDICATOR","RESOLVED","","","","unstated",""
"2026-08-22.2","SRC389","9feb74eb228530f7459be60b41936bff0ac6688d0c051cfa56b339d238282017","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","allocation_observation","3","FIGURE","Investment Summary","Investment Summary","Educational Foundation","","1","foundation","Educational Foundation","","","","","","","","","","June 30, 2025","","","market_value","Investment Summary","$721,152,871","","","","","","$721,152,871","actual","","A+B+ADJUDICATOR","RESOLVED","","","","unstated",""
"2026-08-22.2","SRC389","9feb74eb228530f7459be60b41936bff0ac6688d0c051cfa56b339d238282017","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","performance_observation","3","FIGURE","Investment Summary","Investment Summary","Total Investments","","1","portfolio","Total Investments","","","","","","","","","","June 30, 2025","","","aum","Total Investments","$911,705,974","","","","Total Investments","","Total Investments $911,705,974","actual","","A+B+ADJUDICATOR","RESOLVED","","","","portfolio_total",""
"2026-08-22.2","SRC389","9feb74eb228530f7459be60b41936bff0ac6688d0c051cfa56b339d238282017","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","allocation_observation","4","NARRATIVE","Investment Returns","Benchmark: Target Weighted Index is currently comprised of:","Bloomberg US Aggregate Index","","1","benchmark","Target Weighted Index","","","","","","","","","","June 30, 2025","","","target_allocation","Target Weighted Index","20%","%","","","","","20% Bloomberg US Aggregate Index","actual","","B+ADJUDICATOR","RESOLVED","BENCHMARK","","","",""
"2026-08-22.2","SRC389","9feb74eb228530f7459be60b41936bff0ac6688d0c051cfa56b339d238282017","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","allocation_observation","4","NARRATIVE","Investment Returns","Benchmark: Target Weighted Index is currently comprised of:","HFRI of Funds Index","","1","benchmark","Target Weighted Index","","","","","","","","","","June 30, 2025","","","target_allocation","Target Weighted Index","10%","%","","","","","10% HFRI of Funds Index","actual","","B+ADJUDICATOR","RESOLVED","BENCHMARK","","","",""
