"source_page","a_page_status","b_page_status","a_layout_checked","b_layout_checked","a_expected_observation_count","b_expected_observation_count","a_source_structures","b_source_structures","a_relevant_record_families","b_relevant_record_families","difference_fields"
"1","REFERENCE_ONLY","REFERENCE_ONLY","YES","YES","1","1","Real Estate","DOCUMENT","document_context","document_context","source_structures"
"2","REFERENCE_ONLY","REFERENCE_ONLY","YES","YES","0","0","Table of Contents","Table of Contents","","","DETERMINISTIC_SAMPLE"
"6","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","90","84","RE Performance by Investment Structure – 2Q17","RE Performance by Investment Structure – 2Q17","allocation_observation | definition_context | performance_observation","definition_context | performance_observation","expected_observation_count|relevant_record_families"
"8","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","14","8","Real Estate By Investment Structure – 2Q17","Real Estate By Investment Structure – 2Q17","allocation_observation | definition_context | fund_economics_observation","allocation_observation | definition_context","expected_observation_count|relevant_record_families"
"10","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","13","9","Real Estate by Strategic Asset Allocation – 2Q17","Real Estate by Strategic Asset Allocation – 2Q17","allocation_observation | definition_context | fund_economics_observation","allocation_observation | definition_context","expected_observation_count|relevant_record_families"
"11","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","13","7","Preliminary Real Estate Performance – 3Q17","Preliminary Real Estate Performance – 3Q17","allocation_observation | definition_context | performance_observation","definition_context | performance_observation","expected_observation_count|relevant_record_families"
"13","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","23","23","Cash Flow Activity | Final -2Q17 ($M) | Prelim -3Q17 ($M)","Cash Flow Activity | Final -2Q17 | Prelim -3Q17","definition_context | fund_economics_observation","definition_context | fund_economics_observation","source_structures"
"14","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","36","36","Portfolio Summary for Real Estate","Portfolio Summary for Real Estate","definition_context | fund_economics_observation","definition_context | fund_economics_observation","DETERMINISTIC_SAMPLE"
"17","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","5","7","Real Estate Portfolio Asset Allocation","Real Estate Portfolio Asset Allocation","allocation_observation | definition_context","allocation_observation | definition_context | performance_observation","expected_observation_count|relevant_record_families"
"18","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","14","17","Real Estate – Regional Distribution – 2Q17","Real Estate – Regional Distribution – 2Q17","allocation_observation | definition_context","allocation_observation | definition_context","expected_observation_count"
"20","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","5","5","June 30, 2017 Real Estate ($M)","Real Estate Portfolio Impact on Pennsylvania","fund_economics_observation","fund_economics_observation","source_structures"
"21","REFERENCE_ONLY","REFERENCE_ONLY","YES","YES","0","0","Real Estate","DOCUMENT","","","source_structures"
