"contract_version","file_id","source_sha256","canonical_doc_type","route","product_tier","agent_role","source_page","page_status","layout_checked","source_structures","relevant_record_families","expected_observation_count","records_written","notes"
"2026-09-01.2","SRC099","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","1","REFERENCE_ONLY","YES","Real Estate","document_context","1","1","Cover page: title, programme, presenter and date only. Both lanes agreed on the status and differed only on source_structures; the document_context row sits here as bookkeeping and does not make the page eligible."
"2026-09-01.2","SRC099","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","2","REFERENCE_ONLY","YES","","","0","0","NO_ELIGIBLE_REASON: Table of contents, four bullet lines and a page number. No printed figure, so no record."
"2026-09-01.2","SRC099","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","3","ELIGIBLE_DATA_EXTRACTED","YES","Commitments Approved and Executed Since April 1, 2017","fund_economics_observation","4","4",""
"2026-09-01.2","SRC099","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","4","REFERENCE_ONLY","YES","","","0","0","NO_ELIGIBLE_REASON: Table of contents repeated, four bullet lines and a page number. Both lanes counted zero and both left the note empty, which the final rejects, so the note is supplied here."
"2026-09-01.2","SRC099","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","5","ELIGIBLE_DATA_EXTRACTED","YES","Portfolio Snapshot for Real Estate","definition_context | fund_economics_observation","23","23","excluded Active Partnerships count; no allowed Quarterly_Report category"
"2026-09-01.2","SRC099","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","6","ELIGIBLE_DATA_EXTRACTED","YES","RE Performance by Investment Structure – 2Q17","allocation_observation | definition_context | performance_observation","90","90","Counted from the image: twelve data rows across seven period columns is eighty-four cells, less the four N/A cells on Internal Program and its blended benchmark, is eighty; plus six values in the % of PSERS Market Value column that only A read; plus the four footnotes a to d. A count of 90 is right and B 84 missed the share column."
"2026-09-01.2","SRC099","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","7","ELIGIBLE_DATA_EXTRACTED","YES","Benchmark Footnotes for Performance Returns","definition_context","5","5","benchmark footnotes; no allowed observations"
"2026-09-01.2","SRC099","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","8","ELIGIBLE_DATA_EXTRACTED","YES","Real Estate By Investment Structure – 2Q17","allocation_observation | definition_context | fund_economics_observation","14","14","Counted from the image: six rows across the Market Value and % columns is twelve cells, plus the two footnotes. B 8 missed the whole Market Value column. The pie beside the table restates the same six shares at one decimal, so it prints no second fact and adds no row."
"2026-09-01.2","SRC099","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","9","ELIGIBLE_DATA_EXTRACTED","YES","RE Performance by Strategic Asset Allocation – 2Q17","definition_context | performance_observation","59","59","all printed performance rows and benchmark footnote definitions extracted"
"2026-09-01.2","SRC099","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","10","ELIGIBLE_DATA_EXTRACTED","YES","Real Estate by Strategic Asset Allocation – 2Q17","allocation_observation | definition_context | fund_economics_observation","13","13","Counted from the image: four rows across the Target, Market Value and % columns is twelve cells, plus footnote a. B 9 missed the Market Value column. The pie restates the % column at one decimal and adds no row."
"2026-09-01.2","SRC099","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","11","ELIGIBLE_DATA_EXTRACTED","YES","Preliminary Real Estate Performance – 3Q17","allocation_observation | definition_context | performance_observation","13","13","Counted from the image: six rows across the Market Value share and Quarter columns is twelve cells, plus footnote a. B 7 missed the Market Value share column."
"2026-09-01.2","SRC099","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","12","REFERENCE_ONLY","YES","","","0","0","NO_ELIGIBLE_REASON: Table of contents repeated, four bullet lines and a page number. Note supplied for the same reason."
"2026-09-01.2","SRC099","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","13","ELIGIBLE_DATA_EXTRACTED","YES","Cash Flow Activity | Final -2Q17 ($M) | Prelim -3Q17 ($M)","definition_context | fund_economics_observation","23","23","Counted from the image: each of the two tables prints three cells on Quarter, three on Y-T-D and five on I-T-D, so eleven each, plus footnote a. Both lanes counted 23; they differed only on how much of the printed banner they kept as the table name."
"2026-09-01.2","SRC099","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","14","ELIGIBLE_DATA_EXTRACTED","YES","Portfolio Summary for Real Estate","definition_context | fund_economics_observation","36","36","Counted from the image: seven measure rows across five period columns is thirty-five cells, plus footnote a. Net Value Changed and Total Exposure print five cells each but neither has an allowed category on this route, so both lanes rightly left them out."
"2026-09-01.2","SRC099","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","15","ELIGIBLE_DATA_EXTRACTED","YES","Real Estate Portfolio Cash Flow","fund_economics_observation","20","20","figure values extracted; cumulative line has no individual printed values"
"2026-09-01.2","SRC099","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","16","REFERENCE_ONLY","YES","","","0","0","NO_ELIGIBLE_REASON: Table of contents repeated, four bullet lines and a page number. Note supplied for the same reason."
"2026-09-01.2","SRC099","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","17","ELIGIBLE_DATA_EXTRACTED","YES","Real Estate Portfolio Asset Allocation","allocation_observation | definition_context | performance_observation","11","11","Counted from the image: four bar groups across two series is eight labelled values, plus the two plan totals printed above the chart, plus the starred footnote. A 5 and B 7 both missed the Unfunded Commitments and Potential Exposure bars, which are added here; A also missed the two plan totals."
"2026-09-01.2","SRC099","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","18","ELIGIBLE_DATA_EXTRACTED","YES","Real Estate – Regional Distribution – 2Q17","allocation_observation | definition_context","17","17","Counted from the image: the three pies print two, six and five labelled slices, so thirteen values, plus the three Pennsylvania shares the starred note prints, plus the note itself. B 17 is right and A 14 missed the three shares in the note."
"2026-09-01.2","SRC099","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","19","ELIGIBLE_DATA_EXTRACTED","YES","Real Estate-Asset Type Distribution – 2Q17","allocation_observation","14","14","asset-type percentages extracted; no sector grouping assigned"
"2026-09-01.2","SRC099","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","20","ELIGIBLE_DATA_EXTRACTED","YES","June 30, 2017 Real Estate ($M)","fund_economics_observation","5","5","Counted from the image: five of the nine printed lines carry a dollar amount with an allowed category. The head count, payroll, square footage and unit count print figures with no allowed category, so both lanes rightly left them out. The lanes differed only on which printed heading is the section and which is the table."
