"pair_id","pair_status","requires_review","source_page","record_family","source_table","source_row_label","source_column_label","source_occurrence","metric_category","term_category","a_row_number","b_row_number","difference_fields"
"PAIR_4C4F0C09B27AEEC5A46288CD","CLASSIFICATION_CONFLICT","YES","1","performance_observation","EXECUTIVE SUMMARY","Blue and Gold Endowment Pool","","1","aum","","2","2","record_family|source_section|subject_type|metric_category|metric_name"
"PAIR_10F435BD311C4344DD5773CB","CLASSIFICATION_CONFLICT","YES","1","document_context","","DOCUMENT","","1","","","1","1","source_table|subject_name|manager_name|investor_name"
"PAIR_A519FF6200F73FA8FAB75DB6","B_ONLY","YES","1","performance_observation","EXECUTIVE SUMMARY","pension","","1","return","","","8",""
"PAIR_88AC9F8FE75D588D5B96622F","B_ONLY","YES","1","fund_economics_observation","EXECUTIVE SUMMARY","pension","","2","nav","","","3",""
"PAIR_96253036672464BE53565E2B","A_ONLY","YES","1","performance_observation","EXECUTIVE SUMMARY","the pension","","1","aum","","3","",""
"PAIR_9E3CA05075EF6138A50DA0E9","CLASSIFICATION_CONFLICT","YES","1","performance_observation","EXECUTIVE SUMMARY","the UC Retirement Savings Program","","1","aum","","4","7","record_family|source_section|source_row_label|subject_type|subject_name|metric_category|metric_name"
"PAIR_2FBFE555524C0139AE2D5C3C","VALUE_CONFLICT","YES","1","performance_observation","EXECUTIVE SUMMARY","UC endowment","","1","aum","","5","9","source_section|subject_type|horizon|currency_scale|metric_category|metric_name|metric_value_raw|unit|evidence_quote"
"PAIR_64A908349FCF78DF94D29270","B_ONLY","YES","1","fund_economics_observation","EXECUTIVE SUMMARY","UC endowment","","2","nav","","","4",""
"PAIR_1ED8C3CD473A7B6A681B252D","B_ONLY","YES","1","fund_economics_observation","EXECUTIVE SUMMARY","UC investment portfolios","","1","nav","","","5",""
"PAIR_1273F7D98C036DA37D0F31B1","CLASSIFICATION_CONFLICT","YES","1","performance_observation","EXECUTIVE SUMMARY","UC's retirement assets","","1","aum","","6","6","record_family|source_section|source_row_label|subject_type|subject_name|metric_category|metric_name"
