"contract_version","file_id","source_sha256","canonical_doc_type","route","product_tier","agent_role","record_family","source_page","source_structure_type","source_section","source_table","source_row_label","source_column_label","source_occurrence","subject_type","subject_name","asset_class","strategy","geography","manager_name","investor_name","portfolio_name","vintage_year","period_start","period_end","as_of_date","horizon","currency_scale","metric_category","metric_name","metric_value_raw","unit","term_category","text_raw","basis_raw","condition_raw","evidence_quote","evidence_class","notes","source_agents","adjudication_status"
"2026-08-22.2","SRC457","8783ef3e2dc6cf061218360ff1c3db121d172543d661901b2d74131021935dc1","Quarterly_Report","04-quarterly-report","CORE","B","allocation_observation","2","NARRATIVE","Portfolio Snapshot","Target / Current Allocation","Natural Resources","Current","1","asset_class","Natural Resources","Natural Resources","","","","","","","","","December 31, 2020","","","actual_allocation","Current","4.7%","%","","","","","Natural Resources –5.0% / 4.7%","actual","","",""
"2026-08-22.2","SRC457","8783ef3e2dc6cf061218360ff1c3db121d172543d661901b2d74131021935dc1","Quarterly_Report","04-quarterly-report","CORE","B","allocation_observation","2","NARRATIVE","Portfolio Snapshot","Target / Current Allocation","Natural Resources","Target","1","asset_class","Natural Resources","Natural Resources","","","","","","","","","December 31, 2020","","","target_allocation","Target","5.0%","%","","","","","Natural Resources –5.0% / 4.7%","actual","","",""
"2026-08-22.2","SRC457","8783ef3e2dc6cf061218360ff1c3db121d172543d661901b2d74131021935dc1","Quarterly_Report","04-quarterly-report","CORE","B","allocation_observation","2","NARRATIVE","Portfolio Snapshot","Target / Current Allocation","Real Estate","Current","1","asset_class","Real Estate","Real Estate","","","","","","","","","December 31, 2020","","","actual_allocation","Current","6.2%","%","","","","","Real Estate –8.0% / 6.2%","actual","","",""
"2026-08-22.2","SRC457","8783ef3e2dc6cf061218360ff1c3db121d172543d661901b2d74131021935dc1","Quarterly_Report","04-quarterly-report","CORE","B","allocation_observation","2","NARRATIVE","Portfolio Snapshot","Target / Current Allocation","Real Estate","Target","1","asset_class","Real Estate","Real Estate","","","","","","","","","December 31, 2020","","","target_allocation","Target","8.0%","%","","","","","Real Estate –8.0% / 6.2%","actual","","",""
"2026-08-22.2","SRC457","8783ef3e2dc6cf061218360ff1c3db121d172543d661901b2d74131021935dc1","Quarterly_Report","04-quarterly-report","CORE","B","document_context","2","DOCUMENT","Portfolio Snapshot","DOCUMENT","DOCUMENT","","1","document","New Mexico Educational Retirement Board","","","","","","","","","","December 31, 2020","","","","","","","","","","","Portfolio Snapshot","actual","","",""
"2026-08-22.2","SRC457","8783ef3e2dc6cf061218360ff1c3db121d172543d661901b2d74131021935dc1","Quarterly_Report","04-quarterly-report","CORE","B","fund_economics_observation","2","TABLE","Portfolio Snapshot","Portfolio Snapshot","Capital Committed","12/31/2019","1","portfolio","Portfolio Snapshot","","","","","","","","","","12/31/2019","","$ millions","commitment","Capital Committed","$2,700.1","","","","","","Capital Committed $2,700.1 $2,803.9 $103.8","actual","","",""
"2026-08-22.2","SRC457","8783ef3e2dc6cf061218360ff1c3db121d172543d661901b2d74131021935dc1","Quarterly_Report","04-quarterly-report","CORE","B","fund_economics_observation","2","TABLE","Portfolio Snapshot","Portfolio Snapshot","Capital Committed","12/31/2020","1","portfolio","Portfolio Snapshot","","","","","","","","","","12/31/2020","","$ millions","commitment","Capital Committed","$2,803.9","","","","","","Capital Committed $2,700.1 $2,803.9 $103.8","actual","","",""
"2026-08-22.2","SRC457","8783ef3e2dc6cf061218360ff1c3db121d172543d661901b2d74131021935dc1","Quarterly_Report","04-quarterly-report","CORE","B","fund_economics_observation","2","TABLE","Portfolio Snapshot","Portfolio Snapshot","Capital Committed","Change","1","portfolio","Portfolio Snapshot","","","","","","","","12/31/2019","12/31/2020","","","$ millions","commitment","Capital Committed","$103.8","","","","","","Capital Committed $2,700.1 $2,803.9 $103.8","actual","","",""
"2026-08-22.2","SRC457","8783ef3e2dc6cf061218360ff1c3db121d172543d661901b2d74131021935dc1","Quarterly_Report","04-quarterly-report","CORE","B","fund_economics_observation","2","TABLE","Portfolio Snapshot","Portfolio Snapshot","Capital Distributed","12/31/2019","1","portfolio","Portfolio Snapshot","","","","","","","","","","12/31/2019","","$ millions","distribution","Capital Distributed","$2,386.4","","","","","","Capital Distributed $2,386.4 $2,562.1 $175.7","actual","","",""
"2026-08-22.2","SRC457","8783ef3e2dc6cf061218360ff1c3db121d172543d661901b2d74131021935dc1","Quarterly_Report","04-quarterly-report","CORE","B","fund_economics_observation","2","TABLE","Portfolio Snapshot","Portfolio Snapshot","Capital Distributed","12/31/2020","1","portfolio","Portfolio Snapshot","","","","","","","","","","12/31/2020","","$ millions","distribution","Capital Distributed","$2,562.1","","","","","","Capital Distributed $2,386.4 $2,562.1 $175.7","actual","","",""
