"contract_version","file_id","source_sha256","canonical_doc_type","route","product_tier","agent_role","record_family","source_page","source_structure_type","source_section","source_table","source_row_label","source_column_label","source_occurrence","subject_type","subject_name","asset_class","strategy","geography","manager_name","investor_name","portfolio_name","vintage_year","period_start","period_end","as_of_date","horizon","currency_scale","metric_category","metric_name","metric_value_raw","unit","term_category","text_raw","basis_raw","condition_raw","evidence_quote","evidence_class","notes","source_agents","adjudication_status"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","A","ddq_quantitative_observation","6","TABLE","","COMPANY","Please list the total assets under management","Answer","1","manager","Bear Stearns Asset Management Inc. (equity products)","","","","","","","","","","March 31, 2006","","billion","aum","Assets under management, equity products","$15.7","","","","","","by the company across its different categories including 515.7 billion in equity products, $15.0 billion in fixed income","actual","IMAGE_ONLY: the PDF's own text layer misreads the leading currency symbol as digit ""5"" (""515.7""); the page 6 PNG clearly prints ""$15.7 billion"".","",""
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","A","ddq_quantitative_observation","6","TABLE","","COMPANY","Please list the total assets under management","Answer","2","manager","Bear Stearns Asset Management Inc. (fixed income products)","","","","","","","","","","March 31, 2006","","billion","aum","Assets under management, fixed income products","$15.0","","","","","","by the company across its different categories including 515.7 billion in equity products, $15.0 billion in fixed income","actual","","",""
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","A","ddq_quantitative_observation","6","TABLE","","COMPANY","Please list the total assets under management","Answer","3","manager","Bear Stearns Asset Management Inc. (alternative investments)","","","","","","","","","","March 31, 2006","","billion","aum","Assets under management, alternative investments","$5.4","","","","","","products and $5.4 billion in alternative investments. The alternative","actual","","",""
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","A","ddq_quantitative_observation","6","TABLE","","COMPANY","Please list the total assets under management","Answer","4","fund","Bear Stearns High Grade Structured Credit Strategies Fund","","","","","","","","","","March 31, 2006","","billion","aum","Assets managed by the HGSCS team","$1.5","","","","","","investments total includes the $1.5 billion in assets managed by the","actual","","",""
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","A","ddq_quantitative_observation","6","TABLE","","ORGANISATION","How many full-time employees are there?","Answer","1","manager","The Bear Stearns Companies Inc.","","","","","","","","","","March 31, 2006","","","staff_count","Full-time employees","12,000","","","","","","As of March 31, 2006 Bear Steams has approximately 12,000 full·time","actual","","",""
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","A","ddq_quantitative_observation","6","TABLE","","ORGANISATION","How many full-time employees are there?","Answer","2","manager","Bear Stearns Asset Management Inc.","","","","","","","","","","March 31, 2006","","","staff_count","Full-time employees","331","","","","","","employees. Of this number, 331 work full·time within BSAM.","actual","","",""
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","A","ddq_quantitative_observation","6","TABLE","","ORGANISATION","How many investment professionals (portfolio managers, analysts, etc) in the company?","Answer","1","manager","Bear Stearns Asset Management Inc.","","","","","","","","","","","","","staff_count","Investment professionals","125","","","","","","BSAM currently employs 125 investment professionals. Comprising this","actual","","",""
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","A","ddq_quantitative_observation","6","TABLE","","ORGANISATION","How many investment professionals (portfolio managers, analysts, etc) in the company?","Answer","2","manager","Bear Stearns Asset Management Inc. (portfolio managers)","","","","","","","","","","","","","staff_count","Portfolio managers","30","","","","","","total are 30 portfolio managers, 43 research analysts, and 52 other","actual","","",""
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","A","ddq_quantitative_observation","6","TABLE","","ORGANISATION","How many investment professionals (portfolio managers, analysts, etc) in the company?","Answer","3","manager","Bear Stearns Asset Management Inc. (research analysts)","","","","","","","","","","","","","staff_count","Research analysts","43","","","","","","total are 30 portfolio managers, 43 research analysts, and 52 other","actual","","",""
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","A","ddq_quantitative_observation","6","TABLE","","ORGANISATION","How many investment professionals (portfolio managers, analysts, etc) in the company?","Answer","4","manager","Bear Stearns Asset Management Inc. (other investment professionals)","","","","","","","","","","","","","staff_count","Other investment professionals","52","","","","","","total are 30 portfolio managers, 43 research analysts, and 52 other","actual","","",""
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","A","ddq_quantitative_observation","6","TABLE","","OWNERSHIP","Describe the company's ownership structure, name of its owners, their percentage ownership, and their role within the company","Answer","1","manager","Bear Stearns employees (as a group)","","","","","","","","","","","","","ownership_percentage","Percentage of Bear Stearns stock held","40%","%","","","","","employees hold approximately 40% of Bear Steams' stock with the","actual","","",""
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","A","ddq_quantitative_observation","6","TABLE","","OWNERSHIP","Describe the company's ownership structure, name of its owners, their percentage ownership, and their role within the company","Answer","2","manager","Private Capital Management, L.P.","","","","","","","","","","February 2006","","","ownership_percentage","Percentage of Bear Stearns common stock owned","6.1%","%","","","","","Management, L.P. owns 6.\% of the common stock. The largest","actual","IMAGE_ONLY: the PDF's own text layer drops the digit after the decimal (""6.\%""); the page 6 PNG clearly prints ""6.1%"".","",""
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","A","ddq_quantitative_observation","6","TABLE","","OWNERSHIP","Describe the company's ownership structure, name of its owners, their percentage ownership, and their role within the company","Answer","3","manager","Largest shareholder within senior management (Chief Executive Officer of Bear Stearns)","","","","","","","","","","February 2006","","","ownership_percentage","Percentage of Bear Stearns stock held by largest senior-management shareholder","5.6%","%","","","","","Officer of Bear Steams, with 5.6% of the firm's stock.","actual","Personal name (James Cayne) appears in the source evidence line but is not used in subject_name per the personal-identifier exclusion.","",""
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","A","ddq_quantitative_observation","7","TABLE","","FEES","Incentive fee","Answer","1","fund","Bear Stearns High Grade Structured Credit Strategies Fund, L.P.","","","","","","","","","","","","","performance_fee","Incentive fee","20%","%","","","","","The Fund charges a 20% incentive fee that is subject to a lifetime high","actual","Subject to a lifetime high watermark per the same answer (Hurdle rate/high water mark row).","",""
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","A","ddq_quantitative_observation","7","TABLE","","FEES","Management fee","Answer","1","fund","Bear Stearns High Grade Structured Credit Strategies Fund, L.P.","","","","","","","","","","","","","management_fee","Management fee","2%","%","","","","","Manage1lMtnt fee: 2% of the net asset value.","actual","","",""
