"contract_version","file_id","source_sha256","canonical_doc_type","route","product_tier","agent_role","record_family","source_page","source_structure_type","source_section","source_table","source_row_label","source_column_label","source_occurrence","subject_type","subject_name","asset_class","strategy","geography","manager_name","investor_name","portfolio_name","vintage_year","period_start","period_end","as_of_date","horizon","currency_scale","metric_category","metric_name","metric_value_raw","unit","term_category","text_raw","basis_raw","condition_raw","evidence_quote","evidence_class","notes","source_agents","adjudication_status"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","ddq_quantitative_observation","4","TABLE","INVESTMENT MANAGER INFORMATION","COMPANY","Please give a brief history of the company","UNLABELED_COLUMN_1","1","manager","Bear Stearns Asset Management Inc.","","","","","","","","","","","","billion","aum","Please give a brief history of the company","$36","","","","","","manage approximately $36 billion in assets across a wide spectrum of","actual","","A+B+ADJUDICATOR","RESOLVED"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","document_context","4","DOCUMENT","INVESTMENT MANAGER INFORMATION","","DOCUMENT","","1","document","AIMA's Illustrative Questionnaire for Due Diligence Review of Hedge Fund Managers","","","","Bear Stearns Asset Management Inc.","","","","","","MONDAY, 01 MAY 2006","","","","","","","","","","","NB: THE INFORMATION GIVEN HEREIN IS CORRECT AS AT MONDAY, 01 MAY 2006","actual","Filed on page 4, not page 1: page 1 is a cover with no eligible observation and the pipeline rejects a page whose only record is this row. Page 1's cover box names the fund, 'AIMA'S ILLUSTRATIVE QUESTIONNAIRE FOR DUE DILIGENCE OF Bear Stearns High Grade Structured Credit Strategies Fund'.","A+B+ADJUDICATOR","RESOLVED"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","ddq_quantitative_observation","5","TABLE","","COMPANY","Please list the total assets under management by the company across its different categories of client including the fund","UNLABELED_COLUMN_1","1","manager","BSAM","","","","","","","","","","March 31, 2006","","billion","aum","Please list the total assets under management by the company across its different categories of client including the fund","$36.1","","","","","","As of March 31, 2006, BSAM managed a total of S36. I billion of assets,","actual","IMAGE_ONLY: page-005.png prints $36.1; the PDF's own text layer renders it S36. I.","A+B+ADJUDICATOR","RESOLVED"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","ddq_quantitative_observation","6","TABLE","","COMPANY","Please list the total assets under management by the company across its different categories of client including the fund","UNLABELED_COLUMN_1","1","asset_class","equity products","","","","","","","","","","","","billion","aum","Please list the total assets under management by the company across its different categories of client including the fund","$15.7","","","","","","by the company across its different categories including 515.7 billion in equity products","actual","IMAGE_ONLY: page-006.png prints $15.7; the PDF's own text layer renders it 515.7.","A+B+ADJUDICATOR","RESOLVED"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","ddq_quantitative_observation","6","TABLE","","COMPANY","Please list the total assets under management by the company across its different categories of client including the fund","UNLABELED_COLUMN_1","2","asset_class","fixed income products","","","","","","","","","","","","billion","aum","Please list the total assets under management by the company across its different categories of client including the fund","$15.0","","","","","","by the company across its different categories including 515.7 billion in equity products, $15.0 billion in fixed income","actual","","A+B+ADJUDICATOR","RESOLVED"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","ddq_quantitative_observation","6","TABLE","","COMPANY","Please list the total assets under management by the company across its different categories of client including the fund","UNLABELED_COLUMN_1","3","asset_class","alternative investments","","","","","","","","","","","","billion","aum","Please list the total assets under management by the company across its different categories of client including the fund","$5.4","","","","","","products and $5.4 billion in alternative investments.","actual","","A+B+ADJUDICATOR","RESOLVED"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","ddq_quantitative_observation","6","TABLE","","COMPANY","Please list the total assets under management by the company across its different categories of client including the fund","UNLABELED_COLUMN_1","4","manager","HGSCS team","","","","","","","","","","","","billion","aum","Please list the total assets under management by the company across its different categories of client including the fund","$1.5","","","","","","investments total includes the $1.5 billion in assets managed by the","actual","","A+B+ADJUDICATOR","RESOLVED"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","ddq_quantitative_observation","6","TABLE","","ORGANISATION","How many full-time employees are there?","UNLABELED_COLUMN_1","1","manager","Bear Stearns","","","","","","","","","","March 31, 2006","","","staff_count","How many full-time employees are there?","12,000","","","","","","As of March 31, 2006 Bear Steams has approximately 12,000 full","actual","","A+B+ADJUDICATOR","RESOLVED"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","ddq_quantitative_observation","6","TABLE","","ORGANISATION","How many full-time employees are there?","UNLABELED_COLUMN_1","2","manager","BSAM","","","","","","","","","","March 31, 2006","","","staff_count","How many full-time employees are there?","331","","","","","","employees. Of this number, 331 work full","actual","","A+B+ADJUDICATOR","RESOLVED"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","ddq_quantitative_observation","6","TABLE","","ORGANISATION","How many investment professionals (portfolio managers, analysts, etc.) in the company?","UNLABELED_COLUMN_1","1","manager","BSAM","","","","","","","","","","","","","staff_count","How many investment professionals (portfolio managers, analysts, etc.) in the company?","125","","","","","","BSAM currently employs 125 investment professionals.","actual","","A+B+ADJUDICATOR","RESOLVED"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","ddq_quantitative_observation","6","TABLE","","ORGANISATION","How many investment professionals (portfolio managers, analysts, etc.) in the company?","UNLABELED_COLUMN_1","2","other_printed_scope","portfolio managers","","","","","","","","","","","","","staff_count","How many investment professionals (portfolio managers, analysts, etc.) in the company?","30","","","","","","total are 30 portfolio managers, 43 research analysts, and 52 other","actual","","A+B+ADJUDICATOR","RESOLVED"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","ddq_quantitative_observation","6","TABLE","","ORGANISATION","How many investment professionals (portfolio managers, analysts, etc.) in the company?","UNLABELED_COLUMN_1","3","other_printed_scope","research analysts","","","","","","","","","","","","","staff_count","How many investment professionals (portfolio managers, analysts, etc.) in the company?","43","","","","","","total are 30 portfolio managers, 43 research analysts, and 52 other","actual","","A+B+ADJUDICATOR","RESOLVED"
"2026-08-22.2","SRC107","440fe73f9d712e511d30234a8466716627c6336e7e0990ca47a396b40bc7cd15","DDQ","05-fund-legal-docs","CORE","ADJUDICATED","ddq_quantitative_observation","6","TABLE","","ORGANISATION","How many investment professionals (portfolio managers, analysts, etc.) in the company?","UNLABELED_COLUMN_1","4","other_printed_scope","other investment professionals","","","","","","","","","","","","","staff_count","How many investment professionals (portfolio managers, analysts, etc.) in the company?","52","","","","","","total are 30 portfolio managers, 43 research analysts, and 52 other","actual","","A+B+ADJUDICATOR","RESOLVED"
