"source_page","a_page_status","b_page_status","a_layout_checked","b_layout_checked","a_expected_observation_count","b_expected_observation_count","a_source_structures","b_source_structures","a_relevant_record_families","b_relevant_record_families","difference_fields"
"1","REFERENCE_ONLY","REFERENCE_ONLY","YES","YES","1","1","DOCUMENT","APOLLO S3 PRIVATE MARKETS FUND","document_context","document_context","source_structures"
"2","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","20","3","PROSPECTUS","UNTITLED_TABLE_1","definition_context","definition_context","expected_observation_count|source_structures"
"3","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","2","0","PROSPECTUS","","definition_context","","page_status|expected_observation_count|source_structures|relevant_record_families"
"4","REFERENCE_ONLY","REFERENCE_ONLY","NO","YES","0","0","","","","","layout_checked"
"5","NO_ELIGIBLE_DATA","REFERENCE_ONLY","YES","YES","0","0","","TABLE OF CONTENTS","","","page_status|source_structures"
"6","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","17","0","SUMMARY OF OFFERING TERMS","SUMMARY OF OFFERING TERMS","definition_context","","page_status|expected_observation_count|relevant_record_families"
"7","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","8","0","SUMMARY OF OFFERING TERMS","","definition_context","","page_status|expected_observation_count|source_structures|relevant_record_families"
"8","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","5","0","SUMMARY OF OFFERING TERMS","","definition_context","","page_status|expected_observation_count|source_structures|relevant_record_families"
"9","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","","","","layout_checked"
"19","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","2","0","SUMMARY OF OFFERING TERMS","","definition_context","","page_status|expected_observation_count|source_structures|relevant_record_families"
"20","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","3","0","SUMMARY OF OFFERING TERMS","","definition_context","","page_status|expected_observation_count|source_structures|relevant_record_families"
"21","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","1","0","SUMMARY OF OFFERING TERMS","","definition_context","","page_status|expected_observation_count|source_structures|relevant_record_families"
"22","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","5","0","SUMMARY OF OFFERING TERMS","","definition_context","","page_status|expected_observation_count|source_structures|relevant_record_families"
"24","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","5","2","SUMMARY OF OFFERING TERMS","SUMMARY OF OFFERING TERMS","definition_context | legal_term","legal_term","expected_observation_count|relevant_record_families"
"25","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","3","0","SUMMARY OF OFFERING TERMS","","definition_context | legal_term","","page_status|expected_observation_count|source_structures|relevant_record_families"
"26","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","4","0","SUMMARY OF OFFERING TERMS","","definition_context","","page_status|expected_observation_count|source_structures|relevant_record_families"
"28","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","3","0","SUMMARY OF OFFERING TERMS","","definition_context","","page_status|expected_observation_count|source_structures|relevant_record_families"
"29","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","9","6","SUMMARY OF FEES AND EXPENSES","Estimated Annual Operating Expenses | Shareholder Transaction Expenses","definition_context | legal_term","definition_context | legal_term","expected_observation_count|source_structures"
"30","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","2","2","SUMMARY OF FEES AND EXPENSES","Estimated Annual Operating Expenses","definition_context","definition_context","source_structures"
"32","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","FINANCIAL HIGHLIGHTS","","","layout_checked|source_structures"
"34","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","USE OF PROCEEDS","","","layout_checked|source_structures"
"35","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","11","0","INVESTMENT OBJECTIVE AND STRATEGY","INVESTMENT OBJECTIVE AND STRATEGY","definition_context","","page_status|expected_observation_count|relevant_record_families"
"36","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","2","0","INVESTMENT OBJECTIVE AND STRATEGY","","definition_context","","page_status|expected_observation_count|source_structures|relevant_record_families"
"37","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","3","0","Investment Strategies","Investment Strategies","definition_context","","page_status|expected_observation_count|relevant_record_families"
"40","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","","Liquid Assets","","","source_structures"
"41","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","","APOLLO HISTORY AND EXPERIENCE","","","source_structures"
"42","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","","LEVERAGE","","","source_structures"
"43","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","","RISKS","","","source_structures"
"44","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","","","","layout_checked"
"47","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","1","0","RISKS","","definition_context","","page_status|expected_observation_count|source_structures|relevant_record_families"
"52","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","","","","layout_checked"
"54","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","","","","","DETERMINISTIC_SAMPLE"
"56","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","2","0","RISKS","","definition_context","","page_status|expected_observation_count|source_structures|relevant_record_families"
"61","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","1","0","RISKS","","definition_context","","page_status|expected_observation_count|source_structures|relevant_record_families"
"62","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","1","0","RISKS","","definition_context","","page_status|expected_observation_count|source_structures|relevant_record_families"
"63","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","2","0","RISKS","","definition_context","","page_status|expected_observation_count|source_structures|relevant_record_families"
"66","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","1","0","RISKS","","definition_context","","page_status|expected_observation_count|source_structures|relevant_record_families"
"68","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","","","","","DETERMINISTIC_SAMPLE"
"70","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","3","0","POTENTIAL CONFLICTS OF INTEREST","POTENTIAL CONFLICTS OF INTEREST","definition_context","","page_status|expected_observation_count|relevant_record_families"
"71","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","1","0","POTENTIAL CONFLICTS OF INTEREST","","definition_context","","page_status|expected_observation_count|source_structures|relevant_record_families"
