"contract_version","file_id","source_sha256","canonical_doc_type","route","product_tier","agent_role","source_page","page_status","layout_checked","source_structures","relevant_record_families","expected_observation_count","records_written","notes"
"2026-08-22.2","SRC612","9aaf853a1b3ceefddf659360e76652dacf8b306e7676e9b9b5350737b1c5f921","LPA","05-fund-legal-docs","CORE","B","1","ELIGIBLE_DATA_EXTRACTED","YES","MANAGEMENT AGREEMENT FOR REAL ASSET PORTFOLIO MANAGEMENT IN PUBLICLY TRADED MASTER LIMITED PARTNERSHIP SECURITIES | WITNESSETH:","document_context | legal_term","2","2",""
"2026-08-22.2","SRC612","9aaf853a1b3ceefddf659360e76652dacf8b306e7676e9b9b5350737b1c5f921","LPA","05-fund-legal-docs","CORE","B","2","NO_ELIGIBLE_DATA","YES","Engagement | MANAGER's Services | Power and Authority | SERS Policies and Guidelines","","0","0","NO_ELIGIBLE_REASON: engagement, policy, and investment-authority provisions are outside the allowed LPA term categories"
"2026-08-22.2","SRC612","9aaf853a1b3ceefddf659360e76652dacf8b306e7676e9b9b5350737b1c5f921","LPA","05-fund-legal-docs","CORE","B","3","ELIGIBLE_DATA_EXTRACTED","YES","MANAGER's Services","legal_clause","1","1",""
"2026-08-22.2","SRC612","9aaf853a1b3ceefddf659360e76652dacf8b306e7676e9b9b5350737b1c5f921","LPA","05-fund-legal-docs","CORE","B","4","NO_ELIGIBLE_DATA","YES","ClassActions | Compliance with Laws | MANAGER's Investments for Own Account","","0","0","NO_ELIGIBLE_REASON: compliance, employee-trading, and class-action provisions are outside the allowed LPA term categories"
"2026-08-22.2","SRC612","9aaf853a1b3ceefddf659360e76652dacf8b306e7676e9b9b5350737b1c5f921","LPA","05-fund-legal-docs","CORE","B","5","NO_ELIGIBLE_DATA","YES","Compensation | Other Contracts | Standard of Performance","","0","0","NO_ELIGIBLE_REASON: performance-standard and compensation-heading text has no printed term or rate in an allowed LPA category"
"2026-08-22.2","SRC612","9aaf853a1b3ceefddf659360e76652dacf8b306e7676e9b9b5350737b1c5f921","LPA","05-fund-legal-docs","CORE","B","6","NO_ELIGIBLE_DATA","YES","Due Diligence Visits | MANAGER's Insurance | Representations of MANAGER","","0","0","NO_ELIGIBLE_REASON: due-diligence reimbursement, insurance, and representation provisions are outside the allowed LPA term categories"
"2026-08-22.2","SRC612","9aaf853a1b3ceefddf659360e76652dacf8b306e7676e9b9b5350737b1c5f921","LPA","05-fund-legal-docs","CORE","B","7","NO_ELIGIBLE_DATA","YES","Evidence of Authority | General Representations | No Finder's, Solicitor's or Similar Fee | Reaffirmation","","0","0","NO_ELIGIBLE_REASON: representation, authority, reaffirmation, and finder-fee provisions are outside the allowed LPA term categories"
"2026-08-22.2","SRC612","9aaf853a1b3ceefddf659360e76652dacf8b306e7676e9b9b5350737b1c5f921","LPA","05-fund-legal-docs","CORE","B","8","ELIGIBLE_DATA_EXTRACTED","YES","10. Changes in MANAGER's Status | 8. Representations of MANAGER","legal_clause","2","2",""
"2026-08-22.2","SRC612","9aaf853a1b3ceefddf659360e76652dacf8b306e7676e9b9b5350737b1c5f921","LPA","05-fund-legal-docs","CORE","B","9","ELIGIBLE_DATA_EXTRACTED","YES","12. Confidentiality","legal_clause","1","1",""
"2026-08-22.2","SRC612","9aaf853a1b3ceefddf659360e76652dacf8b306e7676e9b9b5350737b1c5f921","LPA","05-fund-legal-docs","CORE","B","10","NO_ELIGIBLE_DATA","YES","13. Conflict of Interest | 14. Soft Dollars Report | 15. Other Business","","0","0","NO_ELIGIBLE_REASON: continuation of Section 12 confidentiality is captured on its heading page; conflict-of-interest, soft-dollars, and other-business provisions are outside the allowed LPA term categories"
"2026-08-22.2","SRC612","9aaf853a1b3ceefddf659360e76652dacf8b306e7676e9b9b5350737b1c5f921","LPA","05-fund-legal-docs","CORE","B","11","ELIGIBLE_DATA_EXTRACTED","YES","16. Assignment or Other Transfer","legal_clause","1","1",""
"2026-08-22.2","SRC612","9aaf853a1b3ceefddf659360e76652dacf8b306e7676e9b9b5350737b1c5f921","LPA","05-fund-legal-docs","CORE","B","12","ELIGIBLE_DATA_EXTRACTED","YES","19. Notices","legal_clause","1","1",""
"2026-08-22.2","SRC612","9aaf853a1b3ceefddf659360e76652dacf8b306e7676e9b9b5350737b1c5f921","LPA","05-fund-legal-docs","CORE","B","13","ELIGIBLE_DATA_EXTRACTED","YES","20. Expiration and Termination","legal_clause | legal_term","4","4",""
"2026-08-22.2","SRC612","9aaf853a1b3ceefddf659360e76652dacf8b306e7676e9b9b5350737b1c5f921","LPA","05-fund-legal-docs","CORE","B","14","ELIGIBLE_DATA_EXTRACTED","YES","21. Applicable Law","legal_clause","1","1",""
"2026-08-22.2","SRC612","9aaf853a1b3ceefddf659360e76652dacf8b306e7676e9b9b5350737b1c5f921","LPA","05-fund-legal-docs","CORE","B","15","NO_ELIGIBLE_DATA","YES","25. Counterparts | 26. Severability | 27. Headings | 28. Entire Agreement","","0","0","NO_ELIGIBLE_REASON: execution, severability, headings, and entire-agreement provisions are outside the allowed LPA term categories"
"2026-08-22.2","SRC612","9aaf853a1b3ceefddf659360e76652dacf8b306e7676e9b9b5350737b1c5f921","LPA","05-fund-legal-docs","CORE","B","16","NO_ELIGIBLE_DATA","YES","Approved | ATTEST | IN WITNESS WHEREOF","","0","0","NO_ELIGIBLE_REASON: signature blocks, tax-identification fields, and execution fields are excluded from scope"
"2026-08-22.2","SRC612","9aaf853a1b3ceefddf659360e76652dacf8b306e7676e9b9b5350737b1c5f921","LPA","05-fund-legal-docs","CORE","B","17","NO_ELIGIBLE_DATA","YES","Approved | ATTEST | IN WITNESS WHEREOF","","0","0","NO_ELIGIBLE_REASON: signature blocks, tax-identification fields, and execution fields are excluded from scope"
"2026-08-22.2","SRC612","9aaf853a1b3ceefddf659360e76652dacf8b306e7676e9b9b5350737b1c5f921","LPA","05-fund-legal-docs","CORE","B","18","NO_ELIGIBLE_DATA","YES","Approved | ATTEST | IN WITNESS WHEREOF","","0","0","NO_ELIGIBLE_REASON: signature blocks, tax-identification fields, and execution fields are excluded from scope"
"2026-08-22.2","SRC612","9aaf853a1b3ceefddf659360e76652dacf8b306e7676e9b9b5350737b1c5f921","LPA","05-fund-legal-docs","CORE","B","19","NO_ELIGIBLE_DATA","YES","Statement of Investment Policy","","0","0","NO_ELIGIBLE_REASON: investment-policy cover and adoption/amendment dates are outside the allowed LPA term categories"
"2026-08-22.2","SRC612","9aaf853a1b3ceefddf659360e76652dacf8b306e7676e9b9b5350737b1c5f921","LPA","05-fund-legal-docs","CORE","B","20","NO_ELIGIBLE_DATA","YES","Statement of Investment Policy","","0","0","NO_ELIGIBLE_REASON: investment-policy contents page contains headings only and no permitted LPA legal term or operative provision"
"2026-08-22.2","SRC612","9aaf853a1b3ceefddf659360e76652dacf8b306e7676e9b9b5350737b1c5f921","LPA","05-fund-legal-docs","CORE","B","21","NO_ELIGIBLE_DATA","YES","I. Introduction | II. Statement of Purpose of Investment Policy | III. Prudent Investor Standard","","0","0","NO_ELIGIBLE_REASON: policy purpose, investment objectives, liquidity, and prudent-investor-standard text are outside the allowed LPA term categories"
"2026-08-22.2","SRC612","9aaf853a1b3ceefddf659360e76652dacf8b306e7676e9b9b5350737b1c5f921","LPA","05-fund-legal-docs","CORE","B","22","NO_ELIGIBLE_DATA","YES","A. Board of Trustees | IV. Fiduciary Status, Duties, and Responsibilities of Board, Staff, Investment Advisors, Other Agents, and State Treasurer","","0","0","NO_ELIGIBLE_REASON: fiduciary-role, statutory-authority, and board-governance text is outside the allowed LPA term categories"
"2026-08-22.2","SRC612","9aaf853a1b3ceefddf659360e76652dacf8b306e7676e9b9b5350737b1c5f921","LPA","05-fund-legal-docs","CORE","B","23","ELIGIBLE_DATA_EXTRACTED","YES","A. Board of Trustees","legal_clause","2","2",""
"2026-08-22.2","SRC612","9aaf853a1b3ceefddf659360e76652dacf8b306e7676e9b9b5350737b1c5f921","LPA","05-fund-legal-docs","CORE","B","24","NO_ELIGIBLE_DATA","YES","B. State Employees' Retirement Board Staff | C. Chief Audit Executive | D. Investment Advisors","","0","0","NO_ELIGIBLE_REASON: staff, audit, and advisor-role descriptions contain no bounded term in the allowed LPA categories"
"2026-08-22.2","SRC612","9aaf853a1b3ceefddf659360e76652dacf8b306e7676e9b9b5350737b1c5f921","LPA","05-fund-legal-docs","CORE","B","25","ELIGIBLE_DATA_EXTRACTED","YES","D. Investment Advisors","legal_clause","1","1",""
"2026-08-22.2","SRC612","9aaf853a1b3ceefddf659360e76652dacf8b306e7676e9b9b5350737b1c5f921","LPA","05-fund-legal-docs","CORE","B","26","ELIGIBLE_DATA_EXTRACTED","YES","E. General Investment Consultant | F. Alternative Investment Consultant","legal_term","2","2",""
"2026-08-22.2","SRC612","9aaf853a1b3ceefddf659360e76652dacf8b306e7676e9b9b5350737b1c5f921","LPA","05-fund-legal-docs","CORE","B","27","ELIGIBLE_DATA_EXTRACTED","YES","H. Portfolio Evaluation Advisor","legal_term","1","1",""
"2026-08-22.2","SRC612","9aaf853a1b3ceefddf659360e76652dacf8b306e7676e9b9b5350737b1c5f921","LPA","05-fund-legal-docs","CORE","B","28","NO_ELIGIBLE_DATA","YES","V. Investment Objectives | VI. Investment Guidelines","","0","0","NO_ELIGIBLE_REASON: investment objectives, horizons, asset allocation, strategy, and liquidity text are outside the allowed LPA term categories"
"2026-08-22.2","SRC612","9aaf853a1b3ceefddf659360e76652dacf8b306e7676e9b9b5350737b1c5f921","LPA","05-fund-legal-docs","CORE","B","29","ELIGIBLE_DATA_EXTRACTED","YES","VI. Investment Guidelines","legal_term","1","1",""
"2026-08-22.2","SRC612","9aaf853a1b3ceefddf659360e76652dacf8b306e7676e9b9b5350737b1c5f921","LPA","05-fund-legal-docs","CORE","B","30","NO_ELIGIBLE_DATA","YES","IX. Corporate Governance Standards | VII. Prohibited Transactions | VIII. Investment Advisor Evaluations","","0","0","NO_ELIGIBLE_REASON: prohibited-transactions, advisor-evaluation, and corporate-governance text is outside the allowed LPA term categories"
"2026-08-22.2","SRC612","9aaf853a1b3ceefddf659360e76652dacf8b306e7676e9b9b5350737b1c5f921","LPA","05-fund-legal-docs","CORE","B","31","ELIGIBLE_DATA_EXTRACTED","YES","A. Proxy Voting Procedures","legal_clause","2","2",""
"2026-08-22.2","SRC612","9aaf853a1b3ceefddf659360e76652dacf8b306e7676e9b9b5350737b1c5f921","LPA","05-fund-legal-docs","CORE","B","32","NO_ELIGIBLE_DATA","YES","XI. Public Access to Records | XII. Procedures for Amending this Policy Statement","","0","0","NO_ELIGIBLE_REASON: public-records access and policy-amendment procedures are outside the allowed LPA term categories"
