"contract_version","file_id","source_sha256","canonical_doc_type","route","product_tier","agent_role","record_family","source_page","source_structure_type","source_section","source_table","source_row_label","source_column_label","source_occurrence","subject_type","subject_name","asset_class","strategy","geography","manager_name","investor_name","portfolio_name","vintage_year","period_start","period_end","as_of_date","horizon","currency_scale","metric_category","metric_name","metric_value_raw","unit","term_category","text_raw","basis_raw","condition_raw","evidence_quote","evidence_class","notes","source_agents","adjudication_status"
"2026-08-22.2","SRC132","21face6058046d49fc7005fb8a2e7b63f7bf95ffb0e72cf05abbb350733d2e6d","Valuation","06-statements-and-economics","CORE","B","document_context","1","DOCUMENT","","Our Institutional Valuation Methodology","DOCUMENT","","1","document","JLL Income Property Trust","","","","","","","","","","","","","","","","","","","","","Our Institutional Valuation Methodology","actual","","",""
"2026-08-22.2","SRC132","21face6058046d49fc7005fb8a2e7b63f7bf95ffb0e72cf05abbb350733d2e6d","Valuation","06-statements-and-economics","CORE","B","valuation_observation","1","NARRATIVE","FREQUENT REVALUATIONS","FREQUENT REVALUATIONS","NAV calculation frequency","","1","fund","JLL Income Property Trust","","","","","","","","","","","","","frequency","NAV calculation frequency","daily","","","","","","JLL Income Property Trust is a daily NAV REIT,","actual","","",""
"2026-08-22.2","SRC132","21face6058046d49fc7005fb8a2e7b63f7bf95ffb0e72cf05abbb350733d2e6d","Valuation","06-statements-and-economics","CORE","B","valuation_observation","1","NARRATIVE","FREQUENT REVALUATIONS","FREQUENT REVALUATIONS","NAV sponsor frequency","","1","other_printed_scope","NAV sponsors","","","","","","","","","","","","","frequency","NAV sponsor frequency","monthly basis","","","","","","Unlike many NAV sponsors that calculate their NAV on a","actual","","",""
"2026-08-22.2","SRC132","21face6058046d49fc7005fb8a2e7b63f7bf95ffb0e72cf05abbb350733d2e6d","Valuation","06-statements-and-economics","CORE","B","valuation_observation","1","NARRATIVE","FREQUENT REVALUATIONS","FREQUENT REVALUATIONS","Peer NAV frequency","","1","other_printed_scope","monthly NAV REIT peers","","","","","","","","","","","","","frequency","Peer NAV frequency","12 times per year","","","","","","just 12 times per year, and likewise only accept purchases or","actual","","",""
"2026-08-22.2","SRC132","21face6058046d49fc7005fb8a2e7b63f7bf95ffb0e72cf05abbb350733d2e6d","Valuation","06-statements-and-economics","CORE","B","valuation_observation","1","NARRATIVE","INSTITUTIONAL METHODOLOGY","INSTITUTIONAL METHODOLOGY","Board of directors","","1","fund","JLL Income Property Trust","","","","","","","","","","","","","oversight","Board of directors","JLL Income Property Trust’s board of directors, including a","","","","","","JLL Income Property Trust’s board of directors, including a","actual","","",""
"2026-08-22.2","SRC132","21face6058046d49fc7005fb8a2e7b63f7bf95ffb0e72cf05abbb350733d2e6d","Valuation","06-statements-and-economics","CORE","B","valuation_observation","1","NARRATIVE","INSTITUTIONAL METHODOLOGY","INSTITUTIONAL METHODOLOGY","Independent valuation advisor","","1","service_provider","independent valuation advisor","","","","","","","","","","","","","valuer","Independent valuation advisor","our independent valuation advisor","","","","","","advisor and, with respect to the valuation of our properties, our independent valuation advisor.","actual","","",""
"2026-08-22.2","SRC132","21face6058046d49fc7005fb8a2e7b63f7bf95ffb0e72cf05abbb350733d2e6d","Valuation","06-statements-and-economics","CORE","B","valuation_observation","1","NARRATIVE","INSTITUTIONAL METHODOLOGY","INSTITUTIONAL METHODOLOGY","Valuation principle","","1","fund","JLL Income Property Trust","","","","","","","","","","","","","method","Valuation principle","valuation that represents a fair and accurate estimate of the","","","","","","valuation that represents a fair and accurate estimate of the","actual","","",""
"2026-08-22.2","SRC132","21face6058046d49fc7005fb8a2e7b63f7bf95ffb0e72cf05abbb350733d2e6d","Valuation","06-statements-and-economics","CORE","B","valuation_observation","1","NARRATIVE","Our Institutional Valuation Methodology","Our Institutional Valuation Methodology","Independent valuations","","1","fund","JLL Income Property Trust","","","","","","","","","","","","","independent_review","Independent valuations","independent valuations","","","","","","more frequent independent valuations guide the","actual","","",""
"2026-08-22.2","SRC132","21face6058046d49fc7005fb8a2e7b63f7bf95ffb0e72cf05abbb350733d2e6d","Valuation","06-statements-and-economics","CORE","B","valuation_observation","1","NARRATIVE","Our Institutional Valuation Methodology","Our Institutional Valuation Methodology","NAV per share","","1","fund","JLL Income Property Trust","","","","","","","","","","","","","method","NAV per share","the value of an investment fund’s assets less its liabilities, divided by the number of shares outstanding","","","","","","NAV per share is defined as the value of an investment fund’s assets less its liabilities, divided by the number of shares outstanding.","actual","","",""
"2026-08-22.2","SRC132","21face6058046d49fc7005fb8a2e7b63f7bf95ffb0e72cf05abbb350733d2e6d","Valuation","06-statements-and-economics","CORE","B","valuation_observation","2","NARRATIVE","APPRAISAL BASED METHODOLOGY — PROOF POINT","APPRAISAL BASED METHODOLOGY — PROOF POINT","Disposition count","","1","fund","JLL Income Property Trust","","","","","","","","","","","","","fair_value","Disposition count","50","properties","","","","","50 properties. Each of those arms-length dispositions closed","actual","","",""
