"contract_version","file_id","source_sha256","canonical_doc_type","route","product_tier","agent_role","source_page","page_status","layout_checked","source_structures","relevant_record_families","expected_observation_count","records_written","notes"
"2026-08-22.2","SRC407","42fd3fd5192cd82559b79a6adfdcdbf321ee96ab2925a30c3f3513e2aabdc3b6","Schedule_Inv","06-statements-and-economics","CORE","A","1","ELIGIBLE_DATA_EXTRACTED","YES","Consolidated Schedule of Investments","document_context | position_observation","108","108",""
"2026-08-22.2","SRC407","42fd3fd5192cd82559b79a6adfdcdbf321ee96ab2925a30c3f3513e2aabdc3b6","Schedule_Inv","06-statements-and-economics","CORE","A","2","ELIGIBLE_DATA_EXTRACTED","YES","Consolidated Schedule of Investments","position_observation","129","129",""
"2026-08-22.2","SRC407","42fd3fd5192cd82559b79a6adfdcdbf321ee96ab2925a30c3f3513e2aabdc3b6","Schedule_Inv","06-statements-and-economics","CORE","A","3","ELIGIBLE_DATA_EXTRACTED","YES","Consolidated Schedule of Investments","position_observation","125","125",""
"2026-08-22.2","SRC407","42fd3fd5192cd82559b79a6adfdcdbf321ee96ab2925a30c3f3513e2aabdc3b6","Schedule_Inv","06-statements-and-economics","CORE","A","4","ELIGIBLE_DATA_EXTRACTED","YES","Consolidated Schedule of Investments","position_observation","131","131",""
"2026-08-22.2","SRC407","42fd3fd5192cd82559b79a6adfdcdbf321ee96ab2925a30c3f3513e2aabdc3b6","Schedule_Inv","06-statements-and-economics","CORE","A","5","ELIGIBLE_DATA_EXTRACTED","YES","Consolidated Schedule of Investments","position_observation","125","125",""
"2026-08-22.2","SRC407","42fd3fd5192cd82559b79a6adfdcdbf321ee96ab2925a30c3f3513e2aabdc3b6","Schedule_Inv","06-statements-and-economics","CORE","A","6","ELIGIBLE_DATA_EXTRACTED","YES","Consolidated Schedule of Investments","position_observation","128","128",""
"2026-08-22.2","SRC407","42fd3fd5192cd82559b79a6adfdcdbf321ee96ab2925a30c3f3513e2aabdc3b6","Schedule_Inv","06-statements-and-economics","CORE","A","7","ELIGIBLE_DATA_EXTRACTED","YES","Consolidated Schedule of Investments","position_observation","35","35","Page closes out Secondary Investments (3 positions plus Total Secondary/Total Private Equity Investments), then Short-Term Investments/Money Market Funds (single Fair Value column per fund plus an embedded annualized-yield figure extracted as interest_rate), then Total Investments (its inline Cost figure extracted as its own cost record), then the two open-derivative tables. Liabilities in Excess of Other Assets and Net Assets are excluded: neither is a position/holding and no position_observation category covers a NAV or balance-sheet plug. Exercise Price on the Open Equity Forward Contracts is excluded: no category covers a strike/exercise price."
"2026-08-22.2","SRC407","42fd3fd5192cd82559b79a6adfdcdbf321ee96ab2925a30c3f3513e2aabdc3b6","Schedule_Inv","06-statements-and-economics","CORE","A","8","NO_ELIGIBLE_DATA","YES","","","0","0","NO_ELIGIBLE_REASON: Notes to Financial Statements narrative (Organization, Summary of Significant Accounting Policies, Valuation of Investments methodology). Describes how the Fund values investments in general terms; states no per-position quantity, cost, fair value, or other position_observation category fact of its own."
"2026-08-22.2","SRC407","42fd3fd5192cd82559b79a6adfdcdbf321ee96ab2925a30c3f3513e2aabdc3b6","Schedule_Inv","06-statements-and-economics","CORE","A","9","NO_ELIGIBLE_DATA","YES","","","0","0","NO_ELIGIBLE_REASON: Notes to Financial Statements narrative (Cash, Short-term Investments accounting policy, realized/unrealized gain recognition, foreign currency forward contract accounting policy). The dollar figures stated ($(18,281,482) net realized depreciation, $1,518,309 unrealized appreciation change) are realized/unrealized gain-and-loss figures; no category in this document type's position_observation list covers realized or unrealized gain/loss, and the $1,518,309 figure itself is already captured as the forward contract's fair_value on page 7."
"2026-08-22.2","SRC407","42fd3fd5192cd82559b79a6adfdcdbf321ee96ab2925a30c3f3513e2aabdc3b6","Schedule_Inv","06-statements-and-economics","CORE","A","10","NO_ELIGIBLE_DATA","YES","","","0","0","NO_ELIGIBLE_REASON: Notes to Financial Statements narrative (Equity Forward Contracts accounting policy, Fair Value Disclosures / ASC 820 Level 1-2-3 hierarchy definitions). States realized/unrealized gain figures for the equity forward contract, not a position_observation category; the Level 1/2/3 definitions here are narrative explanation, with the actual dollar breakdown by level appearing as its own table on page 11."
"2026-08-22.2","SRC407","42fd3fd5192cd82559b79a6adfdcdbf321ee96ab2925a30c3f3513e2aabdc3b6","Schedule_Inv","06-statements-and-economics","CORE","A","11","ELIGIBLE_DATA_EXTRACTED","YES","UNTITLED_TABLE_1","position_observation","13","13","Fair value hierarchy summary table (no printed caption above it, only an introductory sentence, hence UNTITLED_TABLE_1); leaf column headers reconstructed from the three stacked header lines (Level 2 - Other / Level 1 - Unadjusted Significant Observable / Investments in Securities at Value Quoted Prices Inputs Level 3 - Significant Unobservable Inputs Total). Every row's own printed label maps to fair_value: this table exists specifically to break fair value down by hierarchy level, so no other position_observation category applies here. Dash cells (Level 1/3 columns for the two forward contracts, Level 2/3 for Money Market Funds and Total Investments in Securities) are not extracted."
