"pair_id","decision","reason","contract_version","file_id","source_sha256","canonical_doc_type","route","product_tier","agent_role","record_family","source_page","source_structure_type","source_section","source_table","source_row_label","source_column_label","source_occurrence","subject_type","subject_name","asset_class","strategy","geography","manager_name","investor_name","portfolio_name","vintage_year","period_start","period_end","as_of_date","horizon","currency_scale","metric_category","metric_name","metric_value_raw","unit","term_category","text_raw","basis_raw","condition_raw","evidence_quote","evidence_class","notes","source_agents","adjudication_status"
"PAIR_C7848C6ADBAFF39FE518859C","MERGE","subject is the limited partner: the page is headed 'Limited Partner: Northumberland County Council' and every figure is that partner's capital account, so naming the fund as subject would state the partner's balance as the fund's. currency_scale '$': the page prints the symbol on the capital and commitment lines and it governs every figure in the column. Both lanes left it blank on every row. source_section blanked on page 1: Contributions, Income (loss) analysis and Distributions are group headings inside the table, which the placement rule keeps out of source_section, and the only heading above the table is the statement's own title, already carried by source_table. horizon is the printed period qualifier from the stacked column header (1st Quarter 2017 / Year-to-Date / Inception-to-Date); B put the period end date there, which is a date and not a period. period_end is the printed March 31, 2017 that closes every column; A left it blank.","2026-08-22.2","SRC462","781662bf1c5ba4799d5da223c17c18d29a6a475934548a84c926ba38be788feb","PCAP","06-statements-and-economics","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","","Statement of Partner’s Capital Account","Beginning capital","1st Quarter 2017","1","investor","Northumberland County Council","","","","","","","","","March 31, 2017","","1st Quarter 2017","$","beginning_capital","Beginning capital","$40,153,120","","","","","","Beginning capital $ 40,153,120 $ 40,153,120 $ -","actual","","",""
"PAIR_10B8972556348426D3012E3A","MERGE","subject is the limited partner: the page is headed 'Limited Partner: Northumberland County Council' and every figure is that partner's capital account, so naming the fund as subject would state the partner's balance as the fund's. currency_scale '$': the page prints the symbol on the capital and commitment lines and it governs every figure in the column. Both lanes left it blank on every row. source_section blanked on page 1: Contributions, Income (loss) analysis and Distributions are group headings inside the table, which the placement rule keeps out of source_section, and the only heading above the table is the statement's own title, already carried by source_table. horizon is the printed period qualifier from the stacked column header (1st Quarter 2017 / Year-to-Date / Inception-to-Date); B put the period end date there, which is a date and not a period. period_end is the printed March 31, 2017 that closes every column; A left it blank.","2026-08-22.2","SRC462","781662bf1c5ba4799d5da223c17c18d29a6a475934548a84c926ba38be788feb","PCAP","06-statements-and-economics","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","","Statement of Partner’s Capital Account","Beginning capital","Year-to-Date March 31, 2017","1","investor","Northumberland County Council","","","","","","","","","March 31, 2017","","Year-to-Date","$","beginning_capital","Beginning capital","$40,153,120","","","","","","Beginning capital $ 40,153,120 $ 40,153,120 $ -","actual","","",""
"PAIR_C00838561BAC2F6CE00F1D11","MERGE","subject is the limited partner: the page is headed 'Limited Partner: Northumberland County Council' and every figure is that partner's capital account, so naming the fund as subject would state the partner's balance as the fund's. currency_scale '$': the page prints the symbol on the capital and commitment lines and it governs every figure in the column. Both lanes left it blank on every row. source_section blanked on page 1: Contributions, Income (loss) analysis and Distributions are group headings inside the table, which the placement rule keeps out of source_section, and the only heading above the table is the statement's own title, already carried by source_table. horizon is the printed period qualifier from the stacked column header (1st Quarter 2017 / Year-to-Date / Inception-to-Date); B put the period end date there, which is a date and not a period. period_end is the printed March 31, 2017 that closes every column; A left it blank.","2026-08-22.2","SRC462","781662bf1c5ba4799d5da223c17c18d29a6a475934548a84c926ba38be788feb","PCAP","06-statements-and-economics","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","","Statement of Partner’s Capital Account","Cash proceeds","1st Quarter 2017","1","investor","Northumberland County Council","","","","","","","","","March 31, 2017","","1st Quarter 2017","$","distribution","Cash proceeds","(82,258)","","","","","","Cash proceeds (82,258) (82,258) (18,024,049)","actual","","",""
"PAIR_B6180687C5E7A8FEF15F1FCC","MERGE","subject is the limited partner: the page is headed 'Limited Partner: Northumberland County Council' and every figure is that partner's capital account, so naming the fund as subject would state the partner's balance as the fund's. currency_scale '$': the page prints the symbol on the capital and commitment lines and it governs every figure in the column. Both lanes left it blank on every row. source_section blanked on page 1: Contributions, Income (loss) analysis and Distributions are group headings inside the table, which the placement rule keeps out of source_section, and the only heading above the table is the statement's own title, already carried by source_table. horizon is the printed period qualifier from the stacked column header (1st Quarter 2017 / Year-to-Date / Inception-to-Date); B put the period end date there, which is a date and not a period. period_end is the printed March 31, 2017 that closes every column; A left it blank.","2026-08-22.2","SRC462","781662bf1c5ba4799d5da223c17c18d29a6a475934548a84c926ba38be788feb","PCAP","06-statements-and-economics","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","","Statement of Partner’s Capital Account","Cash proceeds","Inception-to-Date March 31, 2017","1","investor","Northumberland County Council","","","","","","","","","March 31, 2017","","Inception-to-Date","$","distribution","Cash proceeds","(18,024,049)","","","","","","Cash proceeds (82,258) (82,258) (18,024,049)","actual","","",""
"PAIR_0A5B71FC0DEABB6AE5404CDB","MERGE","subject is the limited partner: the page is headed 'Limited Partner: Northumberland County Council' and every figure is that partner's capital account, so naming the fund as subject would state the partner's balance as the fund's. currency_scale '$': the page prints the symbol on the capital and commitment lines and it governs every figure in the column. Both lanes left it blank on every row. source_section blanked on page 1: Contributions, Income (loss) analysis and Distributions are group headings inside the table, which the placement rule keeps out of source_section, and the only heading above the table is the statement's own title, already carried by source_table. horizon is the printed period qualifier from the stacked column header (1st Quarter 2017 / Year-to-Date / Inception-to-Date); B put the period end date there, which is a date and not a period. period_end is the printed March 31, 2017 that closes every column; A left it blank.","2026-08-22.2","SRC462","781662bf1c5ba4799d5da223c17c18d29a6a475934548a84c926ba38be788feb","PCAP","06-statements-and-economics","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","","Statement of Partner’s Capital Account","Cash proceeds","Year-to-Date March 31, 2017","1","investor","Northumberland County Council","","","","","","","","","March 31, 2017","","Year-to-Date","$","distribution","Cash proceeds","(82,258)","","","","","","Cash proceeds (82,258) (82,258) (18,024,049)","actual","","",""
"PAIR_6CDE94ED5A85BE66614BB7FE","MERGE","subject is the limited partner: the page is headed 'Limited Partner: Northumberland County Council' and every figure is that partner's capital account, so naming the fund as subject would state the partner's balance as the fund's. currency_scale '$': the page prints the symbol on the capital and commitment lines and it governs every figure in the column. Both lanes left it blank on every row. source_section blanked on page 1: Contributions, Income (loss) analysis and Distributions are group headings inside the table, which the placement rule keeps out of source_section, and the only heading above the table is the statement's own title, already carried by source_table. horizon is the printed period qualifier from the stacked column header (1st Quarter 2017 / Year-to-Date / Inception-to-Date); B put the period end date there, which is a date and not a period. period_end is the printed March 31, 2017 that closes every column; A left it blank. B_ONLY confirmed against page-001.png: the cell is printed and the tax charge reduces the partner's capital; A skipped all nine tax cells.","2026-08-22.2","SRC462","781662bf1c5ba4799d5da223c17c18d29a6a475934548a84c926ba38be788feb","PCAP","06-statements-and-economics","CORE","ADJUDICATED","cash_flow_observation","1","TABLE","","Statement of Partner’s Capital Account","Current income tax expense","Inception-to-Date March 31, 2017","1","investor","Northumberland County Council","","","","","","","","","March 31, 2017","","Inception-to-Date","$","expense","Current income tax expense","(2,758,235)","","","","","","Current income tax expense (55,321) (55,321) (2,758,235)","actual","","",""
"PAIR_AA4267583B7F1FF9FA8E7821","MERGE","subject is the limited partner: the page is headed 'Limited Partner: Northumberland County Council' and every figure is that partner's capital account, so naming the fund as subject would state the partner's balance as the fund's. currency_scale '$': the page prints the symbol on the capital and commitment lines and it governs every figure in the column. Both lanes left it blank on every row. source_section blanked on page 1: Contributions, Income (loss) analysis and Distributions are group headings inside the table, which the placement rule keeps out of source_section, and the only heading above the table is the statement's own title, already carried by source_table. horizon is the printed period qualifier from the stacked column header (1st Quarter 2017 / Year-to-Date / Inception-to-Date); B put the period end date there, which is a date and not a period. period_end is the printed March 31, 2017 that closes every column; A left it blank. source_column_label corrected to the printed header '1st Quarter 2017'; B labelled this cell 'Year-to-Date 1st Quarter 2017', which is two column headers run together. B_ONLY confirmed against page-001.png: the cell is printed and the tax charge reduces the partner's capital; A skipped all nine tax cells.","2026-08-22.2","SRC462","781662bf1c5ba4799d5da223c17c18d29a6a475934548a84c926ba38be788feb","PCAP","06-statements-and-economics","CORE","ADJUDICATED","cash_flow_observation","1","TABLE","","Statement of Partner’s Capital Account","Current income tax expense","1st Quarter 2017","1","investor","Northumberland County Council","","","","","","","","","March 31, 2017","","1st Quarter 2017","$","expense","Current income tax expense","(55,321)","","","","","","Current income tax expense (55,321) (55,321) (2,758,235)","actual","","",""
"PAIR_7D379D41404455AB0D00A92D","MERGE","subject is the limited partner: the page is headed 'Limited Partner: Northumberland County Council' and every figure is that partner's capital account, so naming the fund as subject would state the partner's balance as the fund's. currency_scale '$': the page prints the symbol on the capital and commitment lines and it governs every figure in the column. Both lanes left it blank on every row. source_section blanked on page 1: Contributions, Income (loss) analysis and Distributions are group headings inside the table, which the placement rule keeps out of source_section, and the only heading above the table is the statement's own title, already carried by source_table. horizon is the printed period qualifier from the stacked column header (1st Quarter 2017 / Year-to-Date / Inception-to-Date); B put the period end date there, which is a date and not a period. period_end is the printed March 31, 2017 that closes every column; A left it blank. B_ONLY confirmed against page-001.png: the cell is printed and the tax charge reduces the partner's capital; A skipped all nine tax cells.","2026-08-22.2","SRC462","781662bf1c5ba4799d5da223c17c18d29a6a475934548a84c926ba38be788feb","PCAP","06-statements-and-economics","CORE","ADJUDICATED","cash_flow_observation","1","TABLE","","Statement of Partner’s Capital Account","Current income tax expense","Year-to-Date March 31, 2017","1","investor","Northumberland County Council","","","","","","","","","March 31, 2017","","Year-to-Date","$","expense","Current income tax expense","(55,321)","","","","","","Current income tax expense (55,321) (55,321) (2,758,235)","actual","","",""
"PAIR_95CE4873255A856B78AD6B61","MERGE","subject is the limited partner: the page is headed 'Limited Partner: Northumberland County Council' and every figure is that partner's capital account, so naming the fund as subject would state the partner's balance as the fund's. currency_scale '$': the page prints the symbol on the capital and commitment lines and it governs every figure in the column. Both lanes left it blank on every row. source_section blanked on page 1: Contributions, Income (loss) analysis and Distributions are group headings inside the table, which the placement rule keeps out of source_section, and the only heading above the table is the statement's own title, already carried by source_table. horizon is the printed period qualifier from the stacked column header (1st Quarter 2017 / Year-to-Date / Inception-to-Date); B put the period end date there, which is a date and not a period. period_end is the printed March 31, 2017 that closes every column; A left it blank. B_ONLY confirmed against page-001.png: the cell is printed and the tax charge reduces the partner's capital; A skipped all nine tax cells.","2026-08-22.2","SRC462","781662bf1c5ba4799d5da223c17c18d29a6a475934548a84c926ba38be788feb","PCAP","06-statements-and-economics","CORE","ADJUDICATED","cash_flow_observation","1","TABLE","","Statement of Partner’s Capital Account","Deferred income tax benefit (expense)","Inception-to-Date March 31, 2017","1","investor","Northumberland County Council","","","","","","","","","March 31, 2017","","Inception-to-Date","$","expense","Deferred income tax benefit (expense)","(49,571)","","","","","","Deferred income tax benefit (expense) (235,132) (235,132) (49,571)","actual","","",""
"PAIR_5136300E6A978F1EA7B6D615","MERGE","subject is the limited partner: the page is headed 'Limited Partner: Northumberland County Council' and every figure is that partner's capital account, so naming the fund as subject would state the partner's balance as the fund's. currency_scale '$': the page prints the symbol on the capital and commitment lines and it governs every figure in the column. Both lanes left it blank on every row. source_section blanked on page 1: Contributions, Income (loss) analysis and Distributions are group headings inside the table, which the placement rule keeps out of source_section, and the only heading above the table is the statement's own title, already carried by source_table. horizon is the printed period qualifier from the stacked column header (1st Quarter 2017 / Year-to-Date / Inception-to-Date); B put the period end date there, which is a date and not a period. period_end is the printed March 31, 2017 that closes every column; A left it blank. source_column_label corrected to the printed header '1st Quarter 2017'; B labelled this cell 'Year-to-Date 1st Quarter 2017', which is two column headers run together. B_ONLY confirmed against page-001.png: the cell is printed and the tax charge reduces the partner's capital; A skipped all nine tax cells.","2026-08-22.2","SRC462","781662bf1c5ba4799d5da223c17c18d29a6a475934548a84c926ba38be788feb","PCAP","06-statements-and-economics","CORE","ADJUDICATED","cash_flow_observation","1","TABLE","","Statement of Partner’s Capital Account","Deferred income tax benefit (expense)","1st Quarter 2017","1","investor","Northumberland County Council","","","","","","","","","March 31, 2017","","1st Quarter 2017","$","expense","Deferred income tax benefit (expense)","(235,132)","","","","","","Deferred income tax benefit (expense) (235,132) (235,132) (49,571)","actual","","",""
