"contract_version","file_id","source_sha256","canonical_doc_type","route","product_tier","agent_role","source_page","page_status","layout_checked","source_structures","relevant_record_families","expected_observation_count","records_written","notes"
"2026-08-22.2","SRC151","5cc8128360b5ed8c4cc0ad7d9f9b52cb19de87d105ed8a745ffd0db6e53373e3","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","B","1","NO_ELIGIBLE_DATA","YES","2017 PROXY SEASON REVIEW & 2018 PREVIEW","","0","0","NO_ELIGIBLE_REASON: cover title and presenter identification, with no bounded stewardship metric or separately headed operative stewardship policy statement"
"2026-08-22.2","SRC151","5cc8128360b5ed8c4cc0ad7d9f9b52cb19de87d105ed8a745ffd0db6e53373e3","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","B","2","NO_ELIGIBLE_DATA","YES","2017 Proxy Season Review | 2018 Proxy Season Preview | AGENDA | Glass Lewis | Questions & Follow Up","","0","0","NO_ELIGIBLE_REASON: agenda headings only, with no populated stewardship observation or operative policy statement"
"2026-08-22.2","SRC151","5cc8128360b5ed8c4cc0ad7d9f9b52cb19de87d105ed8a745ffd0db6e53373e3","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","B","3","ELIGIBLE_DATA_EXTRACTED","YES","DOCUMENT | Glass Lewis clients | Research and policy | What we do","document_context | stewardship_observation | stewardship_policy","8","8","Client coverage, client assets, recommendation coverage, and two named voting-policy statements extracted"
"2026-08-22.2","SRC151","5cc8128360b5ed8c4cc0ad7d9f9b52cb19de87d105ed8a745ffd0db6e53373e3","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","B","4","ELIGIBLE_DATA_EXTRACTED","YES","Emphasis on Investor Stewardship | Engagement is a growing focus for investors","stewardship_observation | stewardship_policy","5","5","Two bounded engagement counts and three investor-stewardship policy provisions extracted"
"2026-08-22.2","SRC151","5cc8128360b5ed8c4cc0ad7d9f9b52cb19de87d105ed8a745ffd0db6e53373e3","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","B","5","NO_ELIGIBLE_DATA","YES","ISG FOUNDING SIGNATORIES","","0","0","NO_ELIGIBLE_REASON: signatory logos and names, with no bounded stewardship metric or operative policy statement"
"2026-08-22.2","SRC151","5cc8128360b5ed8c4cc0ad7d9f9b52cb19de87d105ed8a745ffd0db6e53373e3","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","B","6","NO_ELIGIBLE_DATA","YES","2017 PROXY SEASON REVIEW","","0","0","NO_ELIGIBLE_REASON: section divider only, with no populated stewardship observation or operative policy statement"
"2026-08-22.2","SRC151","5cc8128360b5ed8c4cc0ad7d9f9b52cb19de87d105ed8a745ffd0db6e53373e3","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","B","7","ELIGIBLE_DATA_EXTRACTED","YES","2017 SHAREHOLDER PROPOSALS BY CATEGORY","stewardship_observation","5","5","Five shareholder-proposal category proportions transcribed from the figure PNG"
"2026-08-22.2","SRC151","5cc8128360b5ed8c4cc0ad7d9f9b52cb19de87d105ed8a745ffd0db6e53373e3","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","B","8","ELIGIBLE_DATA_EXTRACTED","YES","Focus on Climate Disclosure | Significant decline in compensation-related proposals","stewardship_observation","3","3","Three bounded shareholder-proposal counts extracted; unquantified climate and proxy-access narration excluded"
"2026-08-22.2","SRC151","5cc8128360b5ed8c4cc0ad7d9f9b52cb19de87d105ed8a745ffd0db6e53373e3","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","B","9","ELIGIBLE_DATA_EXTRACTED","YES","NYC Comptroller’s Board Accountability Project 2.0","stewardship_observation","1","1","Bounded disclosure-request engagement count extracted"
"2026-08-22.2","SRC151","5cc8128360b5ed8c4cc0ad7d9f9b52cb19de87d105ed8a745ffd0db6e53373e3","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","B","10","ELIGIBLE_DATA_EXTRACTED","YES","DRIVERS OF MAJORITY OPPOSITION TO DIRECTORS | Vote Results","stewardship_observation","14","14","Eight figure proportions and six director-election vote-result observations extracted"
"2026-08-22.2","SRC151","5cc8128360b5ed8c4cc0ad7d9f9b52cb19de87d105ed8a745ffd0db6e53373e3","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","B","11","ELIGIBLE_DATA_EXTRACTED","YES","A WELLS FARGO WAKE UP CALL! | Shareholder support for Wells Fargo board wanes","stewardship_observation","25","25","One bounded director-change count and 24 vote-support figure cells extracted from the PNG"
"2026-08-22.2","SRC151","5cc8128360b5ed8c4cc0ad7d9f9b52cb19de87d105ed8a745ffd0db6e53373e3","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","B","12","ELIGIBLE_DATA_EXTRACTED","YES","High volume SOP year | Other Compensation Proposals | Say on Pay Votes in 2017","stewardship_observation","8","8","All bounded SOP support, proposal-count, target, and failed-vote observations extracted"
"2026-08-22.2","SRC151","5cc8128360b5ed8c4cc0ad7d9f9b52cb19de87d105ed8a745ffd0db6e53373e3","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","B","13","ELIGIBLE_DATA_EXTRACTED","YES","SAY ON PAY - TOP 10 ISSUES FOR AN AGAINST REC IN 2017","stewardship_observation","10","10","All ten populated issue-proportion cells extracted from the table"
"2026-08-22.2","SRC151","5cc8128360b5ed8c4cc0ad7d9f9b52cb19de87d105ed8a745ffd0db6e53373e3","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","B","14","NO_ELIGIBLE_DATA","YES","2018 PROXY SEASON PREVIEW","","0","0","NO_ELIGIBLE_REASON: section divider only, with no populated stewardship observation or operative policy statement"
"2026-08-22.2","SRC151","5cc8128360b5ed8c4cc0ad7d9f9b52cb19de87d105ed8a745ffd0db6e53373e3","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","B","15","NO_ELIGIBLE_DATA","YES","2018 PROXY SEASON KEY TOPICS | Activism | Director Elections | Dual-Class Share Structures | Executive Compensation | Shareholder Proposals","","0","0","NO_ELIGIBLE_REASON: qualitative preview topics and issue headings, with no bounded stewardship metric or operative policy statement"
"2026-08-22.2","SRC151","5cc8128360b5ed8c4cc0ad7d9f9b52cb19de87d105ed8a745ffd0db6e53373e3","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","B","16","NO_ELIGIBLE_DATA","YES","GLASS LEWIS POLICY DEVELOPMENT","","0","0","NO_ELIGIBLE_REASON: policy-development inputs and process diagram, without a separately headed operative policy provision or bounded stewardship metric"
"2026-08-22.2","SRC151","5cc8128360b5ed8c4cc0ad7d9f9b52cb19de87d105ed8a745ffd0db6e53373e3","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","B","17","ELIGIBLE_DATA_EXTRACTED","YES","Board Gender Diversity | Board Responsiveness | CEO Pay Ratio | Dual-Class Share Structures | Virtual Shareholder Meetings","stewardship_policy","6","6","Six separately headed US voting-guideline provisions extracted"
"2026-08-22.2","SRC151","5cc8128360b5ed8c4cc0ad7d9f9b52cb19de87d105ed8a745ffd0db6e53373e3","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","B","18","ELIGIBLE_DATA_EXTRACTED","YES","Board responsiveness | Dual-Class Share Structures | Election of directors | Executive Compensation","stewardship_policy","4","4","Four separately headed international voting-guideline provisions extracted"
"2026-08-22.2","SRC151","5cc8128360b5ed8c4cc0ad7d9f9b52cb19de87d105ed8a745ffd0db6e53373e3","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","B","19","NO_ELIGIBLE_DATA","YES","QUESTIONS & FOLLOW UP","","0","0","NO_ELIGIBLE_REASON: post-meeting contact detail, outside the allowed stewardship observation and policy categories"
