"pair_id","pair_status","requires_review","source_page","record_family","source_table","source_row_label","source_column_label","source_occurrence","metric_category","term_category","a_row_number","b_row_number","difference_fields"
"PAIR_CDD3E3B0A15B9433F62F6BEE","B_ONLY","YES","10","stewardship_observation","Vote Results","48 failed directors (37)","","1","vote_count","","","34",""
"PAIR_DF06C13C5EC781C74CE85DB0","B_ONLY","YES","10","stewardship_observation","Vote Results","48 failed directors (37)","","2","vote_count","","","35",""
"PAIR_6B04284A00299F50F4871435","B_ONLY","YES","10","stewardship_observation","DRIVERS OF MAJORITY OPPOSITION TO DIRECTORS","Attendance","","1","coverage","","","23",""
"PAIR_4AF0BAF0439EB8247DB7F119","CLASSIFICATION_CONFLICT","YES","10","stewardship_observation","Vote Results","Avg. Support","","1","score","","10","36","source_row_label|subject_type|subject_name|period_end"
"PAIR_CA3B1778982A233E4FEFC9EB","B_ONLY","YES","10","stewardship_observation","DRIVERS OF MAJORITY OPPOSITION TO DIRECTORS","Director Received Excessive Against Votes","","1","coverage","","","24",""
"PAIR_CEA7B5E3DC26C4618D143157","A_ONLY","YES","10","stewardship_observation","Vote Results","Failed directors","","1","vote_count","","11","",""
"PAIR_A9BD1BBA80A63649109AED33","A_ONLY","YES","10","stewardship_observation","Vote Results","Failed directors","","2","vote_count","","12","",""
"PAIR_A8573DF2DF29FC8F71D84C81","B_ONLY","YES","10","stewardship_observation","DRIVERS OF MAJORITY OPPOSITION TO DIRECTORS","Insider/Affiliate on a Committee","","1","coverage","","","25",""
"PAIR_547E1CDB37A8004BE4D99B7F","CLASSIFICATION_CONFLICT","YES","10","stewardship_observation","Vote Results","Made changes","","1","vote_count","","13","32","source_row_label|subject_type|subject_name|period_end|unit"
"PAIR_2E9152FAFB5B1D631461616A","B_ONLY","YES","10","stewardship_observation","DRIVERS OF MAJORITY OPPOSITION TO DIRECTORS","No Lead Director","","1","coverage","","","26",""
"PAIR_D94541B6172239A4C0A4C5A9","B_ONLY","YES","10","stewardship_observation","DRIVERS OF MAJORITY OPPOSITION TO DIRECTORS","Ongoing Compensation Concerns","","1","coverage","","","27",""
"PAIR_5EE4D38EAF58A3D53371C7B2","B_ONLY","YES","10","stewardship_observation","DRIVERS OF MAJORITY OPPOSITION TO DIRECTORS","Overboarding","","1","coverage","","","28",""
"PAIR_32D53257FC1785EEA8F20282","B_ONLY","YES","10","stewardship_observation","DRIVERS OF MAJORITY OPPOSITION TO DIRECTORS","Poison Pill","","1","coverage","","","29",""
"PAIR_02333439FF32800BBB33FEB1","CLASSIFICATION_CONFLICT","YES","10","stewardship_observation","Vote Results","Reappointed","","1","vote_count","","14","31","source_row_label|subject_type|subject_name|period_end|unit"
"PAIR_3719CC6C254F7F52AF07AFD6","CLASSIFICATION_CONFLICT","YES","10","stewardship_observation","Vote Results","Resigned","","1","vote_count","","15","33","source_row_label|subject_type|subject_name|period_end|unit"
"PAIR_EA91D5B227FD034AF77DC5A6","B_ONLY","YES","10","stewardship_observation","DRIVERS OF MAJORITY OPPOSITION TO DIRECTORS","SHP Not Implemented","","1","coverage","","","30",""
"PAIR_EFFA00E2B8B3899CD43EEEBB","B_ONLY","YES","11","stewardship_observation","Shareholder support for Wells Fargo board wanes","Cynthia H. Milligan (25 years)","2016 votes for","1","score","","","38",""
