"contract_version","file_id","source_sha256","canonical_doc_type","route","product_tier","agent_role","source_page","page_status","layout_checked","source_structures","relevant_record_families","expected_observation_count","records_written","notes"
"2026-08-22.2","SRC329","4f064e09a6d0e0b61d9ca94b0bb018d87e3d3c2a9b212c31463dd4f4b33d7150","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","A","1","NO_ELIGIBLE_DATA","YES","","","0","0","NO_ELIGIBLE_REASON: bare cover title page, no figures or policy statements"
"2026-08-22.2","SRC329","4f064e09a6d0e0b61d9ca94b0bb018d87e3d3c2a9b212c31463dd4f4b33d7150","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","A","2","NO_ELIGIBLE_DATA","YES","Introduction","","0","0","NO_ELIGIBLE_REASON: narrative introduction to the supplement, no bounded metric or headed policy statement"
"2026-08-22.2","SRC329","4f064e09a6d0e0b61d9ca94b0bb018d87e3d3c2a9b212c31463dd4f4b33d7150","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","A","3","NO_ELIGIBLE_DATA","YES","Corporate governance statement","","0","0","NO_ELIGIBLE_REASON: Wates Principles One narrative, no bounded metric or headed policy statement"
"2026-08-22.2","SRC329","4f064e09a6d0e0b61d9ca94b0bb018d87e3d3c2a9b212c31463dd4f4b33d7150","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","A","4","NO_ELIGIBLE_DATA","YES","Corporate governance statement","","0","0","NO_ELIGIBLE_REASON: Wates Principle Two board composition narrative, no bounded metric or headed policy statement"
"2026-08-22.2","SRC329","4f064e09a6d0e0b61d9ca94b0bb018d87e3d3c2a9b212c31463dd4f4b33d7150","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","A","5","NO_ELIGIBLE_DATA","YES","Corporate governance statement","","0","0","NO_ELIGIBLE_REASON: Wates Principles Three and Four narrative naming policies (conflicts of interest, whistleblowing, Corporate Governance Framework) inline without a separately headed policy statement"
"2026-08-22.2","SRC329","4f064e09a6d0e0b61d9ca94b0bb018d87e3d3c2a9b212c31463dd4f4b33d7150","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","A","6","NO_ELIGIBLE_DATA","YES","Corporate governance statement","","0","0","NO_ELIGIBLE_REASON: Wates Principles Five and Six narrative, no bounded metric or headed policy statement"
"2026-08-22.2","SRC329","4f064e09a6d0e0b61d9ca94b0bb018d87e3d3c2a9b212c31463dd4f4b33d7150","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","A","7","NO_ELIGIBLE_DATA","YES","Corporate governance statement","","0","0","NO_ELIGIBLE_REASON: stakeholder engagement narrative, no bounded metric in an allowed category"
"2026-08-22.2","SRC329","4f064e09a6d0e0b61d9ca94b0bb018d87e3d3c2a9b212c31463dd4f4b33d7150","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","A","8","NO_ELIGIBLE_DATA","YES","Group Audit and Risk Committee report","","0","0","NO_ELIGIBLE_REASON: committee narrative and membership list, no bounded metric in an allowed category"
"2026-08-22.2","SRC329","4f064e09a6d0e0b61d9ca94b0bb018d87e3d3c2a9b212c31463dd4f4b33d7150","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","A","9","NO_ELIGIBLE_DATA","YES","Group Audit and Risk Committee report","","0","0","NO_ELIGIBLE_REASON: committee narrative and membership list, no bounded metric in an allowed category"
"2026-08-22.2","SRC329","4f064e09a6d0e0b61d9ca94b0bb018d87e3d3c2a9b212c31463dd4f4b33d7150","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","A","10","NO_ELIGIBLE_DATA","YES","Governance and Nominations Committee report","","0","0","NO_ELIGIBLE_REASON: committee narrative, no bounded metric in an allowed category"
"2026-08-22.2","SRC329","4f064e09a6d0e0b61d9ca94b0bb018d87e3d3c2a9b212c31463dd4f4b33d7150","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","A","11","NO_ELIGIBLE_DATA","YES","Governance and Nominations Committee report","","0","0","NO_ELIGIBLE_REASON: committee narrative and membership list, no bounded metric in an allowed category"
"2026-08-22.2","SRC329","4f064e09a6d0e0b61d9ca94b0bb018d87e3d3c2a9b212c31463dd4f4b33d7150","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","A","12","NO_ELIGIBLE_DATA","YES","Investment Committee report","","0","0","NO_ELIGIBLE_REASON: committee narrative describing investment strategy activity, no bounded metric in an allowed category"
"2026-08-22.2","SRC329","4f064e09a6d0e0b61d9ca94b0bb018d87e3d3c2a9b212c31463dd4f4b33d7150","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","A","13","NO_ELIGIBLE_DATA","YES","Investment Committee report","","0","0","NO_ELIGIBLE_REASON: committee narrative and membership list, no bounded metric in an allowed category"
"2026-08-22.2","SRC329","4f064e09a6d0e0b61d9ca94b0bb018d87e3d3c2a9b212c31463dd4f4b33d7150","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","A","14","NO_ELIGIBLE_DATA","YES","Pensions Committee report","","0","0","NO_ELIGIBLE_REASON: committee narrative, no bounded metric in an allowed category"
"2026-08-22.2","SRC329","4f064e09a6d0e0b61d9ca94b0bb018d87e3d3c2a9b212c31463dd4f4b33d7150","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","A","15","ELIGIBLE_DATA_EXTRACTED","YES","Remuneration Committee report","document_context | stewardship_policy","7","7",""
"2026-08-22.2","SRC329","4f064e09a6d0e0b61d9ca94b0bb018d87e3d3c2a9b212c31463dd4f4b33d7150","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","A","16","NO_ELIGIBLE_DATA","YES","Remuneration Committee report","","0","0","NO_ELIGIBLE_REASON: committee narrative and membership list, no bounded metric in an allowed category; Material Risk Takers policy is an inline reference, not a separately headed policy statement"
"2026-08-22.2","SRC329","4f064e09a6d0e0b61d9ca94b0bb018d87e3d3c2a9b212c31463dd4f4b33d7150","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","A","17","NO_ELIGIBLE_DATA","YES","Advisory Committee report","","0","0","NO_ELIGIBLE_REASON: complaint, determination, and approval counts (24 complaints, seven TPO determinations, 42 approvals) do not map to a controlled category; the committee's meeting count is printed as the word seven, not a numeral, so it fails the metric_value_raw digit requirement; USS Augmentation policy is an inline reference, not a separately headed policy statement"
"2026-08-22.2","SRC329","4f064e09a6d0e0b61d9ca94b0bb018d87e3d3c2a9b212c31463dd4f4b33d7150","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","A","18","NO_ELIGIBLE_DATA","YES","Joint Negotiating Committee report","","0","0","NO_ELIGIBLE_REASON: committee activity narrative and membership list, no bounded metric in an allowed category; the JNC's meeting count is printed as the word seven, not a numeral, so it fails the metric_value_raw digit requirement"
