"contract_version","file_id","source_sha256","canonical_doc_type","route","product_tier","agent_role","record_family","source_page","source_structure_type","source_section","source_table","source_row_label","source_column_label","source_occurrence","subject_type","subject_name","asset_class","strategy","geography","manager_name","investor_name","portfolio_name","vintage_year","period_start","period_end","as_of_date","horizon","currency_scale","metric_category","metric_name","metric_value_raw","unit","term_category","text_raw","basis_raw","condition_raw","evidence_quote","evidence_class","notes","source_agents","adjudication_status"
"2026-08-22.2","SRC329","4f064e09a6d0e0b61d9ca94b0bb018d87e3d3c2a9b212c31463dd4f4b33d7150","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","ADJUDICATED","stewardship_policy","5","NARRATIVE","Corporate governance statement","","As part of their appointment to the Trustee Board, each trustee director is required to","","1","other_printed_scope","USS trustee directors","","","","","","","","","","","","","","","","","stewardship_policy","Complete TPR’s Trustee Toolkit to ensure that they have a good base level of understanding of the accountabilities and responsibilities that apply to pension trustees","","","Complete TPR’s Trustee Toolkit to ensure that they","actual","","ADJUDICATOR","ADDED"
"2026-08-22.2","SRC329","4f064e09a6d0e0b61d9ca94b0bb018d87e3d3c2a9b212c31463dd4f4b33d7150","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","ADJUDICATED","stewardship_policy","5","NARRATIVE","Corporate governance statement","","As part of their appointment to the Trustee Board, each trustee director is required to","","2","other_printed_scope","USS trustee directors","","","","","","","","","","","","","","","","","stewardship_policy","Undergo a thorough induction programme","","","Undergo a thorough induction programme","actual","","ADJUDICATOR","ADDED"
"2026-08-22.2","SRC329","4f064e09a6d0e0b61d9ca94b0bb018d87e3d3c2a9b212c31463dd4f4b33d7150","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","ADJUDICATED","document_context","7","DOCUMENT","Corporate governance statement","","DOCUMENT","","1","document","Universities Superannuation Scheme Governance Supplement 2025","","","","","Universities Superannuation Scheme Limited","","","1 April 2024","31 March 2025","31 March 2025","","","","","","","","USS Governance Supplement 2025","","","USS Governance Supplement 2025","actual","","A+B+ADJUDICATOR","RESOLVED"
"2026-08-22.2","SRC329","4f064e09a6d0e0b61d9ca94b0bb018d87e3d3c2a9b212c31463dd4f4b33d7150","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","ADJUDICATED","stewardship_observation","7","NARRATIVE","Corporate governance statement","Corporate governance statement","Regional meetings between the USS executive and groups of Vice Chancellors and other senior leaders from 34 USS employers","","1","other_printed_scope","USS employers","","","","","","","","","","","","","engagement_count","Regional meetings between the USS executive and groups of Vice Chancellors and other senior leaders","34","employers","","","","","from 34 USS employers","actual","stakeholder engagement activity","B","VERIFIED_ONE_SIDED"
"2026-08-22.2","SRC329","4f064e09a6d0e0b61d9ca94b0bb018d87e3d3c2a9b212c31463dd4f4b33d7150","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","ADJUDICATED","stewardship_observation","7","NARRATIVE","Corporate governance statement","Corporate governance statement","USS Trustee Board and the USS executive held Q&A sessions with around 450 members","","1","other_printed_scope","members","","","","","","","","","","","","","engagement_count","Q&A sessions with around 450 members","450","members","","","","","sessions with around 450 members","actual","stakeholder engagement activity","A+B+ADJUDICATOR","RESOLVED"
"2026-08-22.2","SRC329","4f064e09a6d0e0b61d9ca94b0bb018d87e3d3c2a9b212c31463dd4f4b33d7150","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","ADJUDICATED","stewardship_policy","15","NARRATIVE","Remuneration Committee report","Remuneration Committee report","The aim is to ensure that the proposals","","1","other_printed_scope","USS remuneration proposals","","","","","","","","","","","","","","","","","stewardship_policy","Demonstrate a clear and robust link between reward and performance, seeking assurance that a rigorous process of performance appraisal is in place, with appropriate controls to manage behaviour and manager discretion","","","(i) Demonstrate a clear and robust link between reward","actual","","ADJUDICATOR","ADDED"
"2026-08-22.2","SRC329","4f064e09a6d0e0b61d9ca94b0bb018d87e3d3c2a9b212c31463dd4f4b33d7150","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","ADJUDICATED","stewardship_policy","15","NARRATIVE","Remuneration Committee report","Remuneration Committee report","The aim is to ensure that the proposals","","2","other_printed_scope","USS remuneration proposals","","","","","","","","","","","","","","","","","stewardship_policy","Comply with the requirements of regulatory and governance bodies","","","(ii) Comply with the requirements of regulatory and","actual","","ADJUDICATOR","ADDED"
"2026-08-22.2","SRC329","4f064e09a6d0e0b61d9ca94b0bb018d87e3d3c2a9b212c31463dd4f4b33d7150","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","ADJUDICATED","stewardship_policy","15","NARRATIVE","Remuneration Committee report","Remuneration Committee report","The aim is to ensure that the proposals","","3","other_printed_scope","USS remuneration proposals","","","","","","","","","","","","","","","","","stewardship_policy","Consider the expectations of stakeholders and remain consistent with the expectations of the employee population","","","(iii) Consider the expectations of stakeholders and","actual","","ADJUDICATOR","ADDED"
"2026-08-22.2","SRC329","4f064e09a6d0e0b61d9ca94b0bb018d87e3d3c2a9b212c31463dd4f4b33d7150","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","ADJUDICATED","stewardship_policy","15","NARRATIVE","Remuneration Committee report","Remuneration Committee report","The principles that underpin our approach to remuneration are as follows","","1","other_printed_scope","USS remuneration principles","","","","","","","","","","","","","","","","","stewardship_policy","The foundation of our remuneration approach is to promote alignment to our scheme’s interests","","","The foundation of our remuneration approach is to","actual","","A","VERIFIED_ONE_SIDED"
"2026-08-22.2","SRC329","4f064e09a6d0e0b61d9ca94b0bb018d87e3d3c2a9b212c31463dd4f4b33d7150","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","ADJUDICATED","stewardship_policy","15","NARRATIVE","Remuneration Committee report","Remuneration Committee report","The principles that underpin our approach to remuneration are as follows","","2","other_printed_scope","USS remuneration principles","","","","","","","","","","","","","","","","","stewardship_policy","We focus on long term success, applying appropriate metrics and overlaying judgement","","","We focus on long term success, applying appropriate","actual","","A","VERIFIED_ONE_SIDED"
