"source_page","a_page_status","b_page_status","a_layout_checked","b_layout_checked","a_expected_observation_count","b_expected_observation_count","a_source_structures","b_source_structures","a_relevant_record_families","b_relevant_record_families","difference_fields"
"1","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","","2025 Stewardship Report","","","source_structures"
"2","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","Contents","Contents","","","DETERMINISTIC_SAMPLE"
"3","NO_ELIGIBLE_DATA","ELIGIBLE_DATA_EXTRACTED","YES","YES","0","6","Foreword","DOCUMENT | Foreword","","document_context | stewardship_policy","page_status|expected_observation_count|source_structures|relevant_record_families"
"4","NO_ELIGIBLE_DATA","ELIGIBLE_DATA_EXTRACTED","YES","YES","0","3","Foreword","Foreword","","stewardship_policy","page_status|expected_observation_count|relevant_record_families"
"5","NO_ELIGIBLE_DATA","ELIGIBLE_DATA_EXTRACTED","YES","YES","0","6","Introduction","PRI signatories commit to the following six principles:","","stewardship_policy","page_status|expected_observation_count|source_structures|relevant_record_families"
"6","NO_ELIGIBLE_DATA","ELIGIBLE_DATA_EXTRACTED","YES","YES","0","5","GUARDIANS' PURPOSE | WHAT IS STEWARDSHIP?","GUARDIANS’ PURPOSE | WHAT IS STEWARDSHIP?","","stewardship_policy","page_status|expected_observation_count|source_structures|relevant_record_families"
"7","NO_ELIGIBLE_DATA","ELIGIBLE_DATA_EXTRACTED","YES","YES","0","8","OUR PURPOSE | OUR VISION | SUSTAINABLE FINANCE GOAL","OUR PURPOSE | OUR VISION | SUSTAINABLE FINANCE GOAL","","stewardship_policy","page_status|expected_observation_count|relevant_record_families"
"8","NO_ELIGIBLE_DATA","ELIGIBLE_DATA_EXTRACTED","YES","YES","0","11","Policies | ROLES AND RESPONSIBILITIES","Policies | ROLES AND RESPONSIBILITIES","","stewardship_policy","page_status|expected_observation_count|relevant_record_families"
"9","NO_ELIGIBLE_DATA","ELIGIBLE_DATA_EXTRACTED","YES","YES","0","12","","Policies | ROLES AND RESPONSIBILITIES | Statement of Intent","","stewardship_policy","page_status|expected_observation_count|source_structures|relevant_record_families"
"10","NO_ELIGIBLE_DATA","ELIGIBLE_DATA_EXTRACTED","YES","YES","0","11","CONFLICTS OF INTEREST","CONFLICTS OF INTEREST | Policies","","stewardship_policy","page_status|expected_observation_count|source_structures|relevant_record_families"
"11","NO_ELIGIBLE_DATA","ELIGIBLE_DATA_EXTRACTED","YES","YES","0","12","Incorporate","Incorporate","","stewardship_policy","page_status|expected_observation_count|relevant_record_families"
"12","NO_ELIGIBLE_DATA","ELIGIBLE_DATA_EXTRACTED","YES","YES","0","9","","Incorporate","","stewardship_policy","page_status|expected_observation_count|source_structures|relevant_record_families"
"13","NO_ELIGIBLE_DATA","ELIGIBLE_DATA_EXTRACTED","YES","YES","0","16","Engage","Engage","","stewardship_observation | stewardship_policy","page_status|expected_observation_count|relevant_record_families"
"14","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","8","26","Engage","Engage","document_context | stewardship_observation","stewardship_observation | stewardship_policy","expected_observation_count|relevant_record_families"
"15","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","20","51","Climate change engagement (NZ Super Fund) | Engagement activities on behalf of NZ Super Fund | SDGs Engagements by goal (NZ Super Fund)","Climate change engagement (NZ Super Fund) | Engagement activities on behalf of NZ Super Fund | Engagements by issue (NZ Super Fund) | Milestones achieved by issue (NZ Super Fund) | SDGs Engagements by goal (NZ Super Fund)","stewardship_observation","stewardship_observation","expected_observation_count|source_structures"
"16","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","23","29","Climate engagement breakdown by sector (NZ Super Fund) | Climate engagement breakdown by sub theme (NZ Super Fund) | Progress on NZ Super Fund engagement objectives","Climate engagement breakdown by sector (NZ Super Fund) | Climate engagement breakdown by sub theme (NZ Super Fund) | Climate milestone breakdown by sub theme (NZ Super Fund) | Progress on NZ Super Fund engagement objectives","stewardship_observation","stewardship_observation","expected_observation_count|source_structures"
"17","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","","Company | Issue | Quarterly report","","","source_structures"
"18","NO_ELIGIBLE_DATA","ELIGIBLE_DATA_EXTRACTED","YES","YES","0","12","","COLLABORATIVE ENGAGEMENT | NZX50 CLIMATE CHANGE ENGAGEMENT | POLICY ENGAGEMENT","","stewardship_observation | stewardship_policy","page_status|expected_observation_count|source_structures|relevant_record_families"
"19","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","1","6","Engage","Key policy activities in the 2024/25 financial year included","stewardship_observation","stewardship_observation | stewardship_policy","expected_observation_count|source_structures|relevant_record_families"
"20","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","8","14","Exclusions","CONDUCT | Exclusions | PRODUCTS","stewardship_policy","stewardship_policy","expected_observation_count|source_structures"
"21","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","1","5","Exclusions","HOW WE APPLY EXCLUSIONS | SOVEREIGN BONDS","stewardship_policy","stewardship_policy","expected_observation_count|source_structures"
"22","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","1","18","Vote","Vote","stewardship_policy","stewardship_policy","expected_observation_count"
"23","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","10","16","Vote | Voting statistics 2024/25","Vote | Voting statistics 2024/25","stewardship_observation | stewardship_policy","stewardship_observation | stewardship_policy","expected_observation_count"
"24","NO_ELIGIBLE_DATA","ELIGIBLE_DATA_EXTRACTED","YES","YES","0","9","Measure and Report","Measure and Report | SOI Measure Outcome 2024/25","","stewardship_policy","page_status|expected_observation_count|source_structures|relevant_record_families"
"25","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","7","15","Measure and Report","PRI assessment | SOI Measure Outcome 2024/25","stewardship_observation","stewardship_observation | stewardship_policy","expected_observation_count|source_structures|relevant_record_families"
"26","NO_ELIGIBLE_DATA","ELIGIBLE_DATA_EXTRACTED","YES","YES","0","1","Leadership","Responsible Investment Leader","","stewardship_observation","page_status|expected_observation_count|source_structures|relevant_record_families"
"27","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","3","3","Leadership","Leadership and peak bodies","stewardship_observation","stewardship_observation","source_structures"
"28","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","4","5","Leadership","Collaborations on climate change | Leadership and peak bodies","stewardship_observation","stewardship_observation","expected_observation_count|source_structures"
"29","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","3","4","Leadership","Collaborations on other ESG issues","stewardship_observation","stewardship_observation","expected_observation_count|source_structures"
"30","NO_ELIGIBLE_DATA","ELIGIBLE_DATA_EXTRACTED","YES","YES","0","5","Reference","Stewardship Code Principle","","stewardship_policy","page_status|expected_observation_count|source_structures|relevant_record_families"
"31","NO_ELIGIBLE_DATA","ELIGIBLE_DATA_EXTRACTED","YES","YES","0","4","Reference","Stewardship Code Principle","","stewardship_policy","page_status|expected_observation_count|source_structures|relevant_record_families"
"32","NO_ELIGIBLE_DATA","REFERENCE_ONLY","YES","YES","0","0","","Reference","","","page_status|source_structures"
