"contract_version","file_id","source_sha256","canonical_doc_type","route","product_tier","agent_role","record_family","source_page","source_structure_type","source_section","source_table","source_row_label","source_column_label","source_occurrence","subject_type","subject_name","asset_class","strategy","geography","manager_name","investor_name","portfolio_name","vintage_year","period_start","period_end","as_of_date","horizon","currency_scale","metric_category","metric_name","metric_value_raw","unit","term_category","text_raw","basis_raw","condition_raw","evidence_quote","evidence_class","notes","source_agents","adjudication_status"
"2026-08-22.2","SRC339","515888513c1cef84c8e5e67ff2186012c9fb069191591cec8966e568dc4e556e","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","A","document_context","14","DOCUMENT","Engage","","DOCUMENT","","1","document","2025 Stewardship Report","","","","Guardians of New Zealand Superannuation","","NZ Super Fund","","1 July 2024","30 June 2025","30 June 2025","","","","","","","","","","","GUARDIANS OF NEW ZEALAND SUPERANNUATION 2025 STEWARDSHIP REPORT 14","actual","","",""
"2026-08-22.2","SRC339","515888513c1cef84c8e5e67ff2186012c9fb069191591cec8966e568dc4e556e","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","A","stewardship_observation","14","NARRATIVE","Engage","Engage","reo® engagement on behalf of the CFIs","","1","other_printed_scope","reo® engagement on behalf of the Crown Financial Institutions","","","","","","","","1 July 2024","30 June 2025","","","","engagement_count","Engagement activities","543","","","","","","In the year from July 2024 to June 2025, reo® carried out 543 engagement activities on","actual","","",""
"2026-08-22.2","SRC339","515888513c1cef84c8e5e67ff2186012c9fb069191591cec8966e568dc4e556e","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","A","stewardship_observation","14","NARRATIVE","Engage","Engage","reo® engagement on behalf of the CFIs","","2","other_printed_scope","reo® engagement on behalf of the Crown Financial Institutions","","","","","","","","1 July 2024","30 June 2025","","","","coverage","Companies covered","352","","","","","","behalf of the CFIs, covering 352 companies in 34 countries. This included 304 engagement","actual","","",""
"2026-08-22.2","SRC339","515888513c1cef84c8e5e67ff2186012c9fb069191591cec8966e568dc4e556e","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","A","stewardship_observation","14","NARRATIVE","Engage","Engage","reo® engagement on behalf of the CFIs","","3","other_printed_scope","reo® engagement on behalf of the Crown Financial Institutions","","","","","","","","1 July 2024","30 June 2025","","","","coverage","Countries covered","34","","","","","","behalf of the CFIs, covering 352 companies in 34 countries. This included 304 engagement","actual","","",""
"2026-08-22.2","SRC339","515888513c1cef84c8e5e67ff2186012c9fb069191591cec8966e568dc4e556e","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","A","stewardship_observation","14","NARRATIVE","Engage","Engage","reo® engagement on behalf of the CFIs","","4","other_printed_scope","reo® engagement on behalf of the Crown Financial Institutions","","","","","","","","1 July 2024","30 June 2025","","","","engagement_count","Engagement activities on climate change","304","","","","","","behalf of the CFIs, covering 352 companies in 34 countries. This included 304 engagement","actual","","",""
"2026-08-22.2","SRC339","515888513c1cef84c8e5e67ff2186012c9fb069191591cec8966e568dc4e556e","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","A","stewardship_observation","14","NARRATIVE","Engage","Engage","reo® engagement on behalf of the CFIs","","5","other_printed_scope","reo® engagement on behalf of the Crown Financial Institutions","","","","","","","","1 July 2024","30 June 2025","","","","coverage","Companies covered (climate change)","214","","","","","","activities on climate change, covering 214 companies with 46 milestones achieved.","actual","","",""
"2026-08-22.2","SRC339","515888513c1cef84c8e5e67ff2186012c9fb069191591cec8966e568dc4e556e","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","A","stewardship_observation","14","NARRATIVE","Engage","Engage","reo® service","","1","service_provider","Columbia Threadneedle reo®","","","","","","","","","","30 June 2025","","billion","aum","Assets under engagement","US$732","","","","","","The reo® service has US$732 billion in assets under engagement (as at June 2025), with 45","actual","","",""
"2026-08-22.2","SRC339","515888513c1cef84c8e5e67ff2186012c9fb069191591cec8966e568dc4e556e","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","A","stewardship_observation","14","NARRATIVE","Engage","Engage","reo® service","","2","service_provider","Columbia Threadneedle reo®","","","","","","","","","","","","","engagement_count","Companies engaged (cumulative)","more than 6,400","","","","","","it has engaged with more than 6,400 companies on a wide range of ESG issues.","actual","","",""
"2026-08-22.2","SRC339","515888513c1cef84c8e5e67ff2186012c9fb069191591cec8966e568dc4e556e","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","A","stewardship_observation","15","TABLE","Engage","Climate change engagement (NZ Super Fund)","Companies Engaged","Number","1","other_printed_scope","Climate change engagement (NZ Super Fund)","","","","","","","","1 July 2024","30 June 2025","","","","engagement_count","Companies Engaged (climate change)","105","","","","","","Companies Engaged 105","actual","","",""
"2026-08-22.2","SRC339","515888513c1cef84c8e5e67ff2186012c9fb069191591cec8966e568dc4e556e","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","A","stewardship_observation","15","TABLE","Engage","Climate change engagement (NZ Super Fund)","Engagements on climate change","Number","1","other_printed_scope","Climate change engagement (NZ Super Fund)","","","","","","","","1 July 2024","30 June 2025","","","","engagement_count","Engagements on climate change","142","","","","","","Engagements on climate change 142","actual","","",""
"2026-08-22.2","SRC339","515888513c1cef84c8e5e67ff2186012c9fb069191591cec8966e568dc4e556e","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","A","stewardship_observation","15","TABLE","Engage","Engagement activities on behalf of NZ Super Fund","Companies engaged","Number","2","other_printed_scope","Engagement activities on behalf of NZ Super Fund","","","","","","","","1 July 2024","30 June 2025","","","","engagement_count","Companies engaged","191","","","","","","Companies engaged 191","actual","","",""
"2026-08-22.2","SRC339","515888513c1cef84c8e5e67ff2186012c9fb069191591cec8966e568dc4e556e","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","A","stewardship_observation","15","TABLE","Engage","Engagement activities on behalf of NZ Super Fund","Countries covered","Number","1","other_printed_scope","Engagement activities on behalf of NZ Super Fund","","","","","","","","1 July 2024","30 June 2025","","","","coverage","Countries covered","27","","","","","","Countries covered 27","actual","","",""
"2026-08-22.2","SRC339","515888513c1cef84c8e5e67ff2186012c9fb069191591cec8966e568dc4e556e","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","A","stewardship_observation","15","TABLE","Engage","Engagement activities on behalf of NZ Super Fund","Engagements","Number","1","other_printed_scope","Engagement activities on behalf of NZ Super Fund","","","","","","","","1 July 2024","30 June 2025","","","","engagement_count","Engagements","293","","","","","","Engagements 293","actual","","",""
"2026-08-22.2","SRC339","515888513c1cef84c8e5e67ff2186012c9fb069191591cec8966e568dc4e556e","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","A","stewardship_observation","15","TABLE","Engage","SDGs Engagements by goal (NZ Super Fund)","Affordable and Clean Energy","Sum","1","other_printed_scope","Affordable and Clean Energy","","","","","","","","1 July 2024","30 June 2025","","","","engagement_count","Affordable and Clean Energy","5","","","","","","7 Affordable and Clean Energy 5 1%","actual","","",""
"2026-08-22.2","SRC339","515888513c1cef84c8e5e67ff2186012c9fb069191591cec8966e568dc4e556e","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","A","stewardship_observation","15","TABLE","Engage","SDGs Engagements by goal (NZ Super Fund)","Clean Water and Sanitation","Sum","1","other_printed_scope","Clean Water and Sanitation","","","","","","","","1 July 2024","30 June 2025","","","","engagement_count","Clean Water and Sanitation","31","","","","","","6 Clean Water and Sanitation 31 8%","actual","","",""
"2026-08-22.2","SRC339","515888513c1cef84c8e5e67ff2186012c9fb069191591cec8966e568dc4e556e","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","A","stewardship_observation","15","TABLE","Engage","SDGs Engagements by goal (NZ Super Fund)","Climate Action","Sum","1","other_printed_scope","Climate Action","","","","","","","","1 July 2024","30 June 2025","","","","engagement_count","Climate Action","81","","","","","","13 Climate Action 81 21%","actual","","",""
"2026-08-22.2","SRC339","515888513c1cef84c8e5e67ff2186012c9fb069191591cec8966e568dc4e556e","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","A","stewardship_observation","15","TABLE","Engage","SDGs Engagements by goal (NZ Super Fund)","Decent Work and Economic Growth","Sum","1","other_printed_scope","Decent Work and Economic Growth","","","","","","","","1 July 2024","30 June 2025","","","","engagement_count","Decent Work and Economic Growth","42","","","","","","8 Decent Work and Economic Growth 42 11%","actual","","",""
"2026-08-22.2","SRC339","515888513c1cef84c8e5e67ff2186012c9fb069191591cec8966e568dc4e556e","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","A","stewardship_observation","15","TABLE","Engage","SDGs Engagements by goal (NZ Super Fund)","Gender Equality","Sum","1","other_printed_scope","Gender Equality","","","","","","","","1 July 2024","30 June 2025","","","","engagement_count","Gender Equality","12","","","","","","5 Gender Equality 12 3%","actual","","",""
"2026-08-22.2","SRC339","515888513c1cef84c8e5e67ff2186012c9fb069191591cec8966e568dc4e556e","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","A","stewardship_observation","15","TABLE","Engage","SDGs Engagements by goal (NZ Super Fund)","Good Health and Well-Being","Sum","1","other_printed_scope","Good Health and Well-Being","","","","","","","","1 July 2024","30 June 2025","","","","engagement_count","Good Health and Well-Being","17","","","","","","3 Good Health and Well-Being 17 4%","actual","","",""
"2026-08-22.2","SRC339","515888513c1cef84c8e5e67ff2186012c9fb069191591cec8966e568dc4e556e","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","A","stewardship_observation","15","TABLE","Engage","SDGs Engagements by goal (NZ Super Fund)","Industry, Innovation and Infrastructure","Sum","1","other_printed_scope","Industry, Innovation and Infrastructure","","","","","","","","1 July 2024","30 June 2025","","","","engagement_count","Industry, Innovation and Infrastructure","8","","","","","","9 Industry, Innovation and Infrastructure 8 2%","actual","","",""
"2026-08-22.2","SRC339","515888513c1cef84c8e5e67ff2186012c9fb069191591cec8966e568dc4e556e","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","A","stewardship_observation","15","TABLE","Engage","SDGs Engagements by goal (NZ Super Fund)","Life Below Water","Sum","1","other_printed_scope","Life Below Water","","","","","","","","1 July 2024","30 June 2025","","","","engagement_count","Life Below Water","8","","","","","","14 Life Below Water 8 2%","actual","","",""
"2026-08-22.2","SRC339","515888513c1cef84c8e5e67ff2186012c9fb069191591cec8966e568dc4e556e","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","A","stewardship_observation","15","TABLE","Engage","SDGs Engagements by goal (NZ Super Fund)","Life on Land","Sum","1","other_printed_scope","Life on Land","","","","","","","","1 July 2024","30 June 2025","","","","engagement_count","Life on Land","23","","","","","","15 Life on Land 23 6%","actual","","",""
"2026-08-22.2","SRC339","515888513c1cef84c8e5e67ff2186012c9fb069191591cec8966e568dc4e556e","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","A","stewardship_observation","15","TABLE","Engage","SDGs Engagements by goal (NZ Super Fund)","No SDG","Sum","1","other_printed_scope","No SDG","","","","","","","","1 July 2024","30 June 2025","","","","engagement_count","No SDG","68","","","","","","No SDG 68 18%","actual","","",""
"2026-08-22.2","SRC339","515888513c1cef84c8e5e67ff2186012c9fb069191591cec8966e568dc4e556e","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","A","stewardship_observation","15","TABLE","Engage","SDGs Engagements by goal (NZ Super Fund)","Peace, Justice and Strong Institutions","Sum","1","other_printed_scope","Peace, Justice and Strong Institutions","","","","","","","","1 July 2024","30 June 2025","","","","engagement_count","Peace, Justice and Strong Institutions","3","","","","","","16 Peace, Justice and Strong Institutions 3 1%","actual","","",""
"2026-08-22.2","SRC339","515888513c1cef84c8e5e67ff2186012c9fb069191591cec8966e568dc4e556e","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","A","stewardship_observation","15","TABLE","Engage","SDGs Engagements by goal (NZ Super Fund)","Reduced Inequalities","Sum","1","other_printed_scope","Reduced Inequalities","","","","","","","","1 July 2024","30 June 2025","","","","engagement_count","Reduced Inequalities","3","","","","","","10 Reduced Inequalities 3 1%","actual","","",""
"2026-08-22.2","SRC339","515888513c1cef84c8e5e67ff2186012c9fb069191591cec8966e568dc4e556e","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","A","stewardship_observation","15","TABLE","Engage","SDGs Engagements by goal (NZ Super Fund)","Responsible Consumption and Production","Sum","1","other_printed_scope","Responsible Consumption and Production","","","","","","","","1 July 2024","30 June 2025","","","","engagement_count","Responsible Consumption and Production","61","","","","","","12 Responsible Consumption and Production 61 16%","actual","","",""
"2026-08-22.2","SRC339","515888513c1cef84c8e5e67ff2186012c9fb069191591cec8966e568dc4e556e","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","A","stewardship_observation","15","TABLE","Engage","SDGs Engagements by goal (NZ Super Fund)","Sustainable Cities and Communities","Sum","1","other_printed_scope","Sustainable Cities and Communities","","","","","","","","1 July 2024","30 June 2025","","","","engagement_count","Sustainable Cities and Communities","8","","","","","","11 Sustainable Cities and Communities 8 2%","actual","","",""
"2026-08-22.2","SRC339","515888513c1cef84c8e5e67ff2186012c9fb069191591cec8966e568dc4e556e","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","A","stewardship_observation","15","TABLE","Engage","SDGs Engagements by goal (NZ Super Fund)","Zero Hunger","Sum","1","other_printed_scope","Zero Hunger","","","","","","","","1 July 2024","30 June 2025","","","","engagement_count","Zero Hunger","10","","","","","","2 Zero Hunger 10 3%","actual","","",""
